"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Discapacitat","Nombre"
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Físics No Motrius",60
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Físics No Motrius",286
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Físics No Motrius",153
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Físics No Motrius",323
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Físics No Motrius",585
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Físics No Motrius",385
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Físics No Motrius",252
2016,6,"Gràcia",29,"el Coll","Físics No Motrius",144
2016,6,"Gràcia",30,"la Salut","Físics No Motrius",212
2016,6,"Gràcia",31,"la Vila de Gràcia","Físics No Motrius",783
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Físics No Motrius",586
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Físics No Motrius",446
2016,7,"Horta-Guinardó",34,"Can Baró","Físics No Motrius",156
2016,7,"Horta-Guinardó",35,"el Guinardó","Físics No Motrius",639
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Físics No Motrius",172
2016,7,"Horta-Guinardó",37,"el Carmel","Físics No Motrius",727
2016,7,"Horta-Guinardó",38,"la Teixonera","Físics No Motrius",239
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Físics No Motrius",153
2016,7,"Horta-Guinardó",40,"Montbau","Físics No Motrius",127
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Físics No Motrius",111
2016,7,"Horta-Guinardó",42,"la Clota","Físics No Motrius",10
2016,7,"Horta-Guinardó",43,"Horta","Físics No Motrius",553
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Físics No Motrius",518
2016,8,"Nou Barris",45,"Porta","Físics No Motrius",563
2016,8,"Nou Barris",46,"el Turó de la Peira","Físics No Motrius",351
2016,8,"Nou Barris",47,"Can Peguera","Físics No Motrius",79
2016,8,"Nou Barris",48,"la Guineueta","Físics No Motrius",409
2016,8,"Nou Barris",49,"Canyelles","Físics No Motrius",217
2016,8,"Nou Barris",50,"les Roquetes","Físics No Motrius",412
2016,8,"Nou Barris",51,"Verdun","Físics No Motrius",330
2016,8,"Nou Barris",52,"la Prosperitat","Físics No Motrius",619
2016,8,"Nou Barris",53,"la Trinitat Nova","Físics No Motrius",214
2016,8,"Nou Barris",54,"Torre Baró","Físics No Motrius",93
2016,8,"Nou Barris",55,"Ciutat Meridiana","Físics No Motrius",293
2016,8,"Nou Barris",56,"Vallbona","Físics No Motrius",42
2016,9,"Sant Andreu",57,"la Trinitat Vella","Físics No Motrius",200
2016,9,"Sant Andreu",58,"Baró de Viver","Físics No Motrius",71
2016,9,"Sant Andreu",59,"el Bon Pastor","Físics No Motrius",286
2016,9,"Sant Andreu",60,"Sant Andreu","Físics No Motrius",1116
2016,9,"Sant Andreu",61,"la Sagrera","Físics No Motrius",578
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Físics No Motrius",264
2016,9,"Sant Andreu",63,"Navas","Físics No Motrius",381
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Físics No Motrius",696
2016,10,"Sant Martí",65,"el Clot","Físics No Motrius",473
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Físics No Motrius",299
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Físics No Motrius",89
2016,10,"Sant Martí",68,"el Poblenou","Físics No Motrius",519
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Físics No Motrius",189
2016,10,"Sant Martí",70,"el Besòs i el Maresme","Físics No Motrius",486
2016,10,"Sant Martí",71,"Provençals del Poblenou","Físics No Motrius",418
2016,10,"Sant Martí",72,"Sant Martí de Provençals","Físics No Motrius",591
2016,10,"Sant Martí",73,"la Verneda i la Pau","Físics No Motrius",749
2016,1,"Ciutat Vella",1,"el Raval","Malaltia Mental",954
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Malaltia Mental",284
2016,1,"Ciutat Vella",3,"la Barceloneta","Malaltia Mental",305
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Malaltia Mental",354
2016,2,"Eixample",5,"el Fort Pienc","Malaltia Mental",410
2016,2,"Eixample",6,"la Sagrada Família","Malaltia Mental",858
2016,2,"Eixample",7,"la Dreta de l'Eixample","Malaltia Mental",662
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Malaltia Mental",624
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Malaltia Mental",997
2016,2,"Eixample",10,"Sant Antoni","Malaltia Mental",620
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Malaltia Mental",682
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Malaltia Mental",42
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Malaltia Mental",720
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Malaltia Mental",225
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Malaltia Mental",333
2016,3,"Sants-Montjuïc",16,"la Bordeta","Malaltia Mental",299
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Malaltia Mental",387
2016,3,"Sants-Montjuïc",18,"Sants","Malaltia Mental",643
2016,4,"Les Corts",19,"les Corts","Malaltia Mental",715
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Malaltia Mental",377
2016,4,"Les Corts",21,"Pedralbes","Malaltia Mental",152
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Malaltia Mental",45
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Malaltia Mental",274
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Malaltia Mental",158
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Malaltia Mental",331
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Malaltia Mental",507
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Malaltia Mental",368
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Malaltia Mental",270
2016,6,"Gràcia",29,"el Coll","Malaltia Mental",172
2016,6,"Gràcia",30,"la Salut","Malaltia Mental",227
2016,6,"Gràcia",31,"la Vila de Gràcia","Malaltia Mental",851
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Malaltia Mental",520
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Malaltia Mental",395
2016,7,"Horta-Guinardó",34,"Can Baró","Malaltia Mental",181
2016,7,"Horta-Guinardó",35,"el Guinardó","Malaltia Mental",580
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Malaltia Mental",140
2016,7,"Horta-Guinardó",37,"el Carmel","Malaltia Mental",620
2016,7,"Horta-Guinardó",38,"la Teixonera","Malaltia Mental",199
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Malaltia Mental",118
2016,7,"Horta-Guinardó",40,"Montbau","Malaltia Mental",122
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Malaltia Mental",102
2016,7,"Horta-Guinardó",42,"la Clota","Malaltia Mental",11
2016,7,"Horta-Guinardó",43,"Horta","Malaltia Mental",466
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Malaltia Mental",445
2016,8,"Nou Barris",45,"Porta","Malaltia Mental",491
2016,8,"Nou Barris",46,"el Turó de la Peira","Malaltia Mental",261
2016,8,"Nou Barris",47,"Can Peguera","Malaltia Mental",95
2016,8,"Nou Barris",48,"la Guineueta","Malaltia Mental",366
2016,8,"Nou Barris",49,"Canyelles","Malaltia Mental",182
2016,8,"Nou Barris",50,"les Roquetes","Malaltia Mental",369
2016,8,"Nou Barris",51,"Verdun","Malaltia Mental",265
2016,8,"Nou Barris",52,"la Prosperitat","Malaltia Mental",495
2016,8,"Nou Barris",53,"la Trinitat Nova","Malaltia Mental",177
2016,8,"Nou Barris",54,"Torre Baró","Malaltia Mental",86
2016,8,"Nou Barris",55,"Ciutat Meridiana","Malaltia Mental",212
2016,8,"Nou Barris",56,"Vallbona","Malaltia Mental",62
2016,9,"Sant Andreu",57,"la Trinitat Vella","Malaltia Mental",195
2016,9,"Sant Andreu",58,"Baró de Viver","Malaltia Mental",101
2016,9,"Sant Andreu",59,"el Bon Pastor","Malaltia Mental",301
2016,9,"Sant Andreu",60,"Sant Andreu","Malaltia Mental",929
2016,9,"Sant Andreu",61,"la Sagrera","Malaltia Mental",506
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Malaltia Mental",271
2016,9,"Sant Andreu",63,"Navas","Malaltia Mental",329
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Malaltia Mental",672
2016,10,"Sant Martí",65,"el Clot","Malaltia Mental",387
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Malaltia Mental",350
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Malaltia Mental",69
2016,10,"Sant Martí",68,"el Poblenou","Malaltia Mental",449
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Malaltia Mental",152
2016,10,"Sant Martí",70,"el Besòs i el Maresme","Malaltia Mental",461
2016,10,"Sant Martí",71,"Provençals del Poblenou","Malaltia Mental",295
2016,10,"Sant Martí",72,"Sant Martí de Provençals","Malaltia Mental",535
2016,10,"Sant Martí",73,"la Verneda i la Pau","Malaltia Mental",591
2016,1,"Ciutat Vella",1,"el Raval","Intel·lectual",277
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Intel·lectual",84
2016,1,"Ciutat Vella",3,"la Barceloneta","Intel·lectual",110
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Intel·lectual",166
2016,2,"Eixample",5,"el Fort Pienc","Intel·lectual",149
2016,2,"Eixample",6,"la Sagrada Família","Intel·lectual",244
2016,2,"Eixample",7,"la Dreta de l'Eixample","Intel·lectual",194
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Intel·lectual",163
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Intel·lectual",264
2016,2,"Eixample",10,"Sant Antoni","Intel·lectual",198
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Intel·lectual",266
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Intel·lectual",35
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Intel·lectual",234
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Intel·lectual",196
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Intel·lectual",79
2016,3,"Sants-Montjuïc",16,"la Bordeta","Intel·lectual",102
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Intel·lectual",109
2016,3,"Sants-Montjuïc",18,"Sants","Intel·lectual",258
2016,4,"Les Corts",19,"les Corts","Intel·lectual",194
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Intel·lectual",101
2016,4,"Les Corts",21,"Pedralbes","Intel·lectual",54
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Intel·lectual",33
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Intel·lectual",122
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Intel·lectual",51
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Intel·lectual",136
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Intel·lectual",172
