"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Grups_Edat","Nombre"
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","De 16 a 44 anys",190
2016,4,"Les Corts",21,"Pedralbes","De 16 a 44 anys",100
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","De 16 a 44 anys",42
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","De 16 a 44 anys",160
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","De 16 a 44 anys",87
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","De 16 a 44 anys",181
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","De 16 a 44 anys",300
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","De 16 a 44 anys",222
2016,6,"Gràcia",28,"Vallcarca i els Penitents","De 16 a 44 anys",174
2016,6,"Gràcia",29,"el Coll","De 16 a 44 anys",114
2016,6,"Gràcia",30,"la Salut","De 16 a 44 anys",169
2016,6,"Gràcia",31,"la Vila de Gràcia","De 16 a 44 anys",448
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","De 16 a 44 anys",297
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","De 16 a 44 anys",227
2016,7,"Horta-Guinardó",34,"Can Baró","De 16 a 44 anys",101
2016,7,"Horta-Guinardó",35,"el Guinardó","De 16 a 44 anys",346
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","De 16 a 44 anys",92
2016,7,"Horta-Guinardó",37,"el Carmel","De 16 a 44 anys",499
2016,7,"Horta-Guinardó",38,"la Teixonera","De 16 a 44 anys",148
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","De 16 a 44 anys",65
2016,7,"Horta-Guinardó",40,"Montbau","De 16 a 44 anys",66
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","De 16 a 44 anys",82
2016,7,"Horta-Guinardó",42,"la Clota","De 16 a 44 anys",6
2016,7,"Horta-Guinardó",43,"Horta","De 16 a 44 anys",338
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","De 16 a 44 anys",297
2016,8,"Nou Barris",45,"Porta","De 16 a 44 anys",312
2016,8,"Nou Barris",46,"el Turó de la Peira","De 16 a 44 anys",166
2016,8,"Nou Barris",47,"Can Peguera","De 16 a 44 anys",76
2016,8,"Nou Barris",48,"la Guineueta","De 16 a 44 anys",216
2016,8,"Nou Barris",49,"Canyelles","De 16 a 44 anys",121
2016,8,"Nou Barris",50,"les Roquetes","De 16 a 44 anys",287
2016,8,"Nou Barris",51,"Verdun","De 16 a 44 anys",192
2016,8,"Nou Barris",52,"la Prosperitat","De 16 a 44 anys",350
2016,8,"Nou Barris",53,"la Trinitat Nova","De 16 a 44 anys",135
2016,8,"Nou Barris",54,"Torre Baró","De 16 a 44 anys",106
2016,8,"Nou Barris",55,"Ciutat Meridiana","De 16 a 44 anys",208
2016,8,"Nou Barris",56,"Vallbona","De 16 a 44 anys",47
2016,9,"Sant Andreu",57,"la Trinitat Vella","De 16 a 44 anys",183
2016,9,"Sant Andreu",58,"Baró de Viver","De 16 a 44 anys",94
2016,9,"Sant Andreu",59,"el Bon Pastor","De 16 a 44 anys",221
2016,9,"Sant Andreu",60,"Sant Andreu","De 16 a 44 anys",690
2016,9,"Sant Andreu",61,"la Sagrera","De 16 a 44 anys",349
2016,9,"Sant Andreu",62,"el Congrés i els Indians","De 16 a 44 anys",167
2016,9,"Sant Andreu",63,"Navas","De 16 a 44 anys",243
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","De 16 a 44 anys",426
2016,10,"Sant Martí",65,"el Clot","De 16 a 44 anys",293
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","De 16 a 44 anys",234
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","De 16 a 44 anys",71
2016,10,"Sant Martí",68,"el Poblenou","De 16 a 44 anys",303
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","De 16 a 44 anys",138
2016,10,"Sant Martí",70,"el Besòs i el Maresme","De 16 a 44 anys",362
2016,10,"Sant Martí",71,"Provençals del Poblenou","De 16 a 44 anys",277
2016,10,"Sant Martí",72,"Sant Martí de Provençals","De 16 a 44 anys",303
2016,10,"Sant Martí",73,"la Verneda i la Pau","De 16 a 44 anys",439
2016,1,"Ciutat Vella",1,"el Raval","De 45 a 64 anys",1540
2016,1,"Ciutat Vella",2,"el Barri Gòtic","De 45 a 64 anys",494
2016,1,"Ciutat Vella",3,"la Barceloneta","De 45 a 64 anys",579
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","De 45 a 64 anys",585
2016,2,"Eixample",5,"el Fort Pienc","De 45 a 64 anys",658
2016,2,"Eixample",6,"la Sagrada Família","De 45 a 64 anys",1226
2016,2,"Eixample",7,"la Dreta de l'Eixample","De 45 a 64 anys",862
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","De 45 a 64 anys",862
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","De 45 a 64 anys",1415
2016,2,"Eixample",10,"Sant Antoni","De 45 a 64 anys",956
2016,3,"Sants-Montjuïc",11,"el Poble Sec","De 45 a 64 anys",1203
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","De 45 a 64 anys",89
2016,3,"Sants-Montjuïc",13,"la Marina de Port","De 45 a 64 anys",1322
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","De 45 a 64 anys",344
2016,3,"Sants-Montjuïc",15,"Hostafrancs","De 45 a 64 anys",510
2016,3,"Sants-Montjuïc",16,"la Bordeta","De 45 a 64 anys",541
2016,3,"Sants-Montjuïc",17,"Sants - Badal","De 45 a 64 anys",638
2016,3,"Sants-Montjuïc",18,"Sants","De 45 a 64 anys",1075
2016,4,"Les Corts",19,"les Corts","De 45 a 64 anys",942
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","De 45 a 64 anys",536
2016,4,"Les Corts",21,"Pedralbes","De 45 a 64 anys",157
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","De 45 a 64 anys",75
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","De 45 a 64 anys",359
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","De 45 a 64 anys",206
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","De 45 a 64 anys",403
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","De 45 a 64 anys",648
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","De 45 a 64 anys",502
2016,6,"Gràcia",28,"Vallcarca i els Penitents","De 45 a 64 anys",360
2016,6,"Gràcia",29,"el Coll","De 45 a 64 anys",201
2016,6,"Gràcia",30,"la Salut","De 45 a 64 anys",305
2016,6,"Gràcia",31,"la Vila de Gràcia","De 45 a 64 anys",1211
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","De 45 a 64 anys",768
