"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Estructura_domicili","Nombre"
2020,9,"Sant Andreu",59,"el Bon Pastor","Una dona sola de 18 a 64 anys",243
2020,9,"Sant Andreu",60,"Sant Andreu","Una dona sola de 18 a 64 anys",1812
2020,9,"Sant Andreu",61,"la Sagrera","Una dona sola de 18 a 64 anys",857
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Una dona sola de 18 a 64 anys",436
2020,9,"Sant Andreu",63,"Navas","Una dona sola de 18 a 64 anys",652
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Una dona sola de 18 a 64 anys",1499
2020,10,"Sant Martí",65,"el Clot","Una dona sola de 18 a 64 anys",824
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Una dona sola de 18 a 64 anys",545
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Una dona sola de 18 a 64 anys",255
2020,10,"Sant Martí",68,"el Poblenou","Una dona sola de 18 a 64 anys",1256
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Una dona sola de 18 a 64 anys",506
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Una dona sola de 18 a 64 anys",503
2020,10,"Sant Martí",71,"Provençals del Poblenou","Una dona sola de 18 a 64 anys",577
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Una dona sola de 18 a 64 anys",692
2020,10,"Sant Martí",73,"la Verneda i la Pau","Una dona sola de 18 a 64 anys",626
2020,1,"Ciutat Vella",1,"el Raval","Un home sol de 18 a 64 anys",2570
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Un home sol de 18 a 64 anys",1016
2020,1,"Ciutat Vella",3,"la Barceloneta","Un home sol de 18 a 64 anys",1056
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Un home sol de 18 a 64 anys",1621
2020,2,"Eixample",5,"el Fort Pienc","Un home sol de 18 a 64 anys",1042
2020,2,"Eixample",6,"la Sagrada Família","Un home sol de 18 a 64 anys",1847
2020,2,"Eixample",7,"la Dreta de l'Eixample","Un home sol de 18 a 64 anys",1827
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Un home sol de 18 a 64 anys",1847
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Un home sol de 18 a 64 anys",2181
2020,2,"Eixample",10,"Sant Antoni","Un home sol de 18 a 64 anys",1570
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Un home sol de 18 a 64 anys",1740
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Un home sol de 18 a 64 anys",77
