"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,8,"Nou Barris",45,"Porta","2 persones",3206
2020,8,"Nou Barris",46,"el Turó de la Peira","2 persones",1778
2020,8,"Nou Barris",47,"Can Peguera","2 persones",262
2020,8,"Nou Barris",48,"la Guineueta","2 persones",1965
2020,8,"Nou Barris",49,"Canyelles","2 persones",950
2020,8,"Nou Barris",50,"les Roquetes","2 persones",1729
2020,8,"Nou Barris",51,"Verdun","2 persones",1507
2020,8,"Nou Barris",52,"la Prosperitat","2 persones",3291
2020,8,"Nou Barris",53,"la Trinitat Nova","2 persones",790
2020,8,"Nou Barris",54,"Torre Baró","2 persones",236
2020,8,"Nou Barris",55,"Ciutat Meridiana","2 persones",1017
2020,8,"Nou Barris",56,"Vallbona","2 persones",141
2020,9,"Sant Andreu",57,"la Trinitat Vella","2 persones",925
2020,9,"Sant Andreu",58,"Baró de Viver","2 persones",267
2020,9,"Sant Andreu",59,"el Bon Pastor","2 persones",1224
2020,9,"Sant Andreu",60,"Sant Andreu","2 persones",7431
2020,9,"Sant Andreu",61,"la Sagrera","2 persones",3705
2020,9,"Sant Andreu",62,"el Congrés i els Indians","2 persones",1750
2020,9,"Sant Andreu",63,"Navas","2 persones",2708
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","2 persones",5056
2020,10,"Sant Martí",65,"el Clot","2 persones",3227
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","2 persones",1913
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","2 persones",930
2020,10,"Sant Martí",68,"el Poblenou","2 persones",3705
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","2 persones",1491
2020,10,"Sant Martí",70,"el Besòs i el Maresme","2 persones",2318
2020,10,"Sant Martí",71,"Provençals del Poblenou","2 persones",2507
2020,10,"Sant Martí",72,"Sant Martí de Provençals","2 persones",3284
2020,10,"Sant Martí",73,"la Verneda i la Pau","2 persones",3690
2020,1,"Ciutat Vella",1,"el Raval","3 persones",2471
2020,1,"Ciutat Vella",2,"el Barri Gòtic","3 persones",979
2020,1,"Ciutat Vella",3,"la Barceloneta","3 persones",986
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","3 persones",1507
2020,2,"Eixample",5,"el Fort Pienc","3 persones",2429
2020,2,"Eixample",6,"la Sagrada Família","3 persones",3988
2020,2,"Eixample",7,"la Dreta de l'Eixample","3 persones",3199
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","3 persones",3079
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","3 persones",4438
2020,2,"Eixample",10,"Sant Antoni","3 persones",2827
2020,3,"Sants-Montjuïc",11,"el Poble Sec","3 persones",2731
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","3 persones",67
2020,3,"Sants-Montjuïc",13,"la Marina de Port","3 persones",2387
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","3 persones",779
2020,3,"Sants-Montjuïc",15,"Hostafrancs","3 persones",1179
2020,3,"Sants-Montjuïc",16,"la Bordeta","3 persones",1606
2020,3,"Sants-Montjuïc",17,"Sants - Badal","3 persones",1857
2020,3,"Sants-Montjuïc",18,"Sants","3 persones",3106
2020,4,"Les Corts",19,"les Corts","3 persones",3582
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","3 persones",1875
2020,4,"Les Corts",21,"Pedralbes","3 persones",754
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","3 persones",313
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","3 persones",1574
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","3 persones",899
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","3 persones",1615
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","3 persones",3138
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","3 persones",2116
2020,6,"Gràcia",28,"Vallcarca i els Penitents","3 persones",1234
2020,6,"Gràcia",29,"el Coll","3 persones",603
2020,6,"Gràcia",30,"la Salut","3 persones",991
2020,6,"Gràcia",31,"la Vila de Gràcia","3 persones",3793
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","3 persones",2718
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","3 persones",2085
2020,7,"Horta-Guinardó",34,"Can Baró","3 persones",719
2020,7,"Horta-Guinardó",35,"el Guinardó","3 persones",2968
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","3 persones",775
2020,7,"Horta-Guinardó",37,"el Carmel","3 persones",2560
2020,7,"Horta-Guinardó",38,"la Teixonera","3 persones",966
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","3 persones",552
2020,7,"Horta-Guinardó",40,"Montbau","3 persones",369
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","3 persones",486
2020,7,"Horta-Guinardó",42,"la Clota","3 persones",71
2020,7,"Horta-Guinardó",43,"Horta","3 persones",2058
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","3 persones",2109
2020,8,"Nou Barris",45,"Porta","3 persones",1951
2020,8,"Nou Barris",46,"el Turó de la Peira","3 persones",1123
2020,8,"Nou Barris",47,"Can Peguera","3 persones",173
2020,8,"Nou Barris",48,"la Guineueta","3 persones",1231
2020,8,"Nou Barris",49,"Canyelles","3 persones",590
2020,8,"Nou Barris",50,"les Roquetes","3 persones",1190
2020,8,"Nou Barris",51,"Verdun","3 persones",886
2020,8,"Nou Barris",52,"la Prosperitat","3 persones",2159
2020,8,"Nou Barris",53,"la Trinitat Nova","3 persones",540
2020,8,"Nou Barris",54,"Torre Baró","3 persones",177
2020,8,"Nou Barris",55,"Ciutat Meridiana","3 persones",705
2020,8,"Nou Barris",56,"Vallbona","3 persones",69
2020,9,"Sant Andreu",57,"la Trinitat Vella","3 persones",672
2020,9,"Sant Andreu",58,"Baró de Viver","3 persones",178
2020,9,"Sant Andreu",59,"el Bon Pastor","3 persones",920
2020,9,"Sant Andreu",60,"Sant Andreu","3 persones",5011
2020,9,"Sant Andreu",61,"la Sagrera","3 persones",2355
2020,9,"Sant Andreu",62,"el Congrés i els Indians","3 persones",1124
2020,9,"Sant Andreu",63,"Navas","3 persones",1733
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","3 persones",3068
2020,10,"Sant Martí",65,"el Clot","3 persones",2173
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","3 persones",1253
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","3 persones",756
2020,10,"Sant Martí",68,"el Poblenou","3 persones",2724
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","3 persones",1087
2020,10,"Sant Martí",70,"el Besòs i el Maresme","3 persones",1586
2020,10,"Sant Martí",71,"Provençals del Poblenou","3 persones",1800
2020,10,"Sant Martí",72,"Sant Martí de Provençals","3 persones",2088
2020,10,"Sant Martí",73,"la Verneda i la Pau","3 persones",2277
2020,1,"Ciutat Vella",1,"el Raval","4 persones",1753
2020,1,"Ciutat Vella",2,"el Barri Gòtic","4 persones",563
2020,1,"Ciutat Vella",3,"la Barceloneta","4 persones",586
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","4 persones",858
2020,2,"Eixample",5,"el Fort Pienc","4 persones",1731
2020,2,"Eixample",6,"la Sagrada Família","4 persones",2781
2020,2,"Eixample",7,"la Dreta de l'Eixample","4 persones",2440
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","4 persones",2232
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","4 persones",3148
2020,2,"Eixample",10,"Sant Antoni","4 persones",1928
2020,3,"Sants-Montjuïc",11,"el Poble Sec","4 persones",1700
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","4 persones",57
2020,3,"Sants-Montjuïc",13,"la Marina de Port","4 persones",1809
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","4 persones",547
2020,3,"Sants-Montjuïc",15,"Hostafrancs","4 persones",788
2020,3,"Sants-Montjuïc",16,"la Bordeta","4 persones",1074
2020,3,"Sants-Montjuïc",17,"Sants - Badal","4 persones",1275
2020,3,"Sants-Montjuïc",18,"Sants","4 persones",2179
2020,4,"Les Corts",19,"les Corts","4 persones",2710
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","4 persones",1452
2020,4,"Les Corts",21,"Pedralbes","4 persones",708
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","4 persones",322
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","4 persones",1537
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","4 persones",1018
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","4 persones",1520
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","4 persones",2847
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","4 persones",1842
2020,6,"Gràcia",28,"Vallcarca i els Penitents","4 persones",947
2020,6,"Gràcia",29,"el Coll","4 persones",459
2020,6,"Gràcia",30,"la Salut","4 persones",763
2020,6,"Gràcia",31,"la Vila de Gràcia","4 persones",2551
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","4 persones",2003
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","4 persones",1422
2020,7,"Horta-Guinardó",34,"Can Baró","4 persones",520
2020,7,"Horta-Guinardó",35,"el Guinardó","4 persones",2068
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","4 persones",639
2020,7,"Horta-Guinardó",37,"el Carmel","4 persones",1833
2020,7,"Horta-Guinardó",38,"la Teixonera","4 persones",698
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","4 persones",393
2020,7,"Horta-Guinardó",40,"Montbau","4 persones",288
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","4 persones",370
2020,7,"Horta-Guinardó",42,"la Clota","4 persones",44
2020,7,"Horta-Guinardó",43,"Horta","4 persones",1622
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","4 persones",1455
2020,8,"Nou Barris",45,"Porta","4 persones",1330
2020,8,"Nou Barris",46,"el Turó de la Peira","4 persones",774
2020,8,"Nou Barris",47,"Can Peguera","4 persones",111
2020,8,"Nou Barris",48,"la Guineueta","4 persones",941
2020,8,"Nou Barris",49,"Canyelles","4 persones",436
2020,8,"Nou Barris",50,"les Roquetes","4 persones",881
2020,8,"Nou Barris",51,"Verdun","4 persones",624
2020,8,"Nou Barris",52,"la Prosperitat","4 persones",1436
2020,8,"Nou Barris",53,"la Trinitat Nova","4 persones",386
2020,8,"Nou Barris",54,"Torre Baró","4 persones",168
2020,8,"Nou Barris",55,"Ciutat Meridiana","4 persones",554
2020,8,"Nou Barris",56,"Vallbona","4 persones",80
2020,9,"Sant Andreu",57,"la Trinitat Vella","4 persones",548
2020,9,"Sant Andreu",58,"Baró de Viver","4 persones",150
2020,9,"Sant Andreu",59,"el Bon Pastor","4 persones",806
