"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Nacionalitat","Nombre"
2019,7,"Horta-Guinardó",43,"Horta","Alta","Espanyols",1092
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Alta","Espanyols",925
2019,8,"Nou Barris",45,"Porta","Alta","Espanyols",928
2019,8,"Nou Barris",46,"el Turó de la Peira","Alta","Espanyols",762
2019,8,"Nou Barris",47,"Can Peguera","Alta","Espanyols",68
2019,8,"Nou Barris",48,"la Guineueta","Alta","Espanyols",522
2019,8,"Nou Barris",49,"Canyelles","Alta","Espanyols",184
2019,8,"Nou Barris",50,"les Roquetes","Alta","Espanyols",531
2019,8,"Nou Barris",51,"Verdun","Alta","Espanyols",458
2019,8,"Nou Barris",52,"la Prosperitat","Alta","Espanyols",875
2019,8,"Nou Barris",53,"la Trinitat Nova","Alta","Espanyols",305
2019,8,"Nou Barris",54,"Torre Baró","Alta","Espanyols",66
2019,8,"Nou Barris",55,"Ciutat Meridiana","Alta","Espanyols",280
2019,8,"Nou Barris",56,"Vallbona","Alta","Espanyols",35
2019,9,"Sant Andreu",57,"la Trinitat Vella","Alta","Espanyols",268
2019,9,"Sant Andreu",58,"Baró de Viver","Alta","Espanyols",67
2019,9,"Sant Andreu",59,"el Bon Pastor","Alta","Espanyols",446
2019,9,"Sant Andreu",60,"Sant Andreu","Alta","Espanyols",2016
2019,9,"Sant Andreu",61,"la Sagrera","Alta","Espanyols",1002
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Alta","Espanyols",483
2019,9,"Sant Andreu",63,"Navas","Alta","Espanyols",651
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Alta","Espanyols",1300
2019,10,"Sant Martí",65,"el Clot","Alta","Espanyols",762
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Alta","Espanyols",530
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Alta","Espanyols",235
2019,10,"Sant Martí",68,"el Poblenou","Alta","Espanyols",1194
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Alta","Espanyols",329
