"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
7095,715,813,177,163,864,324,1291,47,190,"07-03-2021 11:00:04"
7096,637,800,153,148,830,306,1187,69,181,"07-03-2021 11:00:04"
7097,367,500,87,50,391,339,750,32,85,"07-03-2021 11:00:04"
7098,1023,1170,322,236,1157,478,2007,78,108,"07-03-2021 11:00:04"
7099,503,549,74,106,650,222,984,17,51,"07-03-2021 11:00:04"
7100,558,660,133,86,584,415,1045,45,128,"07-03-2021 11:00:04"
7101,693,800,147,115,712,519,1249,54,190,"07-03-2021 11:00:04"
7102,363,334,114,60,442,81,585,31,81,"07-03-2021 11:00:04"
7103,763,833,178,265,865,288,1162,72,362,"07-03-2021 11:00:04"
7104,744,848,205,140,854,393,1367,52,173,"07-03-2021 11:00:04"
7105,487,549,116,87,547,286,959,18,59,"07-03-2021 11:00:04"
7106,547,635,151,99,625,307,1081,10,91,"07-03-2021 11:00:04"
7107,573,623,140,104,628,324,1099,32,65,"07-03-2021 11:00:04"
7108,579,656,132,120,659,324,1114,33,88,"07-03-2021 11:00:04"
7109,781,889,192,128,902,448,1434,53,183,"07-03-2021 11:00:04"
7110,456,584,114,88,481,357,936,14,90,"07-03-2021 11:00:04"
7111,390,504,93,76,390,335,840,21,33,"07-03-2021 11:00:04"
7112,620,678,149,122,729,298,1144,39,115,"07-03-2021 11:00:04"
7113,569,634,154,135,705,209,1038,20,145,"07-03-2021 11:00:04"
7114,558,643,148,110,675,268,1105,29,67,"07-03-2021 11:00:04"
7115,493,571,114,120,559,271,996,34,34,"07-03-2021 11:00:04"
7116,674,834,219,133,821,335,1362,40,106,"07-03-2021 11:00:04"
7117,1512,1373,384,286,1905,310,1302,103,1480,"07-03-2021 11:00:04"
7118,578,686,167,122,667,308,1106,31,127,"07-03-2021 11:00:04"
7119,609,701,161,129,764,256,1086,38,186,"07-03-2021 11:00:04"
7120,566,696,127,94,681,360,1067,27,168,"07-03-2021 11:00:04"
7121,519,629,118,94,602,334,934,30,184,"07-03-2021 11:00:04"
7122,598,733,160,98,706,367,1177,22,132,"07-03-2021 11:00:04"
7123,671,761,159,159,759,355,1264,22,146,"07-03-2021 11:00:04"
8001,587,680,133,106,670,358,1131,17,119,"07-03-2021 11:00:04"
8002,589,684,155,135,657,326,1148,28,97,"07-03-2021 11:00:04"
8003,561,645,123,104,647,332,1033,27,146,"07-03-2021 11:00:04"
8004,646,789,173,127,772,363,1121,36,278,"07-03-2021 11:00:04"
8005,538,623,101,128,618,314,998,30,133,"07-03-2021 11:00:04"
8006,758,877,200,182,899,354,1320,64,251,"07-03-2021 11:00:04"
8007,529,658,123,95,605,364,1047,29,111,"07-03-2021 11:00:04"
8008,759,866,170,146,887,422,1355,54,216,"07-03-2021 11:00:04"
8009,864,938,218,164,1076,344,1457,71,274,"07-03-2021 11:00:04"
8010,500,595,110,107,613,265,961,18,116,"07-03-2021 11:00:04"
8011,548,636,149,119,642,274,1031,35,118,"07-03-2021 11:00:04"
8012,581,739,132,138,753,297,1136,43,141,"07-03-2021 11:00:04"
8013,519,638,134,106,592,325,993,27,137,"07-03-2021 11:00:04"
8014,596,703,145,154,737,263,1058,41,200,"07-03-2021 11:00:04"
8015,640,835,177,142,840,316,1157,41,277,"07-03-2021 11:00:04"
8016,508,621,142,95,576,316,951,27,151,"07-03-2021 11:00:04"
8017,668,734,167,114,729,392,1184,39,179,"07-03-2021 11:00:04"
8018,707,811,153,139,825,401,1287,24,207,"07-03-2021 11:00:04"
8019,857,1008,217,149,1095,404,1397,60,408,"07-03-2021 11:00:04"
8020,657,737,161,123,797,313,1121,29,244,"07-03-2021 11:00:04"
8021,688,804,177,130,825,360,1229,31,232,"07-03-2021 11:00:04"
8022,593,676,122,117,719,311,1051,26,192,"07-03-2021 11:00:04"
8023,650,748,185,134,791,288,1101,51,246,"07-03-2021 11:00:04"
8024,633,749,142,126,771,343,1141,39,202,"07-03-2021 11:00:04"
8025,528,671,147,108,665,279,947,45,207,"07-03-2021 11:00:04"
8026,642,747,192,125,737,335,1146,41,202,"07-03-2021 11:00:04"
8027,702,716,203,98,758,359,1265,36,117,"07-03-2021 11:00:04"
8028,504,604,121,78,581,328,954,24,130,"07-03-2021 11:00:04"
8029,701,802,200,167,834,302,1315,25,163,"07-03-2021 11:00:04"
8030,711,780,209,144,824,314,1181,48,262,"07-03-2021 11:00:04"
8031,610,695,154,116,633,402,1122,22,161,"07-03-2021 11:00:04"
8032,596,700,141,103,694,358,1089,35,172,"07-03-2021 11:00:04"
8033,703,782,186,138,830,331,1181,40,264,"07-03-2021 11:00:04"
8034,533,710,152,103,652,336,932,21,290,"07-03-2021 11:00:04"
8035,2374,2178,437,495,3130,490,1760,116,2676,"07-03-2021 11:00:04"
8036,714,843,194,140,888,335,1194,32,331,"07-03-2021 11:00:04"
8037,697,878,181,139,862,393,1259,27,289,"07-03-2021 11:00:04"
8038,720,855,203,172,905,295,1189,26,360,"07-03-2021 11:00:04"
8039,761,828,209,148,872,360,1201,27,361,"07-03-2021 11:00:04"
8040,915,1021,312,169,1137,318,1539,29,368,"07-03-2021 11:00:04"
8041,1295,1356,476,313,1547,315,1665,55,931,"07-03-2021 11:00:04"
8042,547,699,126,108,596,416,1086,9,151,"07-03-2021 11:00:04"
8043,497,654,126,124,592,309,1027,14,110,"07-03-2021 11:00:04"
8044,617,692,170,125,762,252,977,33,299,"07-03-2021 11:00:04"
8045,896,912,249,177,1095,287,1250,58,500,"07-03-2021 11:00:04"
8046,642,783,171,127,834,293,1101,31,293,"07-03-2021 11:00:04"
8047,758,875,231,172,921,309,1112,42,479,"07-03-2021 11:00:04"
8048,464,523,130,94,528,235,872,9,106,"07-03-2021 11:00:04"
8049,573,663,160,124,683,269,1105,17,114,"07-03-2021 11:00:04"
8050,654,731,137,110,679,459,1253,29,103,"07-03-2021 11:00:04"
8051,647,697,215,135,730,264,1251,18,75,"07-03-2021 11:00:04"
8052,404,500,102,66,480,256,797,16,91,"07-03-2021 11:00:04"
8053,524,613,130,94,533,380,1051,23,63,"07-03-2021 11:00:04"
8054,743,923,151,158,816,541,1511,30,125,"07-03-2021 11:00:04"
8055,861,967,184,156,779,709,1696,28,104,"07-03-2021 11:00:04"
8056,711,781,151,154,800,387,1280,18,194,"07-03-2021 11:00:04"
8057,609,709,137,128,691,362,1143,28,147,"07-03-2021 11:00:04"
