"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2008-2012",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",717
"2008-2012",6,"Gràcia",28,"Vallcarca i els Penitents",373
"2008-2012",6,"Gràcia",29,"el Coll",199
"2008-2012",6,"Gràcia",30,"la Salut",329
"2008-2012",6,"Gràcia",31,"la Vila de Gràcia",1363
"2008-2012",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",805
"2008-2012",7,"Horta-Guinardó",33,"el Baix Guinardó",607
"2008-2012",7,"Horta-Guinardó",34,"Can Baró",246
"2008-2012",7,"Horta-Guinardó",35,"el Guinardó",938
"2008-2012",7,"Horta-Guinardó",36,"la Font d'en Fargues",217
"2008-2012",7,"Horta-Guinardó",37,"el Carmel",1014
"2008-2012",7,"Horta-Guinardó",38,"la Teixonera",351
"2008-2012",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",166
"2008-2012",7,"Horta-Guinardó",40,"Montbau",136
"2008-2012",7,"Horta-Guinardó",41,"la Vall d'Hebron",92
"2008-2012",7,"Horta-Guinardó",42,"la Clota",18
"2008-2012",7,"Horta-Guinardó",43,"Horta",644
"2008-2012",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",612
"2008-2012",8,"Nou Barris",45,"Porta",649
"2008-2012",8,"Nou Barris",46,"el Turó de la Peira",502
"2008-2012",8,"Nou Barris",47,"Can Peguera",74
"2008-2012",8,"Nou Barris",48,"la Guineueta",347
"2008-2012",8,"Nou Barris",49,"Canyelles",161
"2008-2012",8,"Nou Barris",50,"les Roquetes",665
"2008-2012",8,"Nou Barris",51,"Verdun",426
"2008-2012",8,"Nou Barris",52,"la Prosperitat",816
"2008-2012",8,"Nou Barris",53,"la Trinitat Nova",316
"2008-2012",8,"Nou Barris",54,"Torre Baró",79
"2008-2012",8,"Nou Barris",55,"Ciutat Meridiana",463
"2008-2012",8,"Nou Barris",56,"Vallbona",92
"2008-2012",9,"Sant Andreu",57,"la Trinitat Vella",481
"2008-2012",9,"Sant Andreu",58,"Baró de Viver",96
"2008-2012",9,"Sant Andreu",59,"el Bon Pastor",559
"2008-2012",9,"Sant Andreu",60,"Sant Andreu",1495
"2008-2012",9,"Sant Andreu",61,"la Sagrera",757
"2008-2012",9,"Sant Andreu",62,"el Congrés i els Indians",365
"2008-2012",9,"Sant Andreu",63,"Navas",520
"2008-2012",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",954
"2008-2012",10,"Sant Martí",65,"el Clot",666
"2008-2012",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",380
"2008-2012",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",218
"2008-2012",10,"Sant Martí",68,"el Poblenou",1048
"2008-2012",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",453
"2008-2012",10,"Sant Martí",70,"el Besòs i el Maresme",785
"2008-2012",10,"Sant Martí",71,"Provençals del Poblenou",595
"2008-2012",10,"Sant Martí",72,"Sant Martí de Provençals",621
"2008-2012",10,"Sant Martí",73,"la Verneda i la Pau",762
"2008-2012",99,"No consta",99,"No consta",2351
"2009-2013",1,"Ciutat Vella",1,"el Raval",1619
"2009-2013",1,"Ciutat Vella",2,"el Barri Gòtic",302
"2009-2013",1,"Ciutat Vella",3,"la Barceloneta",393
"2009-2013",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",547
"2009-2013",2,"Eixample",5,"el Fort Pienc",758
"2009-2013",2,"Eixample",6,"la Sagrada Família",1142
"2009-2013",2,"Eixample",7,"la Dreta de l'Eixample",891
"2009-2013",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",907
"2009-2013",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1237
"2009-2013",2,"Eixample",10,"Sant Antoni",850
"2009-2013",3,"Sants-Montjuïc",11,"el Poble Sec",1241
"2009-2013",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",43
"2009-2013",3,"Sants-Montjuïc",13,"la Marina de Port",890
"2009-2013",3,"Sants-Montjuïc",14,"la Font de la Guatlla",242
"2009-2013",3,"Sants-Montjuïc",15,"Hostafrancs",375
"2009-2013",3,"Sants-Montjuïc",16,"la Bordeta",430
"2009-2013",3,"Sants-Montjuïc",17,"Sants - Badal",610
"2009-2013",3,"Sants-Montjuïc",18,"Sants",1015
"2009-2013",4,"Les Corts",19,"les Corts",951
"2009-2013",4,"Les Corts",20,"la Maternitat i Sant Ramon",509
"2009-2013",4,"Les Corts",21,"Pedralbes",188
"2009-2013",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",84
"2009-2013",5,"Sarrià-Sant Gervasi",23,"Sarrià",655
"2009-2013",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",357
"2009-2013",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",515
"2009-2013",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1018
"2009-2013",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",708
"2009-2013",6,"Gràcia",28,"Vallcarca i els Penitents",365
"2009-2013",6,"Gràcia",29,"el Coll",182
"2009-2013",6,"Gràcia",30,"la Salut",300
"2009-2013",6,"Gràcia",31,"la Vila de Gràcia",1294
"2009-2013",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",745
"2009-2013",7,"Horta-Guinardó",33,"el Baix Guinardó",579
"2009-2013",7,"Horta-Guinardó",34,"Can Baró",215
"2009-2013",7,"Horta-Guinardó",35,"el Guinardó",904
"2009-2013",7,"Horta-Guinardó",36,"la Font d'en Fargues",202
"2009-2013",7,"Horta-Guinardó",37,"el Carmel",913
"2009-2013",7,"Horta-Guinardó",38,"la Teixonera",344
"2009-2013",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",163
"2009-2013",7,"Horta-Guinardó",40,"Montbau",127
"2009-2013",7,"Horta-Guinardó",41,"la Vall d'Hebron",94
"2009-2013",7,"Horta-Guinardó",42,"la Clota",20
"2009-2013",7,"Horta-Guinardó",43,"Horta",609
"2009-2013",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",569
"2009-2013",8,"Nou Barris",45,"Porta",661
"2009-2013",8,"Nou Barris",46,"el Turó de la Peira",496
"2009-2013",8,"Nou Barris",47,"Can Peguera",73
"2009-2013",8,"Nou Barris",48,"la Guineueta",326
"2009-2013",8,"Nou Barris",49,"Canyelles",159
"2009-2013",8,"Nou Barris",50,"les Roquetes",625
"2009-2013",8,"Nou Barris",51,"Verdun",405
"2009-2013",8,"Nou Barris",52,"la Prosperitat",737
"2009-2013",8,"Nou Barris",53,"la Trinitat Nova",290
"2009-2013",8,"Nou Barris",54,"Torre Baró",78
"2009-2013",8,"Nou Barris",55,"Ciutat Meridiana",418
"2009-2013",8,"Nou Barris",56,"Vallbona",81
"2009-2013",9,"Sant Andreu",57,"la Trinitat Vella",441
"2009-2013",9,"Sant Andreu",58,"Baró de Viver",88
"2009-2013",9,"Sant Andreu",59,"el Bon Pastor",513
"2009-2013",9,"Sant Andreu",60,"Sant Andreu",1445
"2009-2013",9,"Sant Andreu",61,"la Sagrera",754
"2009-2013",9,"Sant Andreu",62,"el Congrés i els Indians",365
"2009-2013",9,"Sant Andreu",63,"Navas",517
"2009-2013",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",924
"2009-2013",10,"Sant Martí",65,"el Clot",628
"2009-2013",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",370
"2009-2013",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",212
"2009-2013",10,"Sant Martí",68,"el Poblenou",974
"2009-2013",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",462
"2009-2013",10,"Sant Martí",70,"el Besòs i el Maresme",770
"2009-2013",10,"Sant Martí",71,"Provençals del Poblenou",586
"2009-2013",10,"Sant Martí",72,"Sant Martí de Provençals",601
"2009-2013",10,"Sant Martí",73,"la Verneda i la Pau",728
"2009-2013",99,"No consta",99,"No consta",2038
"2010-2014",1,"Ciutat Vella",1,"el Raval",1573
"2010-2014",1,"Ciutat Vella",2,"el Barri Gòtic",287
"2010-2014",1,"Ciutat Vella",3,"la Barceloneta",384
"2010-2014",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",526
"2010-2014",2,"Eixample",5,"el Fort Pienc",750
"2010-2014",2,"Eixample",6,"la Sagrada Família",1143
"2010-2014",2,"Eixample",7,"la Dreta de l'Eixample",856
"2010-2014",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",872
"2010-2014",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1222
"2010-2014",2,"Eixample",10,"Sant Antoni",855
"2010-2014",3,"Sants-Montjuïc",11,"el Poble Sec",1195
"2010-2014",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",51
"2010-2014",3,"Sants-Montjuïc",13,"la Marina de Port",841
"2010-2014",3,"Sants-Montjuïc",14,"la Font de la Guatlla",222
"2010-2014",3,"Sants-Montjuïc",15,"Hostafrancs",379
"2010-2014",3,"Sants-Montjuïc",16,"la Bordeta",415
"2010-2014",3,"Sants-Montjuïc",17,"Sants - Badal",563
"2010-2014",3,"Sants-Montjuïc",18,"Sants",989
"2010-2014",4,"Les Corts",19,"les Corts",918
