"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitats","Nombre"
2019,10,"Sant Martí",65,"el Clot","Itàlia",0
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Itàlia",1
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Itàlia",0
2019,10,"Sant Martí",68,"el Poblenou","Itàlia",1
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Itàlia",1
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Itàlia",0
2019,10,"Sant Martí",71,"Provençals del Poblenou","Itàlia",1
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Itàlia",0
2019,10,"Sant Martí",73,"la Verneda i la Pau","Itàlia",0
2019,1,"Ciutat Vella",1,"el Raval","Veneçuela",0
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Veneçuela",1
2019,1,"Ciutat Vella",3,"la Barceloneta","Veneçuela",0
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Veneçuela",0
2019,2,"Eixample",5,"el Fort Pienc","Veneçuela",0
2019,2,"Eixample",6,"la Sagrada Família","Veneçuela",0
2019,2,"Eixample",7,"la Dreta de l'Eixample","Veneçuela",1
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Veneçuela",0
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Veneçuela",1
2019,2,"Eixample",10,"Sant Antoni","Veneçuela",0
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Veneçuela",1
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Veneçuela",0
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Veneçuela",0
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Veneçuela",0
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Veneçuela",1
2019,3,"Sants-Montjuïc",16,"la Bordeta","Veneçuela",0
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Veneçuela",0
2019,3,"Sants-Montjuïc",18,"Sants","Veneçuela",0
2019,4,"Les Corts",19,"les Corts","Veneçuela",1
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Veneçuela",0
2019,4,"Les Corts",21,"Pedralbes","Veneçuela",0
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Veneçuela",0
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Veneçuela",0
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Veneçuela",0
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Veneçuela",2
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Veneçuela",0
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Veneçuela",0
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Veneçuela",0
2019,6,"Gràcia",29,"el Coll","Veneçuela",0
2019,6,"Gràcia",30,"la Salut","Veneçuela",0
2019,6,"Gràcia",31,"la Vila de Gràcia","Veneçuela",1
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Veneçuela",0
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Veneçuela",2
2019,7,"Horta-Guinardó",34,"Can Baró","Veneçuela",1
2019,7,"Horta-Guinardó",35,"el Guinardó","Veneçuela",0
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Veneçuela",0
2019,7,"Horta-Guinardó",37,"el Carmel","Veneçuela",0
2019,7,"Horta-Guinardó",38,"la Teixonera","Veneçuela",0
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Veneçuela",0
2019,7,"Horta-Guinardó",40,"Montbau","Veneçuela",0
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Veneçuela",0
2019,7,"Horta-Guinardó",42,"la Clota","Veneçuela",0
2019,7,"Horta-Guinardó",43,"Horta","Veneçuela",1
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Veneçuela",1
2019,8,"Nou Barris",45,"Porta","Veneçuela",0
2019,8,"Nou Barris",46,"el Turó de la Peira","Veneçuela",0
2019,8,"Nou Barris",47,"Can Peguera","Veneçuela",0
2019,8,"Nou Barris",48,"la Guineueta","Veneçuela",0
2019,8,"Nou Barris",49,"Canyelles","Veneçuela",0
2019,8,"Nou Barris",50,"les Roquetes","Veneçuela",0
2019,8,"Nou Barris",51,"Verdun","Veneçuela",0
2019,8,"Nou Barris",52,"la Prosperitat","Veneçuela",0
2019,8,"Nou Barris",53,"la Trinitat Nova","Veneçuela",0
2019,8,"Nou Barris",54,"Torre Baró","Veneçuela",0
2019,8,"Nou Barris",55,"Ciutat Meridiana","Veneçuela",0
2019,8,"Nou Barris",56,"Vallbona","Veneçuela",0
2019,9,"Sant Andreu",57,"la Trinitat Vella","Veneçuela",0
2019,9,"Sant Andreu",58,"Baró de Viver","Veneçuela",0
2019,9,"Sant Andreu",59,"el Bon Pastor","Veneçuela",0
2019,9,"Sant Andreu",60,"Sant Andreu","Veneçuela",2
2019,9,"Sant Andreu",61,"la Sagrera","Veneçuela",2
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Veneçuela",1
2019,9,"Sant Andreu",63,"Navas","Veneçuela",0
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Veneçuela",0
2019,10,"Sant Martí",65,"el Clot","Veneçuela",0
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Veneçuela",0
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Veneçuela",0
2019,10,"Sant Martí",68,"el Poblenou","Veneçuela",3
