"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Edat_quinquennal","Nombre"
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Espanyola","90-94 anys",113
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Espanyola","90-94 anys",124
2020,2,"Eixample",5,"el Fort Pienc","Dona","Espanyola","90-94 anys",301
2020,2,"Eixample",6,"la Sagrada Família","Dona","Espanyola","90-94 anys",611
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Espanyola","90-94 anys",491
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Espanyola","90-94 anys",475
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Espanyola","90-94 anys",577
2020,2,"Eixample",10,"Sant Antoni","Dona","Espanyola","90-94 anys",439
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Espanyola","90-94 anys",287
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Espanyola","90-94 anys",7
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Espanyola","90-94 anys",185
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Espanyola","90-94 anys",113
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Espanyola","90-94 anys",123
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Espanyola","90-94 anys",177
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Espanyola","90-94 anys",213
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Espanyola","90-94 anys",351
2020,4,"Les Corts",19,"les Corts","Dona","Espanyola","90-94 anys",433
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Espanyola","90-94 anys",192
2020,4,"Les Corts",21,"Pedralbes","Dona","Espanyola","90-94 anys",124
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Espanyola","90-94 anys",26
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Espanyola","90-94 anys",315
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Espanyola","90-94 anys",184
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Espanyola","90-94 anys",274
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Espanyola","90-94 anys",500
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Espanyola","90-94 anys",267
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Espanyola","90-94 anys",155
2020,6,"Gràcia",29,"el Coll","Dona","Espanyola","90-94 anys",42
2020,6,"Gràcia",30,"la Salut","Dona","Espanyola","90-94 anys",143
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Espanyola","90-94 anys",548
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Espanyola","90-94 anys",357
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Espanyola","90-94 anys",368
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Espanyola","90-94 anys",87
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Espanyola","90-94 anys",326
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Espanyola","90-94 anys",80
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Espanyola","90-94 anys",208
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Espanyola","90-94 anys",84
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Espanyola","90-94 anys",74
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Espanyola","90-94 anys",110
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Espanyola","90-94 anys",62
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Espanyola","90-94 anys",5
2020,7,"Horta-Guinardó",43,"Horta","Dona","Espanyola","90-94 anys",283
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Espanyola","90-94 anys",290
2020,8,"Nou Barris",45,"Porta","Dona","Espanyola","90-94 anys",210
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Espanyola","90-94 anys",232
2020,8,"Nou Barris",47,"Can Peguera","Dona","Espanyola","90-94 anys",24
2020,8,"Nou Barris",48,"la Guineueta","Dona","Espanyola","90-94 anys",148
2020,8,"Nou Barris",49,"Canyelles","Dona","Espanyola","90-94 anys",48
2020,8,"Nou Barris",50,"les Roquetes","Dona","Espanyola","90-94 anys",80
2020,8,"Nou Barris",51,"Verdun","Dona","Espanyola","90-94 anys",96
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Espanyola","90-94 anys",199
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Espanyola","90-94 anys",81
2020,8,"Nou Barris",54,"Torre Baró","Dona","Espanyola","90-94 anys",11
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Espanyola","90-94 anys",41
2020,8,"Nou Barris",56,"Vallbona","Dona","Espanyola","90-94 anys",20
