"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Cap persona de 65 anys i més",11006
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Cap persona de 65 anys i més",7724
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Cap persona de 65 anys i més",4027
2020,6,"Gràcia",29,"el Coll","Cap persona de 65 anys i més",2011
2020,6,"Gràcia",30,"la Salut","Cap persona de 65 anys i més",3188
2020,6,"Gràcia",31,"la Vila de Gràcia","Cap persona de 65 anys i més",15762
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Cap persona de 65 anys i més",8998
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Cap persona de 65 anys i més",6431
2020,7,"Horta-Guinardó",34,"Can Baró","Cap persona de 65 anys i més",2410
2020,7,"Horta-Guinardó",35,"el Guinardó","Cap persona de 65 anys i més",9643
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Cap persona de 65 anys i més",2243
2020,7,"Horta-Guinardó",37,"el Carmel","Cap persona de 65 anys i més",7867
2020,7,"Horta-Guinardó",38,"la Teixonera","Cap persona de 65 anys i més",3113
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Cap persona de 65 anys i més",1680
2020,7,"Horta-Guinardó",40,"Montbau","Cap persona de 65 anys i més",1264
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Cap persona de 65 anys i més",1320
2020,7,"Horta-Guinardó",42,"la Clota","Cap persona de 65 anys i més",216
2020,7,"Horta-Guinardó",43,"Horta","Cap persona de 65 anys i més",6171
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Cap persona de 65 anys i més",6017
2020,8,"Nou Barris",45,"Porta","Cap persona de 65 anys i més",5891
2020,8,"Nou Barris",46,"el Turó de la Peira","Cap persona de 65 anys i més",3863
2020,8,"Nou Barris",47,"Can Peguera","Cap persona de 65 anys i més",535
2020,8,"Nou Barris",48,"la Guineueta","Cap persona de 65 anys i més",3183
2020,8,"Nou Barris",49,"Canyelles","Cap persona de 65 anys i més",1391
2020,8,"Nou Barris",50,"les Roquetes","Cap persona de 65 anys i més",3961
2020,8,"Nou Barris",51,"Verdun","Cap persona de 65 anys i més",3164
2020,8,"Nou Barris",52,"la Prosperitat","Cap persona de 65 anys i més",6181
2020,8,"Nou Barris",53,"la Trinitat Nova","Cap persona de 65 anys i més",1902
2020,8,"Nou Barris",54,"Torre Baró","Cap persona de 65 anys i més",668
2020,8,"Nou Barris",55,"Ciutat Meridiana","Cap persona de 65 anys i més",2414
2020,8,"Nou Barris",56,"Vallbona","Cap persona de 65 anys i més",349
2020,9,"Sant Andreu",57,"la Trinitat Vella","Cap persona de 65 anys i més",2428
2020,9,"Sant Andreu",58,"Baró de Viver","Cap persona de 65 anys i més",660
2020,9,"Sant Andreu",59,"el Bon Pastor","Cap persona de 65 anys i més",2924
2020,9,"Sant Andreu",60,"Sant Andreu","Cap persona de 65 anys i més",14782
2020,9,"Sant Andreu",61,"la Sagrera","Cap persona de 65 anys i més",6863
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Cap persona de 65 anys i més",3632
2020,9,"Sant Andreu",63,"Navas","Cap persona de 65 anys i més",5266
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Cap persona de 65 anys i més",10071
2020,10,"Sant Martí",65,"el Clot","Cap persona de 65 anys i més",6786
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Cap persona de 65 anys i més",4137
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Cap persona de 65 anys i més",2482
2020,10,"Sant Martí",68,"el Poblenou","Cap persona de 65 anys i més",9718
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Cap persona de 65 anys i més",3912
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Cap persona de 65 anys i més",5270
2020,10,"Sant Martí",71,"Provençals del Poblenou","Cap persona de 65 anys i més",5607
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Cap persona de 65 anys i més",5880
2020,10,"Sant Martí",73,"la Verneda i la Pau","Cap persona de 65 anys i més",6181
2020,1,"Ciutat Vella",1,"el Raval","1 persona",3276
2020,1,"Ciutat Vella",2,"el Barri Gòtic","1 persona",1198
2020,1,"Ciutat Vella",3,"la Barceloneta","1 persona",1454
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1 persona",1833
2020,2,"Eixample",5,"el Fort Pienc","1 persona",3143
2020,2,"Eixample",6,"la Sagrada Família","1 persona",5588
2020,2,"Eixample",7,"la Dreta de l'Eixample","1 persona",4476
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1 persona",4561
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1 persona",6461
2020,2,"Eixample",10,"Sant Antoni","1 persona",4159
2020,3,"Sants-Montjuïc",11,"el Poble Sec","1 persona",3500
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1 persona",135
2020,3,"Sants-Montjuïc",13,"la Marina de Port","1 persona",3013
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","1 persona",1082
2020,3,"Sants-Montjuïc",15,"Hostafrancs","1 persona",1424
2020,3,"Sants-Montjuïc",16,"la Bordeta","1 persona",1881
2020,3,"Sants-Montjuïc",17,"Sants - Badal","1 persona",2439
2020,3,"Sants-Montjuïc",18,"Sants","1 persona",4099
2020,4,"Les Corts",19,"les Corts","1 persona",5214
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","1 persona",2675
2020,4,"Les Corts",21,"Pedralbes","1 persona",1206
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","1 persona",329
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","1 persona",2189
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","1 persona",1435
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","1 persona",2483
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","1 persona",5223
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","1 persona",3081
2020,6,"Gràcia",28,"Vallcarca i els Penitents","1 persona",1653
2020,6,"Gràcia",29,"el Coll","1 persona",749
2020,6,"Gràcia",30,"la Salut","1 persona",1414
2020,6,"Gràcia",31,"la Vila de Gràcia","1 persona",4989
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","1 persona",3799
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","1 persona",2833
2020,7,"Horta-Guinardó",34,"Can Baró","1 persona",955
2020,7,"Horta-Guinardó",35,"el Guinardó","1 persona",3756
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","1 persona",864
2020,7,"Horta-Guinardó",37,"el Carmel","1 persona",3055
2020,7,"Horta-Guinardó",38,"la Teixonera","1 persona",1079
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","1 persona",839
2020,7,"Horta-Guinardó",40,"Montbau","1 persona",590
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","1 persona",629
2020,7,"Horta-Guinardó",42,"la Clota","1 persona",50
2020,7,"Horta-Guinardó",43,"Horta","1 persona",2696
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","1 persona",2804
2020,8,"Nou Barris",45,"Porta","1 persona",2696
2020,8,"Nou Barris",46,"el Turó de la Peira","1 persona",1757
2020,8,"Nou Barris",47,"Can Peguera","1 persona",300
2020,8,"Nou Barris",48,"la Guineueta","1 persona",1784
2020,8,"Nou Barris",49,"Canyelles","1 persona",855
2020,8,"Nou Barris",50,"les Roquetes","1 persona",1276
2020,8,"Nou Barris",51,"Verdun","1 persona",1291
2020,8,"Nou Barris",52,"la Prosperitat","1 persona",2798
2020,8,"Nou Barris",53,"la Trinitat Nova","1 persona",793
2020,8,"Nou Barris",54,"Torre Baró","1 persona",221
2020,8,"Nou Barris",55,"Ciutat Meridiana","1 persona",815
2020,8,"Nou Barris",56,"Vallbona","1 persona",100
2020,9,"Sant Andreu",57,"la Trinitat Vella","1 persona",719
2020,9,"Sant Andreu",58,"Baró de Viver","1 persona",251
2020,9,"Sant Andreu",59,"el Bon Pastor","1 persona",1010
2020,9,"Sant Andreu",60,"Sant Andreu","1 persona",5494
2020,9,"Sant Andreu",61,"la Sagrera","1 persona",2933
2020,9,"Sant Andreu",62,"el Congrés i els Indians","1 persona",1586
2020,9,"Sant Andreu",63,"Navas","1 persona",2371
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","1 persona",4026
2020,10,"Sant Martí",65,"el Clot","1 persona",2503
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","1 persona",1506
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","1 persona",657
2020,10,"Sant Martí",68,"el Poblenou","1 persona",2659
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","1 persona",851
2020,10,"Sant Martí",70,"el Besòs i el Maresme","1 persona",2106
2020,10,"Sant Martí",71,"Provençals del Poblenou","1 persona",1774
2020,10,"Sant Martí",72,"Sant Martí de Provençals","1 persona",2916
2020,10,"Sant Martí",73,"la Verneda i la Pau","1 persona",3064
2020,1,"Ciutat Vella",1,"el Raval","2 persones",924
2020,1,"Ciutat Vella",2,"el Barri Gòtic","2 persones",363
