"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2008-2012",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",86.4
"2008-2012",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",87.8
"2008-2012",6,"Gràcia",28,"Vallcarca i els Penitents",86.4
"2008-2012",6,"Gràcia",29,"el Coll",88.2
"2008-2012",6,"Gràcia",30,"la Salut",84.4
"2008-2012",6,"Gràcia",31,"la Vila de Gràcia",85.4
"2008-2012",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",87.6
"2008-2012",7,"Horta-Guinardó",33,"el Baix Guinardó",86.8
"2008-2012",7,"Horta-Guinardó",34,"Can Baró",86.0
"2008-2012",7,"Horta-Guinardó",35,"el Guinardó",87.0
"2008-2012",7,"Horta-Guinardó",36,"la Font d'en Fargues",85.6
"2008-2012",7,"Horta-Guinardó",37,"el Carmel",87.2
"2008-2012",7,"Horta-Guinardó",38,"la Teixonera",85.0
"2008-2012",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",84.6
"2008-2012",7,"Horta-Guinardó",40,"Montbau",81.9
"2008-2012",7,"Horta-Guinardó",41,"la Vall d'Hebron",86.0
"2008-2012",7,"Horta-Guinardó",42,"la Clota",""
"2008-2012",7,"Horta-Guinardó",43,"Horta",85.5
"2008-2012",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",87.2
"2008-2012",8,"Nou Barris",45,"Porta",86.5
"2008-2012",8,"Nou Barris",46,"el Turó de la Peira",88.0
"2008-2012",8,"Nou Barris",47,"Can Peguera",80.3
"2008-2012",8,"Nou Barris",48,"la Guineueta",86.1
"2008-2012",8,"Nou Barris",49,"Canyelles",85.9
"2008-2012",8,"Nou Barris",50,"les Roquetes",85.9
"2008-2012",8,"Nou Barris",51,"Verdun",86.9
"2008-2012",8,"Nou Barris",52,"la Prosperitat",87.4
"2008-2012",8,"Nou Barris",53,"la Trinitat Nova",84.1
"2008-2012",8,"Nou Barris",54,"Torre Baró",81.6
"2008-2012",8,"Nou Barris",55,"Ciutat Meridiana",85.7
"2008-2012",8,"Nou Barris",56,"Vallbona",""
"2008-2012",9,"Sant Andreu",57,"la Trinitat Vella",86.3
"2008-2012",9,"Sant Andreu",58,"Baró de Viver",""
"2008-2012",9,"Sant Andreu",59,"el Bon Pastor",85.6
"2008-2012",9,"Sant Andreu",60,"Sant Andreu",86.7
"2008-2012",9,"Sant Andreu",61,"la Sagrera",87.3
"2008-2012",9,"Sant Andreu",62,"el Congrés i els Indians",87.8
"2008-2012",9,"Sant Andreu",63,"Navas",87.6
"2008-2012",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",87.2
"2008-2012",10,"Sant Martí",65,"el Clot",87.2
"2008-2012",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",85.6
"2008-2012",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",88.0
"2008-2012",10,"Sant Martí",68,"el Poblenou",86.1
"2008-2012",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",87.4
"2008-2012",10,"Sant Martí",70,"el Besòs i el Maresme",85.5
"2008-2012",10,"Sant Martí",71,"Provençals del Poblenou",86.5
"2008-2012",10,"Sant Martí",72,"Sant Martí de Provençals",86.2
"2008-2012",10,"Sant Martí",73,"la Verneda i la Pau",85.7
"2009-2013",1,"Ciutat Vella",1,"el Raval",84.9
"2009-2013",1,"Ciutat Vella",2,"el Barri Gòtic",87.5
"2009-2013",1,"Ciutat Vella",3,"la Barceloneta",86.3
"2009-2013",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85.5
"2009-2013",2,"Eixample",5,"el Fort Pienc",87.7
"2009-2013",2,"Eixample",6,"la Sagrada Família",85.1
"2009-2013",2,"Eixample",7,"la Dreta de l'Eixample",85.7
"2009-2013",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",85.8
"2009-2013",2,"Eixample",9,"la Nova Esquerra de l'Eixample",87.0
"2009-2013",2,"Eixample",10,"Sant Antoni",86.0
"2009-2013",3,"Sants-Montjuïc",11,"el Poble Sec",88.2
"2009-2013",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",""
"2009-2013",3,"Sants-Montjuïc",13,"la Marina de Port",88.1
"2009-2013",3,"Sants-Montjuïc",14,"la Font de la Guatlla",88.4
"2009-2013",3,"Sants-Montjuïc",15,"Hostafrancs",81.7
"2009-2013",3,"Sants-Montjuïc",16,"la Bordeta",86.9
"2009-2013",3,"Sants-Montjuïc",17,"Sants - Badal",87.8
"2009-2013",3,"Sants-Montjuïc",18,"Sants",86.5
"2009-2013",4,"Les Corts",19,"les Corts",86.8
"2009-2013",4,"Les Corts",20,"la Maternitat i Sant Ramon",87.8
"2009-2013",4,"Les Corts",21,"Pedralbes",86.0
"2009-2013",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",88.5
"2009-2013",5,"Sarrià-Sant Gervasi",23,"Sarrià",84.8
"2009-2013",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",85.1
"2009-2013",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",85.7
"2009-2013",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",87.7
"2009-2013",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",86.6
"2009-2013",6,"Gràcia",28,"Vallcarca i els Penitents",86.0
"2009-2013",6,"Gràcia",29,"el Coll",87.6
