"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2005-2009",7,"Horta-Guinardó",43,"Horta",22.5
"2005-2009",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",23.6
"2005-2009",8,"Nou Barris",45,"Porta",19.7
"2005-2009",8,"Nou Barris",46,"el Turó de la Peira",19.1
"2005-2009",8,"Nou Barris",47,"Can Peguera",14.9
"2005-2009",8,"Nou Barris",48,"la Guineueta",22.9
"2005-2009",8,"Nou Barris",49,"Canyelles",17.4
"2005-2009",8,"Nou Barris",50,"les Roquetes",18.5
"2005-2009",8,"Nou Barris",51,"Verdun",20.4
"2005-2009",8,"Nou Barris",52,"la Prosperitat",19.1
"2005-2009",8,"Nou Barris",53,"la Trinitat Nova",18.5
"2005-2009",8,"Nou Barris",54,"Torre Baró",11.6
"2005-2009",8,"Nou Barris",55,"Ciutat Meridiana",16.5
"2005-2009",8,"Nou Barris",56,"Vallbona",30.7
"2005-2009",9,"Sant Andreu",57,"la Trinitat Vella",25.2
"2005-2009",9,"Sant Andreu",58,"Baró de Viver",17.5
"2005-2009",9,"Sant Andreu",59,"el Bon Pastor",28.5
"2005-2009",9,"Sant Andreu",60,"Sant Andreu",25.0
"2005-2009",9,"Sant Andreu",61,"la Sagrera",19.2
"2005-2009",9,"Sant Andreu",62,"el Congrés i els Indians",21.8
"2005-2009",9,"Sant Andreu",63,"Navas",21.5
"2005-2009",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",23.8
"2005-2009",10,"Sant Martí",65,"el Clot",27.8
"2005-2009",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",22.5
"2005-2009",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",33.6
"2005-2009",10,"Sant Martí",68,"el Poblenou",33.9
"2005-2009",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",45.6
"2005-2009",10,"Sant Martí",70,"el Besòs i el Maresme",15.3
"2005-2009",10,"Sant Martí",71,"Provençals del Poblenou",22.5
"2005-2009",10,"Sant Martí",72,"Sant Martí de Provençals",23.2
"2005-2009",10,"Sant Martí",73,"la Verneda i la Pau",18.0
"2006-2010",1,"Ciutat Vella",1,"el Raval",24.0
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",15.4
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",19.7
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",26.4
"2006-2010",2,"Eixample",5,"el Fort Pienc",24.3
"2006-2010",2,"Eixample",6,"la Sagrada Família",23.4
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",31.0
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29.2
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",25.8
"2006-2010",2,"Eixample",10,"Sant Antoni",24.0
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",21.7
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",21.2
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",21.9
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",22.5
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",22.0
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",23.1
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",19.0
"2006-2010",3,"Sants-Montjuïc",18,"Sants",23.4
"2006-2010",4,"Les Corts",19,"les Corts",25.9
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",22.8
"2006-2010",4,"Les Corts",21,"Pedralbes",30.0
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",34.2
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",30.3
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",35.7
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",34.6
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",33.1
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",31.5
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",33.7
"2006-2010",6,"Gràcia",29,"el Coll",32.0
"2006-2010",6,"Gràcia",30,"la Salut",30.9
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",28.0
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",28.7
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",22.0
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",26.7
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",26.0
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",31.4
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",21.1
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",21.8
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",19.0
"2006-2010",7,"Horta-Guinardó",40,"Montbau",31.5
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",25.8
"2006-2010",7,"Horta-Guinardó",42,"la Clota",27.7
"2006-2010",7,"Horta-Guinardó",43,"Horta",23.4
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",22.7
"2006-2010",8,"Nou Barris",45,"Porta",22.2
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",19.7
"2006-2010",8,"Nou Barris",47,"Can Peguera",14.9
"2006-2010",8,"Nou Barris",48,"la Guineueta",22.9
"2006-2010",8,"Nou Barris",49,"Canyelles",20.8
"2006-2010",8,"Nou Barris",50,"les Roquetes",19.0
"2006-2010",8,"Nou Barris",51,"Verdun",18.9
"2006-2010",8,"Nou Barris",52,"la Prosperitat",20.5
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",18.5
"2006-2010",8,"Nou Barris",54,"Torre Baró",14.1
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",17.7
"2006-2010",8,"Nou Barris",56,"Vallbona",29.3
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",25.0
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",19.6
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",32.1
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",26.8
"2006-2010",9,"Sant Andreu",61,"la Sagrera",20.9
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",22.1
"2006-2010",9,"Sant Andreu",63,"Navas",24.5
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",24.7
"2006-2010",10,"Sant Martí",65,"el Clot",29.0
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",25.5
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",33.0
"2006-2010",10,"Sant Martí",68,"el Poblenou",33.6
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",45.6
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",16.7
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",22.9
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",22.2
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",19.2
"2007-2011",1,"Ciutat Vella",1,"el Raval",26.0
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",18.2
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",19.3
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",29.3
"2007-2011",2,"Eixample",5,"el Fort Pienc",26.1
"2007-2011",2,"Eixample",6,"la Sagrada Família",25.6
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",35.0
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",30.9
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",28.1
"2007-2011",2,"Eixample",10,"Sant Antoni",27.0
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",24.4
"2007-2011",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",26.4
"2007-2011",3,"Sants-Montjuïc",13,"la Marina de Port",23.8
"2007-2011",3,"Sants-Montjuïc",14,"la Font de la Guatlla",24.9
"2007-2011",3,"Sants-Montjuïc",15,"Hostafrancs",24.7
"2007-2011",3,"Sants-Montjuïc",16,"la Bordeta",27.6
