"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Lloc_de_naixement","Nombre"
2020,7,"Horta-Guinardó",43,"Horta","Dona","Resta Catalunya",908
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Resta Catalunya",899
2020,8,"Nou Barris",45,"Porta","Dona","Resta Catalunya",720
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Resta Catalunya",394
2020,8,"Nou Barris",47,"Can Peguera","Dona","Resta Catalunya",42
2020,8,"Nou Barris",48,"la Guineueta","Dona","Resta Catalunya",471
2020,8,"Nou Barris",49,"Canyelles","Dona","Resta Catalunya",179
2020,8,"Nou Barris",50,"les Roquetes","Dona","Resta Catalunya",293
2020,8,"Nou Barris",51,"Verdun","Dona","Resta Catalunya",269
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Resta Catalunya",653
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Resta Catalunya",176
2020,8,"Nou Barris",54,"Torre Baró","Dona","Resta Catalunya",95
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Resta Catalunya",218
2020,8,"Nou Barris",56,"Vallbona","Dona","Resta Catalunya",51
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Resta Catalunya",200
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Resta Catalunya",119
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Resta Catalunya",495
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Resta Catalunya",2369
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Resta Catalunya",1006
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Resta Catalunya",519
2020,9,"Sant Andreu",63,"Navas","Dona","Resta Catalunya",781
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Resta Catalunya",1547
2020,10,"Sant Martí",65,"el Clot","Dona","Resta Catalunya",969
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Resta Catalunya",591
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Resta Catalunya",474
2020,10,"Sant Martí",68,"el Poblenou","Dona","Resta Catalunya",1263
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Resta Catalunya",538
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Resta Catalunya",586
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Resta Catalunya",743
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Resta Catalunya",896
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Resta Catalunya",928
2020,1,"Ciutat Vella",1,"el Raval","Dona","Andalusia",544
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Andalusia",203
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Andalusia",394
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Andalusia",332
2020,2,"Eixample",5,"el Fort Pienc","Dona","Andalusia",523
2020,2,"Eixample",6,"la Sagrada Família","Dona","Andalusia",889
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Andalusia",523
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Andalusia",560
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Andalusia",859
2020,2,"Eixample",10,"Sant Antoni","Dona","Andalusia",604
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Andalusia",662
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Andalusia",26
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Andalusia",1076
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Andalusia",240
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Andalusia",268
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Andalusia",490
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Andalusia",641
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Andalusia",721
2020,4,"Les Corts",19,"les Corts","Dona","Andalusia",723
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Andalusia",581
2020,4,"Les Corts",21,"Pedralbes","Dona","Andalusia",137
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Andalusia",56
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Andalusia",219
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Andalusia",118
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Andalusia",251
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Andalusia",394
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Andalusia",287
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Andalusia",285
2020,6,"Gràcia",29,"el Coll","Dona","Andalusia",179
2020,6,"Gràcia",30,"la Salut","Dona","Andalusia",237
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Andalusia",707
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Andalusia",553
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Andalusia",572
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Andalusia",348
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Andalusia",785
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Andalusia",270
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Andalusia",2039
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Andalusia",584
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Andalusia",308
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Andalusia",158
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Andalusia",175
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Andalusia",18
2020,7,"Horta-Guinardó",43,"Horta","Dona","Andalusia",962
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Andalusia",790
2020,8,"Nou Barris",45,"Porta","Dona","Andalusia",1020
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Andalusia",473
2020,8,"Nou Barris",47,"Can Peguera","Dona","Andalusia",88
2020,8,"Nou Barris",48,"la Guineueta","Dona","Andalusia",714
2020,8,"Nou Barris",49,"Canyelles","Dona","Andalusia",461
2020,8,"Nou Barris",50,"les Roquetes","Dona","Andalusia",933
2020,8,"Nou Barris",51,"Verdun","Dona","Andalusia",669
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Andalusia",1468
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Andalusia",300
2020,8,"Nou Barris",54,"Torre Baró","Dona","Andalusia",143
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Andalusia",486
2020,8,"Nou Barris",56,"Vallbona","Dona","Andalusia",73
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Andalusia",458
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Andalusia",87
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Andalusia",438
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Andalusia",1875
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Andalusia",829
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Andalusia",307
2020,9,"Sant Andreu",63,"Navas","Dona","Andalusia",521
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Andalusia",766
2020,10,"Sant Martí",65,"el Clot","Dona","Andalusia",628
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Andalusia",352
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Andalusia",107
2020,10,"Sant Martí",68,"el Poblenou","Dona","Andalusia",536
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Andalusia",285
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Andalusia",916
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Andalusia",595
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Andalusia",1016
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Andalusia",1459
2020,1,"Ciutat Vella",1,"el Raval","Dona","Aragó",210
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Aragó",85
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Aragó",61
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Aragó",143
2020,2,"Eixample",5,"el Fort Pienc","Dona","Aragó",387
