"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,8,"Nou Barris",47,"Can Peguera","1 persona",343
2020,8,"Nou Barris",48,"la Guineueta","1 persona",1530
2020,8,"Nou Barris",49,"Canyelles","1 persona",724
2020,8,"Nou Barris",50,"les Roquetes","1 persona",1625
2020,8,"Nou Barris",51,"Verdun","1 persona",1474
2020,8,"Nou Barris",52,"la Prosperitat","1 persona",2746
2020,8,"Nou Barris",53,"la Trinitat Nova","1 persona",869
2020,8,"Nou Barris",54,"Torre Baró","1 persona",270
2020,8,"Nou Barris",55,"Ciutat Meridiana","1 persona",908
2020,8,"Nou Barris",56,"Vallbona","1 persona",163
2020,9,"Sant Andreu",57,"la Trinitat Vella","1 persona",924
2020,9,"Sant Andreu",58,"Baró de Viver","1 persona",295
2020,9,"Sant Andreu",59,"el Bon Pastor","1 persona",1161
2020,9,"Sant Andreu",60,"Sant Andreu","1 persona",6546
2020,9,"Sant Andreu",61,"la Sagrera","1 persona",3225
2020,9,"Sant Andreu",62,"el Congrés i els Indians","1 persona",1624
2020,9,"Sant Andreu",63,"Navas","1 persona",2345
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","1 persona",4802
2020,10,"Sant Martí",65,"el Clot","1 persona",2973
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","1 persona",1927
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","1 persona",1001
2020,10,"Sant Martí",68,"el Poblenou","1 persona",4087
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","1 persona",1650
2020,10,"Sant Martí",70,"el Besòs i el Maresme","1 persona",2168
2020,10,"Sant Martí",71,"Provençals del Poblenou","1 persona",2270
2020,10,"Sant Martí",72,"Sant Martí de Provençals","1 persona",2827
2020,10,"Sant Martí",73,"la Verneda i la Pau","1 persona",2903
2020,1,"Ciutat Vella",1,"el Raval","2 persones",4907
2020,1,"Ciutat Vella",2,"el Barri Gòtic","2 persones",1911
2020,1,"Ciutat Vella",3,"la Barceloneta","2 persones",1996
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","2 persones",2984
2020,2,"Eixample",5,"el Fort Pienc","2 persones",3714
2020,2,"Eixample",6,"la Sagrada Família","2 persones",6041
2020,2,"Eixample",7,"la Dreta de l'Eixample","2 persones",5380
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","2 persones",5083
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","2 persones",6741
2020,2,"Eixample",10,"Sant Antoni","2 persones",4474
2020,3,"Sants-Montjuïc",11,"el Poble Sec","2 persones",4445
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","2 persones",118
2020,3,"Sants-Montjuïc",13,"la Marina de Port","2 persones",3475
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","2 persones",1140
2020,3,"Sants-Montjuïc",15,"Hostafrancs","2 persones",1987
2020,3,"Sants-Montjuïc",16,"la Bordeta","2 persones",2442
2020,3,"Sants-Montjuïc",17,"Sants - Badal","2 persones",2783
