"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona",18865
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona",13930
2019,7,"Horta-Guinardó",34,"Can Baró","Dona",4864
2019,7,"Horta-Guinardó",35,"el Guinardó","Dona",19699
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona",4994
2019,7,"Horta-Guinardó",37,"el Carmel","Dona",16842
2019,7,"Horta-Guinardó",38,"la Teixonera","Dona",6102
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona",3849
2019,7,"Horta-Guinardó",40,"Montbau","Dona",2805
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona",3057
2019,7,"Horta-Guinardó",42,"la Clota","Dona",329
2019,7,"Horta-Guinardó",43,"Horta","Dona",14581
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona",13942
2019,8,"Nou Barris",45,"Porta","Dona",14154
2019,8,"Nou Barris",46,"el Turó de la Peira","Dona",8451
2019,8,"Nou Barris",47,"Can Peguera","Dona",1212
2019,8,"Nou Barris",48,"la Guineueta","Dona",8309
2019,8,"Nou Barris",49,"Canyelles","Dona",3610
2019,8,"Nou Barris",50,"les Roquetes","Dona",8394
2019,8,"Nou Barris",51,"Verdun","Dona",6690
2019,8,"Nou Barris",52,"la Prosperitat","Dona",14192
2019,8,"Nou Barris",53,"la Trinitat Nova","Dona",3960
2019,8,"Nou Barris",54,"Torre Baró","Dona",1450
2019,8,"Nou Barris",55,"Ciutat Meridiana","Dona",5549
2019,8,"Nou Barris",56,"Vallbona","Dona",723
2019,9,"Sant Andreu",57,"la Trinitat Vella","Dona",5038
2019,9,"Sant Andreu",58,"Baró de Viver","Dona",1334
2019,9,"Sant Andreu",59,"el Bon Pastor","Dona",6642
2019,9,"Sant Andreu",60,"Sant Andreu","Dona",30517
2019,9,"Sant Andreu",61,"la Sagrera","Dona",15628
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Dona",7759
2019,9,"Sant Andreu",63,"Navas","Dona",11815
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona",20543
2019,10,"Sant Martí",65,"el Clot","Dona",14110
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona",8006
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona",4729
2019,10,"Sant Martí",68,"el Poblenou","Dona",17494
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona",6884
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Dona",12080
2019,10,"Sant Martí",71,"Provençals del Poblenou","Dona",10954
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Dona",13844
2019,10,"Sant Martí",73,"la Verneda i la Pau","Dona",15078
2019,1,"Ciutat Vella",1,"el Raval","Home",25545
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Home",10498
2019,1,"Ciutat Vella",3,"la Barceloneta","Home",7433
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home",11327
2019,2,"Eixample",5,"el Fort Pienc","Home",15329
2019,2,"Eixample",6,"la Sagrada Família","Home",23563
2019,2,"Eixample",7,"la Dreta de l'Eixample","Home",20278
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home",19799
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home",26942
2019,2,"Eixample",10,"Sant Antoni","Home",18159
