"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_tipus_propietari","Concepte","Valor"
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"Subjecte físic","Valor_cadastral",41377842.16
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"Subjecte jurídic","Valor_cadastral",13963560.25
2020,1,"Ciutat Vella",3,"la Barceloneta",37,"Altres","Valor_cadastral",112156.4
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"Subjecte físic","Valor_cadastral",41063293.16
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"Subjecte jurídic","Valor_cadastral",7845516.95
2020,1,"Ciutat Vella",3,"la Barceloneta",38,"Altres","Valor_cadastral",85726.48
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"Subjecte físic","Valor_cadastral",50451894.33
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"Subjecte jurídic","Valor_cadastral",13886181.47
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"Comunitat de propietaris","Valor_cadastral",22223.08
2020,1,"Ciutat Vella",3,"la Barceloneta",39,"Altres","Valor_cadastral",2950069.25
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"Subjecte físic","Valor_cadastral",42719769.75
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"Subjecte jurídic","Valor_cadastral",15837318.75
2020,1,"Ciutat Vella",3,"la Barceloneta",40,"Altres","Valor_cadastral",553719.98
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"Subjecte físic","Valor_cadastral",45016610.21
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"Subjecte jurídic","Valor_cadastral",11463803.28
2020,1,"Ciutat Vella",3,"la Barceloneta",41,"Altres","Valor_cadastral",1409640.07
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"Subjecte físic","Valor_cadastral",72709270.26
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"Subjecte jurídic","Valor_cadastral",42484501.51
2020,1,"Ciutat Vella",3,"la Barceloneta",42,"Altres","Valor_cadastral",1202840.33
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Subjecte físic","Valor_cadastral",96636833.71
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Subjecte jurídic","Valor_cadastral",272166606.24
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Altres","Valor_cadastral",306134.0
