"Codi_Senyal","Descripció_Senyal"
"A-57","Aproximación a Parquing Autobuses - Recta"
"A-57_Picto","Itinerario de Aproximación a Parquing"
"A-58","Aproximación a Parquing Autobuses - Dreta"
"A-59","Aproximación a Parquing Autobuses - Esquerra"
"A-59_AEsquerra","Aproximación a Parquing Autobuses"
"A-59_Esquerra","Aproximación a Parquing Autobuses"
"A-5a","Aparcament Autoritzat - Autocars"
"A-5b","Aparcament Autoritzat - Autocars"
"A-5c","Aparcament Autoritzat - Autocars"
"A-6","Aparcament Autoritzat - Autocars Zona Bus"
"A-6_ZonaBus","Zona Bus"
"A-60","Pàrquing d'autocaravanes, camions i autocars - Recta"
"A-61","Pàrquing d'autocaravanes, camions i autocars - Dreta"
"A-62","Pàrquing d'autocaravanes, camions i autocars - Esquerra"
"A-62_CaravD","Estacionamiento Autocaravanas"
"A-62_CaravF","Estacionamiento Autocaravanas"
"A-62_CaravI","Estacionamiento Autocaravanas"
"A-6a","Aparcament Autoritzat - Autocars amb horari Zona Bus"
"A-7","Aparcamiento Bicicletas"
"A-8","Aparcament Autoritzat"
"A-9","Aparcament Autoritzat"
"A-9a","Aparcament Autoritzat"
"A-9b","Aparcament Autoritzat"
"AccesBicing1","Accés a estació Bicing en xamfrà 1"
"AccesBicing2","Accés a estació Bicing en xamfrà 1"
"AccesBicing3","Accés a estació Bicing en xamfrà 3"
"AltresD","Prohibit els altres dies"
"AltresH","Prohibit els altres horaris"
"Altresm","Prohibit els altres mesos"
"AREVI","Área de Peatones"
"ATCAM","Atenció camions 3.5 t prohibit girar dreta"
"B-1","Carril reservado para autobuses"
"B-11","Reserves de parada"
"B-11a","Reserva Bus"
"B-11b","Reserva Bus"
"B-11c","Reserves de parada"
"B-12a","Reserva Bus con Logo"
"B-12b","Reserva  Bus con Logo"
"B-13a","Parada Taxi Fletxa Esquerra"
"B-13b","Parada Taxi Fletxa Dreta"
"B-14","Reserva de Taxis"
"B-14a","Reserva de Taxis"
"B-14b","Reserva de Taxis"
"B-15","Parada taxi elèctric"
"B-16a","Reserva per obres"
"B-16b","Reserva per obres"
"B-21","Carga y Descarga LV 8-14h"
"B-21_OLD","Carga y Descarga LV 8-14h"
"B-22","Carga y Descarga LV 8-20h"
"B-22_OLD","Carga y Descarga LV 8-20h"
"B-23","Carga y Descarga LV 8-20h S 8-14h"
"B-23_OLD","Carga y Descarga LV 8-20h S 8-14h"
"B-24","Carga y Descarga LS 8-14h"
"B-24_OLD","Carga y Descarga LS 8-14h"
"B-25","Carga y Descarga LS 8-20h"
"B-25_OLD","Carga y Descarga LS 8-20h"
"B-26","Carga y Descarga Altres Horaris"
"B-27a","Carga y Descarga LS 8-11 i 15-17h"
"B-28","Vehicles elèctrics"
"B2A","Panel Direccional Largo Izquierda"
"B-2a","Carril reservado para autobuses"
"B2AR","Panel Direccional Largo Izquierda Rojo"
"B2B","Panel Direccional Largo Derecha"
"B-2b","Carril reservado para autobuses"
"B2BR","Panel Direccional Largo Derecha Rojo"
"B2C","Panel Direccional Corto Izquierda"
"B-2c","Carril reservado para autobuses"
"B2D","Panel Direccional Corto Derecha"
"B-2d","Carril reservado para autobuses"
"B-2e","Carril reservado para autobuses"
"B-2f","Carril reservado para autobuses"
"B3_Genèric","Carril Reservado Bus - Taxi"
"B3_Genèric2","Carril Reservado Bus - Taxi"
"B-31","Reserva Carga y Descarga"
"B-31a","Reserva Carga y Descarga"
"B-31b","Reserva Carga y Descarga"
"B-32","Reserva Carga y Descarga"
"B-32a","Reserva Carga y Descarga"
"B-32b","Reserva Carga y Descarga"
"B-33","Reserva Carga y Descarga"
"B-33a","Reserva Carga y Descarga"
"B-33b","Reserva Carga y Descarga"
"B-34","Reserva Carga y Descarga"
"B-34a","Reserva Carga y Descarga"
"B-34b","Reserva Carga y Descarga"
"B-35","Reserva Carga y Descarga"
"B-35a","Reserva Carga y Descarga"
"B-35b","Reserva Carga y Descarga"
"B-36","Reserva Carga y Descarga"
"B-36a","Reserva Carga y Descarga"
"B-36b","Reserva Carga y Descarga"
"B-37","Reserva Carga y Descarga"
"B-37a","Reserva Carga y Descarga"
"B-37b","Reserva Carga y Descarga"
"B-3a","Carril Reservado Bus - Taxi - Dill.-Div. 7-22h"
"B-3b","Carril Reservado Bus - Taxi - Dill.-Div. 7-22h Inclús motos"
"B-40","Zona d'access restringit"
"B-41","Control de radar 50km/h"
"B-41_30","Control de radar 30 Km/h"
"B-42","Radar tram"
"B-42a","Radar"
"B-43","Final radar tram"
"B-44","Carrils centrals reversibles"
"B-45","Zona avançada per a motos"
"B-46","Zona escolar"
"B-47","Carrer amb sortida per vianants i bicicletess"
"B-47_OBSOLET","Carrer amb sortida per vianants i bicicletess"
"B-47a","Carrer amb sortida per vianants i bicicletess"
"B-48","Zona sensible"
"B-49","Plaqueta de numeració de carrer"
"B-49_Bici-Cotxe","Plaqueta de numeració de carrer"
"B-4a","Carril Reservado Bus - Taxi"
"B-4b","Carril Reservado Bus - Taxi"
"B-50","Atenció vianants: autobus"
"B-51","Atenció vianants: tramvia"
"B-52","Control de matrícules"
"B-53a","Càmera de trànsit"
"B-53b","Càmera de trànsit"
"B-54","Fitó automàtic"
"B-55a","Control Fotogràfic"
"B-55b","Control fotogràfic Diàmetre 40cm"
"B-56","Camí reservat per a bicicletes i vianants"
"B-57","Punt verd mòbil"
"B-5a","Multiús"
"B-5a2","Multiús"
"B-5b","Multiús"
"B-60a","Àrea de vianants"
"B-60b","Àrea de vianants"
"B-60c","Àrea de vianants"
"B-60d","Àrea de vianants"
"B-60e","Àrea de vianants"
"B-60f","Àrea de vianants"
"B-80","Carril Bici Recto"
"B-81a","Carril Bici Curva Izquierda"
"B-81b","Carril Bici Izquierda"
"B-82a","Carril Bici Curva Derecha"
"B-82b","Carril Bici Derecha"
"B-83a","Carril Bici Recto e Izquierda"
"B-83b","Carril Bici Recto y Derecha"
"B-84","Carril Bici Curvas Izquierda y Derecha"
"B-85a","Carril Bici"
