"Codi_Senyal","Descripció_Senyal"
"S-61b","Bifurcación hacia la derecha en calzada de tres carriles"
"S-62","Bifurcación hacia la izquierda en calzada de tres carriles"
"S-62b","Bifurcación hacia la derecha en calzada de cuatro carriles"
"S-63","Bifurcación en calzada de cuatro carriles"
"S-7_100","Velocidad máxima aconsejada"
"S-7_30","Velocidad máxima aconsejada"
"S-7_40","Velocidad máxima aconsejada"
"S-7_50","Velocidad máxima aconsejada"
"S-7_60","Velocidad máxima aconsejada"
"S-7_70","Velocidad máxima aconsejada"
"S-7_80","Velocidad máxima aconsejada"
"S-7_90","Velocidad máxima aconsejada"
"S-8","Fin de velocidad máxima aconsejada"
"S-8_100","Fin de velocidad máxima aconsejada"
"S-8_30","Fin de velocidad máxima aconsejada"
"S-8_40","Fin de velocidad máxima aconsejada"
"S-8_50","Fin de velocidad máxima aconsejada"
"S-8_60","Fin de velocidad máxima aconsejada"
"S-8_70","Fin de velocidad máxima aconsejada"
"S-8_80","Fin de velocidad máxima aconsejada"
"S-8_90","Fin de velocidad máxima aconsejada"
"S-800_1000","Distancia al comienzo del peligro o prescripción"
"S-800_1500","Distancia al comienzo del peligro o prescripción"
"S-800_1km","Distancia al comienzo del peligro o prescripción"
"S-800_2000","Distancia al comienzo del peligro o prescripción"
"S-800_500","Distancia al comienzo del peligro o prescripción"
"S-800b_5km","Distancia al comienzo del peligro o prescripción"
"S-800b_7km","Distancia al comienzo del peligro o prescripción"
"S-810","Longitud del tramo peligroso o sujeto a prescripción"
"S-820","Extensión de la prohibición a un lado"
"S-821","Extensión de la prohibición a un lado"
"S-830","Extensión de la prohibición, a ambos lados"
"S-840_100","Preseñalización de detención obligatoria"
"S-840_300","Preseñalización de detención obligatoria"
"S-840_400","Preseñalización de detención obligatoria"
"S-840_500","Preseñalización de detención obligatoria"
"S-840_600","Preseñalización de detención obligatoria"
"S-840_700","Preseñalización de detención obligatoria"
"S-840_800","Preseñalización de detención obligatoriaS"
"S-840_900","Preseñalización de detención obligatoria"
"S-850","Itinerario con Prioridad"
"S-851","Itinerario con Prioridad"
"S-852","Itinerario con Prioridad"
"S-853","Itinerario con Prioridad"
"S-870","Aplicación de prohibición o descripción"
"S-870I","Aplicación de prohibición o descripción"
"S-9","Intervalo aconsejado de velocidades"
"SEN01","Preseñalización de calzada sin salida"
"SEN02","Preseñalización de calzada sin salida"
"SEN03","Circulación Prohibida a Peatones, Bicicletas, Motocicletas y Vehículos con Mercancías Peligrosas"
"SEN05","Calzada Obligatoria para Vehículos de más de 12m y 20t"
"SEN08","Circulación Prohibida a Peatones, Bicicletas y Furgonetas"
"SEN09","Circulación Prohibida a Vehículos de menos de 10 Km/h y más de 5,5t"
"SEN10","Circulación Prohibida a Peatones, Bicicletas y Motocicletas"
"SEN11","Circulación Prohibida a Peatones, Bicicletas, y Vehículos con Mercancías Peligrosas"
"SEN12","Circulación Prohibida a varias cosas"
"SEN13","Circulación Prohibida a varias cosas"
"SEN14","Preseñalización de desvío de carriles"
"SEN16","Preseñalización de carriles"
"SEN17","Ceda el paso a Autobuses"
"SEN19","Preseñalización de carriles"
"SEN23","No bloquear Cruce"
"SEN25","Calzada Obligatoria para Peatones y Bicicletas"
"SEN26","Peligro Indefinido (Autobuses)"
"SEN28","Círculación Prohibida L"
"SENFUT","Prohibido Jugar a la Pelota"
"SENPEA","Zona Peatonal"
"TB2C","Panel Direccional Corto Izquierda Obras"
"TB2D","Panel Direccional Corto Derecha Obras"
"TP-13a","Curva peligrosa hacia la derecha"
"TP-13b","Curva peligrosa hacia la izquierda"
"TP-14a","Curvas peligrosas hacia la derecha"
"TP-14b","Curvas peligrosas hacia la izquierda"
"TP-15","Perfil irregular"
"TP-15a","Resalto"
"TP-15b","Badén"
"TP-17","Estrechamiento de calzada"
"TP-17a","Estrechamiento de calzada por la derecha"
"TP-17b","Estrechamiento de calzada por la izquierda"
"TP-18","Obras"
"TP-19","Pavimento deslizante"
"TP-25","Circulación en dos sentidos"
"TP-26","Desprendimiento"
"TP-28","Proyección de gravilla"
"TP-3","Semarofo"
"TP-30","Escalón lateral"
"TP-50","Otros peligros"
"TR-100","Circulación prohibida"
"TR-106","Entrada prohibida a vehículos destinados al transporte de mercancías"
"TR-201_5.5","Limitación de peso"
"TR-204","Limitación de anchura"
"TR-205","Limitación de altura"
"TR-301_30","Velocidad máxima"
"TR-301_40","Velocidad máxima"
"TR-301_50","Velocidad máxima"
"TR-301_60","Velocidad máxima"
"TR-301_70","Velocidad máxima"
"TR-301_80","Velocidad máxima"
"TR-301_90","Velocidad Máxima"
"TR-302","Giro a la derecha prohibido"
"TR-303","Giro a la izquierda prohibido"
"TR-305","Adelantamiento prohibido"
"TR-306","Adelantamiento prohibido para camiones"
"TR-5","Prioridad al Sentido Contrario"
"TR-500","Fin de prohibiciones"
"TR-501_30","Fin de limitación de velocidad"
"TR-501_40","Fin de limitación de velocidad"
"TR-501_50","Fin de limitación de velocidad"
"TR-501_60","Fin de limitación de velocidad"
"TR-501_70","Fin de limitación de velocidad"
"TR-501_80","Fin de limitación de velocidad"
"TR-501_90","Fin de la limitación de velocidad"
"TR-502","Fin de la prohibición de adelantamiento"
"TR-503","Fin de la prohibición de adelantamiento para camiones"
"TRAV","Travessera de Gràcia Tallat  per comerç al carrer"
"TS-52","Fin de carril destinado a la circulación"
"TS-53","Fin de carril destinado a la circulación"
"TS-54","Final de carrril destinado a la circulación"
"TS-55","Final de carril destinado a la circulación"
"TS-63","Calzada doble sentido en curva"
"TUNCE","Túnel de Lavado Izquierda"
"TUNPD","Gasolinera y Túnel de Lavado Derecha"
"TUNPD_30m","Gasolinera y Túnel de Lavado Derecha 30 m"
"TUNVE","Túnel de Lavado 180º Izquierda"
"VIANAN1","Vianants 1 cara"
"VIANAN2.1","Vianants 2 cares"
"VIANAN2.2","Vianants 2 cares BIS"
"VIANAN2.3","Vianants 2 cares 3"
"VIANAN2.4","Vianants 2 cares 4"
"VIANAN3.1","Vianants 3 cares"
"VIANAN3.2","Vianants 3 cares 2"
"VIANAN3.3","Vianants 3 cares 3"
"VIANAN3.4","Vianants 3 cares 4"
"VIANAN3.5","Vianants 3 cares 5"
"VIANAN3.6","Vianants 3 cares 6"
"VIANAN4.1","Vianants 4 cares"
"VIANAN4.2","Vianants 4 cares 2"
"VIANAN4.3","Vianants 4 cares 3"
"VIANAN4.4","Vianants 4 cares 4"
"VIANAN4.5","Vianants 4 cares 5"
"VIANAN4.6","Vianants 4 cares.6"
"VIANAN5","Vianants 5 cares "
"VIANAN5.2","Vianants 5 cares.2"
"VIANAN5.3","Vianants 5 cares.3"
"X","Señal sin Definir"
"Zona30Bic","Zona 30 Via Preferent Bicicletes"
