"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecopyright","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"","","Àrea de Drets Socials","","Barcelona | Barcelona | Barcelona","2015","","","2015-09-21","2015","Informe presentat a la Comissió de Drets Socials, Cultura i Esports de 21-09-2015 | Citat a la Gaseta Municipal de Barcelona, núm. 30 (10-11-2015), p. 5404-5410","","","","","application/pdf","21 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/99301","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Venda ambulant | Immigrants | Peddling | Immigrants | Comercio ambulante | Emigrantes","Societat i benestar | Comerç","informes als òrgans de govern","","Diagnosi social sobre el fenomen de la venda ambulant a la ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Alcaldia","","Barcelona | Barcelona | Barcelona","2014","","","2014-01-31","2014","Informe presentat al Consell Municipal de 31-01-2014, pel Sr. Xavier Trias (Alcalde de Barcelona)","","","","","application/pdf","81 p.","application/pdf","12877","","","Mandat 2011-2015","http://hdl.handle.net/11703/90212","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Política social | Política d'ocupació | Economic policy | Social policy | Manpower policy | Política económica | Política social | Política de empleo","Ocupació","informes als òrgans de govern","","Barcelona 2014 : el compromís amb les persones i la creació d'ocupació: informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Sector de Serveis Personals","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010","","","2004-04-12","2004","Informe presentat al Consell de Ciutat del 12-04-2007","","","","","application/pdf","37 p.","application/pdf","1597","","","Mandat 2003-2007","http://hdl.handle.net/11703/89205","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge | Habitatge públic | Rehabilitació de l'habitatge | Housing policy | Public housing | Housing rehabilitation | Política de vivienda | Viviendas de protección oficial | Rehabilitación de viviendas","Habitatge","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla d'Habitatge de Barcelona 2004-2010","Pla d'habitatge de Barcelona 2004-2010: informe de progrés","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea d'Hàbitat Urbà","","Barcelona | Barcelona | Barcelona","","","","2012-06-20","2012","Informe presentat a la Comissió d'Hàbitat Urbà i Medi Ambient de 20-06-2012 | Citat a la Gaseta Municipal de Barcelona, núm. 22 (30-07-2012), p. 3468-3474","","","","","application/pdf","13 p.","application/pdf","10810","","","Mandat 2011-2015","http://hdl.handle.net/11703/88737","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge | Política de l'habitatge | Housing | Housing policy | Vivienda | Política de vivienda","Habitatge","informes als òrgans de govern","Pla Empenta per a la regeneració de sòl i d'habitatge a Barcelona","L'habitatge a Barcelona : evolució del mercat, situació i línies de treball : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris | Roquetes (Barcelona : Barri) | Roquetes (Barcelona : Neighborhood) | Roquetes (Barcelona : Barrio) | Verdun (Barcelona : Barri) | Verdun (Barcelona : Neighborhood) | Verdun (Barcelona : Barrio) | Trinitat Nova (Barcelona : Barri) | Trinitat Nova (Barcelona : Neighborhood) | Trinitat Nova (Barcelona : Barrio) | Vilapicina i la Torre Llobeta (Barcelona : Barri) | Vilapicina i la Torre Llobeta (Barcelona : Neighborhood) | Vilapicina i la Torre Llobeta (Barcelona : Barrio) | Turó de la Peira (Barcelona : Barri) | Turó de la Peira (Barcelona : Neighborhood) | Turó de la Peira (Barcelona : Barrio) | Porta (Barcelona : Barri) | Porta (Barcelona : Neighborhood) | Porta (Barcelona : Barrio) | Canyelles (Barcelona : Barri) | Canyelles (Barcelona : Neighborhood) | Canyelles (Barcelona : Barrio) | Prosperitat (Barcelona : Barri) | Prosperitat (Barcelona : Neighborhood) | Prosperitat (Barcelona : Barrio) | Guineueta (Barcelona : Barri) | Guineueta (Barcelona : Neighborhood) | Guineueta (Barcelona : Barrio) | Can Peguera (Barcelona : Barri) | Can Peguera (Barcelona : Neighborhood) | Can Peguera (Barcelona : Barrio) | Ciutat Meridiana (Barcelona : Barri) | Ciutat Meridiana (Barcelona : Neighborhood) | Ciutat Meridiana (Barcelona : Barrio) | Torre Baró (Barcelona : Barri) | Torre Baró (Barcelona : Neighborhood) | Torre Baró (Barcelona : Barrio) | Vallbona (Barcelona : Barri) | Vallbona (Barcelona : Neighborhood) | Vallbona (Barcelona : Barrio)","2015 | 2016 | 2017 | 2018 | 2019","","","2019-03-05","2019","Informe presentat al Plenari del Consell de Districte de Nou Barris de 05-03-2019","","","","","application/pdf","92 p.","application/pdf","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/117775","cat","","","<a href=""http://hdl.handle.net/11703/117776"">Resum</a>","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Strategic planning | Planificación estratégica | Política social | Social policy | Política social | Política pública | Government policy | Política gubernamental | Política econòmica | Economic policy | Política económica | Política ambiental | Environmental policy | Política ambiental | Política educativa | Educational policy | Política educativa","","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Nou Barris (PAD) 2016-2019 (Barcelona)","Balanç de Mandat : Districte de Nou Barris : 2015-2019","","text","info:eu-repo/semantics/report",""
"","","Àrea d'Hisenda i Promoció Econòmica","","Barcelona | Barcelona | Barcelona","","","","2008-11","2008","Presentada a la Comissió de Promoció Econòmica, Ocupació i Coneixement al novembre de 2008","","","","","application/pdf","28 p.","application/pdf","2918","","","Mandat 2007-2011","http://hdl.handle.net/11703/90214","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Economia | Desenvolupament econòmic | Política econòmica | Economics | Economic development | Economic policy | Economía | Desarrollo económico | Política económica","Economia","informes als òrgans de govern","","Evolució de l'economia de Barcelona : informe per a la Comissió de Promoció Econòmica","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 8. Nou Barris. Consell Plenari","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","","","","2013-03-12","2013","Informe presentat al Consell Plenari Districte de Nou Barris 12-03-2013","","","","","application/pdf","27 p.","application/pdf","18071","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/88766","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Formació ocupacional | Ocupació | Joventut | Política de la joventut | Occupational training | Employment (Economic theory) | Youth | Youth policy | Formación ocupacional | Empleo | Jóvenes | Política de juventud","Ocupació","informes als òrgans de govern","","Informe Suport Joves: accions suport formació, ocupació i inserció als joves al districte de Nou Barris","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció del Programa de Dona | Regidoria de Dona i Drets Civils | Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","","","","2012-10-16","2012","","","","","","application/pdf","50 p.","application/pdf","9947","","","Mandat 2011-2015","http://hdl.handle.net/11703/88769","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Tràfic de persones | Prostitution | Human trafficking | Prostitución | Trata de personas","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Estat d'execució i impacte de la mesura de govern :  actuacions de millora i nou impuls de l'Agència ABITS : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consorci d'Educació de Barcelona | Institut Municipal d'Educació (Barcelona) | Àrea de Cultura, Coneixement, Creativitat i Innovació | Regidoria d'Educació i Universitats","","Barcelona | Barcelona | Barcelona","","","","2013-10-29","2013","Informe presentat al Consell Municipal del 29-10-2013, pel Regidor d'Educació i Universitats | Citat a la Gaseta Municipal de Barcelona, núm. 1 (10-01-2014)","","","","","application/pdf","12 p.","application/pdf","12514","","consorcis | organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/90222","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació secundària obligatòria | Rendiment escolar | Aprenentatge | Política educativa | Mandatory Secondary education | Academic achievement | Learning | Educational policy | Educación Secundaria Obligatoria | Rendimiento académico | Aprendizaje | Política educatival","Educació","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla de Suport a l'Alumnat d'ESO 2013 (Barcelona)","Informe avaluació del Pla de suport a l'alumnat de l'ESO : suport a l'estiu, èxit al setembre","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2014","No","","2015","2015","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87763 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","225 p.","application/pdf","","","","Mandat 2011-2015","http://hdl.handle.net/11703/97500","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87763","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2014","Informe al Plenario del Consejo Municipal sobre la actividad de la Sindicatura en 2014","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Direcció d'Inversions | Sector de Serveis Generals","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","","2006-09","2006","Informe presentat a la consideració del Consell de Ciutat i Audiència Pública del 09-2006","","","","","application/pdf","16 p.","application/pdf","3166","","","Mandat 2003-2007","http://hdl.handle.net/11703/86760","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Inversions públiques | Economic policy | Public investments | Política económica | Inversiones públicas","Economia | Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Inversions Municipals 2004-2007 (Barcelona)","Balanç Programa d'Inversions : 2004-2007 : document provisional : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
