"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecopyright","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"","","Àrea d'Habitatge, Urbanisme i Règim Interior","","Diagonal, Avinguda (Barcelona) | Diagonal, Boulevard (Barcelona) | Diagonal, Avenida (Barcelona)","","","","2010-05-28","2010","Informe presentat el Consell Municipal Plenari de 28-05-2010, pel Sr. Ramón García-Bragado (Àrea d'Habitatge, Urbanisme i Règim Interior) | Citada a a la Gaseta Municipal de Barcelona, núm. 28 (10-10-2010) | Es basa en la Mesura de govern sobre el procés participatiu en la reforma de la Diagonal [http://hdl.handle.net/11703/84632]","","","","","application/pdf","79 p.","application/pdf","5324","","","Mandat 2007-2011","http://hdl.handle.net/11703/90196","cat","Ajuntament de Barcelona","","","http://hdl.handle.net/11703/84632","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Opinió pública | Participació ciutadana | Ordenació del territori | Rehabilitació urbana | Public opinion | Citizen participation | Regional planning | Urban renewal | Opinión pública | Participación ciudadana | Ordenación del territorio | Rehabilitación urbana","Societat i benestar","informes als òrgans de govern","","Informe consulta ciutadana de la Diagonal : 28 maig 2010","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat | Comissionat de Participació Ciutadana i Associacionisme","","Barcelona | Barcelona | Barcelona","","","","2013-11-20","2013","Informe presentat a la Comissió de Presidència i Règim Interior del 20-11-2013, pel Primer Tinent d'Alcalde, de l'Àrea de Presidència, Règim Interior, Seguretat i Mobilitat ) i el Comissionat de Participació Ciutadana i Associacionisme | Citat a la Gaseta Municipal de Barcelona, núm. 1 (10-01-2014 )","","","","","application/pdf","7 p.","application/pdf","11746","","","Mandat 2011-2015","http://hdl.handle.net/11703/88690","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Convenis | Serveis municipals | Citizen participation | Covenants | Municipal services | Participación ciudadana | Convenios | Servicios municipales | 11746orig","Sector públic","informes als òrgans de govern","","Informe de la Conceptualització de la Gestió Cívica","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona | Barcelona | Barcelona","","","","2016","2016-03-23","Presentat a la Comissió de Presidència, Drets de Ciutadania, Participació i Seguretat i Prevenció de 23-03-2016","","","Annex 1. Relació d'espais per a gossos (actuals i un cop desplegat el programa de millores) | Annex 2. Plànol d'ubicació dels espais per a gossos (actuals i un cop desplegat el programa de millores) | Annex 3. Informe dels Serveis Jurídics de l'Ajuntament en relació a la no aplicació de la condició de conducció dels gossos lligats fins al desplegament de les mesures establertes a l'Ordenança | Annex 4. Presentació de l’espai per a gossos a la platja de Llevant  (prova pilot)","","application/pdf","27 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97348","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Gossos | Espais públics | Drets dels animals | Convivència | Dogs | Public spaces | Animal rights | Coexistence | Perros | Espacios públicos | Derechos de los animales | Convivencia","Medi ambient","informes als òrgans de govern","","Informe en relació al desplegament de les mesures establertes a l'Ordenança de Protecció, Tinença i Venda d'Animals de 2014 Sobre la Conducció dels Gossos a l'Espai Públic","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Comissionat de l'Alcaldia per a la Immigració i el Diàleg Intercultural","","Barcelona | Barcelona | Barcelona","2009 | 2010","","","2010-10-19","2010","Informe presentat a la Comissió de Cultura, Educació i Benestar Social del 19-10-2010, pel Sr. Daniel de Torres Barderi (Comissionat de l'Alcaldia per a la immigració i el diàleg intercultural)","","","","","application/pdf","22 p.","application/pdf","8103","","","Mandat 2007-2011","http://hdl.handle.net/11703/86768","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Reagrupament familiar | Immigrants | Política social | Family reunification | Immigrants | Social policy | Reagrupación familiar | Emigrantes | Política social","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa Acompanyament al Reagrupament Familiar (Barcelona)","Programa d'Acompanyament al reagrupament familiar : balanç gener 2009 - juliol 2010 : informe de govern","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria de Cicle de Vida, Feminismes i LGTBI | Àrea de Drets de Ciutadania, Participació i Transparència | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","","2016-04-19","2016-04-19","Presentat a la Comissió de Drets Socials, Cultura i Esports del 19-04-2016","","","","","application/pdf","119 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97367","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de la joventut | Indicadors socials | Youth policy | Social indicators | Política de juventud | Indicadores sociales","Demografia | Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Pla d'Adolescència i Joventut 2013-2016: resultats del 2015: pla d'accions 2016","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Municipal d'Educació (Barcelona)","","Barcelona | Barcelona | Barcelona","2019 | 2020","","","2019-03-08","2019","","","","","","application/pdf","63 p.","application/pdf","","","organismes autònoms","","http://hdl.handle.net/11703/117566","cat","Institut Municipal d'Educació (Barcelona)","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Política educativa | Educational policy | Política educativa | Educació inclusiva | Inclusive education | Infants | Children | Niños | Joves | Youth | Jóvenes","Educació","informes als òrgans de govern","Pla d'Accessibilitat Universal de Barcelona 2018-2026 | Barcelona Esport Inclou","Informe en matèria d'educació inclusiva d'infants i joves amb necessitats educatives especials : bases per a una estratègia de futur","","text","info:eu-repo/semantics/report",""
"","","Consell de Ciutat de Barcelona","","Barcelona | Barcelona | Barcelona","2011 | 2012 | 2013 | 2014 | 2015","","","2015-03-26","2015","Presentat al Plenari del Consell de Ciutat de 14-04-2015","","","","","application/pdf","8 p.","application/pdf","18619","","","Mandat 2011-2015","http://hdl.handle.net/11703/88742","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell de Ciutat de Barcelona | Consell de Ciutat de Barcelona | Consell de Ciutat de Barcelona","Sector públic","informes als òrgans de govern","","Informe de l'activitat del Consell de Ciutat 2011-2015","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","2015 | 2016","","","2016-10-06","2016-10","Informe presentat al Consell Plenari del Districte de Nou Barris de 06-10-2016","","","","","application/pdf","34 p.","application/pdf","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/117936","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge | Housing policy | Política de vivienda | Casals de vacances | Camps | Campamentos | Lleure | Leisure | Tiempo libre | Política d'ocupació | Manpower policy | Política de empleo | Infraestructures urbanes | Urban infrastructures | Infraestructuras urbanas","Habitatge | Sector públic | Societat i benestar | Ocupació | Urbanisme i infraestructures","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Nou Barris (PAD) 2016-2019 (Barcelona)","Informe regidora Plenari 06-10-2016 [versió presentació]","","text","info:eu-repo/semantics/report",""
"","","Àrea de Drets Socials | Gerència de Drets Socials","","Barcelona. Districte 2. Eixample | Barcelona. Distrito 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Districte 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Barcelona. District 10. Sant Martí","2014 | 2015 | 2016","","","2017-02-14","2017","Informe presentat a la Comissió de Drets Socials, Cultura i Esports 14-02-2017 | Citat a la Gaseta Municipal de Barcelona, núm. 10 (30-03-2017), p. 2190-2194","","","","","application/pdf","7 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/101779","cat","","","","http://hdl.handle.net/11703/84829","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Treball social amb les persones grans | Solitud | Noves tecnologies de la informació i de la comunicació | Internet i persones grans | Social work with older people | Solitude | Information technology | Internet and older people | Trabajo social con ancianos | Soledad | Tecnología de la información | Internet y ancianos","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Projecte Vincles BCN 2014-","VinclesBCN : informe situació 31 de gener de 2017","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","","2016","2016","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/97506 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","130 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97207","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/97506","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona : Informe 2015","Informe al Plenari del Consell Municipal 2015","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Universitat de Barcelona. Laboratori de Transferència en Economia Aplicada | Regidoria de Comerç, Consum i Mercats | Àrea d'Economia, Empresa i Ocupació","","Barcelona | Barcelona | Barcelona","","","","2013-10-09","2013","Informe presentat a la Comissió d'Economia, Empresa i Ocupació del 09-10-2013, pel Sr. Raimond Blasi i Navarro (Regidor de Comerç, Consum i Mercats i de la d'Adolescència i Joventut i Regidor executiu del Districte de Sant Andreu) i el Sr. Jordi Suriñach (Investigador UB) | Citat a la Gaseta Municipal de Barcelona, núm. 34 (10-02-2013)","","","","","application/pdf","135 p.","application/pdf","17558","","","Mandat 2011-2015","http://hdl.handle.net/11703/88734","cat","","","http://hdl.handle.net/11703/88733","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Horaris comercials | Comerç | Establiments comercials | Business hours | Commerce | Retail stores | Horarios comerciales | Comercio | Comercios","Comerç","informes als òrgans de govern","","Estudi sobre els efectes de la liberalització d'horaris comercials a la ciutat de Barcelona : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","","","","2014-01","2014","Informe presentat a la Comissió de Qualitat de Vida, Igualtat i Esport el gener del 2014","","","","","application/pdf","31 p.","application/pdf","15963","","","Mandat 2011-2015","http://hdl.handle.net/11703/88710","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discapacitats | Política social | People with disabilities | Social policy | Personas con discapacidad | Política social","Societat i benestar","informes als òrgans de govern","","Persones amb reconeixement legal de discapacitat a la ciutat de Barcelona: característiques i distribució territorial : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Serveis de Prevenció | Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona | Barcelona | Barcelona","2011 | 2012","","","2013-07-15","2013","Informe presentat a la Comissió de Seguretat i Mobilitat del 15-07-2013, pel Director dels Serveis de Prevenció. Sector Seguretat i Mobilitat | Citat a la Gaseta Municipal de Barcelona, núm. 29 (20-10-2013)","","","","","application/pdf","12 p.","application/pdf","11691","","","Mandat 2011-2015","http://hdl.handle.net/11703/88718","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dret | Serveis d'informació a la comunitat | Law | Community information services | Derecho | Servicios de información a la comunidad | 11667","Legislació i justícia","informes als òrgans de govern","","El Servei d'orientació jurídica (OAC de Sant Miquel) : Anàlisi de les dades (anys 2011 i 2012) : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","","2016","2016","Podeu consultar la versió en català a: http://hdl.handle.net/11703/97207 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","103 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97506","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/97207","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado | Sindicatura de Greuges de Barcelona","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2015","Informe al Plenario del Consejo Municipal 2015","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Àrea d'Ecologia, Urbanisme i Mobilitat | Regidoria de Mobilitat","","Barcelona | Barcelona | Barcelona","","","","2016-10-19","2016","Presentat a la Comissió d'Ecologia, Urbanisme i Mobilitat de 19-10-2016, per la Regidora de Mobilitat, Mercedes Vidal | Citat a la Gaseta Municipal de Barcelona, núm. 31 (30-11-2016), p. 6571-6575","","","","","application/pdf","18 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/98719","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vehicles elèctrics | Política de transports | Electric vehicles | Transportation and state | Vehículos eléctricos | Política de transportes","Medi ambient | Transport","informes als òrgans de govern","","Desenvolupament del vehicle elèctric a Barcelona : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella | Rambla, La (Barcelona) | Barcelona. District 1. Ciutat Vella | Rambla, La (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Rambla, La (Barcelona)","","","","2016-10-20","2016","Informe presentat al Plenari del Consell del Districte de Ciutat Vella de 20-10-2016","","","","","application/pdf","16 p.","application/pdf","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/98741","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercat de la Boqueria (Barcelona) | Mercats | Mercat de la Boqueria (Barcelona) | Markets | Mercat de la Boqueria (Barcelona) | Mercados","Comerç","informes als òrgans de govern","","Mercat Municipal de la Boqueria : informe de situació i actuacions","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella | Raval (Barcelona : Barri) | Barcelona. District 1. Ciutat Vella | Raval (Barcelona : Neighborhood) | Barcelona. Distrito 1. Ciutat Vella | Raval (Barcelona : Barrio)","","","","2009-10-02","2009","Informe presentat al Consell Municipal Plenari de 26-02-2010 | Citada a la Gaseta Municipal de Barcelona, núm. 31 (30-11-2009)","","","","","application/pdf","85 p.","application/pdf","2769 | DS20091002_RAVAL","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/90200","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ordenació del territori | Rehabilitació urbana | Espais públics | Regional planning | Urban renewal | Public spaces | Ordenación del territorio | Rehabilitación urbana | Espacios públicos","Urbanisme i infraestructures","informes als òrgans de govern","","Informe sobre les propostes de present i futur per al Raval","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona | Àrea de Drets de Ciutadania, Participació i Transparència | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","","2016","2016-02","Presentat a la sessió extraordinària de la Comissió de Drets Socials, Cultura i Esports de 25-02-2016","","","","","application/pdf","16 p.","application/pdf","","","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/97335","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Activitats culturals | Política cultural | Difusió cultural | Indústries culturals | Gestió cultural | Cultural animation | Cultural policy | Culture diffusion | Cultural industries | Arts management | Animación cultural | Política cultural | Difusión cultural | Industria cultural | Gestión cultural","Cultura i oci","informes als òrgans de govern","Pla de Memòria Històrica 2015- (Barcelona) | Pla de Cultures de Barcelona 2016-2026","Cap a un canvi de model: cultures de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea d'Hàbitat Urbà | Àrea de Qualitat de Vida, Igualtat i Esports | Gerència Adjunta d'Habitatge","","Barcelona | Barcelona | Barcelona","","","","2013-01-24","2013","Informe presentat a la Comissió d'Hàbitat Urbà i Medi Ambient, pel Gerent adjunt d'Habitatge | Citat a la Gaseta Municipal de Barcelona, núm. 10 (20-03-2013)","","","","","application/pdf","20 p.","application/pdf","10798","","","Mandat 2011-2015","http://hdl.handle.net/11703/88736","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge | Habitatge públic | Housing policy | Public housing | Política de vivienda | Viviendas de protección oficial","Habitatge","informes als òrgans de govern","","Informe Proposta de Reglament modificat del Registre de sol·licitants d'habitatge amb protecció oficial de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2007","No","","2008","2008","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87756 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","192 p.","application/pdf","3393","","","Mandat 2003-2007","http://hdl.handle.net/11703/87811","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87756","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2007","Informe al Plenario del Consejo Municipal sobre la actividad de la Sindicatura en 2007","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Democràcia Activa i Descentralització | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","","2019-02","2019-02","Presentació a la Comissió de Presidència, Drets de Ciutadania, Participació, Seguretat i Prevenció en el Consell Municipal de 29-03-2019","","","","","application/pdf","3 documents","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113951","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Citizen participation | Participación ciudadana","Sector públic","informes als òrgans de govern","","Informe sobre la implementació del reglament del reglament de participació ciutadana a Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Sector de Seguretat i Mobilitat","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","","2004-03-03","2004-03-03","Informe presentat al Plenari del Consell Municipal el 03-03-2004","","","","","application/pdf","82 p.","application/pdf","1612 | PAM2004-2007_MOBI_PAR","","","Mandat 2003-2007","http://hdl.handle.net/11703/89208","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Participació ciutadana | Mobilitat urbana | Strategic planning | Citizen participation | Urban mobility | Planificación estratégica | Participación ciudadana | Movilidad urbana","Transport | Sector públic","informes als òrgans de govern","Programa d'Actuació Municipal (PAM) 2004-2007 (Barcelona)","PAM Mobilitat 2004-2007 : informe participatiu","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","","","","2014-06-17","2014","Informe presentat a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports del 17-06-2014","","","","","application/pdf","78 p.","application/pdf","13830","","","Mandat 2011-2015","http://hdl.handle.net/11703/88701","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans | Política social | Older people | Social policy | Ancianos | Política social","Societat i benestar","informes als òrgans de govern","Pla Municipal per a les Persones Grans 2013-2016 (Barcelona)","Les condicions de vida de les persones grans a Barcelona i la resposta de la ciutat : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"organismes autònoms","","Institut Municipal d'Educació (Barcelona) | Àrea de Drets Socials","","Barcelona | Barcelona | Barcelona","2015","","","2016-06-21","2016","Informe presentat a la Comissió de Drets Socials, Cultura i Esports de 21-06-2016","","","","","application/pdf","14 p.","application/pdf","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/98297","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Formació ocupacional | Política educativa | Occupational training | Educational policy | Formación profesional | Política educativa","Educació","informes als òrgans de govern","","Estat de la formació professional a la ciutat de Barcelona 2015 : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Comissionat d'Immigració i Acció Comunitària","","Barcelona | Barcelona | Barcelona","","","","2013-05-21","2013","Informe presentat en Comissió de Govern el 21-05-2013 pel Sr. Miquel Esteve i Brignardelli (Comissionat d'Immigració i Acció Comunitària)","","","","","application/pdf","29 p.","application/pdf","11308","","","Mandat 2011-2015","http://hdl.handle.net/11703/90211","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pluralisme cultural | Immigrants | Reagrupament familiar | Política social | Cultural pluralism | Immigrants | Family reunification | Social policy | Pluralismo cultural | Emigrantes | Reagrupación familiar | Política social","Cultura i oci","informes als òrgans de govern","","Informe de govern sobre la percepció de la realitat migratòria a la Ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consorci d'Educació de Barcelona","","Barcelona | Barcelona | Barcelona","2009 | 2010","","","2010-02-16","2010-02-16","Informe presentat a la Comissió de Cultura, Educació i Benestar Social del 16-02-2010, per la Presidenta, Sra. Maite Fondos Payà i la Sra. Montse Ballarín Espuña","","","","","application/pdf","12 p.","application/pdf","3725","","","Mandat 2007-2011","http://hdl.handle.net/11703/86767","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació d'adults | Educació permanent | Política educativa | Adult education | Continuing education | Educational policy | Educación de adultos | Educación permanente | Política educativa","Educació","informes als òrgans de govern","","Informe sobre les escoles de formació d'adults a Barcelona : 16 de febrer de 2010","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Sector de Serveis Personals | Direcció de Benestar Social","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","","2005-10-04","2005","Informe presentat a la Comissió de Cultura, Educació i Benestar del 04-10-2005, pel Sr. Ricard Josep Gomà Carmona (Segon Tinent d'Alcalde)","","","","","application/pdf","34 p.","application/pdf","8205","","","Mandat 2003-2007","http://hdl.handle.net/11703/88681","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social | Serveis socials | Assistència social | Política social | Social integration | Human services | Public welfare | Social policy | Integración social | Servicios sociales | Bienestar social | Política social","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Marc Municipal per a l'Acció Comunitària (Barcelona) | Pla de Desenvolupament Comunitari (Barcelona)","Marc Municipal per a l'Acció Comunitària : informe","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
