"Tipus_ens","Nom_ens","Sindicat","Nombre de delegats","Nombre de persones que tenen dispensa d'assistència al treball","Hores autoritzades als delegats per a l'exercici de les seves funcions","Valoració en euros dels costos pel temps dedicat pels delegats a l'activitat sindical"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Confederació General del Treball",10.0,0.0,"400","7216"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Confederació General del Treball",1.0,0.0,"40","721,6"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Confederació General del Treball",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Confederació General del Treball",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Confederació General del Treball",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Confederació General del Treball",7.0,0.0,"280","7036"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Confederació General del Treball",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Confederació General del Treball",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Tersa","Confederació General del Treball",2.0,0.0,"80","1723"
"SOCIETATS MERCANTILS","Semesa","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Siresa","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Confederació General del Treball",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Confederació General del Treball",3.0,0.0,"60","1743"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Confederació General del Treball","","","",""
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Consorci del Besós","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Confederació General del Treball",9.0,0.0,"360","7567,2"
"CONSORCIS","Consorci d'Educació de Barcelona","Confederació General del Treball",1.0,"","40","960"
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Consorci Local Localret","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Consorci MACBA","Confederació General del Treball",0.0,0.0,"0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Confederació General del Treball",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Confederació General del Treball",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Confederació General del Treball",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Confederació General del Treball",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Confederació General del Treball",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Confederació General del Treball",0.0,0.0,"0","0"
