"DENOMINACIO CAMPANYA","CONCEPTE","MITJÀ","IMPORT"
"AGENDES CULTURALS 2020","MITJANS","INTERNET",0.0
"AGENDES CULTURALS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"AGENDES CULTURALS 2020","MITJANS","EXTERIOR",0.0
"AGENDES CULTURALS 2020","MITJANS","TELEVISIÓ",0.0
"AGENDES CULTURALS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","PREMSA DIÀRIA",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","REVISTES",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","INTERNET",22295.09
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","EXTERIOR",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","TELEVISIÓ",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ALWAYS BARCELONA 2020","MITJANS","PREMSA DIÀRIA",57622.53
"ALWAYS BARCELONA 2020","MITJANS","REVISTES",10225.59
"ALWAYS BARCELONA 2020","MITJANS","INTERNET",11495.0
"ALWAYS BARCELONA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ALWAYS BARCELONA 2020","MITJANS","EXTERIOR",0.0
"ALWAYS BARCELONA 2020","MITJANS","TELEVISIÓ",0.0
"ALWAYS BARCELONA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ANUNCIS ADMINISTRATIUS INFORMACIÓ CIUTADANIA 2020","MITJANS","PREMSA DIÀRIA",67572.53
"ANUNCIS ADMINISTRATIUS INFORMACIÓ CIUTADANIA 2020","MITJANS","REVISTES",0.0
"ANUNCIS ADMINISTRATIUS INFORMACIÓ CIUTADANIA 2020","MITJANS","INTERNET",0.0
"ANUNCIS ADMINISTRATIUS INFORMACIÓ CIUTADANIA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ANUNCIS ADMINISTRATIUS INFORMACIÓ CIUTADANIA 2020","MITJANS","EXTERIOR",0.0
"ANUNCIS ADMINISTRATIUS INFORMACIÓ CIUTADANIA 2020","MITJANS","TELEVISIÓ",0.0
"ANUNCIS ADMINISTRATIUS INFORMACIÓ CIUTADANIA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"BARCELONA ACTIVA 2020","MITJANS","PREMSA DIÀRIA",0.0
"BARCELONA ACTIVA 2020","MITJANS","REVISTES",0.0
"BARCELONA ACTIVA 2020","MITJANS","INTERNET",67796.16
"BARCELONA ACTIVA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"BARCELONA ACTIVA 2020","MITJANS","EXTERIOR",0.0
"BARCELONA ACTIVA 2020","MITJANS","TELEVISIÓ",0.0
"BARCELONA ACTIVA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"BARCELONA CAPITAL ALIMENTACIÓ SOSTENIBLE 2020","MITJANS","PREMSA DIÀRIA",0.0
"BARCELONA CAPITAL ALIMENTACIÓ SOSTENIBLE 2020","MITJANS","REVISTES",10890.0
"BARCELONA CAPITAL ALIMENTACIÓ SOSTENIBLE 2020","MITJANS","INTERNET",8566.78
"BARCELONA CAPITAL ALIMENTACIÓ SOSTENIBLE 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"BARCELONA CAPITAL ALIMENTACIÓ SOSTENIBLE 2020","MITJANS","EXTERIOR",0.0
"BARCELONA CAPITAL ALIMENTACIÓ SOSTENIBLE 2020","MITJANS","TELEVISIÓ",0.0
"BARCELONA CAPITAL ALIMENTACIÓ SOSTENIBLE 2020","MITJANS","PROXIMITAT REVISTES",0.0
"BARCELONA DES DE CASA - INFORMACIONS CONFINAMENT COVID 19","MITJANS","PREMSA DIÀRIA",604865.81
"BARCELONA DES DE CASA - INFORMACIONS CONFINAMENT COVID 19","MITJANS","REVISTES",10182.15
"BARCELONA DES DE CASA - INFORMACIONS CONFINAMENT COVID 19","MITJANS","INTERNET",367080.91
"BARCELONA DES DE CASA - INFORMACIONS CONFINAMENT COVID 19","MITJANS","EMISSORES DE RÀDIO",345470.31
"BARCELONA DES DE CASA - INFORMACIONS CONFINAMENT COVID 19","MITJANS","EXTERIOR",0.0
"BARCELONA DES DE CASA - INFORMACIONS CONFINAMENT COVID 19","MITJANS","TELEVISIÓ",0.0
"BARCELONA DES DE CASA - INFORMACIONS CONFINAMENT COVID 19","MITJANS","PROXIMITAT REVISTES",10136.81
"BARCELONA DISTRICTE CULTURAL 2020","MITJANS","PREMSA DIÀRIA",0.0
"BARCELONA DISTRICTE CULTURAL 2020","MITJANS","REVISTES",1219.68
"BARCELONA DISTRICTE CULTURAL 2020","MITJANS","INTERNET",38342.84
"BARCELONA DISTRICTE CULTURAL 2020","MITJANS","EMISSORES DE RÀDIO",5103.76
"BARCELONA DISTRICTE CULTURAL 2020","MITJANS","EXTERIOR",6171.0
"BARCELONA DISTRICTE CULTURAL 2020","MITJANS","TELEVISIÓ",0.0
"BARCELONA DISTRICTE CULTURAL 2020","MITJANS","PROXIMITAT REVISTES",8439.87
"BARCELONA EXPAT WEEK 2020","MITJANS","PREMSA DIÀRIA",39996.55
"BARCELONA EXPAT WEEK 2020","MITJANS","REVISTES",0.0
"BARCELONA EXPAT WEEK 2020","MITJANS","INTERNET",52483.62
