"Organ Gestor","Núm Exp","Objecte ","Import  Adjudicat","Adjudicatari"
"GERÈNCIA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200428","Harmonització Protocol Antiassetjament districtes",8022.3,"FIL A L'AGULLA SCCL"
"GERÈNCIA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200389","Estudi necessitats treballadores sexuals",18113.7,"T.I.C.T.A.C."
"GERÈNCIA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200310","Informe situacions discriminatòries drets PG",12000.0,"FUNDACION SECRETARIADO GENERAL GITA"
"GERÈNCIA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200531","Estudi racisme institucional",3736.18,"SMART IBERICA DE IMPULSO EMPRESARIA, SDAD COOP ANDALUZA"
"GERÈNCIA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200581","Recerca i prospecció sobre l’empadronament a BCN",4537.5,"UNIVERSIDAD AUTONOMA BARCELONA"
"GERÈNCIA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200413","Informe impacte ús productes fitosanitaris",8903.6,"COOPSOC: LABORATORI D'IDEES SOCIALS, SCCL"
"GERÈNCIA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200528","Realització d'un dictàmen jurídic",7260.0,"GAB.JURIDICO FRANCES JOSE M. SL"
"GERÈNCIA D'ÀREA D'AGENDA 2030, TRANSICIÓ DIGITAL I ESPORTS","0826/18","Elaboració documents resultats satisfacció usuaris",-9357.34,"I-LABSO SCCL"
"DISTRICTE DE LES CORTS","200400042","Redacció dictamen jurídic",4800.68,"FUNDACIO BOSCH I GIMPERA"
"DISTRICTE DE LES CORTS","200400040","Redacció informe MPGM equipament C. Deu i Mata 57",10829.5,"PUJOL PRECIADO, CRISTINA"
"DISTRICTE DE GRÀCIA","20200202","Inf. revisió limitada 2020 Pistes Creueta del Coll",1766.6,"AUDALIA NEXIA AUDITORES SL"
"DISTRICTE D'HORTA-GUINARDÓ","132/2020","Implantació resultats Auditories Camps de Futbol",4840.0,"ESPORT I GESTIÓ ALT TER SLNE"
"INSTITUT MUNICIPAL D'URBANISME","DIR20020003","Estudi Històrico-Arquitectònic de l'antiga fàbrica de la Marina del Prat Vermell situada al carrer Arnés 47-59",5808.0,"VECLUS, SL"
"INSTITUT MUNICIPAL D'URBANISME","DIR20100008","Serveis estudi de la cobertura Wifi en edifici de la nova seu de  IMU al carrer Bolivia 250",2235.74,"UNITRONICS COMUNICACIONES,S.A."
