"dcAccrualPeriodicity","dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 33"
"","Servei de Premsa","Barcelona. Barcelona. Districte 10. Sant Martí. Poblenou (Barcelona : Barri)","","2014-07-04","2014-07-04","","","","application/pdf","8 p.","18109","","Mandat 2011-2015","http://hdl.handle.net/11703/89845","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","","dossiers de premsa","Pla d'Actuació Integral del Triangle Lúdic del Poblenou 2014-2015 (Barcelona)","El districte de Sant Martí engega un Pla d'Actuació Integral a la zona lúdica del Poblenou","","text",""
"","Servei de Premsa","Barcelona","2011. 2012. 2013. 2014. 2015","2015-03-20","2015-03-20","","","","application/pdf","23 p.","18337","","Mandat 2011-2015","http://hdl.handle.net/11703/89854","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Ordenació del territori. Rehabilitació urbana. Transparència política","Sector públic","dossiers de premsa","Programa d'Actuació Municipal (PAM) 2012-2015 (Barcelona)","Barcelona, Capital de futur : balanç 2011-2015","","text",""
"","Servei de Premsa","Barcelona","","2017-02-26","2017-02-26","","","","application/pdf","5 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100867","cat","","","","","","","","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vies ciclistes","Esport","dossiers de premsa","","Impuls a la construcció de nous carrils bici a la ciutat","","text",""
"","Servei de Premsa","Barcelona. Glòries Catalanes, Plaça (Barcelona). Barcelona. Districte 2. Eixample. Barcelona. Districte 10. Sant Martí","","2014-07-10","2014-07-10","","","","application/pdf","12 p.","17551","","Mandat 2011-2015","http://hdl.handle.net/11703/89882","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques","Urbanisme i infraestructures","dossiers de premsa","","La nova plaça de les Glòries pren vida i s'omple d'usos i activitats ciutadanes amb la urbanització provisional","","text",""
"","Museu d'Història de la Ciutat (Barcelona)","Barcelona","","2015-03-25","2015-03-25","Les imatges de les haggadàs tenen els drets reservats","","","application/pdf","24 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/97569","cat","","","","","","","CC-BY (text) - Tots els drets reservats (fotografies)","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Haggadot. Exposicions","Cultura i oci","dossiers de premsa","","Hagadàs Barcelona: l’esplendor jueva del gòtic català.","","text",""
"","Servei de Premsa","Barcelona","","2012-12-17","2012-12-17","","","","application/pdf","6 p.","10291","","Mandat 2011-2015","http://hdl.handle.net/11703/89826","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Enllumenat públic","Urbanisme i infraestructures","dossiers de premsa","Pla Director d'Il·luminació de Barcelona 2012-2015","Nou Pla d'Il·luminació de Barcelona","","text",""
"","Servei de Premsa","Barcelona","","2010-01-18","2010-01-18","","","","application/pdf","10 p.","18347","","Mandat 2007-2011","http://hdl.handle.net/11703/89855","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat viària. Accidents. Circulació urbana","Transport. Seguretat","dossiers de premsa","","Anàlisis de les dades de seguretat viària 2009","","text",""
"","Servei de Premsa","Barcelona","","2014-11-25","2014-11-25","","","","application/pdf","13 p.","17437","","Mandat 2011-2015","http://hdl.handle.net/11703/89843","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Barraquisme","Urbanisme i infraestructures","dossiers de premsa","","Barcelona recupera la memòria dels barris de les barraques","","text",""
"","Servei de Premsa","Barcelona","","2014-10-27","2014-10-27","","","","application/pdf","14 p.","16038","","Mandat 2011-2015","http://hdl.handle.net/11703/89838","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Internet sense fil. Espais públics","Ciència i tecnologia","dossiers de premsa","","Barcelona posa el servei Wifi a l'abast de tothom","","text",""
"","Servei de Premsa","Barcelona","","2017-01-03","2017-01-03","","","","application/pdf","16 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100809","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Reis mags. Espectacles i passatemps","Cultura i oci","dossiers de premsa","","Cavalcada de Reis 2017","","text",""
"","Servei de Premsa","Barcelona","","2008-06-19","2008-06-19","","","","application/pdf","8 p.","DS20080619_ASCENSORS","","Mandat 2007-2011","http://hdl.handle.net/11703/89803","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ascensors. Subvencions","Societat i benestar. Habitatge","dossiers de premsa","","L'Ajuntament de Barcelona universalitza els ajuts per a la instal·lació d'ascensors","","text",""
"","Trias, Xavier. Alcaldia. Servei de Premsa","Barcelona","","2014-03-18","2014-03-18","","","","application/pdf","11 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101802","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciutats digitals (Xarxes d'ordinadors). Ocupació. Desenvolupament econòmic. Política social","Ocupació. Societat i benestar","dossiers de premsa","","L'Alcalde Trias assegura que la principal prioritat del que queda de mandat és crear llocs de treball","","text",""
"","Servei de Premsa","Barcelona","","2017-02-22","2017-02-22","","","","application/pdf","11 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100807","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Robatori","Societat i benestar","dossiers de premsa","","Barcelona registra durant l'any 2016 un descens del 17,33% en els robatoris amb força a interior de domicili","","text",""
"","Servei de Premsa","Barcelona","","2009-11-20","2009-11-20","","","","application/pdf","43 p.","DS20091120_FAB","","Mandat 2007-2011","http://hdl.handle.net/11703/89814","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura. Art. Fàbriques. Arquitectura","","dossiers de premsa","","Les Fàbriques de Creació : presentació projectes arquitectònics","","text",""
"","Servei de Premsa","Barcelona","","2015","2015-03-30","","","","application/pdf","19 p.","18668","","Mandat 2011-2015","http://hdl.handle.net/11703/89908","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Esports","Societat i benestar. Esport","dossiers de premsa","","Balanç 2011-2015 de les polítiques i programes esportius de l'Ajuntament de Barcelona","","text",""
"","Servei de Premsa","Barcelona","2015","2015-09-09","2015","","","","application/pdf","7 p.","","","Mandat 2015-","http://hdl.handle.net/11703/83789","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Lloguers. Subvencions. Desnonament. Habitatge de lloguer. Política social. Política de l'habitatge","Habitatge","dossiers de premsa","","Nou ajut per al pagament del lloguer : el govern aprova un primer paquet de mesures per aturar els desnonaments i mobilitzar habitatge buit","","text",""
"","Servei de Premsa","Barcelona","","2015-11-20","2015-11-20","","","","application/pdf","10 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84298","cat","","","","","","","","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Vies ciclistes. Bicicletes","Transport","dossiers de premsa","Pla de Mobilitat Urbana de Barcelona 2013-2018. Pla de Foment de la Bicicleta a Barcelona 2013-2015","Estratègia de la bicicleta","","text",""
"","Institut Barcelona Esports","Barcelona","2017","2017-03-16","2017-03-16","","La prova, que combina el millor escenari amb un muntatge com els grans esdeveniments esportius internacionals, es disputarà el 8 de octubre en tres distàncies: olímpica, sprint i supersprint.","","application/pdf","1 p.","","organismes autònoms","Mandat 2015-","http://hdl.handle.net/11703/101743","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Triatló. Competicions esportives","Esport","notes de premsa","","S’obren les inscripcions del Barcelona Triathlon by Santander","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2016-06-03","2016-06-03","","","","application/pdf","1 p.","","","Mandat 2015-","http://hdl.handle.net/11703/97391","cas","","http://hdl.handle.net/11703/97388","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis d'informació a la comunitat","","notes de premsa","","El 010 será gratuito a partir del 2017; la síndica recomendó hace un año eliminar el sobrecoste","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2016-06-02","2016-06-02","","","","application/pdf","1 p.","","","Mandat 2015-","http://hdl.handle.net/11703/97388","cat","","http://hdl.handle.net/11703/97391","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis d'informació a la comunitat","","notes de premsa","","El 010 serà gratuït a partir del 2017; la síndica va recomanar eliminar-ne el sobrecost","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2016-11-11","2016-11-11","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/98944","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/98941","cat","","http://hdl.handle.net/11703/98944","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis funeraris. Preus","","notes de premsa","","L'Ajuntament accepta diferents recomanacions de la síndica i prendrà mesures per abaratir el preu dels serveis funeraris a Barcelona, un dels més cars d' Espanya","","text",""
"","Servei de Premsa","Barcelona","","2015-12-04","2015-12-04","","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84327","cat","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Comerç","notes de premsa","","L’Ajuntament amplia l’atenció al ciutadà de l’Oficina Municipal d’Informació al Consumidor","","text",""
"","Servei de Premsa","Barcelona. Districte 7. Horta-Guinardó. Carmel (Barcelona : Barri). Can Baró (Barcelona : Barri)","","2017-03-05","2017-03-05","","Aquest matí, el primer tinent d’alcaldia, Gerardo Pisarello, la regidora d’Horta-Guinardó, Mercedes Vidal i el comissionat de Programes de memòria, Ricard Vinyes, han participat a la inauguració de la placa commemorativa en homenatge als veïns que van viure als barris de barraques del Carmel i de Can Baró.","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/101763","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Homenatges. Barraquisme","Habitatge","notes de premsa","","Gerardo Pisarello i Mercedes Vidal inauguren la placa commemorativa en homenatge als veïns dels antics barris de barraques del Carmel i de Can Baró","","text",""
"","Servei de Premsa","Parc de Montjuïc (Barcelona)","","2017-02-22","2017-02-22","","","","application/pdf","1 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100819","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espectacles i passatemps","Cultura i oci","notes de premsa","","Barcelona rep el 2017 amb un gran espectacle a Montjuïc","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2017-03-14","2017-03-14","Podeu consultar la versió en català a: http://hdl.handle.net/11703/101419","","","application/pdf","4 p.","","","Mandat 2015-","http://hdl.handle.net/11703/101421","cas","","http://hdl.handle.net/11703/101419","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Convivència. Ordenances municipals. Civisme","Societat i benestar","notes de premsa","","Assumpció Vilà: ""La Ordenanza de convivencia no es eficaz para promover el civismo y castiga indebidamente a los colectivos vulnerables""","","text",""
"","Servei de Premsa","Barcelona","","2015-11-26","2015-11-26","Podeu consultar la Mesura de govern per a la creació de l'Oficina per a la Transparència i les Bones Pràctiques a: http://hdl.handle.net/11703/104943","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84311","cat","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina de Transparència i Bones Pràctiques. Transparència política. Informació pública. Participació ciutadana","Sector públic","notes de premsa","","Barcelona crea l’Oficina per la Transparència i les Bones Pràctiques","","text",""
"","Sindicatura de Greuges de Barcelona","Girona (Catalunya)","","2016-07-14","2016-07-14","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/98141","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/98139","cat","","http://hdl.handle.net/11703/98141","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets humans","Societat i benestar","notes de premsa","","Girona acollirà al novembre el primer Congrés Internacional de Defensors Locals, amb la síndica de Barcelona","","text",""
"","Servei de Premsa","Barcelona","","2015-11-29","2015-11-29","","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84316","cat","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","","notes de premsa","","Nou Barris impulsa la retirada de tota la simbologia franquista del districte","","text",""
"","Servei de Premsa","Barcelona","","2014-11-17","2014-11-17","","","","application/pdf. application/pdf","3 p.","18364","","Mandat 2011-2015","http://hdl.handle.net/11703/89930","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ocupació. Ocupació, Cerca d'. Atur","Ocupació","notes de premsa","","437 persones en risc d'exclusió social troben feina gràcies als programes municipals PISL i PROPER","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2016-10-14","2016-10-14","Podeu consultar la versió en català a: http://hdl.handle.net/11703/98607","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/98608","cas","","http://hdl.handle.net/11703/98607","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Impostos de plusvàlua. Béns immobles. Herència","Hisenda","notes de premsa","","Barcelona amplía el periodo para beneficiarse de una bonificación del 95% de la plusvalía de la residencia habitual en la transmisión por muerte de familiar directo","","text",""
"","Servei de Premsa","Glòries Catalanes, Plaça (Barcelona). Barcelona. Districte 10. Sant Martí","","2017-05-03","2017-05-03","La UTE formada pels arquitectes Francesc Llonch i Lucía Millet, serà l’encarregat de dissenyar el Pla Especial de Millora Urbana (PEMU) i un dels edificis dels quatre que conformaran l’illa","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/102008","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arquitectura. Concursos. Habitatge públic","Urbanisme i infraestructures","notes de premsa","","Un disseny que reinterpreta l'Eixample de Cerdà guanya el concurs d'arquitectura per edificar 280 habitatges de lloguer públic a l'Illa Glòries","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2017-09-18","2017-09-18","","","","application/pdf","1 p.","","","Mandat 2015-","http://hdl.handle.net/11703/105661","cas","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","","notes de premsa","","Abierta actuación de oficio para investigar el derrumbe de 140 ninchos en el cementerio de Montjuïc","","text",""
"","Servei de Premsa","Barcelona","","2015-11-24","2015-11-24","","","","application/pdf","5 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84309","cat","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Taula contra la Contaminació de l'Aire. Contaminació atmosfèrica","Medi ambient","notes de premsa","Pla per a la Millora de la Qualitat de l'Aire 2015-2018 (Barcelona)","L’Ajuntament crea la Taula Contra la Contaminació de l’Aire per treballar conjuntament amb les entitats i els agents del sector els problemes de contaminació atmosfèrica","","text",""
"","Servei de Premsa","Barcelona","","2015-11-26","2015-11-26","","","","application/pdf","4 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84310","cat","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","","notes de premsa","","L’Ajuntament de Barcelona concedeix la Medalla d’Honor a 15 entitats i a 10 persones per la seva contribució a la ciutat","","text",""
"","Servei de Premsa","Barcelona","","2015-12-28","2015-12-28","","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/86550","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Impostos immobiliaris. Pressupostos municipals","Economia","notes de premsa","","Gerardo Pisarello: “Fem servir les ordenances fiscals per mantenir la cohesió social a la ciutat”","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2017-04-04","2017-04-04","Podeu consultar la versió en català a: http://hdl.handle.net/11703/101690","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/101691","cas","","http://hdl.handle.net/11703/101690","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis funeraris. Preus","Economia. Societat i benestar","notes de premsa","","La síndica de Barcelona pide una reducción del IVA de los servicios funerarios","","text",""
"","Sindicatura de Greuges de Barcelona","Rambla, La (Barcelona). Barcelona. Districte 1. Ciutat Vella","","2016-08-01","2016-08-01","Podeu consultar la versió en català a: http://hdl.handle.net/11703/98132","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/98133","cas","","http://hdl.handle.net/11703/98132","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics. Terrasses (Hoteleria). Establiments comercials","","notes de premsa","","La síndica dice que hay que incrementar los recursos destinados para hacer inspecciones de las actividades comerciales y del uso del espacio público en la Rambla","","text",""
"","Servei de Premsa","Barcelona","2015-11","2015-11-14","2015-11-17","Declaracions de l'Alcaldessa amb motiu de l'acte terrorista perpetrat a Paris el 13-11-2015","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84118","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona. Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Terrorisme","Societat i benestar","notes de premsa","","Ada Colau: “Barcelona s’expressa unida contra la barbàrie viscuda a París”","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona. Districte 6. Gràcia","","2016-06-29","2016-06-29","Podeu consultar la versió en català: http://hdl.handle.net/11703/97529","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/97532","cas","","http://hdl.handle.net/11703/97529","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme","","notes de premsa","","La síndica pide más medidas para limitar el crecimiento turístico en Gracia","","text",""
"","Institut Barcelona Esports","Barcelona","2017","2017-05-16","2017-05-16","","","","application/pdf","1 p.","","organismes autònoms","Mandat 2015-","http://hdl.handle.net/11703/102460","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Jocs Paralímpics. Aniversaris. Esports. Competicions esportives","Esport","notes de premsa","","Les seus olímpiques i paralímpiques, protagonistes de la commemoració de Barcelona 92","","text",""
"","Servei de Premsa","Barcelona","","2015-10-22","2015-10-22","","","","application/pdf","6 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84244","cat","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública","Salut","notes de premsa","","L’Ajuntament incorpora a l’informe de salut un instrument d’anàlisi que mostra les desigualtats entre els barris de Barcelona","","text",""
"","Servei de Premsa","Barcelona","","2017-02-22","2017-02-22","","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100817","cat","","","","","http://hdl.handle.net/11703/100817","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consum responsable. Economia social","Comerç","notes de premsa","","Barcelona impulsa un nou model de consum responsable","","text",""
"","Servei de Premsa","Barcelona","2017","2017-04-13","2017-04-13","","Es tracta de la xifra mínima que el consistori es compromet a contractar als Centres Especials de Treball i Empreses d’Inserció social i d'altres entitats sense ànim de lucre. La quantia fixada per a contractació amb reserva social l’any 2016 va ser de 8,5 milions d'euros, xifra que ha estat assolida","","application/pdf","1 p.","","","Mandat 2015-","http://hdl.handle.net/11703/102019","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contractes administratius","Sector públic","notes de premsa","","L'Ajuntament fixa en 9 milions d'euros el mínim de contractació amb reserva social per a l'any 2017","","text",""
"","Servei de Premsa","Barcelona","","2008-11-05","2008-11-05","","","","","3 p.","2997","","Mandat 2007-2011","http://hdl.handle.net/11703/89866","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Policia local. Seguretat ciutadana","Seguretat","notes de premsa","","La Guàrdia Urbana de proximitat arriba als districtes de Gràcia, Nou Barris i Sant Andreu","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2017-02-23","2017-02-23","Podeu consultar la versió en català a:  http://hdl.handle.net/11703/100835","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100837","cas","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Impostos de plusvàlua","Hisenda","notes de premsa","","Maria Assumpció Vilà, síndica de Barcelona: ""El cobro de la plusvalía, si no se produce una ganancia económica, es una flagrante injusticia""","","text",""
"","Servei de Premsa","Barcelona","","2016-01-29","2016-01-29","","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/86563","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Sector públic","notes de premsa","","Sessió de control a l’alcaldessa","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2017-05-24","2017-05-24","Podeu consultar la versió en català a: http://hdl.handle.net/11703/102367","La síndica ha supervisado la queja del vecindario de la calle Leiva37, que ha sido comprada entera por una empresa; muy probablemente, las personas arrendatarias tendrán que irse. Vilà plantea que sea reconocido por Ley el derecho a tanteo y retracto a todos los inquilinos e inquilinas cuando se produzca la venta de su vivienda, limitar y controlar el precio del alquiler y ampliar la duración de los contratos de alquiler. Ahora la LAU, establece una excepción y no permite el derecho a tanteo y retracto cuando se lleve a cabo una venta conjunta de todos los pisos de una finca. Según  la  síndica,  esta  excepción  no  tiene  ninguna  justificación  en  unos momentos de alta especulación inmobiliaria y contraviene la función social de la propiedad.","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/102368","cas","","http://hdl.handle.net/11703/102367","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge de lloguer. Arrendament. Béns immobles","Societat i benestar. Habitatge","notes de premsa","","La síndica pide reformar la Ley de arrendamientos urbanos para mejorar los derechos de las personas residentes.","","text",""
"","Institut Barcelona Esports","Barcelona","","2017-02-22","2017-02-22","","","","application/pdf","2 p.","","organismes autònoms","Mandat 2015-","http://hdl.handle.net/11703/100801","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Esports. Competicions esportives","Esport","notes de premsa","","David Escudé donarà el tret de sortida de l'eDreams Mitja Marató de Barcelona","","text",""
"","Servei de Premsa","Barcelona","","2017-02-22","2017-02-22","","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100816","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Premis","Sector públic","notes de premsa","","Barcelona guardona els millors treballs en cultura, ciència, les lletres i les arts","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2017-02-23","2017-02-23","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/98607","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100835","cat","","","","","","http://hdl.handle.net/11703/100837","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Impostos de plusvàlua","Hisenda","notes de premsa","","Maria Assumpció Vilà, síndica de Barcelona:""El cobrament de la plusvàlua, sense un guany econòmic, és una flagrant injustícia""","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2017-09-14","2014-09-14","","","","application/pdf","3 p.","","","Mandat 2015-","http://hdl.handle.net/11703/105317","cas","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","","notes de premsa","","La síndica da la razón a unos vecinos de una finca de Sants-Montjuïc a los que el Ayuntamiento multó por no reparar con diligencia daños en la fachada causados por un camión de la basura.","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2015-11-18","2015-11-18","","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84126","cas","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","","notes de premsa","","El Ayuntamient de Barcelona pedirá a las empresas de Servicios Funerarios que se adhieran a la Junta Arbitral de Consumo","","text",""
"","Servei de Premsa","Barcelona","","2017-02-22","2017-02-22","","","","application/pdf","2 p.","","","Mandat 2015-","http://hdl.handle.net/11703/100813","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals","Sector públic","notes de premsa","","Aprovat el Pressupost 2017 que permetrà incrementar la despesa social i la inversió als barris","","text",""
"","Sindicatura de Greuges de Barcelona","Barcelona","","2016-06-10","2016-06-10","","","","application/pdf","1 p.","","","Mandat 2015-","http://hdl.handle.net/11703/97429","cas","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","","notes de premsa","","La síndica de Barcelona en contra de la reabertura del CIE de la Zona Franca","","text",""
