"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 47"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1975-07-22","1976-10-20","2001-09-30","1976-10-14","Aprovada pel Plenari del Consell Municipal el 22-10-1975","","Modifica l'Ordenanza sobre garajes, garajes-aparcamiento y estaciones de servicio [1967] [http://hdl.handle.net/11703/99632]","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 219 (12-09-1975), p. 14 | Gaseta Municipal de Barcelona, núm. 29 (20-10-1976), p. 672","","","http://hdl.handle.net/11703/101677","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/99632","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Garatges | Gasolineres | Garages | Service stations | Garajes | Estaciones de servicio","Legislació i justícia | Transport","documents digitalitzats | ordenances municipals","Ordenanza sobre garages, garages-aparcamiento y estaciones de servicio [1969] : modificació [1975-07-22]","Ordenança sobre garatges, garatges-aparcament i estacions de servei [1967] : modificació [1975-07-22]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1983-07-02","1983-10-17","1999-01-16","1983-10-18","Aprovada pel Plenari del Consell Municipal de 02-07-1983 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/99280 (ed. 1994 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91656 (ed. 1988 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91657 (ed. 1988 en castellà) | Referenciat pel Decret de l'Alcaldia de Condicions d'atorgament de les llicències de col·locació de banderoles i pancartes a la via pública [1990] [http://hdl.handle.net/11703/109486]","Modificada pel Plenari del Consell Municipal de 22-07-1987 [http://hdl.handle.net/11703/99089] | Derogats els títols I-III per l'Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999][http://hdl.handle.net/11703/89244] | Derogats els títols IV-VII per l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","Deroga el capítol III (articles 11-32) de l'Ordenança de policia de la via pública [1964][http://hdl.handle.net/11703/100459] | Deroga l'Ordenanza sobre recogida de basuras [1965] [http://hdl.handle.net/11703/106930] | Deroga l'Ordenanza sobre transporte y vertido de tierras [1968] | Deroga el Reglamento del servicio de recogida de desperdicios [1970] | Deroga la Ordenanza sobre instalación de contenedores en la via pública [1975] [http://hdl.handle.net/11703/100104] | Deroga el paràgraf 3 de l'article de l'Ordenança sobre publicitat [1979] [http://hdl.handle.net/11703/99960]","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 248 (17-10-1983), p. 13 | Gaseta municipal de Barcelona, núm. 31 (10-11-1983) p. 621-649 | Correccions d'errades: Gaseta municipal de Barcelona, núm 7 (10-03-1984), p. 175","","","http://hdl.handle.net/11703/91655","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/99280 | http://hdl.handle.net/11703/91656 | http://hdl.handle.net/11703/91657","","","","Reproducció digital del document en suport original","http://hdl.handle.net/11703/109486","","http://hdl.handle.net/11703/100459 | http://hdl.handle.net/11703/99960","","http://hdl.handle.net/11703/106930 | http://hdl.handle.net/11703/100104","http://hdl.handle.net/11703/99089 | http://hdl.handle.net/11703/89244 | http://hdl.handle.net/11703/91612","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Neteja | Neteja de carrers | Cleaning | Street cleaning | Limpieza | Limpieza urbana","Legislació i justícia | Societat i benestar | Medi ambient","ordenances municipals | documents digitalitzats","Ordenança de la neteja [1983]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1968-08-02","1971-02-28","2007-12-31","1969-01-07","Aprovada pel Plenari del Consell Municipal de 01-12-1967 i de 02-08-1968 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/101491 (ed. 1993 en català)","Modificada pel Plenari del Consell Municipal de 25-04-1970 [http://hdl.handle.net/11703/101451] | Modificada pel Plenari del Consell Municipal de 29-11-1971 [http://hdl.handle.net/11703/101452] | Modificada pel Plenari del Consell Municipal de 22-07-1975 [http://hdl.handle.net/11703/101453] | Modificada pel Plenari del Consell Municipal de 14-03-1980 [http://hdl.handle.net/11703/100996] | Modificada pel Plenari del Consell Municipal de 28-11-1984 [http://hdl.handle.net/11703/101454] | Modificada pel Plenari del Consell Municipal de 26-04-1985 [http://hdl.handle.net/11703/99002] | Modificada pel Plenari del Consell Municipal de 09-02-1990 [http://hdl.handle.net/11703/99005] | Modificada pel Plenari del Consell Municipal de 21-07-1995 [http://hdl.handle.net/11703/99007] | Modificada pel Plenari del Consell Municipal de 25-09-1996 [http://hdl.handle.net/11703/99008] | Modificada pel Plenari del Consell Municipal de 16-07-1998 [http://hdl.handle.net/11703/99013] | Modificada pel Plenari del Consell Municipal de 16-07-1999 [http://hdl.handle.net/11703/102141] | Modificada pel Plenari del Consell Municipal de 16-07-1999 [http://hdl.handle.net/11703/97224] | Modificada pel Plenari del Consell Municipal de 21-07-2004 [http://hdl.handle.net/11703/99014] | Modificada pel Plenari del Consell Municipal de 28-04-2006 [http://hdl.handle.net/11703/97217] | Derogada per l'Ordenança municipal de mercats [2008] [http://hdl.handle.net/11703/86852]","","Digitalitzat pel SEDAC","","application/pdf","16 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm 6 (28-02-1971), p. 206-221","","","http://hdl.handle.net/11703/96461","spa","","http://hdl.handle.net/11703/101491","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/86852","","","","http://hdl.handle.net/11703/101451 | http://hdl.handle.net/11703/101452 | http://hdl.handle.net/11703/101453 | http://hdl.handle.net/11703/101454 | http://hdl.handle.net/11703/100996 | http://hdl.handle.net/11703/99002 | http://hdl.handle.net/11703/99005 | http://hdl.handle.net/11703/99007 | http://hdl.handle.net/11703/99008 | http://hdl.handle.net/11703/99013 | http://hdl.handle.net/11703/102141 | http://hdl.handle.net/11703/97224 | http://hdl.handle.net/11703/99014 | http://hdl.handle.net/11703/97217","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenanzas municipales sobre mercados [1968]","Ordenanza de mercados [1968] | Ordenança de mercats [1968]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2004-11-24","2005-01-28","2011-05-18","2005-01-29","Aprovada pel Plenari del Consell Municipal de 24-11-2004","","Modifica l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","","","application/pdf","31 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 24 (28-01-2005), p. 28-58","","","http://hdl.handle.net/11703/97311","cat","","","","","","","","","http://hdl.handle.net/11703/91612","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Establiments de concurrència pública | Environment | Public areas | Medio ambiente | Establecimientos de concurrencia pública","Legislació i justícia | Medi ambient","ordenances municipals","Ordenança general del medi ambient urbà [1999] : modificació [2004-11-24]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1984-11-28","1985-04-23","1991-11-19","1985-05-24","Aprovada pel Plenari del Consell Municipal de 28-11-1984","Derogada per l'Ordenança de circulació de vianants i de vehicles [1991] [http://hdl.handle.net/11703/97287]","","","","application/pdf","","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 123 (23-04-1985), p. 7 | Publicada també a la Gaseta Municipal de Barcelona, núm. 16 (10-6-1985), p. 366-367","","","http://hdl.handle.net/11703/97294","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/97287","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Transport escolar | School transportation | Transporte escolar","Legislació i justícia | Transport","ordenances municipals | documents digitalitzats","Ordenança municipal reguladora del servei de transport escolar i de menors de caràcter urbà [1984]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Districte 5. Sarrià-Sant Gervasi",1883.0,"","1883","1883","","","","","","Digitalitzat per Artyplan per encàrrec del SEDAC","","application/pdf","115 p.","application/pdf","","","","","","http://hdl.handle.net/11703/110867","spa","Ajuntament de Barcelona","","","","","Reproducció digital del document en suport original","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.es | http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en","Barcelona: Ajuntament de Barcelona","Ordenances municipals | Municipal ordinances | Ordenanzas municipales","Sector públic","monografies | documents digitalitzats","Ordenanzas municipales de Sarriá","","text","info:eu-repo/semantics/book",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1980-03-14","1980-05-02","2011-05-30","1980-05-02","Aprovada pel Plenari del Consell Municipal de 14-03-1980","","Modifica l'Ordenanza de policia de abastos sobre panaderías [1963] [http://hdl.handle.net/11703/100494]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","8583","","Butlletí Oficial de la Província de Barcelona, núm. 106 (02-05-1980), p. 6 | Publicada també a la Gaseta Municipal de Barcelona, núm. 14 (20-05-1980), p. 310","","","http://hdl.handle.net/11703/91607","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/100494","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Fleques | Pa | Establiments comercials | Bakers and bakeries | Bread | Retail stores | Panaderías | Pan | Comercios","Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenanza de policía de abastos sobre panaderías [1963] : modificació [1980-03-14]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1925-09-28","1927-12-05","","","Aprovades pel Plenari del Consell Municipal de 28-09-1925","","","","","application/pdf","2 p.","application/pdf","","","Gaceta municipal de Barcelona., núm. 48 (05-12-1927), p. 948-949","","","http://hdl.handle.net/11703/106692","spa","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Urbanisme | City planning | Urbanismo","Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenanzas especiales para la edificación privada en las zonas laterales de la prolongación de la avenida de Alfonso XIII [1925]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1972-12-06","1974-03-10","1991-11-20","1974-03-02","Aprovada pel Plenari del Consell Municipal de 25-04-1971, de 25-04-1972 i de 06-12-1972 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/99321 (ed. 1974 en castellà)","Modificada pel Plenari del Consell Municipal de 29-06-1979 [http://hdl.handle.net/11703/100508] | Modificada pel Plenari del Consell Municipal de 14-03-1980 [http://hdl.handle.net/11703/100509] | Derogada per l'Ordenança de circulació de vianants i de vehicles [1991] [http://hdl.handle.net/11703/97287]","Deroga l'Ordenanza de circulación [1965] [http://hdl.handle.net/11703/99332]","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 53 (02-03-1974), p. 6 | Gaseta Municipal de Barcelona, núm. 7 (10-03-1974), p. 175-192","","","http://hdl.handle.net/11703/91622","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/99321","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91619","","","http://hdl.handle.net/11703/99332","http://hdl.handle.net/11703/100508 | http://hdl.handle.net/11703/100509","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Circulació urbana | Vianants | Urban traffic | Pedestrians | Circulación urbana | Peatones","Legislació i justícia | Transport","ordenances municipals | documents digitalitzats","Ordenanza de circulación [1971]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1963-07-16","1963-11-30","","1963-11-06","Aprovada pel Plenari del Consell Municipal de 16-07-1963 | Podeu consultar la versió no oficial a:http://hdl.handle.net/11703/96490 (ed. 1978 en castellà)","Derogada per l'Ordenanza sobre normas constructivas para la prevención de incendios [1974] [http://hdl.handle.net/11703/100139]","","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 266 (06-11-1963), p.9 | Gaseta Municipal de Barcelona, núm 5 (30-11-1963), p. 570-572","","","http://hdl.handle.net/11703/100462","cat","","http://hdl.handle.net/11703/96490","","","","","","http://hdl.handle.net/11703/100139","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Incendis | Fires | Incendios","Legislació i justícia | Seguretat","documents digitalitzats | ordenances municipals","Ordenanza sobre protección contra incendios de edificios y locales especiales [1964]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1927-11-21","1927-12-05","","","Aprovada pel Plenari del Consell Muncipal de 17-07-1924","","Modifica les Ordenanzas municipales de la ciudad de Barcelona [1891] [http://hdl.handle.net/11703/100152]","","","application/pdf","12 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 48 (05-12-1927), p. 935-948","","","http://hdl.handle.net/11703/106691","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/100152","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Ordenances municipals | Construcció | Edificis | Municipal ordinances | Building | Buildings | Ordenanzas municipales | Construcción | Edificios","Habitatge | Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenanzas municipales de la ciudad de Barcelona [1891]: modificació [1927-11-21]","Ordenanzas municipales en la parte que se refiere a obras particulares","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1971-04-26","1971-10-10","2006-07-13","1971-10-05","Aprovada pel Plenari del Consell Municipal de 26-04-1971 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/101491 (ed. 1993 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96474 (ed. 1978 en castellà)","Derogada per les Ordenanzas municipales de mercados [1968] : modificació [2006-04-28] [http://hdl.handle.net/11703/97217]","","Digitalitzat pel SEDAC","","application/pdf","2 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 238 (05-10-1971), p. 2 | Gaseta Municipal de Barcelona, núm. 28 (10-10-1971) p. 742-743","","","http://hdl.handle.net/11703/101465","spa","","http://hdl.handle.net/11703/101491 | http://hdl.handle.net/11703/96474","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/97217","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Comerç | Legislació i justícia","documents digitalitzats | ordenances municipals","Ordenanza municipal sobre el mercado central de frutas y hortalizas de la Unidad Alimentaria de Barcelona [1971]","Ordenança municipal sobre el mercat central de fruites y hortalizas de la Unidad Alimentaria de Barcelona [1971]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1983-02-02","1983-05-02","2002-05-22","1983-05-03","Aprovada pel Plenari del Consell Municipal de 21-09-1982 i de 02-02-1983 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96489 (ed. 1983 en català i castellà)","Derogats els Art. 112-117 per l'Ordenança de zones naturals i espais verd [1982] [http://hdl.handle.net/11703/96464] | Derogada per l'Ordenança sobre venda d'animals [2002] [http://hdl.handle.net/11703/91613]","Deroga els art. 112-117 de l'Ordenança de policia de la via pública [1964] [http://hdl.handle.net/11703/100459]","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 104 (02-05-1983), p. 9 | Gaseta municipal de Barcelona, núm. 13 (10-05-1983), p. 273-277","","","http://hdl.handle.net/11703/91649","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/96489","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91613","http://hdl.handle.net/11703/100459","","","http://hdl.handle.net/11703/96464","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Animals | Environment | Animals | Medio ambiente | Animales","Legislació i justícia | Medi ambient","ordenances municipals | documents digitalitzats","Ordenança sobre tinença d'animals [1983]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1997-10-24","1997-12-31","","1998-01-19","Aprovada pel Plenari del Consell Municipal de 24-10-1997","Modificada per l'Ordenança reguladora del procediment sancionador [2010] [http://hdl.handle.net/11703/89239] | Derogada per l'	Ordenança de Serveis Funeraris de Barcelona [2017] [http://hdl.handle.net/11703/106502]","Deroga l'Ordenança de cementiris [1985] [http://hdl.handle.net/11703/97239]","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","19823","","Butlletí Oficial de la Província de Barcelona, núm. 313, Annex IV (31-12-1997), p. 15-19","","","http://hdl.handle.net/11703/88836","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106502","","","http://hdl.handle.net/11703/97239","http://hdl.handle.net/11703/89239","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A.","Legislació i justícia | Societat i benestar","ordenances municipals","Ordenança reguladora dels Serveis Funeraris de l'Ajuntament de Barcelona [1997]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1992-01-24","1992-06-19","1999-01-15","1992-06-06","Aprovada pel Plenari del Consell Municipal de 24-01-1992","","Modifica l'Ordenança de circulació de vianants i de vehicles [1991] [http://hdl.handle.net/11703/97287]","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 147 (19-06-1992), p. 44 | Publicada també a la Gaseta Municipal de Barcelona, núm. 8 (29-02-1992), p. 307 i núm. 25 (10-09-1992), p. 782","","","http://hdl.handle.net/11703/97288","cat","","","","","","","","","http://hdl.handle.net/11703/97287","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Circulació urbana | Vianants | Urban traffic | Pedestrians | Circulación urbana | Peatones","Legislació i justícia | Transport","ordenances municipals","Ordenança de circulació de vianants i de vehicles [1991] : modificació [1992-01-24]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1992-04-24","1992-09-30","1999-06-16","1992-09-30","Aprovada pel Plenari del Consell Municipal de 24-04-1992","","Modifica l'Ordenança sobre el control de la contaminació per agents físics [1983] [http://hdl.handle.net/11703/91639]","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 235 (30-09-1992), p. 22 | Publicat també a la Gaseta Municipal de Barcelona, núm. 30 (30-10-1992), p. 957","","","http://hdl.handle.net/11703/107758","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91639","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Contaminació | Environment | Pollution | Medio ambiente | Contaminación","Legislació i justícia | Medi ambient","documents digitalitzats | ordenances municipals","Ordenança sobre el control de la contaminació per agents físics [1983] : modificació [1992-04-24]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1990-04-27","1990-10-31","1999-06-16","1990-11-01","Aprovada pel Plenari del Consell Municipal de 27-04-1990 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96489 (ed. 1983 en català i castellà)","","Modifica l'Ordenança sobre el control de la contaminació per agents físics [1983] [http://hdl.handle.net/11703/91639]","","","application/pdf","4 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 261 (31-10-1990), p. 10-13 | Publicada també a la Gaseta Municipal de Barcelona, núm 34 (30-11-1990) p. 1498-1501","","","http://hdl.handle.net/11703/98910","cat","","http://hdl.handle.net/11703/96489","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91639","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Contaminació | Environment | Pollution | Medio ambiente | Contaminación","Legislació i justícia | Medi ambient","ordenances municipals | documents digitalitzats","Ordenança sobre el control de la contaminació per agents físics [1983] : modificació [1990-04-27]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2002-04-26","2002-05-22","2004-01-08","2002-05-23","Aprovada pel Plenari del Consell Municipal de 26-04-2002","Derogada per l'Ordenança sobre la protecció, la tinença i la venda d'animals [2003] [http://hdl.handle.net/11703/96457]","Deroga l'Ordenança sobre tinença d'animals [1983] [http://hdl.handle.net/11703/91649]","","","application/pdf","16 p.","application/pdf","17754","","Butlletí Oficial de la Província de Barcelona, núm. 122 (22-05-2002), p. 41-56","","","http://hdl.handle.net/11703/91613","cat","","","","","","","","http://hdl.handle.net/11703/96457","","","http://hdl.handle.net/11703/91649","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Animals | Environment | Animals | Medio ambiente | Animales","Legislació i justícia | Medi ambient","ordenances municipals","Ordenança sobre venda d'animals [2002]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1996-10-25","1997-02-14","1997-12-31","1986-04-05","Aprovada pel Plenari del Consell Municipal de 25-10-1996","","Modifica l'Ordenança de cementiris [1985] [http://hdl.handle.net/11703/97239]","Digitalitzat pel SEDAC","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 39 (14-02-1997), p. 53","","","http://hdl.handle.net/11703/97240","cat","","","","","","","","","http://hdl.handle.net/11703/97239","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Cementiris | Cemeteries | Cementerios","Legislació i justícia | Cultura i oci | Societat i benestar","ordenances municipals","Ordenança de cementiris [1985] : modificació [1996-10-25]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1979-06-29","1980-01-20","1986-04-04","1979-11-10","Aprovada pel Plenari del Consell Municipal de 29-06-1979 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91653 (ed. 1984 en català)","Derogat Paràgraf 3 per l'Ordenança de la neteja [1983] [http://hdl.handle.net/11703/91655] | Derogada per l'Ordenança de les instal·lacions i activitats publicitàries [1986] [http://hdl.handle.net/11703/91627]","Deroga els art. 64-66 i 89-92 de l'Ordenança sobre policia de la via pública [1964] [http://hdl.handle.net/11703/91630]","Digitalitzat pel SEDAC","","application/pdf","4 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 269 (09-11-1979), p. 20 | Gaseta Municipal de Barcelona, núm. 2 (20-01-1980), p. 19-22","","","http://hdl.handle.net/11703/99960","spa","","http://hdl.handle.net/11703/91653","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91627","http://hdl.handle.net/11703/91630","","","http://hdl.handle.net/11703/91655","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Campanyes publicitàries | Advertising | Publicidad","Legislació i justícia","documents digitalitzats | ordenances municipals","Ordenanza sobre publicidad [1979]","Ordenança sobre publicitat [1979]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1972-12-06","1976-12-20","1999-06-16","1976-12-28","Aprovada pel Plenari del Consell Municipal de 06-12-1972 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/99370","Derogada per l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","Deroga l'Ordenanza municipal sobre minas y conducciones de agua [1962] [http://hdl.handle.net/11703/100493","Digitalitzat pel SEDAC","","application/pdf","10 p.","application/pdf","6511","","Boletín Oficial de la Provincia de Barcelona, núm. 194 (08-12-1976), p. 10 | Gaseta Municipal de Barcelona, núm. 35 (20-12-1976), p. 891-893","",8476096089.0,"http://hdl.handle.net/11703/91648","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/96474 | http://hdl.handle.net/11703/99370","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91612","","","http://hdl.handle.net/11703/100493","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Medi ambient | Aigua | Environment | Water | Medio ambiente | Agua","Sector públic | Legislació i justícia | Medi Ambient","ordenances municipals | documents digitalitzats","Ordenanza sobre minas, pozos de agua i acueductos [1972]","Ordenança sobre mines, pous d'aigua i aqüeductes [1972]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
