"dcAccrualPeriodicity","dcAccrualPolicy","dccontributor","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 46"
"","","","Departament d'Estudis i Programació | Gabinet Tècnic de Programació | Gerència Adjunta de Projectes Estratègics","","Barcelona. Districte 10. Sant Martí | Glòries Catalanes, Plaça (Barcelona) | Barcelona. District 10. Sant Martí | Glòries Catalanes, Square (Barcelona) | Barcelona. Distrito 10. Sant Martí | Glòries Catalanes, Plaza (Barcelona)","","","2014","2014-12","","","","application/pdf","72 p.","application/pdf","","","","","","http://hdl.handle.net/11703/91789","cat","Ajuntament de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rehabilitació urbana | Indicadors socials | Indicadors econòmics | Urban renewal | Social indicators | Economic indicators | Rehabilitación urbana | Indicadores sociales | Indicadores económicos","Urbanisme i infraestructures","informes d'avaluació i de seguiment | revistes i anuaris","","Observatori de Glòries Any zero 2013","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Districte 9. Sant Andreu","","Barcelona. Districte 9. Sant Andreu | Barcelona. District 9. Sant Andreu | Barcelona. Distrito 9. Sant Andreu","2020","","2020-05-07","2020-05","Informe presentat al Consell Plenari del Districte de Sant Andreu de 07-05-2020","Informe elaborat en el context de confinament davant l’emergència provocada per la COVID-19. | Report prepared in the context of confinement to the emergency caused by COVID-19. | Informe elaborado en el contexto de confinamiento ante la emergencia provocada por la COVID-19.","","application/pdf","7 p.","application/pdf","","","","districtes","Mandat 2019-","http://hdl.handle.net/11703/118683","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Coronavirus | Coronaviruses | Coronavirus | Serveis socials | Human services | Servicios sociales | Persones grans | Older people | Ancianos | Residències de persones grans | Old age homes | Hogares para ancianos | Confinament | Confinement | Confinamiento | Infants | Children | Niños | Salut pública | Public health | Salud pública | Participació ciutadana | Citizen participation | Participación ciudadana | Comerç al detall | Retail trade | Comercio al detalle | Mobilitat urbana | Urban mobility | Movilidad urbana | Activitats culturals | Cultural animation | Animación cultural","Salut | Sector públic | Seguretat | Societat i benestar | Comerç | Cultura i oci","informes als òrgans de govern | informes d'avaluació i de seguiment","","Informe de la Regidora : monogràfic COVID19","","text","info:eu-repo/semantics/report",""
"","","","Comissionat de l'Alcaldia per a la Immigració i el Diàleg Intercultural","","Barcelona | Barcelona | Barcelona","2009 | 2010","","2010-10-19","2010","Informe presentat a la Comissió de Cultura, Educació i Benestar Social del 19-10-2010, pel Sr. Daniel de Torres Barderi (Comissionat de l'Alcaldia per a la immigració i el diàleg intercultural)","","","application/pdf","22 p.","application/pdf","8103","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86768","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Reagrupament familiar | Immigrants | Política social | Family reunification | Immigrants | Social policy | Reagrupación familiar | Emigrantes | Política social","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa Acompanyament al Reagrupament Familiar (Barcelona)","Programa d'Acompanyament al reagrupament familiar : balanç gener 2009 - juliol 2010 : informe de govern","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Regidoria de Cicle de Vida, Feminismes i LGTBI | Àrea de Drets de Ciutadania, Participació i Transparència | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2016-04-19","2016-04-19","Presentat a la Comissió de Drets Socials, Cultura i Esports del 19-04-2016","","","application/pdf","119 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97367","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de la joventut | Indicadors socials | Youth policy | Social indicators | Política de juventud | Indicadores sociales","Demografia | Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Pla d'Adolescència i Joventut 2013-2016: resultats del 2015: pla d'accions 2016","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Departament de Transversalitat de Gènere | Gerència Municipal","","Barcelona | Barcelona | Barcelona","2019 | 2020","","2020-01","2020-01","","","","application/pdf","28 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/117751","cat","","","","","","","<a href=""http://hdl.handle.net/11703/112184"">Reglament per a l'equitat de gènere de l'Ajuntament [2018]</a>","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Igualtat entre els sexes | Gender equality | Igualdad de género","Sector públic","informes d'avaluació i de seguiment","","Reglament per a l’equitat de gènere a l’Ajuntament de Barcelona : informe de seguiment","","text","info:eu-repo/semantics/report",""
"","","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","2015 | 2016","","2016-10-06","2016-10","Informe presentat al Consell Plenari del Districte de Nou Barris de 06-10-2016","","","application/pdf","34 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/117936","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge | Housing policy | Política de vivienda | Casals de vacances | Camps | Campamentos | Lleure | Leisure | Tiempo libre | Política d'ocupació | Manpower policy | Política de empleo | Infraestructures urbanes | Urban infrastructures | Infraestructuras urbanas","Habitatge | Sector públic | Societat i benestar | Ocupació | Urbanisme i infraestructures","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Nou Barris (PAD) 2016-2019 (Barcelona)","Informe regidora Plenari 06-10-2016 [versió presentació]","","text","info:eu-repo/semantics/report",""
"Anual","Oberta","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2014","Si","2015","2015","","","","application/pdf","133 p.","application/pdf","","","","entitats públiques empresarials","Mandat 2011-2015","http://hdl.handle.net/11703/97442","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona | Política cultural | Equipaments culturals | Activitats culturals | Institut de Cultura de Barcelona | Cultural policy | Arts facilities | Cultural animation | Institut de Cultura de Barcelona | Política cultural | Equipamientos culturales | Animación cultural","Cultura i oci","memòries | informes d'avaluació i de seguiment","","Barcelona Cultura. Balanç 2014","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Drets Socials | Gerència de Drets Socials","","Barcelona. Districte 2. Eixample | Barcelona. Distrito 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Districte 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Barcelona. District 10. Sant Martí","2014 | 2015 | 2016","","2017-02-14","2017","Informe presentat a la Comissió de Drets Socials, Cultura i Esports 14-02-2017 | Citat a la Gaseta Municipal de Barcelona, núm. 10 (30-03-2017), p. 2190-2194","","","application/pdf","7 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/101779","cat","","","","http://hdl.handle.net/11703/84829","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Treball social amb les persones grans | Solitud | Noves tecnologies de la informació i de la comunicació | Internet i persones grans | Social work with older people | Solitude | Information technology | Internet and older people | Trabajo social con ancianos | Soledad | Tecnología de la información | Internet y ancianos","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Projecte Vincles BCN 2014-","VinclesBCN : informe situació 31 de gener de 2017","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Institut de Cultura de Barcelona | Parc de Recerca UAB | SOCOL Tecnologia Social, S.L.","","Barcelona | Barcelona | Barcelona","","","2015-12-31","2015-12-31","Sol·licitant de l'informe: Institut de Cultura de Barcelona","","","application/pdf","42 p.","application/pdf","","Núm. Exp. C150001630","","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/97138","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut de Cultura de Barcelona","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Fàbriques de creació | Art factories | Fábricas de creación","Cultura i oci","informes d'avaluació i de seguiment | informes altres","","Estudi per a l’avaluació qualitativa de la xarxa de Fàbriques de Creació","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia | Barcelona. Distrito 6. Gràcia | Barcelona. District 6. Gràcia","","","2017-06","2017-06","","","","application/pdf","6 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/113901","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política econòmica | Política pública | Strategic planning | Social policy | Economic policy | Government policy | Planificación estratégica | Política social | Política económica | Política gubernamental","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Gràcia (PAD) 2016-2019 (Barcelona)","Línies d'actuació al Districte de Gràcia 2016-2019 : balanç d'estat d'execució","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Foment de Ciutat, S.A. | Institut Català d'Avaluació de Polítiques Públiques | Alegre, Miquel Àngel | Farré, Marçal","","Trinitat Nova (Barcelona : Barri) | Trinitat Nova (Barcelona : Barrio) | Trinitat Nova (Barcelona : Neighborhood) | Bon Pastor (Barcelona : Barri) | Bon Pastor (Barcelona : Barrio) | Bon Pastor (Barcelona : Neighborhood) | Baró de Viver (Barcelona : Barri) | Baró de Viver (Barcelona : Barrio) | Baró de Viver (Barcelona : Neighborhood) | Besòs i el Maresme (Barcelona : Barri) | Besòs i el Maresme (Barcelona : Barrio) | Besòs i el Maresme (Barcelona : Neighborhood)","2016","","2016-12","2016-12","","","","application/pdf","22 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114672","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Barris | Barrios | Neighborhood | Avaluació | Evaluación | Evaluation | Política tecnològica | Política tecnológica | Technology policy","Societat i benestar","informes d'avaluació i de seguiment","Pla de Barris 2016-2026 (Barcelona)","Plantejaments i potencialitats del Pla de Barris : informe qualitatiu","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","2016","2016","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/97506 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","130 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97207","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/97506","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona : Informe 2015","Informe al Plenari del Consell Municipal 2015","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","2016","2016","Podeu consultar la versió en català a: http://hdl.handle.net/11703/97207 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","103 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97506","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/97207","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado | Sindicatura de Greuges de Barcelona","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2015","Informe al Plenario del Consejo Municipal 2015","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Salvador, María | Juárez-Martínez, Olga | Ruiz, María José","","Barcelona | Barcelona | Barcelona","","","2019","2019","","","","application/pdf","72 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114707","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Avaluació | Educació sanitària | Public health | Evaluation | Health education | Salud pública | Evaluación | Educación sanitaria","Salut","informes d'avaluació i de seguiment | revistes i anuaris","","Programes de promoció de la salut en centres d'educació primària i secundària de Barcelona : avaluació. Curs 2017-18","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Districte 1. Ciutat Vella","","Raval (Barcelona : Barri) | Raval (Barcelona : Barrio) | Raval (Barcelona : Neighborhood) | Barcelona. Districte 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella","","","2018-07-07","2018-07","Comissió de seguiment de la problemàtica de les drogues al Raval 18/7/2018","","","application/pdf","25 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/114060","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drogues | Seguretat ciutadana | Salut | Drogoaddicció | Espais públics | Delictes contra la propietat | Delinqüència | Drugs of abuse | Public security | Health | Drug addiction | Public spaces | Crimes against property | Crime | Drogas | Seguridad ciudadana | Salud | Drogadicción | Espacios públicos | Delitos contra la propiedad | Delincuencia","Societat i benestar","informes d'avaluació i de seguiment","Pla de Xoc per Abordar la Venda i el Consum de Drogues al Raval 2017-2020","Situació actual de la problemàtica de les drogues al Raval i les intervencions realitzades : juliol 2018","Informe pla de xoc","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2007","No","2008","2008","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87756 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","192 p.","application/pdf","3393","","","","Mandat 2003-2007","http://hdl.handle.net/11703/87811","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87756","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2007","Informe al Plenario del Consejo Municipal sobre la actividad de la Sindicatura en 2007","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Gerència Municipal","","Barcelona | Barcelona | Barcelona","2016 | 2017","","2017","2017-06","","","","application/pdf","15 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/116041","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política econòmica | Política ambiental | Política pública | Strategic planning | Social policy | Economic policy | Environmental policy | Government policy | Planificación estratégica | Política social | Política económica | Política ambiental | Política gubernamental","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació Municipal (PAM) 2016-2019 (Barcelona)","Balanç d'execució del PAM 2016-2019 a l'equador del Mandat","PAM 2016-2019","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Sector de Serveis Personals | Direcció de Benestar Social","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","2005-10-04","2005","Informe presentat a la Comissió de Cultura, Educació i Benestar del 04-10-2005, pel Sr. Ricard Josep Gomà Carmona (Segon Tinent d'Alcalde)","","","application/pdf","34 p.","application/pdf","8205","","","","Mandat 2003-2007","http://hdl.handle.net/11703/88681","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social | Serveis socials | Assistència social | Política social | Social integration | Human services | Public welfare | Social policy | Integración social | Servicios sociales | Bienestar social | Política social","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Marc Municipal per a l'Acció Comunitària (Barcelona) | Pla de Desenvolupament Comunitari (Barcelona)","Marc Municipal per a l'Acció Comunitària : informe","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Regidoria de Dones i Joventut | Gerència d'Educació, Cultura i Benestar","","Barcelona | Barcelona | Barcelona","2008","","2009-05-14","2009","Informe presentat a la Comissió d'Educació, Cultura i Benestar del 14-05-2009","","","application/pdf","47 p.","application/pdf","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/102119","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Punts d'Informació i Atenció a les Dones (PIADs) | Equip d'Atenció a les Dones (EAD) | Servei de Teleassistència Mòbil (TAM) | Servei d'Atenció a Homes (SAH) | Violència envers les dones | Indicadors socials | Punts d'Informació i Atenció a les Dones (PIADs) | Equip d'Atenció a les Dones (EAD) | Servei de Teleassistència Mòbil (TAM) | Servei d'Atenció a Homes (SAH) | Violence against women | Social indicators | Punts d'Informació i Atenció a les Dones (PIADs) | Equip d'Atenció a les Dones (EAD) | Servei de Teleassistència Mòbil (TAM) | Servei d'Atenció a Homes (SAH) | Violencia contra las mujeres | Indicadores sociales","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla Municipal contra la Violència vers les Dones 2007-2009 (Barcelona)","Informe balanç serveis i recursos en matèria de violència masclista 2008","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 9. Sant Andreu","","Barcelona. Districte 9. Sant Andreu | Barcelona. Distrito 9. Sant Andreu | Barcelona. District 9. Sant Andreu","2015 | 2016 | 2017 | 2018 | 2019","","2019","2019","","","","application/pdf","136 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112661","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política econòmica | Política pública | Strategic planning | Social policy | Economic policy | Government policy | Planificación estratégica | Política social | Política económica | Política gubernamental","Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Sant Andreu (PAD) 2016-2019 (Barcelona)","Balanç de mandat : Districte de St. Andreu 2015-2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Institut Municipal d'Educació (Barcelona) | Institut Infància i Adolescència de Barcelona | Saurí, Enric","Sintes Pascual, Elena","Barcelona. Districte 2. Eixample | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 10. Sant Martí | Barcelona. District 2. Eixample | Barcelona. District 7. Horta-Guinardó | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 10. Sant Martí | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 10. Sant Martí","2015 | 2016","","2017","2017-09","És base per l'elaboració del resum executiu de l'Informe [http://hdl.handle.net/11703/108121] | Sol·licitant de l’informe: Institut Municipal d'Educació (Barcelona)","","","application/pdf","83 p.","application/pdf","","Núm. Exp. I160000040","","consorcis | organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/106066","cat","","","","","http://hdl.handle.net/11703/108121","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Institut Infància i Adolescència de Barcelona","","","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Mobilitat urbana | Infants | Entorn escolar | Urban mobility | Children | School environment | Movilidad urbana | Niños | Ambiente escolar","Transport | Educació","informes d'avaluació i de seguiment | informes altres","Programa Camí Escolar, Espai Amic 2007- (Barcelona)","Avaluació del programa Camí escolar, espai amic : eines per un seguiment i avaluació : informe","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Drets Socials | Institut Municipal d'Educació (Barcelona)","","Barcelona | Barcelona | Barcelona","2016 | 2017 | 2018 | 2019","","2019-04","2019","","","","application/pdf","9 p.","application/pdf","","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/117579","cat","Institut Municipal d'Educació (Barcelona)","","","","","","<a href=""http://hdl.handle.net/11703/98717"">Mesura de govern</a>","","","CC-BY","info:eu-repo/semantics/openAccess","","","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Política educativa | Educational policy | Política educativa | Educació | Education | Educación | Universitats | Universities | Universidades | Consell Assessor Municipal d'Universitats (Barcelona) | Consell Assessor Municipal d'Universitats (Barcelona) | Consell Assessor Municipal d'Universitats (Barcelona)","Educació","informes als òrgans de govern | informes d'avaluació i de seguiment","","Informe de seguiment de la mesura de govern ""Barcelona i universitat"" : un objectiu comú"" : 2016-2019","","text","info:eu-repo/semantics/report",""
"","","","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts | Barcelona. Distrito 4. Les Corts | Barcelona. District 4. Les Corts","2014 | 2015 | 2016 | 2017 | 2018","Si","2019","2019","Presentat al Ple del Consell del Districte de Les Corts de 06-03-2019","","","application/pdf","9 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112745","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social | Discapacitats | Social integration | People with disabilities | Integración social | Personas con discapacidad","Societat i benestar","informes als òrgans de govern | memòries | informes d'avaluació i de seguiment","Programa de persones amb discapacitat i Espai d’Inclusió 20+ 20 + 20 (2015-2018)","Programa de persones amb discapacitat Espai d'Inclusió 20+20+20 : Informe de gestió 2014-2018. Districte de Les Corts","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"Anual","Oberta","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","2013-06","2013","","","","application/pdf","306 p.","application/pdf","","","","entitats públiques empresarials","Mandat 2011-2015","http://hdl.handle.net/11703/97444","cat","","","","","","","http://hdl.handle.net/11703/88057","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona | Política cultural | Equipaments culturals | Activitats culturals | Institut de Cultura de Barcelona | Cultural policy | Arts facilities | Cultural animation | Institut de Cultura de Barcelona | Política cultural | Equipamientos culturales | Animación cultural","Cultura i oci","memòries | informes d'avaluació i de seguiment","","Barcelona Cultura. Balanç 2012","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Regidoria de Dona i Drets Civils | Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","2012 | 2013 | 2014 | 2015","","2015-02-17","2015","Informe presentat a la Comissió de Qualitat de Vida, Joventut i Esports el 17-02-2015 | Forma part de la col·lecció : Dones de Barcelona.","","","application/pdf","28 p.","application/pdf","17897","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86758","cat","Ajuntament de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discriminació en el treball | Igualtat entre els sexes | Discrimination in employment | Gender equality | Discriminación en el trabajo | Igualdad de género","Societat i benestar | Ocupació","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla Municipal per a la Igualtat d'Oportunitats Real i Efectiva entre Dones i Homes 2012-2015 (Barcelona)","Pla per a la igualtat d'oportunitats real i efectiva entre dones i homes (2012-2015) : informe d'avaluació sobre els resultats obtinguts en l'àmbit de l'ocupació femenina","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","","Consorci Sanitari de Barcelona | Agència de Salut Pública de Barcelona | Juárez-Martínez, Olga | Pasarín Rúa, Maria Isabel | Ramos, Pilar | Vázquez, Noelia | Casañ, Borja","","Barcelona | Barcelona | Barcelona","2013 | 2014","","2015","2015","Educació sanitària | Educación sanitaria | Health education","","","application/pdf","78 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/114006","cat","Consorci Sanitari de Barcelona | Agència de Salut Pública","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació primària | Educació secundària | Política sanitària | Primary education | Secondary education | Medical policy | Educación primaria | Educación secundaria | Política sanitaria","Salut","informes d'avaluació i de seguiment","","Programes de promoció de la salut en centres d'educació primària i secundària de la ciutat de Barcelona : avaluació del curs 2013-2014","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
