"Tipus_despesa","Codi_Organic","Descripcio_organic","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Despesa no financera",601,"Ciutat Vella",45.8,44.8,45.7,46.5,47.7,46.9,48.3,50.3,51.9,54.2
"Despesa no financera",602,"Eixample",38.5,38.1,40.6,40.9,41.3,42.0,42.4,44.5,44.1,45.8
"Despesa no financera",603,"Sants-Montjuïc",41.7,37.4,34.6,35.9,36.1,37.3,37.1,37.8,38.3,38.6
"Despesa no financera",604,"Les Corts",19.2,15.4,15.6,16.6,17.7,17.5,16.8,17.1,17.1,17.1
"Despesa no financera",605,"Sarrià-St.Gervasi",28.9,21.9,21.6,24.0,22.2,23.9,22.2,22.4,24.0,23.7
"Despesa no financera",606,"Gràcia",27.6,25.3,31.9,24.0,24.3,23.7,26.9,26.3,26.2,26.2
"Despesa no financera",607,"Horta-Guinardó",27.9,31.3,27.5,28.5,28.8,28.8,32.0,32.3,32.4,32.9
"Despesa no financera",608,"Nou Barris",26.6,25.2,26.9,27.6,28.2,30.5,34.8,38.2,37.7,38.6
"Despesa no financera",609,"St. Andreu",32.1,31.2,31.4,31.9,42.3,27.8,29.3,28.9,29.7,31.3
"Despesa no financera",610,"St. Martí",38.9,37.7,39.9,38.5,39.8,42.0,43.1,44.4,45.1,45.9
"Despesa no financera",701,"Economia / Presidència i Economia",0.0,0.0,29.6,28.7,30.5,88.3,174.4,96.6,80.6,87.8
"Despesa no financera",701,"Promoció econòmica",63.6,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa no financera",702,"Empresa i Ocupació / Ocupació, Empresa i Turisme",0.0,0.0,61.7,46.2,68.0,74.0,54.6,49.1,61.5,59.0
"Despesa no financera",703,"Serveis Centrals",0.0,0.0,562.1,524.5,748.6,627.7,636.3,587.7,464.5,419.9
"Despesa no financera",704,"Gerència turisme, comerç i mercats",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,16.3
"Despesa no financera",801,"Cultura, Coneix., Creativ. i Innov. / Drets Ciutadania, Particip. i Transp.",0.0,0.0,210.7,203.6,213.5,226.2,180.0,73.4,200.3,194.5
"Despesa no financera",801,"Educació, Cultura i Benestar",249.4,248.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa no financera",9901,"Serveis Centrals",706.4,616.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa no financera",9902,"Serveis Centrals FEOSL",81.7,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",101,"Recursos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",101,"Serveis generals i Coord. Territ.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",102,"Recursos Humans i Organització",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa financera",103,"Finances",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
