"ANY","CONCEPTE","CODI_OPERACIÓ","TIPUS_OPERACIÓ","CODI_CAPÍTOL","NOM_CAPÍTOL","AJUNTAMENT_INDIVIDUAL","AGREGAT_NO_CONSOLIDAT","ELIMINACIÓ_ TRANSFERENCIES_INTERNES","TOTAL_CONSOLIDAT"
2014,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",106500,107676,0,107676
2014,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",130800,130800,0,130800
2014,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",347527,568503,0,568503
2014,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",563672,826789,-654,826135
2014,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",41584,45690,0,45690
2014,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",922194,1010564,-476308,534256
2014,"DESPESES","A","OPERACIONS CORRENTS",5,"FONS DE CONTINGÈNCIA",24854,24854,0,24854
2014,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",400992,410665,0,410665
2014,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",25297,33991,-8693,25297
2014,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",116383,117174,0,117174
2014,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",131496,131523,0,131523
2015,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",943767,943767,0,943767
2015,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",55750,55750,0,55750
2015,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",260080,324683,-539,324145
2015,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1052677,1567716,-487829,1079887
2015,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",42136,47826,0,47826
2015,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",500,500,0,500
2015,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",29107,43476,-9908,33569
2015,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",5000,9871,0,9871
2015,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",161550,161550,0,161550
2015,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",355786,579501,0,579501
2015,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",603469,862718,-739,861979
2015,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",34708,35252,0,35252
2015,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",995670,1093139,-487628,605511
2015,"DESPESES","A","OPERACIONS CORRENTS",5,"FONS DE CONTINGÈNCIA",6478,6643,0,6643
2015,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",352109,363633,-619,363013
2015,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",21741,30630,-9288,21341
2015,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",21422,24415,0,24415
2015,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",159184,159211,0,159211
2016,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",989187,989187,0,989187
2016,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",55480,55480,0,55480
2016,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",253579,321799,-276,321523
2016,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1077016,1659748,-549208,1110541
2016,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",43113,50353,-884,49469
2016,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",4500,4500,0,4500
2016,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",19220,34939,-11652,23288
2016,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",5000,7253,0,7253
2016,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",161550,161550,0,161550
2016,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",370326,619912,0,619912
2016,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",636291,934604,-345,934259
2016,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",24851,25205,0,25205
2016,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",1073819,1179950,-550021,629929
2016,"DESPESES","A","OPERACIONS CORRENTS",5,"FONS DE CONTINGÈNCIA",8647,8794,0,8794
2016,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",268282,277918,0,277918
2016,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",19908,31660,-11652,20008
2016,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",48811,49028,0,49028
2016,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",157709,157736,0,157736
2017,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",1039801,1039801,0,1039801
2017,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",60930,60930,0,60930
2017,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",280117,434548,-6480,428069
2017,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1083327,1734361,-604477,1129884
2017,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",42097,49060,0,49060
