"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"Regidoria de Feminismes i LGTBI | Macaya-Andrés, Laura | Saliente Andrés, Anna | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2018-05","2018-05","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/108611 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/109241 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/109242","","","Annexo 1. Materiales del protocol en la sala | Annexo 2. Díptico para la persona agredida en casos graves","","application/pdf","30 p.","application/pdf","","","","","","http://hdl.handle.net/11703/108612","spa","","http://hdl.handle.net/11703/108611 | http://hdl.handle.net/11703/109241 | http://hdl.handle.net/11703/109242","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vida nocturna | Discoteques | Bars | Sales de concerts | Festivals de música | Assetjament sexual | Delictes sexuals | Nightlife | Nightclubs | Bars (Drinking establishments) | Concert halls | Music festivals | Sexual harassment | Sex crimes | Vida nocturna | Discotecas | Bares | Salas de conciertos | Festivales musicales | Acoso sexual | Delitos sexuales","Cultura i oci | Societat i benestar","protocols","","Protocolo ""No callamos"" contra las agresiones y los acosos sexuales en espacios de ocio nocturno privado","","text","info:eu-repo/semantics/other",""
"Àrea de Medi Ambient i Serveis Urbans | Gerència d'Hàbitat Urbà | Direcció de Serveis del Cicle de l'Aigua","","","","","2012","2012-11","","","","","","","","application/pdf","11 p.","application/pdf","BAB_11645","","","","","http://hdl.handle.net/11703/91586","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques | Fonts | Aigua | Public works | Fountains | Water | Obras públicas | Fuentes | Agua","Urbanisme i infraestructures","protocols","","Criteris tècnics generals per al subministrament i instal·lació de fonts públiques","","text","info:eu-repo/semantics/other",""
"Gerència Municipal","","Barcelona | Barcelona | Barcelona","","","2016-05-27","2016-05-27","","","Basat en la regulació aprovada per la Comissió de Govern de 15-04-2015 per la qual s'ordenen els documents municipals que incideixen sobre la interpretació i aplicació de les normes i es crea el Registre Municipal d'Instruccions i Circulars | Aquest protocol té per objecte regular la incorporació dels perfils de contractant de l'Ajuntament de Barcelona en la Plataforma de Serveis de contractació pública de la Generalitat de Catalunya","","","","","application/pdf","1 p.","application/pdf","","","","","","http://hdl.handle.net/11703/97361","cat","","","","http://hdl.handle.net/11703/86212 | http://hdl.handle.net/11703/97317","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Adjudicació de contractes | Contractes administratius | Letting of contracts | Public contracts | Adjudicación administrativa | Contratos administrativos","Sector públic","protocols","","Protocol d’incorporació a la Plataforma de Serveis de Contractació Pública (PSCP)","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Generalitat de Catalunya | Ministerio de Indústria, Turismo y Comercio | Fira Internacional de Barcelona | Cambra Oficial de Comerç, Indústria i Navegació de Barcelona | Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","","","2011-06-15","2011","","","Aprovat pel Ministre d'Indústria, Turisme i Comerç , el Conseller d'Empresa i Ocupació de la Generalitat de Catalunya i l'Alcalde de Barcelona el 15-06-2011 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/106705 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/106704","","","","","application/pdf","3 p.","application/pdf","","","","fundacions","","http://hdl.handle.net/11703/106702","cat","","http://hdl.handle.net/11703/106705 | http://hdl.handle.net/11703/106704","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Generalitat de Catalunya | Ajuntament de Barcelona | Ministerio de Indústria, Turismo y Comercio","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Mobile World Capital Foundation | Inversions | Fundació Barcelona Mobile World Capital Foundation | Investments | Fundació Barcelona Mobile World Capital Foundation | Inversiones","Economia","protocols | documents digitalitzats","","Protocol de suport a la candidatura de Barcelona a Mobile World Capital","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Regidoria de Feminismes i LGTBI | Macaya-Andrés, Laura | Saliente Andrés, Anna | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2018-05","2018-05","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/108611 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/108612 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/109242","","","Annexe 1. Materials from the protocol in venues | Annexe 2. Leaflet for a person who has been seriously assaulted","","application/pdf","29 p.","application/pdf","","","","","","http://hdl.handle.net/11703/109241","eng","","http://hdl.handle.net/11703/108611 | http://hdl.handle.net/11703/108612 | http://hdl.handle.net/11703/109242","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vida nocturna | Discoteques | Bars | Sales de concerts | Festivals de música | Assetjament sexual | Delictes sexuals | Nightlife | Nightclubs | Bars (Drinking establishments) | Concert halls | Music festivals | Sexual harassment | Sex crimes | Vida nocturna | Discotecas | Bares | Salas de conciertos | Festivales musicales | Acoso sexual | Delitos sexuales","Cultura i oci | Societat i benestar","protocols","","Protocol “We won’t keep quiet” campaign against sexual assault and harassment in private night-time leisure venues","","text","info:eu-repo/semantics/other",""
"Diputació de Barcelona | Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011 | 2012 | 2013","","2008-10-02","2008","","","Aprovat pel president de la Diputació de Barcelona i per l'Alcalde de Barcelona el 02-10-2008","","","","","application/pdf","4 p.","application/pdf","","","","","","http://hdl.handle.net/11703/106713","cat","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Diputació de Barcelona | Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Patrimoni cultural | Born Centre Cultural (Barcelona) | Mercat Encants Vells Fira de Bellcaire (Barcelona) | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona | Cultural heritage | Born Centre Cultural (Barcelona) | Mercat Encants Vells Fira de Bellcaire (Barcelona) | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona | Patrimonio cultural | Born Centre Cultural (Barcelona) | Mercat Encants Vells Fira de Bellcaire (Barcelona) | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","Cultura i oci","protocols | documents digitalitzats","","Protocol sobre la col·laboració de la Diputació de Barcelona i l'Ajuntament de Barcelona per a la dinamització i projecció del patrimoni cultural, econòmic i comercial de la ciutat de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Sector d'Urbanisme i Infraestructures","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","Aquest protocol té per objecte clarificar i homogeneïtzar la tramitació de projectes d'obra  ordinària d'edificació amb ús determinat que realitzen les societats municipals que tramiten els projectes a través del Sector d'Urbanisme i Infraestructures  Així mateix, l'apartat IV.1.2.3 i 4 serà d'aplicació amb caràcter general als projectes d'obres municipals que no tramita el Sector d'Urbanisme i Infraestructures però que necessiten de la seva Conformitat Tècnica del Projecte.","","","","","application/pdf","25 p.","application/pdf","11653","","","","","http://hdl.handle.net/11703/111823","cat","","","","","","Reproducció digital del document en suport original","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Obres públiques | Obras públicas | Public works","Urbanisme i infraestructures","protocols","","Protocol de tramitació del Sector d'Urbanisme i Infraestructures dels projectes d'obres ordinàries d'edificació amb ús o activitat determinada de les societats municipals","","text","info:eu-repo/semantics/other",""
"Regidoria de Feminismes i LGTBI | Macaya-Andrés, Laura | Saliente Andrés, Anna | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2018-05","2018-05","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/108611 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/108612 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/109241","","","Annexe 1. Matériel du protocole dans la salle | Annexe 2. Dépliant pour la personne agressée dans les cas graves","","application/pdf","30 p.","application/pdf","","","","","","http://hdl.handle.net/11703/109242","fra","","http://hdl.handle.net/11703/108611 | http://hdl.handle.net/11703/108612 | http://hdl.handle.net/11703/109241","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vida nocturna | Discoteques | Bars | Sales de concerts | Festivals de música | Assetjament sexual | Delictes sexuals | Nightlife | Nightclubs | Bars (Drinking establishments) | Concert halls | Music festivals | Sexual harassment | Sex crimes | Vida nocturna | Discotecas | Bares | Salas de conciertos | Festivales musicales | Acoso sexual | Delitos sexuales","Cultura i oci | Societat i benestar","protocols","","Protocole « Ne nous taisons pas » contre les agressions et le harcèlement sexuel dans les espaces de loisirs nocturnes privés","","text","info:eu-repo/semantics/other",""
"Generalitat de Catalunya | Ajuntament de Barcelona | Ministerio de Indústria, Turismo y Comercio | Turisme de Barcelona | Fira Internacional de Barcelona","","Barcelona | Barcelona | Barcelona","","","2015-03-26","2015","","","Aprovat pel Conseller d'Empresa i Ocupació de la Generalitat de Catalunya, l'Alcalde de Barcelona, el Ministre d'Energia, Turisme i Comerc, Fira Internacional de Barcelona i Turisme de Barcelona el 26-03-2015 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/106707","","","","","application/pdf","3 p.","application/pdf","","","","consorcis","","http://hdl.handle.net/11703/106706","cat","","http://hdl.handle.net/11703/106707","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Generalitat de Catalunya | Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Mobile World Capital Foundation | Inversions | Fundació Barcelona Mobile World Capital Foundation | Investments | Fundació Barcelona Mobile World Capital Foundation | Inversiones","Economia","protocols | documents digitalitzats","","Protocol de renovació del contracte amb data 14 de juliol de 2011 que designa a Barcelona com a ciutat de la World Capital Project","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Alcaldia","","Barcelona | Barcelona | Barcelona","","","2009-06-19","2011-11-30","","","Aprovat per Decret de l'Alcaldia de 10-06-2009","","","","","application/pdf","7 p.","application/pdf","8568","","Gaseta Municipal de Barcelona, núm. 31 (30-11-2011), p. 3246-3432","","","http://hdl.handle.net/11703/85873","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Public spaces | Espacios públicos","Urbanisme i infraestructures","protocols","","Protocol d'actuació per a ocupacions temporals de sòls de titularitat municipal","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2014-11-21","2014-12-05","","","Aprovat per Decret de l'Alcaldia de 21-11-2014","","","","","application/pdf","12 p.","application/pdf","17241","","Butlletí Oficial de la Província de Barcelona, núm 05-12-2014 | Publicat també a la Gaseta Municipal de Barcelona, núm. 33 (10-12-2014), p. 5902-5914","","","http://hdl.handle.net/11703/91575","cat","Ajuntament de Barcelona","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Digitalització | Materials d'arxiu | Patrimoni bibliogràfic i documental | Digitization | Archival materials | Bibliographic and documentary heritage | Digitalización | Materiales de archivo | Patrimonio bibliográfico y documental","Sector públic","protocols","","Protocol de digitalització segura de l'Ajuntament de Barcelona","","text","info:eu-repo/semantics/other",""
"Gerència d'Hàbitat Urbà | Gerència de Coordinació Territorial | Gerència de Prevenció, Seguretat i Mobilitat","","Barcelona | Barcelona | Barcelona","","","2013","2013-10-01","","","Aquest protocol té per objecte regular l'encàrrec, supervisió i tramitació dels projectes, així com el seguiment i la recepció de les obres ordinàries d'infraestructures, i/o elements d'urbanització, que realitzen els diferents operadors municipals, d'acord amb el Decret de l'Alcaldia de 17-04-2012, pel qual s'aprova el procediment per a l'elaboració i la tramitació dels projectes i l'execució de les obres municipals","","","","","application/pdf","1 document (2 arxius)","application/pdf","16451","","","","","http://hdl.handle.net/11703/91589","cat","","","http://hdl.handle.net/11703/91590","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques | Public works | Obras públicas","Urbanisme i infraestructures","protocols","","Protocol de tramitació dels projectes i seguiment de les obres ordinàries d'infraestructures i/o elements d'urbanització, conservació i millora, i projectes d'urbanització","","text","info:eu-repo/semantics/other",""
"Institut Barcelona Esports | Institut Municipal de Persones amb Discapacitat (Barcelona)","","","","","2009","2009","","","","","","","","application/pdf","28 p.","application/pdf","2999","","","organismes autònoms","","http://hdl.handle.net/11703/91578","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discapacitats | Esports per a discapacitats | Instal·lacions esportives | People with disabilities | Sports for people with disabilities | Sports facilities | Personas con discapacidad | Minusválidos-Deportes | Instalaciones deportivas","Esport | Societat i benestar","protocols","Programa Per un Esport Sense Barreres 2009 (Barcelona)","Protocol d'atenció a les persones amb discapacitat en els centres esportius municipals de la ciutat de Barcelona","","text","info:eu-repo/semantics/other",""
"Xarxa Audiovisual Local, S.L.","","Barcelona | Barcelona | Barcelona","","","2015-01-29","2015-03-04","","","Aprovat pel Consell d'Administració de 29-01-2015","","","","","application/pdf","30 p.","application/pdf","","","Diari Oficial de la Generalitat de Catalunya, núm. 6823 (04-03-2015)","societats mercantils","","http://hdl.handle.net/11703/106712","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Xarxa Audiovisual Local, S.L. | Comunicació audiovisual | Telecomunicació | Xarxa Audiovisual Local, S.L. | Broadcasting | Telecommunication | Xarxa Audiovisual Local, S.L. | Comunicación audiovisual | Telecomunicaciones","Ciència i tecnologia","protocols","","Protocol General dels Serveis de la Xarxa Audiovisual Local, S.L. [2015 text refós]","","text","info:eu-repo/semantics/other",""
"Sector de Serveis Personals | Direcció de Benestar Social | Direcció de Dona i Drets Civils | Alemany Vidal, Rosa M. | Garriga, Rosa | Saiz Lloret, Margarida | Álvarez Freijo, Marta | Augè Gomà, Mònica | Cantera Espinosa, Leonor M. (María) | Hernández, Merche | Montesinos, Cande | Ruiz, Lidia | Santaugini, Laia | Sanuy Jordà, Matilde | Serra, Sílvia","","Barcelona | Barcelona | Barcelona","","","2007-07-06","2007","","","Forma part de la col·lecció: SSAP 6 juliol 07","","","","","application/pdf","59 p.","application/pdf","10768","","","","","http://hdl.handle.net/11703/91571","cat","Direcció Dona i Drets Civils","http://hdl.handle.net/11703/91584","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dones maltractades | Violència envers les dones | Treball social | Intervenció social | Abused women | Violence against women | Social work | Social intervention | Mujeres maltratadas | Violencia contra las mujeres | Trabajo social | Intervención social","Societat i benestar | Sector públic | Seguretat","protocols","","Protocolització de la intervenció individualitzada amb dones que viuen o han viscut violència de gènere","","text","info:eu-repo/semantics/other",""
"Direcció d'Inversions i Espai Vial | Departament de Vialitat | Àrea de Medi Ambient","","Barcelona | Barcelona | Barcelona","","","2010","2010-04","","","Versió 3","","","Protocol de Recepció;  Reglament d'Explotació, Servei de Manteniment","","application/pdf","9 p.","application/pdf","13970","Ref.: VEA.0096-08/v3","","","","http://hdl.handle.net/11703/91582","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Escales mecàniques | Obres públiques | Escalators | Public works | Escaleras mecánicas | Obras públicas","Urbanisme i infraestructures","protocols","","Condicions per a posar en funcionament escales mecàniques & ascensors","","text","info:eu-repo/semantics/other",""
"Generalitat de Catalunya | Ajuntament de Barcelona | Ministerio de Indústria, Turismo y Comercio | Turisme de Barcelona | Fira Internacional de Barcelona","","Barcelona | Barcelona | Barcelona","","","2015-03-26","2015","","","Aprovat pel Conseller d'Empresa i Ocupació de la Generalitat de Catalunya, l'Alcalde de Barcelona, el Ministre d'Energia, Turisme i Comerc, Fira Internacional de Barcelona i Turisme de Barcelona el 26-03-2015 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/106706","","","","","application/pdf","3 p.","application/pdf","","","","consorcis","","http://hdl.handle.net/11703/106707","spa","","http://hdl.handle.net/11703/106706","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Generalitat de Catalunya | Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Mobile World Capital Foundation | Inversions | Fundació Barcelona Mobile World Capital Foundation | Investments | Fundació Barcelona Mobile World Capital Foundation | Inversiones","Economia","protocols | documents digitalitzats","","Protocolo de renovación del contrato en fecha 14 de juliol de 2011 que designa a Barcelona com ciudad de la World Capital Project","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Àrea de Qualitat de Vida, Igualtat i Esports | Departament de Gent Gran | Departament de Planificació i Processos | Institut Municipal de Serveis Socials (Barcelona)","","","","","2014-12","2014","","","Podeu consultar el ""Procediment d’actuació davant el maltractament a les persones grans"" a: http://hdl.handle.net/11703/111981","","","","","application/pdf","","application/pdf","","","","","","http://hdl.handle.net/11703/99383","cat","","http://hdl.handle.net/11703/111981","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans | Maltractament | Older people | Abuse | Ancianos | Malos tratos","Seguretat | Societat i benestar","protocols","","Protocol d'actuació davant el maltractament a les persones grans","","text","info:eu-repo/semantics/other",""
"Gerència Adjunta de Medi Ambient i Serveis Urbans | Gerència d'Ecologia Urbana","","Barcelona | Barcelona | Barcelona","","","2018-01-12","2018-01-24","","","Aprovació inicial per la Comissió de Govern de 16-11-2017. Inclou el text íntegre del Protocol-Bases | Aprovació definitiva per la Secretària Delegada el 12-01-2018","","","","","application/pdf","4 documents","application/pdf","","Núm. Exp. 17SD0275","Aprovació inicial [inclou el Protocol-Bases]: Butlletí Oficial de la Província de Barcelona (11-12-2017) | Aprovació definitiva: Butlletí Oficial de la Província de Barcelona (24-01-2018) | Gaseta Municipal de Barcelona (24-07-2018)","","","http://hdl.handle.net/11703/107781","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Animals de companyia | Centre d'Acollida d'Animals de Companyia (Barcelona) | Voluntariat | Pets | Centre d'Acollida d'Animals de Companyia (Barcelona) | Voluntarism | Animales de compañía | Centre d'Acollida d'Animals de Companyia (Barcelona) | Voluntariado social","Societat i benestar | Medi ambient","decrets | protocols","","Protocol-Bases per a l'Acció Voluntària al Centre d'Acollida d'Animals de Companyia de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Regidoria de Feminismes i LGTBI | Àrea de Drets de Ciutadania, Participació i Transparència | Gerència de Drets de Ciutadania, Participació i Transparència","","","","","2016-06","2016-06","","","","","","","","application/pdf","8 p.","application/pdf","","","","","","http://hdl.handle.net/11703/98148","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Violència envers les dones | Masclisme | Violence against women | Machismo | Violencia contra las mujeres | Machismo","Societat i benestar","","","Protocol de dol de ciutat contra les violències masclistes","","text","info:eu-repo/semantics/other",""
"Gerència d'Ecologia, Urbanisme i Mobilitat","","Barcelona | Barcelona | Barcelona","","","2017-06-15","2017-07-31","","","Aprovat per Decret de l'Alcaldia de 15-06-2017 (S1/D/2017-2031)","","Deroga el Procediment per a l'elaboració i tramitació dels projectes i l'execució de les obres municipals [2012] [http://hdl.handle.net/11703/85874]","","","application/pdf","3 documents","application/pdf","","Núm. Exp. 17SD0056.","Butlletí Oficial de la Província de Barcelona (31-07-2017) | Gaseta Municipal de Barcelona (07-08-2017)","","","http://hdl.handle.net/11703/105220","cat","","","","","","","","","","http://hdl.handle.net/11703/85874","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Obres públiques | Public works | Obras públicas","Urbanisme i infraestructures","protocols","","Protocol de tramitació dels projectes i seguiment de les obres ordinàries d'infraestructures i/o elements d'urbanització, conservació i millora i projectes d'urbanització que realitzen els diferents operadors municipals de la ciutat de Barcelona [2017]","","text","info:eu-repo/semantics/other",""
"Alcaldia","","","","","2012-01-30","2012-02-10","","","Aprovat per Decret de l'Alcaldia de 30-01-2012","","Substitueix el Procediment aplicable a les inversions a dur a terme per les empreses i organismes públics per encàrrec de l'Ajuntament : adequació del Decret d'Alcaldia de 3 d'abril de 1997                                   [ http://hdl.handle.net/11703/91581] | Substitueix el Procediment aplicable a les inversions a dur a terme per les empreses i organismes autònoms municipals per encàrrec de l'Ajuntament [http://hdl.handle.net/11703/91579]","","","application/pdf","2 p.","application/pdf","8781","Ref. 185/12","Gaseta Municipal de Barcelona, núm. 4 (10-02-2012)","","","http://hdl.handle.net/11703/91580","cat","","","","","","","","","","http://hdl.handle.net/11703/91581 | http://hdl.handle.net/11703/91579","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Inversions | Organismes de l'administració pública | Empreses públiques | Investments | Administrative agencies | Government business enterprises | Inversiones | Organismos administrativos | Empresas públicas","Economia","protocols","","Procediment aplicable a les inversions a dur a terme per les empreses i organismes autònoms municipals per encàrrec de l'Ajuntament","","text","info:eu-repo/semantics/other",""
"Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Generalitat de Catalunya | Patronat Municipal de l'Habitatge de Barcelona | Associació de Promotors Constructors d'Edificis de Barcelona | Cambra Oficial de Contractistes d'Obres de Catalunya | Cambra Oficial de la Propietat Urbana de Barcelona | Col·legi d'Administradors de Finques de Barcelona-Lleida | Col·legi d'Aparelladors i Arquitectes Tècnics de Barcelona | Col·legi Oficial d'Arquitectes de Catalunya | Comissió de Rehabilitació i Manteniment d'Edificis de Catalunya | Federació d'Associacions de Veïns i Veïnes de Barcelona | Gremi de Constructors d'Obres de Barcelona i Comarques | Institut Gaudí de la Construcció | Institut de Tecnologia de la Construcció de Catalunya | Universitat Politècnica de Catalunya","","Barcelona | Barcelona | Barcelona","","","2011-03-24","2011","","","Aprovat per tots els organismes el 24-03-2011","","","","","application/pdf","7 p.","application/pdf","","Núm. 1896","","","","http://hdl.handle.net/11703/106708","cat","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Associació Observatori de Barcelona Rehabilitació Arquitectònica (OBRA) | Rehabilitació urbana | Rehabilitació de l'habitatge | Associació Observatori de Barcelona Rehabilitació Arquitectònica (OBRA) | Urban renewal | Housing rehabilitation | Associació Observatori de Barcelona Rehabilitació Arquitectònica (OBRA) | Rehabilitación urbana | Rehabilitación de viviendas","Urbanisme i infraestructures","protocols | documents digitalitzats","","Protocol per a la creació de l'Associació ""Observatori de Barcelona per a la Rehabilitació Arquitectònica (OBRA)""","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Gerència de Recursos | Gerència de Drets de Ciutadania, Participació i Transparència | Departament de Transversalitat de Gènere | Departament de Feminismes i LGTBI","","Barcelona | Barcelona | Barcelona","","","2017","2017","","","Fa referència al Decret de l'Alcaldia de Contractació pública sostenible de l'Ajuntament de Barcelona [2017] [http://hdl.handle.net/11703/101966]","","","","","application/pdf","2 p.","application/pdf","","","","","","http://hdl.handle.net/11703/115734","cat","","","","","","","","","http://hdl.handle.net/11703/101966","","","Tots els drets reservats","info:eu-repo/semantics/embargoAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","Ajuntament de Barcelona","","Contractes administratius | Public contracts | Contratos administrativos | Discriminació | Discrimination | Discriminación | LGTBI | LGTBI | LGTBI | Adjudicació de contractes | Letting of contracts | Adjudicación administrativa","Sector públic | Societat i benestar","protocols","","Protocol per a la incorporació, seguiment i verificació del compliment de la clàusula 3.7. d'igualtat d'oportunitats i no discriminació de les persones LGTBI en els contractes públics de l'Ajuntament de Barcelona","Procediment d'aplicació per a unitats promotores i empreses contractistes","text","info:eu-repo/semantics/other",""
"Secretaria General","","Barcelona | Barcelona | Barcelona","","","2015","2015","","","","","","","","application/pdf","4 p.","application/pdf","","","","","","http://hdl.handle.net/11703/106716","cat","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Documents electrònics | Documents administratius | Gestió de la informació | Electronic records | Business records | Information resources management | Documentos electrónicos | Documentos administrativos | Gestión de la información","Sector públic","protocols | documents digitalitzats","","Protocol de la Secretaria General pel qual es regula el procediment d'accès dels grups municipals a les còpies digitals dels expedients inclosos a l'ordre del dia del Plenari del Consell Municipal i de les Comissions","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Àrea de Drets Socials","","Barcelona | Barcelona | Barcelona","2016","","2016-12-17","2016-01-08","","","Aprovat per la Comissió de Govern de 17-12-2015","","Modifica la Convocatòria de campanya d'activitats de vacances per a infants i adolescents, per a l'any 2015-2018 : protocol [http://hdl.handle.net/11703/91596]","Conté la relació d'entitats organitzadores adherides al protocol de la campanya d'activitats de vacances d'estiu 2016  per a infants i adolescents, publicada al Butlletí Oficial de la Província de Barcelona (26-04-2016)","","application/pdf","17 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (08-01-2016)","","","http://hdl.handle.net/11703/97173","cat","","","","","","","","http://hdl.handle.net/11703/91596","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vacances | Casals de joves | Casals de vacances | Colònies de vacances | Lleure | Vacations | Youth centers | Camps | Camps | Leisure | Vacaciones | Centros juveniles | Campamentos | Colonias de vacaciones | Tiempo libre","Cultura i oci","protocols","","Convocatòria de campanya d'activitats de vacances per a infants i adolescents, per a l'any 2016 : protocol","","text","info:eu-repo/semantics/other",""
