"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Parcs i Jardins de Barcelona, Institut Municipal","","","Si","2019-03-29","2019-05-23","","2019-05-24","Aprovats pel plenari del Consell Municipal de 29-03-2019 [http://hdl.handle.net/11703/114191] | Basat en la instrucció relativa a la descentralització funcional i als mitjans propis de l'Ajuntament de Barcelona [http://hdl.handle.net/11703/110771]","","Modifica els Estatuts de Parcs i Jardins de Barcelona [2005] [http://hdl.handle.net/11703/85194]","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (23-05-2019) | Gaseta Municipal de Barcelona (24-05-2019)","organismes autònoms","http://hdl.handle.net/11703/114181","cat","","","http://hdl.handle.net/11703/114191 | http://hdl.handle.net/11703/110771","","","","","http://hdl.handle.net/11703/85194","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Parcs i Jardins de Barcelona, Institut Municipal | Parcs i Jardins de Barcelona, Institut Municipal | Parcs i Jardins de Barcelona, Institut Municipal","Sector públic","estatuts","","Estatuts de Parcs i Jardins de Barcelona [2005] : modificació [2019-03-29]","","text","info:eu-repo/semantics/other",""
"Fundació Privada de l'Auditori i l'Orquestra","","","No","2004","2004","","","Acta notarial, 2004, dóna fe el notari Don Miquel Tarragona Coromina","","","","","application/pdf","14 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106314","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada de l'Auditori i l'Orquestra","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada de l'Auditori i l'Orquestra | Fundació Privada de l'Auditori i l'Orquestra | Fundació Privada de l'Auditori i l'Orquestra","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada de l'Auditori i l'Orquestra [2005 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci del Museu Nacional d'Art de Catalunya","","","Si","2006-03-14","2006-05-03","","","Aprovats per acord de Govern de la Generalitat de 14-03-2006 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106210","Modificats per acord de Govern de la Generalitat de 22-11-2016 [http://hdl.handle.net/11703/106109]","Substitueix els Estatuts del Consorci del Museu Nacional d'Art de Catalunya (MNAC) [2001] [http://hdl.handle.net/11703/106209]","","","application/pdf","4 p.","application/pdf","5627","","Diari Oficial de la Generalitat de Catalunya, núm. 4625 (03-05-2006)","consorcis","http://hdl.handle.net/11703/88568","cat","","http://hdl.handle.net/11703/106210","","","","","","","http://hdl.handle.net/11703/106209","http://hdl.handle.net/11703/106109","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci del Museu Nacional d'Art de Catalunya (MNAC) | Consorci del Museu Nacional d'Art de Catalunya (MNAC) | Consorci del Museu Nacional d'Art de Catalunya (MNAC)","Sector públic","estatuts","","Estatuts del Consorci del Museu Nacional d'Art de Catalunya (MNAC) [2006 text refós]","","text","info:eu-repo/semantics/other",""
"Consorci Barcelona World Race","","","Si","2007-02-23","2007-05-08","","","Aprovats pel Plenari del Consell Municipal de 23-02-2007 | Anunci al Diari Oficial de la Generalitat de Catalunya 4900 (08-06-2007). | Podeu consultar-ne una altra versió a:  http://hdl.handle.net/11703/106111","","","","","application/pdf","2 p.","application/pdf","5587","","Butlletí Oficial de la Província de Barcelona, núm. 110 (08-05-2007)","consorcis","http://hdl.handle.net/11703/88546","cat","","http://hdl.handle.net/11703/106111","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Barcelona World Race | Consorci Barcelona World Race | Consorci Barcelona World Race","Sector públic","estatuts","","Estatuts del Consorci Barcelona World Race [2007]","","text","info:eu-repo/semantics/other",""
"Associació d'Arxivers-Gestors de Documents de Catalunya (AAC)","","","Si","2010-12-13","2010","","","Aprovats per l'Assamblea de 13-12-2010","","","","","application/pdf","11 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106425","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Associació d'Arxivers-Gestors de Documents de Catalunya (AAC)","http://creativecommons.org/licenses/by/4.0/deed.ca","Associació d'Arxivers-Gestors de Documents de Catalunya (AAC) | Associació d'Arxivers-Gestors de Documents de Catalunya (AAC) | Associació d'Arxivers-Gestors de Documents de Catalunya (AAC)","Sector públic","estatuts","","Estatuts de l'Associació d'Arxivers-Gestors de Documents de Catalunya (AAC) [2010 text no oficial]","","text","info:eu-repo/semantics/other",""
"Hotel Miramar Barcelona, S.A.","","","Si","2007","2007","","","","","","","","application/pdf","8 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106566","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Hotel Miramar Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Hotel Miramar Barcelona, S.A. | Hotel Miramar Barcelona, S.A. | Hotel Miramar Barcelona, S.A.","Sector públic","estatuts","","Estatuts de l'Hotel Miramar Barcelona, S.A. [2007 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundación Consejo España-China","","","Si","2004-07-02","2004","","","Aprovat pel Patronat de la Fundació de 02-07-2004 | Acta notarial, 2 de juliol 2004, dóna fe el notari Don Manual González-Menenses García-Valdecasas","Modificats per l’Acta Notarial de 16-07-2012 [http://hdl.handle.net/11703/106322]","","Digitalitzat pel SEDAC","","application/pdf","11 p.","application/pdf","18481","","","fundacions","http://hdl.handle.net/11703/88645","cat","","","","","Reproducció digital del document en suport original","","","","","http://hdl.handle.net/11703/106322","CC-BY","info:eu-repo/semantics/openAccess","","Fundación Consejo España-China","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundación Consejo España-China | Fundación Consejo España-China | Fundación Consejo España-China","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundación Consejo España-China [2004 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci de Biblioteques de Barcelona","","","Si","2015-03-27","2015-04-27","","","Aprovats pel Plenari del Consell Municipal de 27-03-2015 i pel Ple de la Diputació de Barcelona de 30-04-2015 | Ratifica l'acord del Consell General del Consorci de 11-03-2015","","Substitueix els Estatuts del Consorci de Biblioteques de Barcelona [2015] [http://hdl.handle.net/11703/84381]","","","application/pdf","11 p.","application/pdf","18618","","Butlletí Oficial de la Província de Barcelona (27-04-2015)","consorcis","http://hdl.handle.net/11703/88554","cat","","","","","","","","","http://hdl.handle.net/11703/84381","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci de Biblioteques de Barcelona | Consorci de Biblioteques de Barcelona | Consorci de Biblioteques de Barcelona","Sector públic","estatuts","","Estatuts del Consorci de Biblioteques de Barcelona [2015 text refós]","","text","info:eu-repo/semantics/other",""
"Selectives Metropolitanes, S.A. (SEMESA)","Tractament i Selecció de Residus, S.A. (TERSA)","","Si","2013-10-01","2013","","","","","Substitueix els Estatuts i constitució de Selectives Metropolitanes, S.A. (SEMESA) [1992 text no oficial] [http://hdl.handle.net/11703/85335]","","","application/pdf","10 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106442","spa","","","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/85335","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Registre Mercantil de Barcelona","","Selectives Metropolitanes, S.A. (SEMESA) | Selectives Metropolitanes, S.A. (SEMESA) | Selectives Metropolitanes, S.A. (SEMESA)","Sector públic","estatuts | documents digitalitzats","","Estatutos de Selectives Metropolitanes, S.A. (SEMESA) [2013 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Serveis Funeraris de Barcelona, S.A.","","","","2006-06","2006","","","Aprovada per la Junta General de 06-2006 | Acta notarial, juny de 2006, dóna fe el notari Don Joan Rúbies Mallol","","Modifica els Estatuts de Serveis Funeraris de Barcelona [1997 text no oficial] [http://hdl.handle.net/11703/106556]","","","application/pdf","3 p.","application/pdf","","","","societats mercantils | societats mercantils","http://hdl.handle.net/11703/106557","cat","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/106556","","","CC-BY","info:eu-repo/semantics/openAccess","","Serveis Funeraris de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A.","Sector públic","estatuts | documents digitalitzats","","Estatuts de Serveis Funeraris de Barcelona [1997 text no oficial] : modificació [2006-06 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Agència Marca Barcelona","","","Si","2013","2013","","","","","","","","application/pdf","13 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106418","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Agència Marca Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Agència Marca Barcelona | Agència Marca Barcelona | Agència Marca Barcelona","Sector públic","estatuts","","Estatuts del Consorci Agència Marca Barcelona [2013 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació Privada Vol","","","Si","2010","2010","","","Aprovats pel Patronat de la Fundació de 2010 | Acta notarial, 2010, dóna fe el notari Don Angel Serrano de Nicolas | Podeu consultar l'acord d'adhesió de l'Ajuntament com a Patró d'aquesta Fundació a: http://hdl.handle.net/11703/110782","","","Digitalitzat pel SEDAC","","application/pdf","13 p.","application/pdf","17815","","","fundacions","http://hdl.handle.net/11703/88643","cat","","http://hdl.handle.net/11703/110782","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada Vol","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Vol | Fundació Privada Vol | Fundació Privada Vol","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada Vol [2010 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Privada BCD per a la Promoció del Disseny Industrial","","","No","1997-01-28","1997","","","Aprovats pel Patronat de la Fundació de 28-01-1997 | Acta notarial, 28 de gener 1997, dóna fe el notari Don José Luís  Jiménez P.","Substituït pels Estatuts de la Fundació Privada BCD per a la promoció del disseny industrial [2012 text refós no oficial] [http://hdl.handle.net/11703/88625]","","Digitalitzat pel SEDAC","","application/pdf","13 p.","application/pdf","18261","","","fundacions","http://hdl.handle.net/11703/88624","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/88625","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació privada BCD per a la promoció del disseny industrial","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada BCD per a la Promoció del Disseny Industrial | Fundació Privada BCD per a la Promoció del Disseny Industrial | Fundació Privada BCD per a la Promoció del Disseny Industrial","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada BCD per a la promoció del disseny industrial [1997 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci 3a Edició de la Barcelona World Race","","","No","2013-05-31","2013","","","Aprovats pel Plenari del Consell Municipal de 31-05-2013 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/88539 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/106112 | Podeu consultar el conveni de creació del Consorcio ""3ª Edición de la Barcelona World Race"" a: http://hdl.handle.net/11703/108883","","","","","application/pdf","7 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106113","spa","","http://hdl.handle.net/11703/88539 | http://hdl.handle.net/11703/106112 | http://hdl.handle.net/11703/108883","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci 3a Edició de la Barcelona World Race","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci 3a Edició de la Barcelona World Race | Consorci 3a Edició de la Barcelona World Race | Consorci 3a Edició de la Barcelona World Race","Sector públic","estatuts | documents digitalitzats","","Estatutos del Consorcio 3a Edició de la Barcelona World Race [2013 texto no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Mercabarna, S.A.","","","No","1971-01-22","1971","","","Aprovats per la Junta General Ordinària de 22-01-1971 | Acta notarial, 22 de gener de 1971, dóna fe el notari Don Ramon Faus y Esteve","Modificats per la Junta General Ordinària de 26-06-2006 [http://hdl.handle.net/11703/106547] | Substituït pels Estatutos de Mercabarna [2009 text no oficial] [http://hdl.handle.net/11703/106548]","","","","application/pdf","26 p.","application/pdf","","","","societats mercantils | societats mercantils","http://hdl.handle.net/11703/106546","spa","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106548","","","http://hdl.handle.net/11703/106547","CC-BY","info:eu-repo/semantics/openAccess","","Mercabarna, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercabarna, S.A. | Mercabarna, S.A. | Mercabarna, S.A.","Sector públic","estatuts | documents digitalitzats","","Estatutos de Mercabarna [1971 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació per la Promoció de Barcelona","","","Si","2003-02-18","2003","","","Aprovats per la Fundació el 18-02-2003","","","","","application/pdf","12 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106532","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació per la Promoció de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació per la Promoció de Barcelona | Fundació per la Promoció de Barcelona | Fundació per la Promoció de Barcelona","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació per la Promoció de Barcelona [2003 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Navegació Oceànica Barcelona","","","Si","2009-11-27","2010-03-22","","2010-03-22","Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/88616","Substituït pels Estatuts de la Fundació Navegació Oceànica Barcelona [2015 text no oficial] [http://hdl.handle.net/11703/106218]","Substitueix els Estatuts de la Fundació Navegació Oceànica Barcelona [2007 text no oficial] [http://hdl.handle.net/11703/106217]","","","application/pdf","18 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/84188","cat","Fundació Navegació Oceànica Barcelona","http://hdl.handle.net/11703/88616","","","","","http://hdl.handle.net/11703/106218","","http://hdl.handle.net/11703/106217","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundació Navegació Oceànica Barcelona | Fundació Navegació Oceànica Barcelona | Fundació Navegació Oceànica Barcelona","Esport","estatuts","","Estatuts de la Fundació Navegació Oceànica Barcelona [2009 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundación Docomomo Ibérico","","","Si","2010","2010","","","","","","","","application/pdf","10 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106590","spa","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundación Docomomo Ibérico","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundación Docomomo Ibérico | Fundación Docomomo Ibérico | Fundación Docomomo Ibérico","Sector públic","estatuts","","Estatutos de la Fundación Docomomo Ibérico [2010 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci Àrea Metropolitana de Barcelona | Mancomunitat de Municipis de l'Àrea Metropolitana de Barcelona","","","Si","2009-04-02","2009-05-25","","","Aprovats per l'Assemblea de la Mancomunitat de Municipis de l' Àrea Metropolitana de Barcelona de 02-04-2009","","","","","application/pdf","4 p.","application/pdf","5579","","Diari Oficial de la Generalitat de Catalunya, núm. 5386 (25-05-2009) | Publicat també al Butlletí Oficial de Província de Barcelona, núm. 181 (29-07-2004), p. 10-12","consorcis","http://hdl.handle.net/11703/88542","cat","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Àrea Metropolitana de Barcelona | Consorci Àrea Metropolitana de Barcelona | Consorci Àrea Metropolitana de Barcelona","Sector públic","estatuts","","Estatuts del Consorci Àrea Metropolitana de Barcelona [2009]","","text","info:eu-repo/semantics/other",""
"Fundació Factor Humà","","","Si","2012-11-29","2012","","","Aprovats per la Junta del Patronat de la Fundació de 29-11-2012 | Acta notarial, 29 de novembre de 2012, dóna fe el notari Don Francisco Armas Omedes","Modificats per la Junta del Patronat de 20-11-2013 [http://hdl.handle.net/11703/106586] | Modificats per la  Junta del Patronat de 18-06-2015[http://hdl.handle.net/11703/106587]","","","","application/pdf","20 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106346","cat","","","","","Reproducció digital del document en suport original","","","","","http://hdl.handle.net/11703/106586 | http://hdl.handle.net/11703/106587","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Factor Humà","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Factor Humà | Fundació Factor Humà | Fundació Factor Humà","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Factor Humà [2012 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Sanitari de Barcelona","","","Si","2002-08-01","2002-08-07","","","Aprovats pel Decret 215/2002 el 01-08-2002 | El Consorci Sanitari de Barcelona té com organismes adscrits l'Institut Municipal d'Assistència Sanitària (IMAS) i l’Institut de Prestacions d’Assistència Mèdica al Personal Municipal (PAMEM) | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106528","","Substitueix els Estatuts de l'any 1992. Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/106120","","","application/pdf","7 p.","application/pdf","5645","","Diari Oficial de la Generalitat de Catalunya, núm. 3694 (07-08-2002)","consorcis","http://hdl.handle.net/11703/88588","cat","","http://hdl.handle.net/11703/106528","","","","","","","http://hdl.handle.net/11703/106120","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Sanitari de Barcelona | Assistència mèdica | Consorci Sanitari de Barcelona | Medical care | Consorci Sanitari de Barcelona | Asistencia sanitaria","Sector públic | Salut","estatuts","","Estatuts del Consorci Sanitari de Barcelona [2002 text refós]","","text","info:eu-repo/semantics/other",""
"Fundació EURECAT","","","Si","2015-07-09","2015","","","Acta notarial, 9 de juliol de 2015, dóna fe el notari Don Camilo-José Sexto Presas","","","","","application/pdf","20 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106225","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació EURECAT","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació EURECAT | Fundació EURECAT | Fundació EURECAT","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació EURECAT [2015 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci del Parc de Collserola (Catalunya)","","","Si","2016","2016","","","Aprovats per l'Assemblea General del Consorci el 20-06-2016 | Ratificats pel Consell Plenari de 28-10-2016","","Substitueix els Estatuts del Consorci del Parc de Collserola [2010 text no oficial] [http://hdl.handle.net/11703/106130]","","","application/pdf","2 documents","application/pdf","","Núm. exp. S/N | Núm. resolució: CP16/13 PR/10","","consorcis","http://hdl.handle.net/11703/106132","cat","","","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/106130","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci del Parc de Collserola (Catalunya)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Parc de Collserola (Catalunya) | Consorci del Parc de Collserola (Catalunya) | Consorci del Parc de Collserola (Catalunya)","Sector públic","estatuts | documents digitalitzats | acords","","Estatuts del Consorci del Parc de Collserola [2016 text refós no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Patronato Municipal de la Vivienda de Barcelona","","","No","1970-10-02 | 1971-02-02","1972","","1971-02-03","Aprovats pel Ministeri de Governació el 02-10-1970 | Aprovats pel Plenari del Consell Municipal de 02-02-1971","","Substitueix els Estatutos del Patrimonio Municipal de Vivienda de Barcelona [1967 text no oficial] [http://hdl.handle.net/11703/101532]","Digitalitzat pel Patronat Municipal de l'Habitatge de Barcelona","","application/pdf","22 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/101533","spa","","","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/101532","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patronat Municipal de l'Habitatge de Barcelona | Patronat Municipal de l'Habitatge de Barcelona | Patronat Municipal de l'Habitatge de Barcelona","Habitatge | Sector públic","estatuts | documents digitalitzats","","Estatuto del Patronato Municipal de Vivienda de Barcelona [1970 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Hospitalari de Catalunya","","","Si","1999-02","1999","","","Podeu consultar la versió publicada al Diari Oficial de la Generalitat de Catalunya a: http://hdl.handle.net/11703/88577","","","","","application/pdf","18 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106599","cat","","http://hdl.handle.net/11703/88577","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci Hospitalari de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Hospitalari de Catalunya | Consorci Hospitalari de Catalunya | Consorci Hospitalari de Catalunya","Sector públic","estatuts","","Estatuts del Consorci Hospitalari de Catalunya [1999 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci del Parc de Collserola (Catalunya)","","","No","1999-12-23","2000-01-05","2009-07-22","2000-01-06","Aprovats per la Diputació de Barcelona i per l'Assamblea de la Mancomunitat de Municipis de l'Àrea Metropolitana de Barcelona de 23-12-1999","Substituït pels Estatuts del Consorci del Parc de Collserola [2009] [http://hdl.handle.net/11703/89184]","","","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 4 (05-01-2000)","consorcis","http://hdl.handle.net/11703/106134","cat","","","","","","","http://hdl.handle.net/11703/89184","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci del Parc de Collserola (Catalunya) | Consorci del Parc de Collserola (Catalunya) | Consorci del Parc de Collserola (Catalunya)","Sector públic","estatuts","","Estatuts del Consorci del Parc de Collserola [1999]","","text","info:eu-repo/semantics/other",""
"Barcelona d'Aparcaments Municipals, S.A.","","","Si","2014-10-30","2014-11-06","","","Aprovats pel Plenari del Consell Municipal de 28-02-2014 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106565","Modificat pel Plenari del Consell Municipal de 23-11-2018 [http://hdl.handle.net/11703/112390]","","","","application/pdf","18 p.","application/pdf","15789","","Butlletí Oficial de la Província de Barcelona (06-11-2014)","societats mercantils","http://hdl.handle.net/11703/88528","cat","","http://hdl.handle.net/11703/106565","","","","","","","","http://hdl.handle.net/11703/112390","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Barcelona d'Aparcaments Municipals, S.A. | Barcelona d'Aparcaments Municipals, S.A. | Barcelona d'Aparcaments Municipals, S.A.","Sector públic","estatuts","","Estatuts de Barcelona d'Aparcaments Municipals, SA [2014]","","text","info:eu-repo/semantics/other",""
"Pacte Industrial de la Regió Metropolitana de Barcelona","","","Si","2016-03-30","2016-05-17","","2016-05-18","Aprovats inicialment pel Ple de 15-03-2016 | Aprovats definitivament pel Ple de 30-03-2016","","Substitueix els Estatuts de l'any 2007. Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/88523","","","application/pdf","16 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (17-05-2016)","associacions","http://hdl.handle.net/11703/106411","cat","","","","","","","","","http://hdl.handle.net/11703/88523","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pacte Industrial de la Regió Metropolitana de Barcelona | Pacte Industrial de la Regió Metropolitana de Barcelona | Pacte Industrial de la Regió Metropolitana de Barcelona","Sector públic","estatuts","","Estatuts de l'Associació Pacte Industrial de la Regió Metropolitana de Barcelona [2016]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Informació i Comunicació de Barcelona, S.A.","","Barcelona | Barcelona | Barcelona","Si","2014-07-25","2014-07-31","","2014-08-01","Aprovat pel Plenari del Consell Municipal de 25-07-2014","","","","","application/pdf","6 p.","application/pdf","13942","","Butlletí Oficial de la Província de Barcelona, (31-07-2014)","societats mercantils | entitats públiques empresarials","http://hdl.handle.net/11703/84908","cat","","","","","","","","<a href=""http://hdl.handle.net/11703/106456""> Estatuts d'Informació i Comunicació de Barcelona [2004 text refós]</a> | <a href=""http://hdl.handle.net/11703/91762""> Reglament d'organització i funcionament del servei públic de televisió local de Barcelona (B","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Barcelona TV | Televisió local | Informació i Comunicació de Barcelona, S.A. | Organization and flowcharts | Barcelona TV | Community television | Informació i Comunicació de Barcelona, S.A. | Organización y organigramas | Barcelona TV | Televisión local | Informació i Comunicació de Barcelona, S.A.","Legislació i justícia | Cultura i oci | Sector públic","reglaments | estatuts","","Reglament d'organització i funcionament del servei públic de televisió local de Barcelona (BTV) [2008] : modificació [2014-07-25] | Estatuts d'Informació i Comunicació de Barcelona [1995 text no oficial] : modificació [2014-07-25] | Reglament regulador de les condicions d'accés i d'ús dels mitjans de comunicació i informació de titularitat municipal pels regidors/res i grups municipals [2009] : modificació [2014-07-25]","","text","info:eu-repo/semantics/other",""
