"Número registre","Òrgan gestor","Títol","Dotació econòmica directa","Data formalització","Data finalització","Entitats i organitzacions"
"C20000197","DISTRICTE DE CIUTAT VELLA","CONVENI ENTRE EL DISTRICTE DE CIUTAT VELLA I L'INSTITUT MUNICIPAL D'EDUCACIÓ DE BARCELONA PER A LA REALITZACIÓ D'ESTADES FORMATIVES D'ÀMBIT PRÀCTIC",0.0,"11/02/2020","","INSTITUT MUNICIPAL EDUCACIO DE BARCELONA"
"C20000198","DISTRICTE DE CIUTAT VELLA","CONVENI ENTRE EL DISTRICTE DE CIUTAT VELLA I LA COORDINADORA DE CORALS DEL RAVAL",16000.0,"10/09/2020","","COORD. DE CORALS DEL RAVAL"
"C20000199","INST.PAISATGE URBA I QV","CONVENI ENTRE L'IMPUIQV I LA COMUNITAT DE PROPIETARIS DE LA FINCA DEL CARRER LOPE DE VEGA, NÚM. 115 DE BARCELONA PER A LA REHABILITACIÓ DE LA FAÇANA I MITGERES POSTERIORS DE L'EDIFICI",27500.0,"31/01/2020","","COMUNITAT DE PROPIETARIS FINCA LOPE DE VEGA, 115"
"C20000200","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL FONS DE POBLACIÓ DE LES NACIONS UNIDES",99999.94,"30/12/2020","30/12/2021","FONS DE POBLACIÓ DE LES NACIONS UNIDES"
"C20000201","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'ENTITAT CLACK PRODUCCIONS CULTURALS PER A L'EXECUCIÓ DEL PROJECTE ""BÒSNIA, LES FERIDES OBERTES""",12000.0,"31/12/2020","","ENTITAT CLACK PRODUCCIONS CULTURALS"
"C20000202","EDUCACIO,CULTURA I BENESTAR","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'ASSOCIACIÓ CATALANA D'UNIVERSITATS PÚBLIQUES PER AL DESENVOLUPAMENT A BARCELONA DE LA TERCERA CONFERÈNCIA MUNDIAL D'EDUCACIÓ SUPERIOR DE LA UNESCO",250000.0,"23/12/2020","31/12/2021","ASSOC. CATALANA UNIVERSITATS PÚBLIQUES (ACUP)"
"C20000203","AJUNTAMENT DE BARCELONA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA DIPUTACIÓ DE BARCELONA PER AL DESENVOLUPAMENT DEL PROTOCOL GENERAL DEL PLA DE CONCERTACIÓ XARXA DE GOVERNS LOCALS 2020-2023",0.0,"30/12/2020","31/12/2023","DIPUTACIO DE BARCELONA"
"C20000204","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ ""AJUDA I ESPERANÇA"" DE BARCELONA EN L'ÀMBIT DE L'ATENCIÓ A LA CONDUCTA SUÏCIDA AMB LA FINALITAT DE PREVENIR AQUESTA CONDUCTA",0.0,"30/12/2020","","FUNDACIÓ ACOLLIDA I ESPERANÇA"
"C20000205","EDUCACIO,CULTURA I BENESTAR","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'INSTITUT D'ESTUDIS CATALANS PER AL DESENVOLUPAMENT DEL PROJECTE DE L'ACADÈMIA EUROPEA BARCELONA KNOWLEGDE HUB",121000.0,"31/12/2020","","INSTITUT D'ESTUDIS CATALANS"
"C20000206","SALUT PUBLICA","PRÒRROGA CONVENI DE COOPERACIÓ ENTRE L'AJUNTAMENT DE BARCELONA, EL SERVEI CATALÀ DE LA SALUT I EL CONSORCI SANITARI DE BARCELONA PER A L'OCUPACIÓ DEL PAVELLÓ DE LA VALL D'HEBRON COM A PAV-SALUT",0.0,"21/12/2020","28/02/2021","SERVEI CATALA DE LA SALUT; CONSORCI SANITARI DE BARCELONA"
"C20000207","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'ASSOCIACIÓ DE SALES DE CONCERT DE CATALUNYA, L'ASSOCIACIÓ D'EMPRESES DE TEATRE DE CATALUNYA, EL GREMI D'EXHIBIDORS DE CINEMA, EL GREMI DE LLIBRETERS DE CATALUNYA, LA CAMBRA DEL LLIBRE DE CATALUNYA I CLUB CATALÀ DE CULTURA, SL. PER A LA REALITZACIÓ DEL PROJECTE ""BONUS CULTURA""",250000.0,"31/12/2020","","ASSOC. D'EMPRESES DE TEATRE DE CATALUNYA - ADETCA; ASSOCIACIÓ DE SALES DE CONCERTS DE CATALUNYA; GREMI D'EDITORS DE CATALUNYA/CAMBRA DEL LLIBRE DE CATALUNYA: GREMI DE LLIBRETERS DE CATALUNYA; GREMI EMPRESARIS CINEMES CATALUNYA; CLUB CATALA DE CULTURA SL"
"C20000208","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL DEPARTAMENT DE TREBALL, AFERS SOCIALS I FAMÍLIES EN MATÈRIA DE SERVEIS SOCIALS IMPLEMENTAR MESURES COVID19 PERSONES SENSE LLAR I JOVES SITUACIÓ CARRER",0.0,"30/12/2020","31/12/2021","DEPARTAMENT TREBALL GENERALITAT CAT"
"C20000209","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I BARCELONA GLOBAL PER AL DESENVOLUPAMENT DEL PROGRAMA BARCELONA & PARTNERS PER A L'ATRACCIÓ D'INVERSIONS A BARCELONA",945000.0,"31/12/2020","31/12/2024","ASSOC. BARCELONA GLOBAL"
"C20000210","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'IL·LUSTRE COL·LEGI DE L'ADVOCACIA DE BARCELONA PER A LA MILLORA DEL SISTEMA DE MEDIACIÓ MUNICIPAL I LA DEFINICIÓ D'UN SISTEMA D'AVALUACIÓ SERVEI ORIENTACIÓ JURÍDICA CIUTADANIA",50000.0,"31/12/2020","","COL·LEGI D'ADVOCATS DE BARCELONA (ICAB)"
