"Número registre","Òrgan gestor","Títol","Dotació econòmica directa","Data formalització","Data finalització","Entitats i organitzacions"
"C20000069","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I LA FUNDACIÓ PRIVADA SAGRERA EMA PER AL FINANÇAMENT DE LES ACTIVITATS DE LA FÀBRICA DE CREACIÓ NAU IVANOW 2019-2021",201500.0,"25/05/2020","31/03/2021","FUNDACIÓ PRIVADA SAGRERA"
"C20000070","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I BARCELONA ACTIVA PER A LA GESTIÓ, PROMOCIÓ I DESENVOLUPAMENT D'ACTIVITATS DEL DISSENY HUB BARCELONA",0.0,"08/05/2020","08/05/2024","BARCELONA ACTIVA, S.A. SPM"
"C20000071","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I L'ASSOCIACIÓ PER A L'ESTUDI DEL MOBLE",18200.0,"20/05/2020","31/12/2020","ASSOC. PER A L'ESTUDI DEL MOBLE"
"C20000072","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I LA FUNDACIÓ SALA BECKETT OBRADOR INTERNACIONAL DE DRAMATÚRGIA PER AL FINANÇAMENT DE LES ACTIVITATS A LA FÀBRICA DE CREACIÓ SALA BECKETT DELS ANYS 2019-2021",524100.0,"25/05/2020","31/03/2021","FUNDACIÓ SALA BECKETT OBRADOR INTERN. DE DRAMATÚRGIA"
"C20000073","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I EL CONSORCI DE BIBLIOTEQUES DE BARCELONA PER A LA IMPLANTACIÓ DEL PLA DE PROMOCIÓ DE LA LECTURA PER A LA CIUTAT DE BARCELONA",33712.95,"30/05/2020","31/12/2020","CONSORCI DE BIBLIOTEQUES DE BARCELONA"
"C20000074","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I LA CONFEDERACIÓ SARDANISTA DE CATALUNYA PER A LA PROMOCIÓ DE LA SARDANA A LA CIUTAT DE BARCELONA",92000.0,"29/05/2020","31/03/2021","CONFEDERACIÓ SARDANISTA DE CATALUNYA"
"C20000075","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I BARCELONA EVENTS MUSICALS, SL. PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING DEL FESTIVAL CRUÏLLA A LES TAQUILLES DEL PALAU DE LA VIRREINA",0.0,"29/05/2020","29/05/2024","BARCELONA EVENTS MUSICALS, SL"
"C20000076","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I EL CONSORCI DEL MUSEU DE CIÈNCIES NATURALS DE BARCELONA PER ADHERIR-SE AL PROJECTE QUADERN CULTURA",0.0,"28/05/2020","28/05/2024","CONSORCI MUSEU CIENCIES NATURALS BCN"
"C20000077","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I L'ASSOCIACIÓ CULTURAL PER AL DESENVOLUPAMENT D'ACTIVITATS COREOGRÀFIQUES PER AL FINANÇAMENT DE LES ACTIVITATS CULTURALS DE LA FÀBRICA DE CREACIÓ LA CALDERA 2020",243030.0,"15/06/2020","31/03/2021","ASSOC. CULTURAL DESENV. ACT. COREOGRÀFIQUES ACDAC-LA CALDERA"
"C20000078","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I LA FEDERACIÓ D'ENTITATS DE CULTURA POPULAR I TRADICIONAL DE BARCELONA VELLA I LA CASA DELS ENTREMESOS",37900.0,"16/06/2020","31/03/2021","FED. ENT CULTURA POPULAR CASA ENTREMESOS"
"C20000079","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I L'ASSOCIACIÓ CULTURAL PER A LA TRADICIÓ MUSICAL TRAM PER A LA COOPERACIÓ EN L'EQUIPAMENT ESPECIALITZAT EN MÚSICA TRADICIONAL CENTRE L'ARTESÀ-TRADICIONÀRIUS; TRAVESSIA DE SANT ANTONI, 6-8",51500.0,"26/06/2020","31/03/2021","ASSOC. CULTURAL TRADICIO MUSICAL TRAM"
"C20000080","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I EL MERCAT DE LES FLORS PER AL PROJECTE QUADERN CULTURA",0.0,"18/06/2020","09/10/2021","CONSORCI MERCAT DE LES FLORS"
"C20000081","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I EL TEATRE TANTARANTANA, SL. PER AL FINANÇAMENT DE LES ACTIVITATS CULTURALS DE LA FÀBRICA DE CREACIÓ TANTARANTANA DE L'ANY 2020",193492.0,"18/06/2020","31/03/2021","TANTARANTANA TEATRE, SL."
"C20000082","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I EL CONSORCI DE L'AUDITORI I L'ORQUESTRA PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING DE L'AUDITORI A LES TAQUILLES DEL PALAU DE LA VIRREINA",0.0,"04/05/2020","31/07/2021","CONSORCI AUDITORI I ORQUESTRA"
"C20000083","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I LA FUNDACIÓ ORFEÓ CATALÀ - PALAU DE LA MÚSICA CATALANA PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING",0.0,"07/07/2020","31/07/2021","ORFEO CATALA"
"C20000084","PATRIMONI","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA SOCIETAT MARINA PORT FÒRUM, SL. PER A LA MODIFICACIÓ DEL CONTRACTE DE CESSIÓ D'ÚS DE LA CONCESSIÓ DEL PORT FÒRUM DE SANT ADRIÀ DE BESÒS",0.0,"23/07/2020","","MARINA PORT FÒRUM, SL."
"C20000085","DISTRICTE DE ST. ANDREU","CONVENI ENTRE EL DISTRICTE DE SANT ANDREU I LA SENYORA ÀNGELA MAJÓ RAIS RELATIU A LA DONACIÓ DE LA COL·LECCIÓ ""ÀNGELA MAJÓ""",0.0,"16/07/2020","","ÀNGELA MAJÓ"
"C20000086","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'INSTITUT D'ESTUDIS REGIONALS I METROPOLITANS DE BARCELONA PER AL PERÍODE 2019-2020",0.0,"22/07/2020","","CONSORCI INST.ESTUDIS REGIONALS I METROP"
"C20000087","PRESIDÈNCIA I ECONOMIA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, LA GENERALITAT DE CATALUNYA I EL FUTBOL CLUB BARCELONA PER A LA PROMOCIÓ ECONÒMICA INTERNACIONAL CONJUNTA",0.0,"30/07/2020","30/07/2022","GENERALITAT DE CATALUNYA; FUTBOL CLUB BARCELONA"
"C20000088","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'ASSOCIACIÓ DE SALES DE CONCERTS DE CATALUNYA, L'ASSOCIACIÓ D'EMPRESES DE TEATRE DE CATALUNYA, EL GREMI DE CINEMES DE CATALUNYA, EL GREMI DE LLIBRETERS DE CATALUNYA, LA CAMBRA DEL LLIBRE DE CATALUNYA I EL CLUB CATALÀ DE CULTURA, SL. PER A LA REALITZACIÓ DEL PROJECTE ""BONUS CULTURA""",2000000.0,"17/07/2020","31/12/2020","ASSOC. D'EMPRESES DE TEATRE DE CATALUNYA - ADETCA; ASSOCIACIÓ DE SALES DE CONCERTS DE CATALUNYA; GREMI D'EDITORS DE CATALUNYA/CAMBRA DEL LLIBRE DE CATALUNYA; GREMI DE LLIBRETERS DE CATALUNYA; GREMI EMPRESARIS CINEMES CATALUNYA; CLUB CATALA DE CULTURA SL"
"C20000089","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I BARCELONA GLOBAL PER AL DESENVOLUPAMENT DE BARCELONA & PARTNERS, AGÈNCIA D'ATRACCIÓ D'INVERSIONS A BARCELONA",0.0,"08/09/2020","","ASSOC. BARCELONA GLOBAL"
"C20000090","DIREC. SERV. JURÍDICS I PROMOC. RECURSOS HUMANS","PRÒRROGA DEL CONVENI MARC ENTRE L'AJUNTAMENT DE BARCELONA I LA UNIVERSITAT OBERTA DE CATALUNYA",0.0,"15/09/2020","30/09/2021","UNIVERSITAT OBERTA DE CATALUNYA"
"C20000091","DIREC. SERV. JURÍDICS I PROMOC. RECURSOS HUMANS","PRÒRROGA DEL CONVENI MARC ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ INSTITUT D'EDUCACIÓ CONTÍNUA",0.0,"15/09/2020","07/07/2021","INSTITUT D'EDUCACIÓ CONTINUA (IDEC)"
"C20000092","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI ENTRE BIMSA I E-DISTRIBUCIÓN PROJECTE EXECUTIU CONSTRUCCIÓ COBERTA I GRADES PISTA ESPORTIVA I AMPLIACIÓ DE VESTUARIS AL CEM GUINEUETA AL DISTRICTE DE NOU BARRIS",0.0,"27/07/2020","","EDISTRIBUCIÓN REDES DIGITALES, SL."
"C20000093","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA PLATAFORMA D'ENTITATS LGTBI DE CATALUNYA, PER A LA GESTIÓ INDIRECTA DEL CENTRE LGTBI DE BARCELONA",942866.13,"05/06/2020","31/05/2022","FEDERACIÓ PLATAFORMA ENTITATS LGTBI DE CATALUNYA"
"C20000094","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I PENSIUM SL. PER AL DESENVOLUPAMENT DEL PROJECTE ""PENSIÓ IMMOBILIÀRIA""",0.0,"29/06/2020","31/05/2021","PENSIUM, SL."
"C20000095","DISTRICTE DE NOU BARRIS","CONVENI ENTRE EL DISTRICTE DE NOU BARRIS I LA FUNDACIÓ PRIVADA CENTRE CIM",184219.3,"30/06/2020","30/06/2021","FUNDACIÓ PRIVADA CENTRE CIM"
"C20000096","ECOLOGIA URBANISME MOBILITAT","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, EL SERVEI CATALÀ DE LA SALUT, EL CONSORCI SANITARI DE BARCELONA PER L'OCUPACIÓ DEL PAVELLÓ DE LA VALL D'HEBRON COM A PAV-SALUT",0.0,"14/09/2020","31/12/2020","SERVEI CATALA DE LA SALUT; CONSORCI SANITARI DE BARCELONA"
"C20000097","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA UNIVERSITAT POMPEU FABRA PER A LA COL·LABORACIÓ EN EL PROJECTE ""UNA NOVA ETAPA PER AL DIARI DE BARCELONA""",60000.0,"29/09/2020","31/03/2021","UNIVERSITAT POMPEU FABRA"
"C20000098","DISTRICTE DE LES CORTS","CONVENI ENTRE EL DISTRICTE DE LES CORTS, L'INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT I LA FEDERACIÓ PLATAFORMA DE PERSONES AMB DISCAPACITAT DE LES CORTS I COORDINADORA PRO-PERSONES AMB DISCAPACITAT DE LES CORTS PER AL DESENVOLUPAMENT DEL PROJECTE PILOT DE PIS DE TRANSICIÓ A LA VIDA INDEPENDENT PER A PERSONES AMB DISCAPACITAT INTEL·LECTUAL",0.0,"04/05/2020","","IM PERSONES AMB DISCAPACITAT; FED. CAT. PRO PERSONES AMB DISCAPACITAT INTEL·LECTUAL; COORDINADORA PRO-PERSONES AMB DISCAPACITAT DE LES CORTS"
"C20000099","ECOLOGIA URBANISME MOBILITAT","CONVENI URBANÍSTIC ENTRE L'AJUNTAMENT DE BARCELONA I LES RESIDÈNCIES D'ESTUDIANTS A IMPLANTAR A L'AVINGUDA DEL PARAL·LEL, 25-37 I CARRER DE LA RIERA BLANCA, 149 DE BARCELONA",0.0,"31/07/2020","","ALBA SPANISH PROPCO 1 I 3, SLU"
"C20000100","IM PARCS I JARDINS","CONVENI ENTRE L'INSTITUT MUNICIPAL DE PARCS I JARDINS I L'ASSOCIACIÓ D'AMICS DEL CENTRE DE FORMACIÓ DEL LABERINT PER AL FOMENT I LA DIVULGACIÓ DE LA JARDINERIA",0.0,"15/07/2020","15/07/2024","ASSOCIACIÓ AMICS DEL CENTRE DE FORMACIÓ DEL LABERINT"
"C20000101","INST.PAISATGE URBA I QV","CONVENI ENTRE L'IMPUIQV I EL CONSORCI DE L'HABITATGE DE BARCELONA PER A LA GESTIÓ DELS PROGRAMES DE REHABILITACIÓ A BARCELONA PER AL 2020",0.0,"13/02/2020","","CONSORCI D'HABITATGE DE BARCELONA"
"C20000102","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL CONSORCI L'AUDITORI I L'ORQUESTRA PER A LA UTILITZACIÓ DE L'APLICACIÓ DE REGISTRE DE DOCUMENTS UTILITZAT PER L'AJUNTAMENT",0.0,"05/10/2020","","CONSORCI AUDITORI I ORQUESTRA"
"C20000103","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA UNIVERSITAT OBERTA DE CATALUNYA PER AL DESENVOLUPAMENT DEL PROJECTE ""FOMENT DE LA RECERCA PARTICIPATIVA I DE LA INNOVACIÓ DIGITAL I DEMOCRÀTICA A TRAVÉS DE LABORATORIS CIUTADANS",150000.0,"31/07/2020","","UNIVERSITAT OBERTA DE CATALUNYA"
"C20000104","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, EL CONSORCI DE LA ZONA FRANCA I LA SOCIEDAD ESTATAL CORREOS Y TELÉGRAFOS, SA. S.M.E.",0.0,"07/10/2020","07/10/2022","SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS SA; CONSORCI DE LA ZONA FRANCA"
"C20000105","ECOLOGIA URBANISME MOBILITAT","PROTOCOL ENTRE L'AJUNTAMENT DE BARCELONA I EL MINISTERI DE TRANSPORTS, MOBILITAT I AGENDA URBANA PER FOMENTAR LA PROMOCIÓ D'HABITATGES DESTINATS A LLOGUER ASSEQUIBLE O SOCIAL (PLA 20.000) A BARCELONA",0.0,"08/10/2020","","MINISTERI DE TRANSPORTS, MOBILITAT I AGENDA URBANA"
"C20000106","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL CONSELL D'ASSOCIACIONS DE BARCELONA PER A LA GESTIÓ DE L'ESPAI TORRE JUSSANA I DE L'ADDENDA PER AL DESENVOLUPAMENT DEL PROJECTE PILOT DE L'OFICINA DE GESTIÓ DEL PATRIMONI CIUTADÀ",442144.0,"17/09/2020","16/11/2020","CONSELL D'ASSOCIACIONS DE BARCELONA"
"C20000107","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I BARCELONA SUPERCOMPUTING CENTER - CENTRO NACIONAL DE SUPERCOMPUTACIÓN",0.0,"21/07/2020","21/07/2022","BARCELONA SUPERCOMPUTING CENTER"
"C20000108","SERVEIS GENERALS","ADDENDA AL CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL CONSELL D'ASSOCIACIONS DE BARCELONA PER AL DESENVOLUPAMENT DEL PROJECTE CASALS COMUNITARIS DE SOLIDARITAT",109000.0,"31/08/2020","28/02/2021","CONSELL D'ASSOCIACIONS DE BARCELONA"
"C20000109","SERVEIS GENERALS","PACTE PER A UNA NOVA MOBILITAT LABORAL A BARCELONA",0.0,"05/10/2020","","FOMENT DEL TREBALL NACIONAL; PIMEC-SEFES; COMISSIONS OBRERES DE CATALUNYA; UNIO GENERAL DE TREBALLADORS CATALUNYA"
"C20000110","DISTRICTE D'HORTA-GUINARDO","CONVENI ENTRE EL DISTRICTE D'HORTA-GUINARDÓ I SANT GENÍS PENITENTS CLUB ESPORTIU PER A LA GESTIÓ CÍVICA DEL CAMP DE FUTBOL DE SANT GENÍS",0.0,"31/08/2020","31/08/2021","SANT GENÍS PENITENTS CLUB ESPORTIU"
"C20000111","DISTRICTE DE SANTS-MONTJUÏC","CONVENI ENTRE EL DISTRICTE DE SANTS-MONTJUÏC I LA UNIÓ D'ENTITATS LA MARINA PER A LA GESTIÓ DE L'EQUIPAMENT DEL CENTRE CÍVIC LA CADENA",0.0,"23/09/2020","31/12/2022","UNIO ENTITATS LA MARINA"
"C20000112","DISTRICTE DE SANT MARTI","CONTRACTE DE COMODAT ENTRE EL DISTRICTE DE SANT MARTÍ I EL SENYOR ANDREU MITJANS JURNET REFERENT AL QUADRE ""OBRERES DE CAN SALADRIGAS""",0.0,"20/01/2020","20/01/2025","ANDREU MITJANS JURNET"
"C20000113","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, MITJANÇANT BARCELONA ACTIVA, SAU, SPM I LA GENERALITAT DE CATALUNYA, MITJANÇANT EL SERVEI PÚBLIC D'OCUPACIÓ DE CATALUNYA, (SOC) PER L'ASSOLIMENT D'UN MODEL INTEGRAL DE POLÍTIQUES ACTIVES D'OCUPACIÓ A LA CIUTAT DE BARCELONA",0.0,"20/10/2020","20/10/2022","GENERALITAT DE CATALUNYA"
"C20000114","PATRIMONI","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ PERE RELATS PER A UNA PERMUTA DE PROPIETATS A LA CIUTAT DE BARCELONA",0.0,"21/10/2020","","FUNDACIÓ PRIVADA PERE RELATS"
"C20000115","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FEDERACIÓ CATALANA DE VOLUNTARIAT SOCIAL PER AL DESENVOLUPAMENT DEL PROJECTE ""PLA D'ENFORTIMENT XARXA TERRITORIAL DE LA FCVS A BARCELONA L'ANY 2020",0.0,"07/10/2020","31/12/2020","FED. CATALANA VOLUNTARIAT SOCIAL"
"C20000116","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL CONSELL D'ASSOCIACIONS DE BARCELONA PER AL DESENVOLUPAMENT DEL PROJECTE ""ÉS EL MOMENT DE SUMAR""",0.0,"13/10/2020","31/12/2020","CONSELL D'ASSOCIACIONS DE BARCELONA"
"C20000117","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, LA FUNDACIÓ BARCELONA COMERÇ, BARCELONA OBERTA, COMERTIA, PIMEC-COMERÇ, FOMENT DEL TREBALL-COMERÇ, GREMI DE RESTAURACIÓ DE BARCELONA, CONSELL DE GREMIS I APESAFH PER CONTRIBUIR A FACILITAR I DISTRIBUIR MATERIAL DE PROTECCIÓ PER AL SECTOR COMERCIAL, DE SERVEIS I DE LA RESTAURACIÓ DE LA CIUTAT DE BARCELONA",0.0,"15/05/2020","15/05/2024","FUNDACIÓ BARCELONA COMERÇ; PIMEC-SEFES; EMPRESA FAMILIAR RETAIL-COMERTIA; GREMI DE RESTAURACIO; CONSELL DE GREMIS; APESAFH"
"C20000118","PATRIMONI","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA SOCIETAT SUNBORN OY RELATIU A LA FINALITZACIÓ DEL CONTRACTE D'AMARRATGE D'UN VAIXELL-HOTEL AL PORT ESPORTIU DE SANT ADRIÀ DEL BESÒS",0.0,"20/07/2020","","RITVA NIEMI"
"C20000119","DISTRICTE D'HORTA-GUINARDO","CONVENI ENTRE EL DISTRICTE D'HORTA-GUINARDÓ I L'ASSOCIACIÓ CASAL FONT D'EN FARGUES PER A LA GESTIÓ CÍVICA DE L'EQUIPAMENT MUNICIPAL CASAL FONT D'EN FARGUES DEL CARRER PEDRELL, 67-69",179604.2,"02/10/2020","","CASAL FONT D'EN FARGUES"
"C20000120","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'INSTITUT DEL TEATRE DE BARCELONA PER A L'EXHIBICIÓ DEL PROJECTE GUANYADOR DEL PREMI ADRIÀ GUAL 2020",0.0,"30/06/2020","31/12/2021","INSTITUT DEL TEATRE"
"C20000121","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA BIBLIOTECA PÚBLICA ARÚS",0.0,"07/07/2020","15/07/2021","BIBLIOTECA PÚBLICA ARÚS"
"C20000122","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I EL MUSEU NACIONAL D'ART DE CATALUNYA DE BARCELONAPER A LA PRESENTACIÓ D'UN ESPECTACLE DE DANSA (SONOMA)  EN EL MARC DE LA CELEBRACIÓ DEL GREC 2020 FESTIVAL DE BARCELONA",0.0,"09/07/2020","31/10/2020","MUSEU NACIONAL D'ART DE CATALUNYA-MNAC"
"C20000123","INSTITUT DE CULTURA","PRÒRROGA DEL CONVENI ENTRE L'ICUB I EL CONSORCI DEL CENTRE DE CULTURA CONTEMPORÀNIA DE BARCELONA",0.0,"15/05/2020","14/05/2021","CENTRE CULTURA CONTEMPORÀNIA DE BARCELONA"
"C20000124","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'ASSOCIACIÓ BIDÓ DE NOU BARRIS PER AL FINANÇAMENT DE LES ACTIVITATS A L'ATENEU POPULAR 9 BARRIS PER AL FINANÇAMENT DE LES ACTIVITATS DE L'ANY 2020",103000.0,"21/07/2020","31/03/2021","BIDO DE NOU BARRIS"
"C20000125","INSTITUT DE CULTURA","ADDENDA AL CONVENI ENTRE L'ICUB I LA FUNDACIÓ PRIVADA DE L'ASSOCIACIÓ D'ARTISTES VISUALS DE CATALUNYA PER AL FINANÇAMENT DE LES ACTIVITATS DE LA FÀBRICA DE CREACIÓ HANGAR 2019-2021 PER AL FINANÇAMENT DE LES ACTIVITATS DE L'ANY 2020",267820.19,"21/07/2020","31/03/2021","FUND PRIVADA ASSOC. ARTISTES VISUALS CATALUNYA"
"C20000126","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA FUNDACIÓ MUSEU PICASSO DE BARCELONA PER A LA GESTIÓ DEL SISTEMA DE TICKETING A LES TAQUILLES DEL PALAU DE LA VIRREINA",0.0,"23/07/2020","23/07/2024","FUNDACIÓ PICASSO-REVENTOS"
"C20000127","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I EL TEATRE NACIONAL DE CATALUNYA, SA. PER A LA CESSIÓ D'ESPAIS DEL TNC PER A LA PROGRAMACIÓ DEL GREC 2020 FESTIVAL DE BARCELONA",0.0,"23/07/2020","31/10/2020","TEATRE NACIONAL DE CATALUNYA (TNC)"
"C20000128","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'ASSOCIACIÓ EXPANSIÓ DE LA XARXA OBERTA PER AL FINANÇAMENT DE LES ACTIVITATS DE LA XARXA DE RÀDIOS COMUNITÀRIES DE BARCELONA EXERCICI 2020",42378.35,"21/07/2020","31/12/2020","FUNDACIÓ PRIVADA PER LA XARXA OBERTA LLIURE I NEUTRAL GUIFI.NET"
"C20000129","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA FUNDACIÓ MUSEU PICASSO DE BARCELONA PER ADHERIR-SE AL PROJECTE QUADERN CULTURA",0.0,"23/07/2020","23/07/2024","FUNDACIÓ PICASSO-REVENTOS"
"C20000130","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'ENTITAT L'OLIVERA, SCCL PER AL DESENVOLUPAMENT DEL PROJECTE ""VINYES COMPARTIDES I COMPROMESES"" A LA FINCA DE CAN CALOPA DE DALT",0.0,"30/06/2020","30/06/2024","L'OLIVERA, SCCL"
"C20000131","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I EL CONSORCI DEL CENTRE DE CULTURA CONTEMPORÀNIA DE BARCELONA PER A LA PRESENTACIÓ DE DOS ESPECTACLES EN EL MARC DE LA CELEBRACIÓ DEL GREC 2020 FESTIVAL DE BARCELONA",0.0,"24/07/2020","31/10/2020","CENTRE CULTURA CONTEMPORÀNIA DE BARCELONA"
"C20000132","INSTITUT DE CULTURA","ADDENDA AL CONVENI ENTRE L'ICUB I LA FUNDACIÓ GOTEO PER AL PROJECTE DE MATCHFUNDING DE LA FABRA I COATS 2020",0.0,"21/07/2020","31/12/2020","FUNDACIÓ GOTEO"
"C20000133","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I PENÍNSULA CORPORATE INNOVATION, SL. PER A L'EXECUCIÓ DE LA CINQUENA EDICIÓ DEL PROGRAMA D'INCUBACIÓ GAMEBCN 2019-2020",50000.0,"31/07/2020","31/07/2020","PENÍNSULA CORPORATE INNOVATION, SL."
"C20000134","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'INSTITUT DEL TEATRE PER A LA CONCESSIÓ DEL PREMI DE DANSA 2020",0.0,"23/07/2020","","INSTITUT DEL TEATRE"
"C20000135","INSTITUT DE CULTURA","ADDENDA AL CONVENI ENTRE L'ICUB I LA FUNDACIÓ SOLIDARITAT DE LA UNIVERSITAT DE BARCELONA PER AL DESENVOLUPAMENT COMÚ DE PROJECTES EN L'ÀMBIT DELA MEMÒRIA DEMOCRÀTICA DE BARCELONA ""MEMÒRIA BARCELONA""",60000.0,"31/07/2020","","FUNDACIÓ SOLIDARITAT UB"
"C20000136","INSTITUT DE CULTURA","PRÒRROGA AL CONVENI ENTRE L'ICUB I LA FUNDACIÓ GRAN TEATRE DEL LICEU RELATIU AL PROJECTE QUADERN CULTURA",0.0,"28/09/2020","15/10/2021","FUNDACIÓ GRAN TEATRE DEL LICEU"
"C20000137","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA FUNDACIÓ JOAN MIRÓ CENTRE D'ESTUDIS D'ART CONTEMPORANI PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING FUNDACIÓ JOAN MIRÓ A L'OFICINA CIUTADANA DE LA CULTURA DEL PALAU DE LA VIRREINA",0.0,"17/09/2020","","FUNDACIÓ JOAN MIRO"
"C20000138","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I EL CONSORCI MUSEU D'ART CONTEMPORANI DE BARCELONA PER ADHERIR-SE AL PROJECTE QUADERN CULTURA",0.0,"13/08/2020","13/08/2024","MUSEU D'ART CONTEMPORANI DE BARCELONA (MACBA)"
"C20000139","INSTITUT DE CULTURA","ANNEX AL CONVENI ENTRE L'ICUB I LA FUNDACIÓ TEATRE LLIURE-TEATRE PÚBLIC DE BARCELONA PER A LA REALITZACIÓ AL TEATRE LLIURE DE SIS ESPECTACLES DURANT EL GREC 2020 FESTIVAL DE BARCELONA",61492.1,"10/08/2020","","FUNDACIÓ TEATRE LLIURE"
"C20000140","INSTITUT DE CULTURA","ACORD INTRAMUNICIPAL ENTRE L'ICUB I BARCELONA ACTIVA, SAU SPM PER AL DESENVOLUPAMENT DEL PROJECTE CASA D'OFICIS DE L'ESPECTACLE EN VIU",0.0,"15/07/2020","29/12/2020","BARCELONA ACTIVA, S.A. SPM"
"C20000141","INSTITUT DE CULTURA","CONVENI ENTRE L'AJUNTAMENT I EL CONSORCI MUSEU D'ART CONTEMPORANI DE BARCELONA EN EL MARC DE LA CELEBRACIÓ DEL GREC EN OBERT AL MACBA",0.0,"15/07/2020","30/10/2020","MUSEU D'ART CONTEMPORANI DE BARCELONA (MACBA)"
"C20000142","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'ESCOLA MASSANA, CENTRE D'ART I DISSENY PER A LA RESIDÈNCIA ARTÍSTICA I EL DESENVOLUPAMENT D'ACTIVITATS A LA FABRA I COATS-FÀBRICA DE CREACIÓ",0.0,"23/07/2020","23/07/2021","ESCOLA MASSANA"
"C20000143","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB-ARXIU HISTÒRIC DE LA CIUTAT DE BARCELONA I LA BIBLIOTECA DE CATALUNYA PER AL PORTAL ARCA (ARXIU DE REVISTES CATALANES ANTIGUES)",0.0,"08/06/2020","08/06/2024","BIBLIOTECA DE CATALUNYA"
