"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Oberta","Clavegueram de Barcelona, S.A.","","Barcelona","2005","No","2006","2006","","","","","application/pdf","","1934","","societats mercantils","Mandat 2003-2007","http://hdl.handle.net/11703/89579","cat","Clavegueram de Barcelona, S.A.","","","","","","","","","","","","","CC-BY","openAccess","Clavegueram de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Clavegueram de Barcelona, S.A.","Medi ambient. Urbanisme i infraestructures","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Consorci de Biblioteques de Barcelona","","Barcelona","2003","No","2004","2004","","","","","application/pdf","","CBB_2003","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/89494","cat","Consorci de Biblioteques de Barcelona","","","","","","","","","","","","http://hdl.handle.net/11703/89495","CC-BY","openAccess","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de Biblioteques de Barcelona","Cultura i oci","memòries","","Memòria 2003","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2000","No","2001","2001","","","","","application/pdf","","3548","","organismes autònoms","Mandat 1999-2003","http://hdl.handle.net/11703/87994","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","Memòria 2000","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2003","No","2004","2004","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87999","","","application/pdf","","3280","","organismes autònoms","Mandat 1999-2003","http://hdl.handle.net/11703/87998","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","http://hdl.handle.net/11703/87999","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","Memòria 2003","","text",""
"Anual","Oberta","Consell Escolar Municipal (Barcelona)","","Barcelona","2012. 2013","No","2014","2014","","","","","application/pdf","","13049","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/87585","cat","Consell Escolar Municipal (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Escolar Municipal (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Escolar Municipal (Barcelona). Consells Escolars Municipals de Districte (Barcelona). Educació","Educació","memòries","","Memòria curs 2012-2013","","text",""
"Anual","Oberta","Consell Econòmic i Social de Barcelona","","Barcelona","2011","No","2012","2012","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87530","","","application/pdf","","10361","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87531","cat","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/87530","","","","","","","","","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Econòmic i Social de Barcelona. Economia. Finances","Economia","memòries","","Memòria socioeconòmica de Barcelona 2011","","text",""
"Anual","Oberta","Institut Municipal d'Educació (Barcelona)","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","8945","","organismes autònoms","Mandat 2003-2007","http://hdl.handle.net/11703/88069","cat","Institut Municipal d'Educació (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Educació (Barcelona). Escoles. Formació professional. Política educativa","Educació","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Consorci del Besòs (Barcelona)","","Barcelona. Sant Adrià de Besòs (Catalunya)","2005","No","2006","2006","","","","","application/pdf","","3518","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87677","cat","","","","","","","","","","","","","","CC-BY","openAccess","Consorci del Besòs (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Besòs (Barcelona). Economia. Finances. Infraestructures urbanes","Sector públic","memòries","","Memòria d'activitats 2005","","text",""
"Anual","Oberta","Consorci de Biblioteques de Barcelona","","Barcelona","2013","No","2014","2014","","","","","application/pdf","","14137","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/87691","cat","Consorci de Biblioteques de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de Biblioteques de Barcelona","Cultura i oci","memòries","","Memòria 2013","","text",""
"Anual","Tancada","Pro Nou Barris, S.A.","","Barcelona","2010","No","2011","2011","","","","","application/pdf","10 p.","8571","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/87932","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pro Nou Barris, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Pro Nou Barris, S.A.","Habitatge. Urbanisme i infraestructures","memòries","","Memòria 2010","","text",""
"Anual","Oberta","Barcelona Activa, S.A.","","Barcelona","2013","No","2014","2014","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87941. Podeu consultar la versió en castellà: http://hdl.handle.net/11703/87975","","","application/pdf","","18855","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87977","eng","Barcelona Activa, S.A.","http://hdl.handle.net/11703/87941. http://hdl.handle.net/11703/87975","","","","","","","","","","","","CC-BY","openAccess","Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Activa, S.A.. Desenvolupament econòmic. Serveis municipals","Economia. Ocupació","memòries","","Activity report 2013","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2003","No","2004","2004","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87998. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/88010","","","application/pdf","","3295","","organismes autònoms","Mandat 1999-2003","http://hdl.handle.net/11703/87999","cas","Institut Municipal d'Assistència Sanitària (Barcelona)","http://hdl.handle.net/11703/87998. http://hdl.handle.net/11703/88010","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","Memoria 2003","","text",""
"Anual","Oberta","Clavegueram de Barcelona, S.A.","","Barcelona","2004","No","2005","2005","","","","","application/pdf","","1933","","societats mercantils","Mandat 2003-2007","http://hdl.handle.net/11703/89578","cat","Clavegueram de Barcelona, S.A.","","","","","","","","","","","","","CC-BY","openAccess","Clavegueram de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Clavegueram de Barcelona, S.A.","Medi ambient. Urbanisme i infraestructures","memòries","","Memòria 2004","","text",""
"Anual","Oberta","Institut de Cultura de Barcelona","","Barcelona","2014","Si","2015","2015","","","","","application/pdf","","","","entitats públiques empresarials","Mandat 2011-2015","http://hdl.handle.net/11703/97440","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona. Política cultural. Equipaments culturals. Activitats culturals","Cultura i oci","memòries","","Memòria 2014. Institut de Cultura de Barcelona","","text",""
"Anual","Oberta","Institut de Cultura de Barcelona","","Barcelona","1999. 2000. 2001. 2002. 2003","No","2003","2003","","","","","application/pdf","","2090","","entitats públiques empresarials","Mandat 1999-2003","http://hdl.handle.net/11703/89609","cat","Institut de Cultura de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Institut de Cultura de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona. Cultura","Cultura i oci","memòries","","Balanç 1999-2003","","text",""
"Irregular","Tancada","Consorci del Parc de Collserola (Catalunya)","","Barcelona","2006","No","2007","2007","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87610","","","application/pdf","","3314","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87636","cas","Consorci del Parc de Collserola (Catalunya)","http://hdl.handle.net/11703/87610","","","","","","","","","","","","CC-BY","openAccess","Consorci del Parc de Collserola (Catalunya)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Parc de Collserola (Catalunya). Educació ambiental. Natura. Zones verdes","Medi ambient","memòries","","Memoria de gestión 2006","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2003","No","2004","2004","","","","","application/pdf","","3335","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/87649","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria d 'activitats 2003","","text",""
"Anual","Obert","Fundació Privada Mobilitat Sostenible i Segura","","Barcelona","2011","No","2012","2012","","","","","application/pdf","3 p.","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/106608","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Privada Mobilitat Sostenible i Segura","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Mobilitat Sostenible i Segura. Mobilitat. Desenvolupament urbà sostenible","Transport","memòries","","Memòria d'activitats 2011","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2005. 2006","No","2007","2007","","","","","application/pdf","","CESB_ACT_2005","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/89486","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria d’activitats Novembre 2005 - Juny 2006","","text",""
"Anual","Oberta","Consell Consultiu d'Hàbitat Urbà (Barcelona)","","Barcelona","2013","No","2014","2014","","","","","application/pdf","","13306","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/87603","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consell Consultiu d'Hàbitat Urbà (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Consultiu d'Hàbitat Urbà (Barcelona). Urbanisme. Infraestructures urbanes","Urbanisme i infraestructures","memòries","","Memòria 2013","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","2008","No","2009","2009","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87535","","","application/pdf","","3620","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87534","cat","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/87535","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memòria 2008","","text",""
"Irregular","Tancada","Sector de Promoció Econòmica","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","481","","","Mandat 2003-2007","http://hdl.handle.net/11703/89530","cat","Sector de Promoció Econòmica","","","","","","","","","","","","","CC-BY","openAccess","Sector de Promoció Econòmica","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Promoció Econòmica. Economia. Finances. Indicadors econòmics","Economia. Comerç. Indústria","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Consell Escolar Municipal (Barcelona)","","Barcelona","2013. 2014","Si","2015","2015","","","","","application/pdf","","17813","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/87586","cat","Consell Escolar Municipal (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Escolar Municipal (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Escolar Municipal (Barcelona). Consells Escolars Municipals de Districte (Barcelona). Educació","Educació","memòries","","Memòria curs 2013-2014","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","2005","No","2006","2006","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/89471","","","application/pdf","","2019","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/89470","cat","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/89471","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Centre de Documentació del Museu de Ciències Naturals (Barcelona)","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","9492","","","Mandat 2007-2011","http://hdl.handle.net/11703/87465","cat","Museu de Ciències Naturals de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Centre de Documentació del Museu de Ciències Naturals (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Documentació del Museu de Ciències Naturals (Barcelona)","Medi ambient","memòries","","Memòria 2010","","text",""
"Anual","Oberta","Fira Internacional de Barcelona","","Barcelona","2011","No","2012","2012","","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/98320","","","application/pdf","120 p.","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/98318","cat","","http://hdl.handle.net/11703/98320","","","","","","","","","","","","CC-BY","openAccess","Fira Internacional de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fira Internacional de Barcelona","Comerç","memòries","","Memòria 2011","","text",""
"Anual","Oberta","Institut Municipal d'Educació (Barcelona)","","Barcelona","2003","No","2004","2004","","","","","application/pdf","","8948","","organismes autònoms","Mandat 1999-2003","http://hdl.handle.net/11703/88066","cat","Institut Municipal d'Educació (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Educació (Barcelona). Escoles. Formació professional. Política educativa","Educació","memòries","","Memòria 2003","","text",""
"Anual","Oberta","Fira Internacional de Barcelona","","Barcelona","2016","Si","2017","2017","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/105654","","","application/pdf","116 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/105656","eng","","http://hdl.handle.net/11703/105654","","","","","","","","","","","","CC-BY","openAccess","Fira Internacional de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fira Internacional de Barcelona","Comerç","memòries","","Report 2016","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2003","No","2004-06-02","2004","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89392","","","application/pdf","136 p.","1026","","","Mandat 1999-2003","http://hdl.handle.net/11703/89387","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/89392","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Economia. Finances. Serveis municipals","Sector públic","memòries","","Informe anual del Ayuntamiento de Barcelona 2003","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","2004","No","2005","2005","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89468","","","application/pdf","","1953","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/89469","cas","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/89468","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memoria 2004","","text",""
"Anual","Oberta","Institut de Cultura de Barcelona","","Barcelona","2007","No","2008","2008","","","","","application/pdf","","3416","","entitats públiques empresarials","Mandat 2003-2007","http://hdl.handle.net/11703/88042","cat","Institut de Cultura de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Institut de Cultura de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona. Cultura","Cultura i oci","memòries","","Memòria 2007","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","7834","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/87656","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria 2010","","text",""
"Anual","Oberta","Consorci Parc de Salut Mar de Barcelona","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","8949","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/88005","cat","Consorci Parc de Salut del Mar de Barcelona. Hospitals","","","","","","","","","","","","","CC-BY","openAccess","Consorci Parc de Salut del Mar de Barcelona. Hospitals","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Parc de Salut Mar de Barcelona. Salut pública. Hospitals","Salut","memòries","","Memòria 2010","","text",""
"Anual","Tancada","Direcció del Programa de Dona. Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2013","No","2014","2014","","","","","application/pdf","40 p.","","","districtes","Mandat 2015-","http://hdl.handle.net/11703/97806","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció del Programa de Dona. Violència envers les dones","Societat i benestar","memòries","","Punt d'informació i atenció a les dones de Sants-Montjuïc : Memòria 2013","","text",""
"Anual","Oberta","Pla Estratègic Barcelona 2000. Associació","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","5784","","","Mandat 2007-2011","http://hdl.handle.net/11703/87551","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pla Estratègic Barcelona 2000. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Barcelona 2000. Associació. Finances","Economia","memòries","Pla Estratègic Barcelona 2000","Memòria estratègica de l'associació Pla Estratègic Metropolità de Barcelona 2009","","text",""
"Anual","Oberta","Consorci el Far (Barcelona)","","Barcelona","2008","No","2009","2009","","","","","application/pdf","","5979","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/87702","cat","Consorci El Far (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consorci el Far (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci el Far (Barcelona). Medi ambient","Medi ambient. Educació","memòries","","Memòria d'activitat 2008","","text",""
"Anual","Oberta","Consorci Sanitari de Barcelona","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","7827","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/87629","cat","","","","","","","","","","","","","","CC-BY","openAccess","Consorci Sanitari de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Sanitari de Barcelona. Salut pública. Serveis sanitaris","Salut","memòries","","Memòria del Consorci Sanitari de Barcelona 2009: document provisional","","text",""
"Anual","Tancada","Parcs i Jardins de Barcelona, Institut Municipal","","Barcelona","2001","No","2002","2002","","","","","application/pdf","","2239","","entitats públiques empresarials","Mandat 1999-2003","http://hdl.handle.net/11703/89615","cat. cas","Parcs i Jardins de Barcelona, Institut Municipal","","","","","","","","","","","","","CC-BY","openAccess","Parcs i Jardins de Barcelona, Institut Municipal","http://creativecommons.org/licenses/by/4.0/deed.ca","Parcs i Jardins de Barcelona, Institut Municipal. Zones verdes","Medi ambient","memòries","","Memòria 2001","","text",""
"Anual","Obert","Sindicatura de Greuges de Barcelona","","Barcelona","2016","No","2016","2017","","Informe presentat al Plenari del Consell Municipal de 24-02-2017","","","application/pdf","152 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/100449","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona. Responsabilitat administrativa","Societat i benestar","memòries. informes als òrgans de govern","","Activitat de la Sindicatura de Greuges de Barcelona : Informe 2016","","text",""
"Anual","Oberta","Sector de Seguretat i Mobilitat","","Barcelona","2005","No","2006","2006","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87773","","","application/pdf","","446","","","Mandat 2003-2007","http://hdl.handle.net/11703/87769","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87773","","","","","","","","","","","","CC-BY","openAccess","Sector de Seguretat i Mobilitat","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Seguretat i Mobilitat. Mobilitat urbana","Transport. Seguretat","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Guàrdia Urbana","","Barcelona","2013","No","2014","2014","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87799. Podeu consultar la versió en anglès a:http://hdl.handle.net/11703/87803","","","application/pdf","","18045","","","Mandat 2011-2015","http://hdl.handle.net/11703/87795","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87799. http://hdl.handle.net/11703/87803","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Policia local","Seguretat","memòries","","Guàrdia Urbana de Barcelona: Informe de gestió 2013","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","2000","No","2001","2001","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89460","","","application/pdf","","2096","","consells","Mandat 1999-2003","http://hdl.handle.net/11703/89461","cas","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/89460","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memoria 2000","","text",""
"Anual","Tancada","Sector de Seguretat i Mobilitat","","Barcelona","2005","No","2006","2006","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87768. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/87773","","","application/pdf","","1044","","","Mandat 2003-2007","http://hdl.handle.net/11703/87828","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/87768. http://hdl.handle.net/11703/87773","","","","","","","","","","","","CC-BY","openAccess","Sector de Seguretat i Mobilitat","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Seguretat i Mobilitat. Mobilitat urbana","Transport. Seguretat","memòries","","Annual report 2005","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2005","No","2006","2006","","","","","application/pdf","","3294","","organismes autònoms","Mandat 2003-2007","http://hdl.handle.net/11703/88023","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","","","","","","","","http://hdl.handle.net/11703/88001","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","L'IMAS en dades 2005","","text",""
"Anual","","Direcció Operativa de Turisme i Esdeveniments. Àrea d'Economia, Empresa i Ocupació","","Barcelona","2013","No","","2014","","","","","application/pdf","107 p.","17892","","","Mandat 2011-2015","http://hdl.handle.net/11703/90310","cat","","","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme sostenible. Política turística","Turisme","memòries","","Memòria de Sostenibilitat Turística. Barcelona 2013","","text",""
"Anual","","Red de Juderías de España-Caminos de Sefarad","","Barcelona","2014","No","2015-04","2015-04","","La data de publicació d’aquest document és inexacta, s’ha escollit una data aproximada, tenint en compte, la dècada de la possible publicació","","","application/pdf","84 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/100464","eng. cas","","","","","","","","","","","","","","CC-BY (text) - Tots els drets reservats (fotografies)","openAccess","Red de Juderías de España. Caminos de Sefarad","http://creativecommons.org/licenses/by/4.0/deed.ca","Red de Juderías de España-Caminos de Sefarad","Cultura i oci. Turisme","memòries","","Memoria 2014 [versió en castellà i anglès]","","text",""
"Anual","Oberta","Consorci de la Zona Franca de Barcelona","","Barcelona","2002","No","2003","2003","","","","","application/pdf","","3513","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/87664","cat","Consorci de la Zona Franca de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consorci de la Zona Franca de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de la Zona Franca de Barcelona. Logística (Indústria)","Indústria","memòries","","Memòria anual 2002","","text",""
"Anual","Oberta","Fundació BCN Formació Professional","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","18114","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/87474","cat","Fundació BCN Formació Professional. Formació professional","","","","","","","","","","","","","CC-BY","openAccess","Fundació BCN Formació Professional. Formació professional","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació BCN Formació Professional. Formació professional","Educació","memòries","","Memòria 2010","","text",""
"Anual","Oberta","Agència de Salut Pública de Barcelona","","Barcelona","2005","No","2006","2006","","","","","application/pdf","","3235","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87985","cat","Agència de Salut Pública de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Agència de Salut Pública de Barcelona. Salut pública","Salut","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2006","No","2007-05-31","2007","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89394","","","application/pdf","152 p.","887","","","Mandat 2003-2007","http://hdl.handle.net/11703/89389","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/89394","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Economia. Finances. Serveis municipals","Sector públic","memòries","","Informe anual del Ayuntamiento de Barcelona 2006","","text",""
"Anual","","Arxiu Municipal de Barcelona","","Barcelona. Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","2015","No","2016","2016","","","","","application/pdf","132 p.","","","","Mandat 2011-2015. Mandat 2015-","http://hdl.handle.net/11703/105231","cat","","","","","","","","","","","","","","CC-BY (text) - Tots els drets reservats (fotografies)","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Municipal de Barcelona. Arxius","Sector públic","memòries","","Memòria 2015","","text",""
