"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Oberta","Patronat Municipal de l'Habitatge de Barcelona","","Barcelona","2008","No","2009","2009","","","","","application/pdf","","3368","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/88027","cat","Patronat Municipal de l'Habitatge de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Patronat Municipal de l'Habitatge de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Patronat Municipal de l'Habitatge de Barcelona","Habitatge","memòries","","Memòria 2008","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2004","No","2005-10-24","2005","","","","","application/pdf","215 p.","1090","","","Mandat 2003-2007","http://hdl.handle.net/11703/89400","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Serveis municipals. Empreses públiques. Informació i Comunicació de Barcelona, S.A.. Barcelona Activa, S.A.. Pro Nou Barris, S.A.. 22@bcn, S.A.. Barcelona Gestió Urbanística, S.A.. Tractament i Selecció de Residus, S.A. (TERSA). Foment de Ciutat Vella, S.A.. Serveis Funeraris de Barcelona, S.A.. ProEixample, S.A.. Mercabarna, S.A.. Barcelona Holding Olímpico, S.A.. BCN Emprèn, S.C.R., S.A.. Clavegueram de Barcelona, S.A.. Catalana d'Iniciatives, S.C.R., S.A.. Túnels i Accessos de Barcelona, S.A.C.. Patronat Municipal de l'Habitatge de Barcelona. Institut Municipal de Persones amb Disminució (Barcelona). Fundació Mies van der Rohe. Institut Municipal d'Informàtica (Barcelona). Institut Municipal d'Urbanisme (Barcelona). Institut Municipal d'Hisenda (Barcelona). Parcs i Jardins de Barcelona, Institut Municipal. Institut Municipal de Mercats (Barcelona). Institut Municipal d'Educació (Barcelona). Institut de Cultura de Barcelona. Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona). Fira Internacional de Barcelona. Consorci de la Zona Franca de Barcelona. Consorci Sanitari de Barcelona. Turisme de Barcelona. Consorci de l'Auditori i l'Orquestra. Barcelona de Serveis Municipals, S.A. (BSM). Barcelona d'Infraestructures Municipals, S.A.","Sector públic","memòries","","Informe anual de les empreses i institucions municipals 2004","","text",""
"Anual","Oberta","Departament de Recerca i Coneixement. Àrea de Drets Socials","","Barcelona","","Si","2017-07","2017-07","","","","","application/pdf","254 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/105931","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Àrea de Drets Socials. Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria 2016","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2008","No","2009-07-09","2009","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89386","","","application/pdf","125 p.","2652","","","Mandat 2007-2011","http://hdl.handle.net/11703/89396","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/89386","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Economia. Finances. Serveis municipals","Sector públic","memòries","","Annual report City of Barcelona 2008","","text",""
"Anual","","Consell Tributari Municipal (Barcelona)","","Barcelona","2015","Si","2016","2016","","","","","application/pdf","52 p.","","","consells","Mandat 2015-","http://hdl.handle.net/11703/99377","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memòria 2015","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2009. 2010","No","2011","2011","","","","","application/pdf","","6776","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87568","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Informe participatiu 2009-2010","","text",""
"Anual","Tancada","Institut Municipal de Mercats (Barcelona)","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","6097","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/88034","cat","Institut Municipal de Mercats de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal de Mercats de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal de Mercats (Barcelona). Mercats. Alimentació. Consum (Economia)","Comerç","memòries","","Memòria 2009","","text",""
"Anual","Oberta","Patronat Municipal de l'Habitatge de Barcelona","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","1461","","entitats públiques empresarials","Mandat 2003-2007","http://hdl.handle.net/11703/89601","cat","Patronat Municipal de l'Habitatge de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Patronat Municipal de l'Habitatge de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Patronat Municipal de l'Habitatge de Barcelona","Habitatge","memòries","","Memòria 2006","","text",""
"","","Districte 8. Nou Barris. Ajuntament de Barcelona","","Barcelona. Districte 8. Nou Barris","2012. 2013. 2014. 2015","","2015","2015","","","","","application/pdf","148 p.","18479","","districtes","","http://hdl.handle.net/11703/86829","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política pública","Sector públic","memòries","Programa d'Actuació del Districte de Nou Barris (PAD) 2012-2015 (Barcelona)","Balanç de mandat : Districte de Nou Barris 2012-2015 [versió presentació]","","text",""
"Anual","Oberta","Àrea de Qualitat de Vida, Igualtat i Esports. Acord Ciutadà per una Barcelona Inclusiva","","Barcelona","2012","No","2013","2013","","","","","application/pdf","124 p.","11603","","","Mandat 2011-2015","http://hdl.handle.net/11703/91527","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Acord Ciutadà per una Barcelona Inclusiva. Integració social","Societat i benestar","memòries","","Memòria d'activitats 2012","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2002","No","2003","2003","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87996","","","application/pdf","","3292","","organismes autònoms","Mandat 1999-2003","http://hdl.handle.net/11703/88009","eng","Institut Municipal d'Assistència Sanitària (Barcelona)","http://hdl.handle.net/11703/87996","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","IMAS annual report, Barcelona 2002","","text",""
"Anual","Tancada","Sector de Serveis Personals. Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2006","No","2007","2007","","","","","application/pdf","","SSPPD2006_SS","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89554","cat","Districte 5. Sarrià-Sant Gervasi","","","","","","","","","","","","","CC-BY","openAccess","Districte 5. Sarrià-Sant Gervasi","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 5. Sarrià-Sant Gervasi","Sector públic","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","3338","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87652","cat","Consorci per a la Normalització Lingüística de Catalunya","","","http://hdl.handle.net/11703/87653","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona","2005","No","2006","2006","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87754. Informe presentat al Plenari del Consell Municipal","","","application/pdf","82 p.","3391","","","Mandat 2003-2007","http://hdl.handle.net/11703/87809","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/87754","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona. Responsabilitat administrativa","Societat i benestar","informes als òrgans de govern. memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2005","","text",""
"Anual","Oberta","Centre de Cultura Contemporània de Barcelona","","Barcelona","2007","No","2008","2008","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87732","","","application/pdf","","7777","","","Mandat 2003-2007","http://hdl.handle.net/11703/87746","cat","Centre de Cultura Contemporània de Barcelona","http://hdl.handle.net/11703/87732","","","","","","","","","","","","CC-BY","openAccess","Centre de Cultura Contemporània de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Cultura Contemporània de Barcelona. Cultura","Cultura i oci","memòries","","Memòria 2007","","text",""
"Anual","Tancada","Consell Municipal de Cooperació Internacional per al Desenvolupament (Barcelona)","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","7375","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87594","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Cooperació Internacional per al Desenvolupament","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Cooperació Internacional per al Desenvolupament (Barcelona). Relacions humanes. Civisme. Cooperació internacional. Desenvolupament econòmic","Societat i benestar. Sector públic","memòries","","Memòria 2010","","text",""
"Anual","Tancada","Sector de Serveis Personals","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","3370","","","Mandat 2003-2007","http://hdl.handle.net/11703/87780","cat","","","","","","","","","","","","","","CC-BY","openAccess","Sector de Serveis Personals","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Serveis Personals. Serveis socials","Societat i benestar","memòries","","Memòria dels districtes 2006","","text",""
"Desconeguda","Tancada","Centre de Recursos Internacional per la Pau de Barcelona","","Barcelona","2009. 2010","No","2011","2011","","","","","application/pdf","","13994","","","Mandat 2007-2011","http://hdl.handle.net/11703/89421","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Centre de Recursos Internacional per la Pau de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Recursos Internacional per la Pau de Barcelona. Dret internacional. Pau","Sector públic","memòries","","Recull d'activitats 2009-2010 i programa 2011 = Activity report 2009-2010 and programme for 2011. Recull d'activitats 2009-2010 i programa 2011 = Activity report 2009-2010 and programme for 2011","","text",""
"Anual","Oberta","Servei d'Atenció a Homes la Promoció de Relacions no Violentes","","Barcelona","2013","No","2014","2014","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/88081","","","application/pdf","","17949","","","Mandat 2011-2015","http://hdl.handle.net/11703/88080","cat","Servei d'Atenció a Homes (SAH). Direcció de Programa Dona","http://hdl.handle.net/11703/88081","","","","","","","","","","","","CC-BY","openAccess","Servei d'Atenció a Homes la Promoció de Relacions no Violentes","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei d'Atenció a Homes (SAH). Violència envers les dones. Prevenció","Demografia. Societat i benestar","memòries","","Memòria 2013","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2006. 2007. 2008. 2009. 2010","No","2011","2011","","","","","application/pdf","","18559","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87653","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","http://hdl.handle.net/11703/87652","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria 2006-2010 (Activitats més destacades)","","text",""
"Anual","Oberta","Autoritat del Transport Metropolità","","Barcelona","2009","No","2010","2010","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88102","","","application/pdf","","18539","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/88113","eng","Autoritat del Transport Metropolità","http://hdl.handle.net/11703/88102","","","","","","","","","","","","CC-BY","openAccess","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità. . Mobilitat urbana","Transport","memòries","","Report 2009","","text",""
"Anual","Oberta","Barcelona Activa, S.A.","","Barcelona","2014","No","2015","2015","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87942. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/89632","","","application/pdf","","19937","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/89631","cas","Barcelona Activa, S.A.","http://hdl.handle.net/11703/87942. http://hdl.handle.net/11703/89632","","","","","","","","","","","","CC-BY","openAccess","Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Activa, S.A.. Desenvolupament econòmic. Serveis municipals","Economia. Ocupació","memòries","","Memoria de actividades 2014","","text",""
"Anual","Oberta","Direcció del Programa de Dona. Districte 3. Sants-Montjuïc","","Barcelona","2012","No","2013","2013","","","","","application/pdf","36 p.","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/97826","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció del Programa de Dona. Violència envers les dones","Societat i benestar","memòries","","Punt d'informació i atenció a les dones de Sants-Montjuïc : Memòria 2012","","text",""
"Anual","Oberta","Pla Estratègic Barcelona 2000. Associació","","Barcelona","2003","No","2004","2004","","","","","application/pdf","","3304","","","Mandat 1999-2003","http://hdl.handle.net/11703/87545","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pla Estratègic Barcelona 2000. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Barcelona 2000. Associació. Finances","Economia","memòries","Pla Estratègic Barcelona 2000","Memòria estratègica de l'associació Pla Estratègic Metropolità de Barcelona 2003","","text",""
"Anual","Oberta","Sector de Manteniment i Serveis","","Barcelona","2000","No","2001","2001","","","","","application/pdf","","3381","","","Mandat 1999-2003","http://hdl.handle.net/11703/87764","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Sector de Manteniment i Serveis","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Manteniment i Serveis","Medi ambient","memòries","","Informe anual 2000","","text",""
"Anual","Oberta","Turisme de Barcelona","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","10293","",". consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/88075","cat","Turisme de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Turisme de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme de Barcelona","Turisme","memòries","","Memòria 2011","","text",""
