"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Anual","Obert","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","2017","No","2016-07-27","2016-06-06","","2016-06-07","Aprovació inicial per la Comissió de Govern de 26-05-2016. Aprovació definitiva per la Comissió de Govern de 27-07-2016. | Requerides pel Concurs de projectes d'entitats o associacions, sense ànim de lucre, a l'Espai Expositiu Les corts 2018 : convocatòria i bases específiques [http://hdl.handle.net/11703/106303] | Requerides pel Concurs de projectes d'entitats o associacions, sense ànim de lucre, a l'Espai Expositiu Les corts 2019 : convocatòria i bases específiques [http://hdl.handle.net/11703/116043] | Requerides pel Concurs de projectes d'entitats o associacions, sense ànim de lucre, a l'Espai Expositiu Les corts 2020 : convocatòria i bases específiques [http://hdl.handle.net/11703/115915]","","","","","application/pdf","2 documents","application/pdf","","Núm. Exp. U13-2016-0002","Butlletí Oficial de la Província de Barcelona (06-06-2016)","districtes","","http://hdl.handle.net/11703/106304","cat","","","","","","","","http://hdl.handle.net/11703/106303 | http://hdl.handle.net/11703/116043 | http://hdl.handle.net/11703/115915","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Entitats sense ànim de lucre | Exposicions | Nonprofit organizations | Exhibitions | Organizaciones no lucrativas | Exposiciones","Cultura i oci","ajuts i subvencions","","Concurs de projectes d'entitats o associacions, sense ànim de lucre, a l'Espai Expositiu Les corts 2017 : bases","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2012","","2012-05-09","2012-07-02","","","Aprovades per la Comissió de Govern de 09-05-2012","","","","","application/pdf","","application/pdf",12499.0,"","Butlletí Oficial de la Província de Barcelona 02-07-2012","","","http://hdl.handle.net/11703/87004","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis socials | Solidaritat | Human services | Solidarity | Servicios sociales | Solidaridad","Societat i benestar","ajuts i subvencions","","Barcelona Solidària 2012 : bases","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2009","","2009-05-04","2009-05-07","","","Aprovades per Decret de l'Alcaldia de 04 de maig de 2009","","","","","application/pdf","","application/pdf",12500.0,"","Butlletí Oficial de la Província de Barcelona, núm. 109 (07-05-2009)","","","http://hdl.handle.net/11703/89345","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cooperació internacional | Assistència social | International cooperation | Public welfare | Cooperación internacional | Asistencia social","Societat i benestar","ajuts i subvencions","","Cooperació internacional 2009 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Gerència de Presidència i Economia","","Barcelona | Barcelona | Barcelona","2019","No","2019-01-17","2019-01-24","","","Aprovada per la Comissió de Govern de 17-01-2019 | Requereix les bases aprovades per la Comissió de Govern de 29-11-2018 [http://hdl.handle.net/11703/112187]","","","","","application/pdf","22 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (24-01-2019)","","","http://hdl.handle.net/11703/112186","cat","","","","","","","","","","","http://hdl.handle.net/11703/112187","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cooperació internacional | Cooperación internacional | International cooperation | Justícia | Justicia | Justice | Moviment antiglobalització | Movimientos antiglobalización | Anti-globalization movement","Societat i benestar","ajuts i subvencions","Programa de Cooperació per a la Justícia Global 2016- (Barcelona) | Programa de Cooperació per a la Justícia Global a Ciutats Específiques 2016- (Barcelona) | Programa d'Educació per a la Justícia Global 2016- (Barcelona)","Subvencions en el marc de diversos programes 2019 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2015","","2015-09-08","2015-09-29","","2015-09-30","","","","","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (29-09-2015)","consorcis","","http://hdl.handle.net/11703/83958","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Dret a l'habitatge | Ajuda econòmica | Arrendament | Persones desfavorides | Right to housing | Economic assistance | Leases | People with social disabilities | Derecho a la vivienda | Ayuda económica | Arrendamiento | Marginados sociales","Economia | Sector públic","ajuts i subvencions","","Prestacions econòmiques d'urgència social derivades de la mediació a Barcelona 2015: bases : modificació i ampliació","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2018","Si","2018-05-02","2018-05-16","","2018-05-17","Aprovat per la Junta General del Consorci de l'Habitatge de Barcelona de 02-05-2018","Modificades i substituïdes per les Subvencions per a la inclusió d'habitatges al Programa de la borsa d'habitatges de lloguer de la ciutat de Barcelona : bases reguladores [2019 text refós] [http://hdl.handle.net/11703/117027]","","","","application/pdf","10 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (16-05-2018)","consorcis","","http://hdl.handle.net/11703/109226","cat","","","","","","","http://hdl.handle.net/11703/117027","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatge de lloguer | Habitatge públic | Arrendament | Rental housing | Public housing | Leases | Vivienda de alquiler | Viviendas de protección oficial | Arrendamiento","Habitatge","ajuts i subvencions","Programa de la Borsa d'Habitatges de Lloguer de la Ciutat de Barcelona 2016-","Subvencions per a la inclusió d'habitatges al Programa de la borsa d'habitatges de lloguer de la ciutat de Barcelona 2018 : bases","","text","info:eu-repo/semantics/other",""
"","","Gerència d’Àrea d’Economia, Recursos i Promoció Econòmica | Àrea d'Economia, Treball, Competitivitat i Hisenda","","Barcelona | Barcelona | Barcelona","2020","Si","2020-01-16","2020-01-21","","","Aprovació inicial per la Comissió de Govern de 16-01-2020 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","13 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (21-01-2020)","","","http://hdl.handle.net/11703/117878","cat","","","","","","","","<a href=""http://hdl.handle.net/11703/117873"">Convocatòria 2020</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Economia social | Desenvolupament comunitari | Ocupació | Emprenedoria | Innovacions tecnològiques | Turisme | Social economy | Community development | Employment (Economic theory) | Entrepreneurship | Technological innovations | Tourism | Economía social | Desarrollo comunitario | Empleo | Emprendedores | Innovaciones tecnológicas | Turismo","Ciència i tecnologia | Economia | Ocupació | Societat i benestar | Turisme","ajuts i subvencions","","Programa de subvencions de l'Ajuntament de Barcelona per l'Impuls socioeconòmic del territori 2020 : bases","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2018","No","2018-07-20","2018-09-05","","2018-09-06","Aprovada per la Comissió Permanent del Consorci de l'Habitatge de Barcelona de 20-07-2018 | Requereix el text refós de les bases reguladores aprovades el 02-05-2018 [http://hdl.handle.net/11703/110977]","","","","Annex 1. Taules IRSC aplicables a aquesta convocatòria | Annex 2. Adreces de les Oficines de l'Habitatge de Barcelona","application/pdf","30 p.","application/pdf","","R. BDNS 409596","Butlletí Oficial de la Província de Barcelona (05-09-2018)","","","http://hdl.handle.net/11703/110978","spa | cat","","","","","","","","","","","http://hdl.handle.net/11703/110977","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Habitatge de lloguer | Dret a l'habitatge | Vivienda de alquiler | Derecho a la vivienda | Rental housing | Right to housing","Habitatge","ajuts i subvencions","","Prestacions per al pagament del lloguer a la ciutat de Barcelona 2018 : convocatòria [versió en català i castellà]","Prestaciones para el pago del alquiler en la ciudad de Barcelona 2018 : convocatoria [versió en català i castellà]","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2016","","2016-08-03","2016-08-11","","","Aprovada per resolució del president de l'Institut de Cultura de Barcelona de 03-08-2016 | Modifica resolució del president de l'Institut de Cultura de Barcelona de 28-06-2016","","","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (11-08-2016)","entitats públiques empresarials","","http://hdl.handle.net/11703/97986","cat","","","","","","","","http://hdl.handle.net/11703/97722","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Auditoris | Teatres | Subvencions | Auditoriums | Theaters | Subsidies | Auditorios | Teatros | Subvenciones públicas","Cultura i oci","ajuts i subvencions","","Inversions per rehabilitació d'equipaments d'exhibició teatral, auditoris o equipaments anàlegs de base associativa 2016: modificació [03-08-2016]","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","2016","No","2015-10-14","2015-10-27","","2015-10-28","Aprovació inicial per la Comissió de Govern de 14-10-2015 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","12 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (27-10-2015)","","","http://hdl.handle.net/11703/99426","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Activitats culturals | Serveis municipals | Serveis socials | Cultural animation | Municipal services | Human services | Animación cultural | Servicios municipales | Servicios sociales","Cultura i oci | Economia","ajuts i subvencions","","Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2016 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2016","Si","2016-10-27","2016-11-08","","2016-11-09","Aprovació inicial per la Comissió de Govern de 27-10-2016 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","8 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (08-11-2016)","","","http://hdl.handle.net/11703/99417","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Rehabilitació de l'habitatge | Equipaments religiosos | Equipaments col·lectius | Housing rehabilitation | Religious facilities | Infrastructure (Economics) | Rehabilitación de viviendas | Instalaciones religiosas | Equipamientos colectivos","Cultura i oci | Urbanisme i infraestructures","ajuts i subvencions","","Subvencions per a l'adequació de locals de centres de culte d'entitats religioses 2016 : bases","Subvencions per a l'adequació de locals de centres de culte d'entitats religioses a la ciutat de Barcelona 2016 : bases","text","info:eu-repo/semantics/other",""
"","","Gerència de Presidència i Economia","","Barcelona | Barcelona | Barcelona","","","2018-11-28","2019-01-24","","","Aprovades a la Comissió de Govern de 28-11-2018 | Bases requerides per les Subvencions en el marc de diversos programes 2019 : convocatòria [http://hdl.handle.net/11703/112186] | Bases requerides per les Subvencions en el marc de diversos programes 2020 : convocatòria [http://hdl.handle.net/11703/117054]","","","","","application/pdf","12 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (24-01-2019)","","","http://hdl.handle.net/11703/112187","cat","","","","","","","","http://hdl.handle.net/11703/112186 | http://hdl.handle.net/11703/117054","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cooperació internacional | Justícia | Moviment antiglobalització | International cooperation | Justice | Anti-globalization movement | Cooperación internacional | Justicia | Movimientos antiglobalización","Societat i benestar","ajuts i subvencions","Pla Director de Cooperació per a la Justícia Global de Barcelona 2018-2021","Subvencions a les entitats dedicades a l'àmbit de la justícia global i la cooperació internacional: bases","","text","info:eu-repo/semantics/other",""
"Anual","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2014","","2014-07-23","2014-08-29","","2014-08-30","Aprovada per la Comissió de Govern de 23-07-2014","","","","","application/pdf","10 p.","application/pdf",14022.0,"","Butlletí Oficial de la Província de Barcelona (29-08-2014)","","","http://hdl.handle.net/11703/87049","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments culturals | Rehabilitació de l'habitatge | Equipaments col·lectius | Arts facilities | Housing rehabilitation | Infrastructure (Economics) | Equipamientos culturales | Rehabilitación de viviendas | Equipamientos colectivos","Urbanisme i infraestructures | Cultura i oci","ajuts i subvencions","","Arranjament i adequació de locals en el sector educatiu, lleure infants, adolescents, joves i centres de culte religiós 2014 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"Anual","","Direcció de Serveis de Justícia Global i Cooperació Internacional | Gerència de Presidència i Economia","","Barcelona | Barcelona | Barcelona","2018","Si","2017-12-14","2017-12-22","","2017-12-23","Aprovada per la Comissió de Govern el 14-12-2017 | Hauran de complir els requisits exigits al punt 4 de les Bases aprovades per la Comissió de Govern amb data de 17/03/2016 [http://hdl.handle.net/11703/97206]","","","","","application/pdf","22 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (22-12-2017)","","","http://hdl.handle.net/11703/106762","cat","","","","","","","","","","","http://hdl.handle.net/11703/97206","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cooperació internacional | Justícia | Moviment antiglobalització | International cooperation | Justice | Anti-globalization movement | Cooperación internacional | Justicia | Movimientos antiglobalización","Societat i benestar","ajuts i subvencions","Programa de Cooperació per a la Justícia Global 2016- (Barcelona) | Programa de Cooperació per a la Justícia Global a Ciutats Específiques 2016- (Barcelona) | Programa d'Educació per a la Justícia Global 2016- (Barcelona)","Subvencions en el marc de diversos programes 2018 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2013","","2013-06-05","2013-06-12","","","Aprovada pel gerent de l'Institut Municipal d'Hisenda el 05-06-2013","","","","","application/pdf","","application/pdf",11431.0,"","Butlletí Oficial de la Província de Barcelona 12-06-2013","organismes autònoms","","http://hdl.handle.net/11703/86988","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Real property tax | Human services | Impuestos inmobiliarios | Servicios sociales","Hisenda | Societat i benestar","ajuts i subvencions","","Impost de béns immobles per a famílies nombroses 2013 :  convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2015","","2016-02-25","2016-02-29","","","","","","","","application/pdf","8 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm. 7 (29-02-2016), p. 1413-1420","","","http://hdl.handle.net/11703/88446","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Funcionaris i empleats municipals | Subvencions | Assistència social | Municipal officials and employees | Subsidies | Public welfare | Funcionarios locales | Subvenciones públicas | Asistencia social","Hisenda | Societat i benestar","ajuts i subvencions","","Ajuts econòmics del Fons d'Acció Social 2015 : bases","","text","info:eu-repo/semantics/other",""
"Anual","Obert","Gerència d’Àrea d’Economia, Recursos i Promoció Econòmica | Àrea d'Economia, Treball, Competitivitat i Hisenda","","Barcelona | Barcelona | Barcelona","2020","Si","2020-03-12","2020-03-17","","2020-03-17","Aprovada per la Comissió de Govern de 12-03-2020","","","","","application/pdf","21 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (17-03-2020)","","","http://hdl.handle.net/11703/117873","cat","","","","","","","","","","","<a href=""http://hdl.handle.net/11703/117878"">Bases reguladores</a>","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Economia social | Desenvolupament comunitari | Ocupació | Emprenedoria | Innovacions tecnològiques | Turisme | Social economy | Community development | Employment (Economic theory) | Entrepreneurship | Technological innovations | Tourism | Economía social | Desarrollo comunitario | Empleo | Emprendedores | Innovaciones tecnológicas | Turismo","Ciència i tecnologia | Economia | Ocupació | Societat i benestar | Turisme","ajuts i subvencions","","Programa de subvencions de l'Ajuntament de Barcelona per l'Impuls socioeconòmic del territori 2020 : convocatòria","","text","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2018","No","2018-05-22","2018-06-01","","2018-06-02","Aprovada per resolució del gerent de l'Institut Municipal d'Hisenda de 22-05-2018 | Requereix les Bases de la Subvenció de l'impost sobre béns immobles, corresponent al domicili habitual, per a persones vídues majors de 65 anys amb pocs recursos econòmics  aprovades per la Comissió de Govern de 24-08-2017 [http://hdl.handle.net/11703/105411]","","","","","application/pdf","3 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (01-06-2018)","organismes autònoms","","http://hdl.handle.net/11703/109274","cat","","","","","","","","","","","http://hdl.handle.net/11703/105411","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Viduïtat | Real property tax | Human services | Widowhood | Impuestos inmobiliarios | Servicios sociales | Viudez","Habitatge | Hisenda | Societat i benestar","ajuts i subvencions","","Subvenció de l'impost sobre béns immobles, corresponent al domicili habitual, per a persones vídues majors de 65 anys amb pocs recursos econòmics 2018 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2004","","2003-12-30","2004-01-30","","","Aprovada per Decret de l'Alcaldia de 30-12-2003","","","","","application/pdf","","application/pdf",12541.0,"","Gaseta Municipal de Barcelona, núm.  3 (30-01-2004)","","","http://hdl.handle.net/11703/87012","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Real property tax | Impuestos inmobiliarios","Hisenda","ajuts i subvencions","","Impost sobre l'increment de valor dels terrenys de naturalesa urbana, a persones majors de 65 anys, en els casos de  de transmissió del seu habitatge habitual a canvi d'obtenir una renda vitalícia 2004 : bases","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2015","","2015-04-15","2015-05-04","","","Aprovada pel gerent de l'Institut Municipal d'Hisenda el 15-04-2015","","","","","application/pdf","","application/pdf",18661.0,"","Butlletí Oficial de la Província de Barcelona (04-05-2015)","organismes autònoms","","http://hdl.handle.net/11703/87063","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Real property tax | Human services | Impuestos inmobiliarios | Servicios sociales","Hisenda | Societat i benestar","ajuts i subvencions","","Impost de béns immobles per a famílies nombroses 2015 :  convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2014","","2014-01-22","2014-01-30","","","Aprovada per la Comissió de Govern el 22-01-2014","","","","","application/pdf","","application/pdf",13059.0,"","Butlletí Oficial de la Província de Barcelona (30-01-2014)","","","http://hdl.handle.net/11703/87030","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis socials | Solidaritat | Human services | Solidarity | Servicios sociales | Solidaridad","Societat i benestar","ajuts i subvencions","","Barcelona Solidària 2014 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Gerència de Política Econòmica i Desenvolupament Local","","Barcelona | Barcelona | Barcelona","2019","Si","2019-07-18","2019-07-29","","","Aprovada per la Comissió de Govern de 18-07-2019","","Modifica el Programa de subvencions de l'Ajuntament de Barcelona per l'impuls socioeconòmic del territori 2019 : convocatòria [ http://hdl.handle.net/11703/113789]","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (29-07-2019)","","","http://hdl.handle.net/11703/115125","cat","","","","","","","","http://hdl.handle.net/11703/113789","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Economia social | Desenvolupament comunitari | Ocupació | Emprenedoria | Innovacions tecnològiques | Turisme | Social economy | Community development | Employment (Economic theory) | Entrepreneurship | Technological innovations | Tourism | Economía social | Desarrollo comunitario | Empleo | Emprendedores | Innovaciones tecnológicas | Turismo","Ciència i tecnologia | Economia | Ocupació | Societat i benestar | Turisme","ajuts i subvencions","","Programa de subvencions de l'Ajuntament de Barcelona per l'impuls socioeconòmic del territori 2019 : convocatòria : modificació [2019-07-18]","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2006","","2006-01-19","2006-01-25","","","Aprovat per Decret de l'Alcaldia de 19-01-2006","","","","","application/pdf","","application/pdf",12520.0,"","Butlletí Oficial de la Província de Barcelona, núm. 21 (25-01-2006)","","","http://hdl.handle.net/11703/89346","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatges | Lloguers | Dwellings | Rents | Viviendas | Alquileres","Urbanisme i infraestructures","ajuts i subvencions","","Habitatges de lloger per a joves 2006 : bases","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2018","No","2018-07-30","2018-09-05","","2018-09-06","Aprovada per resolució de la Gerència de l'Institut de Cultura de Barcelona de 30-07-2018 | Requereix les Bases de les subvencions per les Inversions en tecnologies de la informació i comunicacions aprovades per la Presidència de l'Institut de Cultura de Barcelona de 01-08-2016 [http://hdl.handle.net/11703/98344]","","","","","application/pdf","9 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (05-09-2018)","entitats públiques empresarials","","http://hdl.handle.net/11703/110976","cat","","","","","","","","","","","http://hdl.handle.net/11703/98344","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Noves tecnologies de la informació i de la comunicació | Innovacions tecnològiques | Tecnología de la información | Innovaciones tecnológicas | Information technology | Technological innovations","Ciència i tecnologia | Cultura i oci","ajuts i subvencions","","Inversions en tecnologies de la informació i la comunicació per a la realització de projectes d'experimentació i innovació a la ciutat de Barcelona 2018 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal de Serveis Socials (Barcelona)","","Barcelona | Barcelona | Barcelona","2016","No","2016-06-09","2016-06-10","","2016-06-11","Aprovat per acord de la Comissió de Govern de 09-06-2016","","","","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (10-06-2016)","organismes autònoms","","http://hdl.handle.net/11703/97426","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Subvencions | Assistència social | Infants | Adolescents | Subsidies | Public welfare | Children | Teenagers | Subvenciones públicas | Asistencia social | Niños | Adolescentes","Societat i benestar","ajuts i subvencions","","Fons extraordinari per ajuts puntuals d'urgència social, per a famílies de Barcelona amb infants i/o adolescents menors de 16 anys 2016 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"Anual","","Consorci de l'Habitatge de Barcelona","","Canyelles (Barcelona : Barri) | Besòs (Barcelona : Barri) | Canyelles (Barcelona : Neighborhood) | Besòs (Barcelona : Neighborhood) | Canyelles (Barcelona : Barrio) | Besòs (Barcelona : Barrio)","2014","","2014-04-10","2014-04-28","","","Aprovada per la Comissió Permanent del Consorci de l'Habitatge de Barcelona el 10-04-2014","","","","","application/pdf","1 p.","application/pdf",13645.0,"","Butlletí Oficial de la Província de Barcelona (28-04-2014)","consorcis","","http://hdl.handle.net/11703/87040","cat","","","","","","http://hdl.handle.net/11703/87039","","http://hdl.handle.net/11703/87038","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Rehabilitació urbana | Habitatges | Urban renewal | Dwellings | Rehabilitación urbana | Viviendas","Urbanisme i infraestructures","ajuts i subvencions","","Subvencions per a la rehabilitació d'edificis d'ús residencial i d'habitatges. Barris de Canyelles i Sud-Oest del Besòs 2014 : convocatòria : modificació","","text","info:eu-repo/semantics/other",""
