"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2007-2011",10,"Sant Martí",71,"Provençals del Poblenou",398
"2007-2011",10,"Sant Martí",72,"Sant Martí de Provençals",699
"2007-2011",10,"Sant Martí",73,"la Verneda i la Pau",711
"2007-2011",99,"No consta",99,"No consta",522
"2008-2012",1,"Ciutat Vella",1,"el Raval",1032
"2008-2012",1,"Ciutat Vella",2,"el Barri Gòtic",372
"2008-2012",1,"Ciutat Vella",3,"la Barceloneta",449
"2008-2012",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",494
"2008-2012",2,"Eixample",5,"el Fort Pienc",685
"2008-2012",2,"Eixample",6,"la Sagrada Família",1224
"2008-2012",2,"Eixample",7,"la Dreta de l'Eixample",1085
"2008-2012",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",995
"2008-2012",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1361
"2008-2012",2,"Eixample",10,"Sant Antoni",965
"2008-2012",3,"Sants-Montjuïc",11,"el Poble Sec",908
"2008-2012",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",68
"2008-2012",3,"Sants-Montjuïc",13,"la Marina de Port",615
"2008-2012",3,"Sants-Montjuïc",14,"la Font de la Guatlla",238
"2008-2012",3,"Sants-Montjuïc",15,"Hostafrancs",385
"2008-2012",3,"Sants-Montjuïc",16,"la Bordeta",391
"2008-2012",3,"Sants-Montjuïc",17,"Sants - Badal",482
"2008-2012",3,"Sants-Montjuïc",18,"Sants",928
"2008-2012",4,"Les Corts",19,"les Corts",1055
"2008-2012",4,"Les Corts",20,"la Maternitat i Sant Ramon",489
"2008-2012",4,"Les Corts",21,"Pedralbes",240
"2008-2012",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",98
"2008-2012",5,"Sarrià-Sant Gervasi",23,"Sarrià",506
"2008-2012",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",278
"2008-2012",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",563
"2008-2012",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1059
"2008-2012",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",538
"2008-2012",6,"Gràcia",28,"Vallcarca i els Penitents",348
"2008-2012",6,"Gràcia",29,"el Coll",143
"2008-2012",6,"Gràcia",30,"la Salut",312
"2008-2012",6,"Gràcia",31,"la Vila de Gràcia",1173
"2008-2012",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",793
"2008-2012",7,"Horta-Guinardó",33,"el Baix Guinardó",640
"2008-2012",7,"Horta-Guinardó",34,"Can Baró",193
"2008-2012",7,"Horta-Guinardó",35,"el Guinardó",845
"2008-2012",7,"Horta-Guinardó",36,"la Font d'en Fargues",210
"2008-2012",7,"Horta-Guinardó",37,"el Carmel",693
"2008-2012",7,"Horta-Guinardó",38,"la Teixonera",253
"2008-2012",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",162
"2008-2012",7,"Horta-Guinardó",40,"Montbau",227
"2008-2012",7,"Horta-Guinardó",41,"la Vall d'Hebron",120
"2008-2012",7,"Horta-Guinardó",42,"la Clota",18
"2008-2012",7,"Horta-Guinardó",43,"Horta",694
"2008-2012",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",669
"2008-2012",8,"Nou Barris",45,"Porta",622
"2008-2012",8,"Nou Barris",46,"el Turó de la Peira",497
"2008-2012",8,"Nou Barris",47,"Can Peguera",81
"2008-2012",8,"Nou Barris",48,"la Guineueta",443
"2008-2012",8,"Nou Barris",49,"Canyelles",150
"2008-2012",8,"Nou Barris",50,"les Roquetes",382
"2008-2012",8,"Nou Barris",51,"Verdun",332
"2008-2012",8,"Nou Barris",52,"la Prosperitat",619
"2008-2012",8,"Nou Barris",53,"la Trinitat Nova",237
"2008-2012",8,"Nou Barris",54,"Torre Baró",80
"2008-2012",8,"Nou Barris",55,"Ciutat Meridiana",189
"2008-2012",8,"Nou Barris",56,"Vallbona",32
"2008-2012",9,"Sant Andreu",57,"la Trinitat Vella",157
"2008-2012",9,"Sant Andreu",58,"Baró de Viver",60
"2008-2012",9,"Sant Andreu",59,"el Bon Pastor",277
"2008-2012",9,"Sant Andreu",60,"Sant Andreu",1138
"2008-2012",9,"Sant Andreu",61,"la Sagrera",577
"2008-2012",9,"Sant Andreu",62,"el Congrés i els Indians",409
"2008-2012",9,"Sant Andreu",63,"Navas",489
