"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Taxa_mil_hab","Nombre"
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Taxa per mil habitants",25.4
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Taxa per mil habitants",24.5
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Taxa per mil habitants",23.3
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Taxa per mil habitants",26.4
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Taxa per mil habitants",23.2
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Taxa per mil habitants",26.0
2019,6,"Gràcia",29,"el Coll","Taxa per mil habitants",27.9
2019,6,"Gràcia",30,"la Salut","Taxa per mil habitants",24.4
2019,6,"Gràcia",31,"la Vila de Gràcia","Taxa per mil habitants",41.2
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Taxa per mil habitants",27.0
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Taxa per mil habitants",26.0
2019,7,"Horta-Guinardó",34,"Can Baró","Taxa per mil habitants",26.2
2019,7,"Horta-Guinardó",35,"el Guinardó","Taxa per mil habitants",22.3
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Taxa per mil habitants",11.2
2019,7,"Horta-Guinardó",37,"el Carmel","Taxa per mil habitants",22.7
2019,7,"Horta-Guinardó",38,"la Teixonera","Taxa per mil habitants",21.6
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Taxa per mil habitants",28.7
2019,7,"Horta-Guinardó",40,"Montbau","Taxa per mil habitants",23.5
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Taxa per mil habitants",9.5
2019,7,"Horta-Guinardó",42,"la Clota","Taxa per mil habitants",16.1
2019,7,"Horta-Guinardó",43,"Horta","Taxa per mil habitants",16.2
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Taxa per mil habitants",22.8
2019,8,"Nou Barris",45,"Porta","Taxa per mil habitants",20.0
2019,8,"Nou Barris",46,"el Turó de la Peira","Taxa per mil habitants",28.9
2019,8,"Nou Barris",47,"Can Peguera","Taxa per mil habitants",11.8
2019,8,"Nou Barris",48,"la Guineueta","Taxa per mil habitants",12.3
2019,8,"Nou Barris",49,"Canyelles","Taxa per mil habitants",8.1
2019,8,"Nou Barris",50,"les Roquetes","Taxa per mil habitants",28.2
2019,8,"Nou Barris",51,"Verdun","Taxa per mil habitants",27.1
2019,8,"Nou Barris",52,"la Prosperitat","Taxa per mil habitants",19.6
2019,8,"Nou Barris",53,"la Trinitat Nova","Taxa per mil habitants",30.3
2019,8,"Nou Barris",54,"Torre Baró","Taxa per mil habitants",26.8
2019,8,"Nou Barris",55,"Ciutat Meridiana","Taxa per mil habitants",39.2
2019,8,"Nou Barris",56,"Vallbona","Taxa per mil habitants",12.1
2019,9,"Sant Andreu",57,"la Trinitat Vella","Taxa per mil habitants",33.3
2019,9,"Sant Andreu",58,"Baró de Viver","Taxa per mil habitants",19.3
2019,9,"Sant Andreu",59,"el Bon Pastor","Taxa per mil habitants",19.0
2019,9,"Sant Andreu",60,"Sant Andreu","Taxa per mil habitants",13.5
2019,9,"Sant Andreu",61,"la Sagrera","Taxa per mil habitants",21.7
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Taxa per mil habitants",20.7
2019,9,"Sant Andreu",63,"Navas","Taxa per mil habitants",20.5
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Taxa per mil habitants",27.9
2019,10,"Sant Martí",65,"el Clot","Taxa per mil habitants",23.3
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Taxa per mil habitants",36.4
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Taxa per mil habitants",21.8
2019,10,"Sant Martí",68,"el Poblenou","Taxa per mil habitants",29.7
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Taxa per mil habitants",32.7
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Taxa per mil habitants",41.8
2019,10,"Sant Martí",71,"Provençals del Poblenou","Taxa per mil habitants",23.3
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Taxa per mil habitants",18.9
