"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Any_alta_padro","Nombre"
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Menys d'1 any",570
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Menys d'1 any",267
2020,10,"Sant Martí",68,"el Poblenou","Dona","Menys d'1 any",1220
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Menys d'1 any",503
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Menys d'1 any",1233
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Menys d'1 any",637
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Menys d'1 any",757
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Menys d'1 any",792
2020,1,"Ciutat Vella",1,"el Raval","Dona","D'1 a 5 anys",7395
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","D'1 a 5 anys",3229
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","D'1 a 5 anys",2277
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","D'1 a 5 anys",3890
2020,2,"Eixample",5,"el Fort Pienc","Dona","D'1 a 5 anys",3893
2020,2,"Eixample",6,"la Sagrada Família","Dona","D'1 a 5 anys",6276
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","D'1 a 5 anys",5510
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","D'1 a 5 anys",5426
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","D'1 a 5 anys",6711
2020,2,"Eixample",10,"Sant Antoni","Dona","D'1 a 5 anys",4516
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","D'1 a 5 anys",5112
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","D'1 a 5 anys",120
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","D'1 a 5 anys",2872
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","D'1 a 5 anys",1123
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","D'1 a 5 anys",2074
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","D'1 a 5 anys",1931
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","D'1 a 5 anys",2768
2020,3,"Sants-Montjuïc",18,"Sants","Dona","D'1 a 5 anys",4911
2020,4,"Les Corts",19,"les Corts","Dona","D'1 a 5 anys",4594
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","D'1 a 5 anys",2455
2020,4,"Les Corts",21,"Pedralbes","Dona","D'1 a 5 anys",1364
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","D'1 a 5 anys",476
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","D'1 a 5 anys",2670
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","D'1 a 5 anys",1580
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","D'1 a 5 anys",2685
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","D'1 a 5 anys",5327
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","D'1 a 5 anys",3325
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","D'1 a 5 anys",1600
2020,6,"Gràcia",29,"el Coll","Dona","D'1 a 5 anys",773
2020,6,"Gràcia",30,"la Salut","Dona","D'1 a 5 anys",1335
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","D'1 a 5 anys",6797
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","D'1 a 5 anys",3777
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","D'1 a 5 anys",2566
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","D'1 a 5 anys",942
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","D'1 a 5 anys",3800
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","D'1 a 5 anys",668
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","D'1 a 5 anys",3072
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","D'1 a 5 anys",1106
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","D'1 a 5 anys",819
2020,7,"Horta-Guinardó",40,"Montbau","Dona","D'1 a 5 anys",513
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","D'1 a 5 anys",454
2020,7,"Horta-Guinardó",42,"la Clota","Dona","D'1 a 5 anys",69
2020,7,"Horta-Guinardó",43,"Horta","Dona","D'1 a 5 anys",2605
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","D'1 a 5 anys",2344
2020,8,"Nou Barris",45,"Porta","Dona","D'1 a 5 anys",3033
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","D'1 a 5 anys",1859
2020,8,"Nou Barris",47,"Can Peguera","Dona","D'1 a 5 anys",153
2020,8,"Nou Barris",48,"la Guineueta","Dona","D'1 a 5 anys",1230
2020,8,"Nou Barris",49,"Canyelles","Dona","D'1 a 5 anys",400
2020,8,"Nou Barris",50,"les Roquetes","Dona","D'1 a 5 anys",2031
2020,8,"Nou Barris",51,"Verdun","Dona","D'1 a 5 anys",1414
2020,8,"Nou Barris",52,"la Prosperitat","Dona","D'1 a 5 anys",2451
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","D'1 a 5 anys",851
2020,8,"Nou Barris",54,"Torre Baró","Dona","D'1 a 5 anys",249
