"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc_de_destinacio","Nombre"
2019,8,"Nou Barris",56,"Vallbona","Aragó",0
2019,9,"Sant Andreu",57,"la Trinitat Vella","Aragó",5
2019,9,"Sant Andreu",58,"Baró de Viver","Aragó",0
2019,9,"Sant Andreu",59,"el Bon Pastor","Aragó",19
2019,9,"Sant Andreu",60,"Sant Andreu","Aragó",25
2019,9,"Sant Andreu",61,"la Sagrera","Aragó",19
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Aragó",9
2019,9,"Sant Andreu",63,"Navas","Aragó",11
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Aragó",23
2019,10,"Sant Martí",65,"el Clot","Aragó",14
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Aragó",4
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Aragó",1
2019,10,"Sant Martí",68,"el Poblenou","Aragó",8
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Aragó",6
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Aragó",11
2019,10,"Sant Martí",71,"Provençals del Poblenou","Aragó",9
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Aragó",15
2019,10,"Sant Martí",73,"la Verneda i la Pau","Aragó",9
2019,1,"Ciutat Vella",1,"el Raval","Principat d'Astúries",7
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Principat d'Astúries",7
2019,1,"Ciutat Vella",3,"la Barceloneta","Principat d'Astúries",2
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Principat d'Astúries",1
2019,2,"Eixample",5,"el Fort Pienc","Principat d'Astúries",2
2019,2,"Eixample",6,"la Sagrada Família","Principat d'Astúries",5
2019,2,"Eixample",7,"la Dreta de l'Eixample","Principat d'Astúries",9
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Principat d'Astúries",10
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Principat d'Astúries",13
2019,2,"Eixample",10,"Sant Antoni","Principat d'Astúries",2
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Principat d'Astúries",5
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Principat d'Astúries",0
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Principat d'Astúries",3
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Principat d'Astúries",0
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Principat d'Astúries",5
2019,3,"Sants-Montjuïc",16,"la Bordeta","Principat d'Astúries",7
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Principat d'Astúries",2
2019,3,"Sants-Montjuïc",18,"Sants","Principat d'Astúries",10
2019,4,"Les Corts",19,"les Corts","Principat d'Astúries",11
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Principat d'Astúries",7
2019,4,"Les Corts",21,"Pedralbes","Principat d'Astúries",0
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Principat d'Astúries",0
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Principat d'Astúries",1
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Principat d'Astúries",3
