"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2007-2011",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",537
"2007-2011",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",977
"2007-2011",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",588
"2007-2011",6,"Gràcia",28,"Vallcarca i els Penitents",336
"2007-2011",6,"Gràcia",29,"el Coll",156
"2007-2011",6,"Gràcia",30,"la Salut",233
"2007-2011",6,"Gràcia",31,"la Vila de Gràcia",1009
"2007-2011",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",631
"2007-2011",7,"Horta-Guinardó",33,"el Baix Guinardó",368
"2007-2011",7,"Horta-Guinardó",34,"Can Baró",135
"2007-2011",7,"Horta-Guinardó",35,"el Guinardó",589
"2007-2011",7,"Horta-Guinardó",36,"la Font d'en Fargues",180
"2007-2011",7,"Horta-Guinardó",37,"el Carmel",420
"2007-2011",7,"Horta-Guinardó",38,"la Teixonera",161
"2007-2011",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",80
"2007-2011",7,"Horta-Guinardó",40,"Montbau",102
"2007-2011",7,"Horta-Guinardó",41,"la Vall d'Hebron",87
"2007-2011",7,"Horta-Guinardó",42,"la Clota",6
"2007-2011",7,"Horta-Guinardó",43,"Horta",400
"2007-2011",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",375
"2007-2011",8,"Nou Barris",45,"Porta",323
"2007-2011",8,"Nou Barris",46,"el Turó de la Peira",186
"2007-2011",8,"Nou Barris",47,"Can Peguera",20
"2007-2011",8,"Nou Barris",48,"la Guineueta",209
"2007-2011",8,"Nou Barris",49,"Canyelles",85
"2007-2011",8,"Nou Barris",50,"les Roquetes",179
"2007-2011",8,"Nou Barris",51,"Verdun",152
"2007-2011",8,"Nou Barris",52,"la Prosperitat",329
"2007-2011",8,"Nou Barris",53,"la Trinitat Nova",88
"2007-2011",8,"Nou Barris",54,"Torre Baró",17
"2007-2011",8,"Nou Barris",55,"Ciutat Meridiana",111
"2007-2011",8,"Nou Barris",56,"Vallbona",16
"2007-2011",9,"Sant Andreu",57,"la Trinitat Vella",149
"2007-2011",9,"Sant Andreu",58,"Baró de Viver",30
"2007-2011",9,"Sant Andreu",59,"el Bon Pastor",259
"2007-2011",9,"Sant Andreu",60,"Sant Andreu",1006
"2007-2011",9,"Sant Andreu",61,"la Sagrera",384
"2007-2011",9,"Sant Andreu",62,"el Congrés i els Indians",201
"2007-2011",9,"Sant Andreu",63,"Navas",348
"2007-2011",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",577
"2007-2011",10,"Sant Martí",65,"el Clot",526
"2007-2011",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",215
"2007-2011",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",236
"2007-2011",10,"Sant Martí",68,"el Poblenou",744
"2007-2011",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",371
"2007-2011",10,"Sant Martí",70,"el Besòs i el Maresme",241
"2007-2011",10,"Sant Martí",71,"Provençals del Poblenou",325
"2007-2011",10,"Sant Martí",72,"Sant Martí de Provençals",348
"2007-2011",10,"Sant Martí",73,"la Verneda i la Pau",312
"2007-2011",99,"No consta",99,"No consta",1355
"2008-2012",1,"Ciutat Vella",1,"el Raval",676
"2008-2012",1,"Ciutat Vella",2,"el Barri Gòtic",224
"2008-2012",1,"Ciutat Vella",3,"la Barceloneta",167
"2008-2012",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",398
"2008-2012",2,"Eixample",5,"el Fort Pienc",502
"2008-2012",2,"Eixample",6,"la Sagrada Família",828
"2008-2012",2,"Eixample",7,"la Dreta de l'Eixample",920
"2008-2012",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",777
"2008-2012",2,"Eixample",9,"la Nova Esquerra de l'Eixample",985
"2008-2012",2,"Eixample",10,"Sant Antoni",612
"2008-2012",3,"Sants-Montjuïc",11,"el Poble Sec",601
"2008-2012",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",15
"2008-2012",3,"Sants-Montjuïc",13,"la Marina de Port",451
"2008-2012",3,"Sants-Montjuïc",14,"la Font de la Guatlla",135
"2008-2012",3,"Sants-Montjuïc",15,"Hostafrancs",234
"2008-2012",3,"Sants-Montjuïc",16,"la Bordeta",308
"2008-2012",3,"Sants-Montjuïc",17,"Sants - Badal",347
"2008-2012",3,"Sants-Montjuïc",18,"Sants",634
"2008-2012",4,"Les Corts",19,"les Corts",797
"2008-2012",4,"Les Corts",20,"la Maternitat i Sant Ramon",369
"2008-2012",4,"Les Corts",21,"Pedralbes",204
"2008-2012",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",115
"2008-2012",5,"Sarrià-Sant Gervasi",23,"Sarrià",508
"2008-2012",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",358
"2008-2012",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",575
"2008-2012",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1018
"2008-2012",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",624
"2008-2012",6,"Gràcia",28,"Vallcarca i els Penitents",358
"2008-2012",6,"Gràcia",29,"el Coll",167
"2008-2012",6,"Gràcia",30,"la Salut",245
"2008-2012",6,"Gràcia",31,"la Vila de Gràcia",1077
"2008-2012",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",641
"2008-2012",7,"Horta-Guinardó",33,"el Baix Guinardó",388
"2008-2012",7,"Horta-Guinardó",34,"Can Baró",147
"2008-2012",7,"Horta-Guinardó",35,"el Guinardó",608
"2008-2012",7,"Horta-Guinardó",36,"la Font d'en Fargues",183
"2008-2012",7,"Horta-Guinardó",37,"el Carmel",415
"2008-2012",7,"Horta-Guinardó",38,"la Teixonera",163
"2008-2012",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",87
"2008-2012",7,"Horta-Guinardó",40,"Montbau",98
"2008-2012",7,"Horta-Guinardó",41,"la Vall d'Hebron",85
"2008-2012",7,"Horta-Guinardó",42,"la Clota",3
"2008-2012",7,"Horta-Guinardó",43,"Horta",422
"2008-2012",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",376
"2008-2012",8,"Nou Barris",45,"Porta",323
"2008-2012",8,"Nou Barris",46,"el Turó de la Peira",196
"2008-2012",8,"Nou Barris",47,"Can Peguera",23
"2008-2012",8,"Nou Barris",48,"la Guineueta",222
"2008-2012",8,"Nou Barris",49,"Canyelles",92
"2008-2012",8,"Nou Barris",50,"les Roquetes",179
"2008-2012",8,"Nou Barris",51,"Verdun",161
"2008-2012",8,"Nou Barris",52,"la Prosperitat",338
"2008-2012",8,"Nou Barris",53,"la Trinitat Nova",81
"2008-2012",8,"Nou Barris",54,"Torre Baró",20
"2008-2012",8,"Nou Barris",55,"Ciutat Meridiana",108
"2008-2012",8,"Nou Barris",56,"Vallbona",15
"2008-2012",9,"Sant Andreu",57,"la Trinitat Vella",153
"2008-2012",9,"Sant Andreu",58,"Baró de Viver",27
"2008-2012",9,"Sant Andreu",59,"el Bon Pastor",260
"2008-2012",9,"Sant Andreu",60,"Sant Andreu",1051
"2008-2012",9,"Sant Andreu",61,"la Sagrera",415
"2008-2012",9,"Sant Andreu",62,"el Congrés i els Indians",223
"2008-2012",9,"Sant Andreu",63,"Navas",340
"2008-2012",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",604
"2008-2012",10,"Sant Martí",65,"el Clot",515
"2008-2012",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",235
"2008-2012",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",230
"2008-2012",10,"Sant Martí",68,"el Poblenou",795
"2008-2012",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",430
"2008-2012",10,"Sant Martí",70,"el Besòs i el Maresme",252
"2008-2012",10,"Sant Martí",71,"Provençals del Poblenou",379
"2008-2012",10,"Sant Martí",72,"Sant Martí de Provençals",378
"2008-2012",10,"Sant Martí",73,"la Verneda i la Pau",354
"2008-2012",99,"No consta",99,"No consta",1177
"2009-2013",1,"Ciutat Vella",1,"el Raval",662
"2009-2013",1,"Ciutat Vella",2,"el Barri Gòtic",228
"2009-2013",1,"Ciutat Vella",3,"la Barceloneta",172
"2009-2013",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",396
"2009-2013",2,"Eixample",5,"el Fort Pienc",522
"2009-2013",2,"Eixample",6,"la Sagrada Família",834
"2009-2013",2,"Eixample",7,"la Dreta de l'Eixample",999
"2009-2013",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",795
"2009-2013",2,"Eixample",9,"la Nova Esquerra de l'Eixample",970
"2009-2013",2,"Eixample",10,"Sant Antoni",648
"2009-2013",3,"Sants-Montjuïc",11,"el Poble Sec",647
"2009-2013",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",14
"2009-2013",3,"Sants-Montjuïc",13,"la Marina de Port",432
"2009-2013",3,"Sants-Montjuïc",14,"la Font de la Guatlla",141
"2009-2013",3,"Sants-Montjuïc",15,"Hostafrancs",262
"2009-2013",3,"Sants-Montjuïc",16,"la Bordeta",287
"2009-2013",3,"Sants-Montjuïc",17,"Sants - Badal",356
"2009-2013",3,"Sants-Montjuïc",18,"Sants",647
"2009-2013",4,"Les Corts",19,"les Corts",831
"2009-2013",4,"Les Corts",20,"la Maternitat i Sant Ramon",380
"2009-2013",4,"Les Corts",21,"Pedralbes",211
"2009-2013",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",112
"2009-2013",5,"Sarrià-Sant Gervasi",23,"Sarrià",545
"2009-2013",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",358
"2009-2013",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",561
"2009-2013",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1013
"2009-2013",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",659
"2009-2013",6,"Gràcia",28,"Vallcarca i els Penitents",353
"2009-2013",6,"Gràcia",29,"el Coll",164
"2009-2013",6,"Gràcia",30,"la Salut",231
"2009-2013",6,"Gràcia",31,"la Vila de Gràcia",1111
"2009-2013",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",647
"2009-2013",7,"Horta-Guinardó",33,"el Baix Guinardó",419
"2009-2013",7,"Horta-Guinardó",34,"Can Baró",142
"2009-2013",7,"Horta-Guinardó",35,"el Guinardó",637
"2009-2013",7,"Horta-Guinardó",36,"la Font d'en Fargues",172
"2009-2013",7,"Horta-Guinardó",37,"el Carmel",438
"2009-2013",7,"Horta-Guinardó",38,"la Teixonera",171
"2009-2013",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",100
"2009-2013",7,"Horta-Guinardó",40,"Montbau",85
"2009-2013",7,"Horta-Guinardó",41,"la Vall d'Hebron",78
"2009-2013",7,"Horta-Guinardó",42,"la Clota",4
