"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Sexe","Edat_mitjana"
2019,8,"Nou Barris",52,"la Prosperitat","Alta","Dona",34.4
2019,8,"Nou Barris",53,"la Trinitat Nova","Alta","Dona",31.2
2019,8,"Nou Barris",54,"Torre Baró","Alta","Dona",28.1
2019,8,"Nou Barris",55,"Ciutat Meridiana","Alta","Dona",29.2
2019,8,"Nou Barris",56,"Vallbona","Alta","Dona",42.1
2019,9,"Sant Andreu",57,"la Trinitat Vella","Alta","Dona",30.6
2019,9,"Sant Andreu",58,"Baró de Viver","Alta","Dona",30.5
2019,9,"Sant Andreu",59,"el Bon Pastor","Alta","Dona",35.7
2019,9,"Sant Andreu",60,"Sant Andreu","Alta","Dona",34.7
2019,9,"Sant Andreu",61,"la Sagrera","Alta","Dona",33.5
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Alta","Dona",33.6
2019,9,"Sant Andreu",63,"Navas","Alta","Dona",34.4
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Alta","Dona",34.5
2019,10,"Sant Martí",65,"el Clot","Alta","Dona",34.8
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Alta","Dona",35.4
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Alta","Dona",33.9
2019,10,"Sant Martí",68,"el Poblenou","Alta","Dona",33.8
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Alta","Dona",33.2
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Alta","Dona",30.9
2019,10,"Sant Martí",71,"Provençals del Poblenou","Alta","Dona",32.9
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Alta","Dona",33.8
2019,10,"Sant Martí",73,"la Verneda i la Pau","Alta","Dona",33.9
2019,1,"Ciutat Vella",1,"el Raval","Alta","Home",32.0
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Alta","Home",33.1
2019,1,"Ciutat Vella",3,"la Barceloneta","Alta","Home",32.6
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Alta","Home",32.3
2019,2,"Eixample",5,"el Fort Pienc","Alta","Home",33.8
2019,2,"Eixample",6,"la Sagrada Família","Alta","Home",33.4
2019,2,"Eixample",7,"la Dreta de l'Eixample","Alta","Home",34.8
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","Home",34.3
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Alta","Home",33.2
2019,2,"Eixample",10,"Sant Antoni","Alta","Home",33.3
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Alta","Home",33.0
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","Home",40.4
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Alta","Home",33.9
