"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2007-2011",8,"Nou Barris",55,"Ciutat Meridiana",609.1
"2007-2011",8,"Nou Barris",56,"Vallbona",1039.3
"2007-2011",9,"Sant Andreu",57,"la Trinitat Vella",578.0
"2007-2011",9,"Sant Andreu",58,"Baró de Viver",1123.6
"2007-2011",9,"Sant Andreu",59,"el Bon Pastor",757.5
"2007-2011",9,"Sant Andreu",60,"Sant Andreu",833.0
"2007-2011",9,"Sant Andreu",61,"la Sagrera",795.6
"2007-2011",9,"Sant Andreu",62,"el Congrés i els Indians",1180.9
"2007-2011",9,"Sant Andreu",63,"Navas",891.8
"2007-2011",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",922.8
"2007-2011",10,"Sant Martí",65,"el Clot",747.0
"2007-2011",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",862.8
"2007-2011",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",361.4
"2007-2011",10,"Sant Martí",68,"el Poblenou",922.4
"2007-2011",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",588.5
"2007-2011",10,"Sant Martí",70,"el Besòs i el Maresme",886.0
"2007-2011",10,"Sant Martí",71,"Provençals del Poblenou",781.1
"2007-2011",10,"Sant Martí",72,"Sant Martí de Provençals",1058.0
"2007-2011",10,"Sant Martí",73,"la Verneda i la Pau",971.7
"2008-2012",1,"Ciutat Vella",1,"el Raval",802.9
"2008-2012",1,"Ciutat Vella",2,"el Barri Gòtic",800.3
"2008-2012",1,"Ciutat Vella",3,"la Barceloneta",1150.0
"2008-2012",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",884.3
"2008-2012",2,"Eixample",5,"el Fort Pienc",937.5
"2008-2012",2,"Eixample",6,"la Sagrada Família",1043.5
"2008-2012",2,"Eixample",7,"la Dreta de l'Eixample",1299.4
"2008-2012",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1111.3
"2008-2012",2,"Eixample",9,"la Nova Esquerra de l'Eixample",976.3
"2008-2012",2,"Eixample",10,"Sant Antoni",1104.7
"2008-2012",3,"Sants-Montjuïc",11,"el Poble Sec",913.9
"2008-2012",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",2593.3
"2008-2012",3,"Sants-Montjuïc",13,"la Marina de Port",762.3
"2008-2012",3,"Sants-Montjuïc",14,"la Font de la Guatlla",1003.0
"2008-2012",3,"Sants-Montjuïc",15,"Hostafrancs",945.7
"2008-2012",3,"Sants-Montjuïc",16,"la Bordeta",865.4
"2008-2012",3,"Sants-Montjuïc",17,"Sants - Badal",835.0
"2008-2012",3,"Sants-Montjuïc",18,"Sants",965.2
"2008-2012",4,"Les Corts",19,"les Corts",921.3
"2008-2012",4,"Les Corts",20,"la Maternitat i Sant Ramon",816.6
"2008-2012",4,"Les Corts",21,"Pedralbes",873.4
"2008-2012",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1141.0
"2008-2012",5,"Sarrià-Sant Gervasi",23,"Sarrià",975.3
"2008-2012",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",746.7
"2008-2012",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1067.1
"2008-2012",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1018.0
