"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc_de_naixement","Nombre"
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Aragó",26
2019,2,"Eixample",10,"Sant Antoni","Aragó",13
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Aragó",20
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Aragó",0
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Aragó",13
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Aragó",4
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Aragó",9
2019,3,"Sants-Montjuïc",16,"la Bordeta","Aragó",12
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Aragó",12
2019,3,"Sants-Montjuïc",18,"Sants","Aragó",19
2019,4,"Les Corts",19,"les Corts","Aragó",22
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Aragó",17
2019,4,"Les Corts",21,"Pedralbes","Aragó",3
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Aragó",1
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Aragó",11
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Aragó",3
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Aragó",8
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Aragó",17
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Aragó",9
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Aragó",10
2019,6,"Gràcia",29,"el Coll","Aragó",2
2019,6,"Gràcia",30,"la Salut","Aragó",8
2019,6,"Gràcia",31,"la Vila de Gràcia","Aragó",21
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Aragó",13
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Aragó",24
2019,7,"Horta-Guinardó",34,"Can Baró","Aragó",2
2019,7,"Horta-Guinardó",35,"el Guinardó","Aragó",19
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Aragó",2
2019,7,"Horta-Guinardó",37,"el Carmel","Aragó",13
2019,7,"Horta-Guinardó",38,"la Teixonera","Aragó",7
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Aragó",6
2019,7,"Horta-Guinardó",40,"Montbau","Aragó",7
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Aragó",8
2019,7,"Horta-Guinardó",42,"la Clota","Aragó",0
2019,7,"Horta-Guinardó",43,"Horta","Aragó",11
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Aragó",25
2019,8,"Nou Barris",45,"Porta","Aragó",16
2019,8,"Nou Barris",46,"el Turó de la Peira","Aragó",13
2019,8,"Nou Barris",47,"Can Peguera","Aragó",1
2019,8,"Nou Barris",48,"la Guineueta","Aragó",16
2019,8,"Nou Barris",49,"Canyelles","Aragó",4
2019,8,"Nou Barris",50,"les Roquetes","Aragó",3
2019,8,"Nou Barris",51,"Verdun","Aragó",5
2019,8,"Nou Barris",52,"la Prosperitat","Aragó",10
2019,8,"Nou Barris",53,"la Trinitat Nova","Aragó",3
2019,8,"Nou Barris",54,"Torre Baró","Aragó",0
2019,8,"Nou Barris",55,"Ciutat Meridiana","Aragó",2
2019,8,"Nou Barris",56,"Vallbona","Aragó",2
2019,9,"Sant Andreu",57,"la Trinitat Vella","Aragó",3
2019,9,"Sant Andreu",58,"Baró de Viver","Aragó",1
2019,9,"Sant Andreu",59,"el Bon Pastor","Aragó",3
2019,9,"Sant Andreu",60,"Sant Andreu","Aragó",22
2019,9,"Sant Andreu",61,"la Sagrera","Aragó",15
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Aragó",10
2019,9,"Sant Andreu",63,"Navas","Aragó",16
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Aragó",30
2019,10,"Sant Martí",65,"el Clot","Aragó",14
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Aragó",8
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Aragó",2
2019,10,"Sant Martí",68,"el Poblenou","Aragó",16
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Aragó",4
