"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nacionalitat","Nombre"
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Tots estrangers",2438
2020,1,"Ciutat Vella",3,"la Barceloneta","Tots estrangers",2232
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots estrangers",3351
2020,2,"Eixample",5,"el Fort Pienc","Tots estrangers",1799
2020,2,"Eixample",6,"la Sagrada Família","Tots estrangers",2843
2020,2,"Eixample",7,"la Dreta de l'Eixample","Tots estrangers",3258
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots estrangers",2823
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots estrangers",2855
2020,2,"Eixample",10,"Sant Antoni","Tots estrangers",2136
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Tots estrangers",3117
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots estrangers",31
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Tots estrangers",921
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots estrangers",455
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Tots estrangers",971
2020,3,"Sants-Montjuïc",16,"la Bordeta","Tots estrangers",563
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Tots estrangers",934
2020,3,"Sants-Montjuïc",18,"Sants","Tots estrangers",1634
2020,4,"Les Corts",19,"les Corts","Tots estrangers",1430
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots estrangers",671
2020,4,"Les Corts",21,"Pedralbes","Tots estrangers",488
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots estrangers",163
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots estrangers",802
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots estrangers",364
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots estrangers",790
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots estrangers",1767
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots estrangers",1280
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Tots estrangers",637
2020,6,"Gràcia",29,"el Coll","Tots estrangers",294
2020,6,"Gràcia",30,"la Salut","Tots estrangers",474
2020,6,"Gràcia",31,"la Vila de Gràcia","Tots estrangers",3600
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots estrangers",1435
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots estrangers",880
