"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2007-2011",2,"Eixample",6,"la Sagrada Família",1542
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",1779
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1313
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1461
"2007-2011",2,"Eixample",10,"Sant Antoni",1133
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",980
"2007-2011",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",102
"2007-2011",3,"Sants-Montjuïc",13,"la Marina de Port",522
"2007-2011",3,"Sants-Montjuïc",14,"la Font de la Guatlla",257
"2007-2011",3,"Sants-Montjuïc",15,"Hostafrancs",396
"2007-2011",3,"Sants-Montjuïc",16,"la Bordeta",416
"2007-2011",3,"Sants-Montjuïc",17,"Sants - Badal",547
"2007-2011",3,"Sants-Montjuïc",18,"Sants",1059
"2007-2011",4,"Les Corts",19,"les Corts",1095
"2007-2011",4,"Les Corts",20,"la Maternitat i Sant Ramon",486
"2007-2011",4,"Les Corts",21,"Pedralbes",257
"2007-2011",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",142
"2007-2011",5,"Sarrià-Sant Gervasi",23,"Sarrià",615
"2007-2011",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",306
"2007-2011",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",720
"2007-2011",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1319
"2007-2011",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",661
"2007-2011",6,"Gràcia",28,"Vallcarca i els Penitents",438
"2007-2011",6,"Gràcia",29,"el Coll",117
"2007-2011",6,"Gràcia",30,"la Salut",416
"2007-2011",6,"Gràcia",31,"la Vila de Gràcia",1628
"2007-2011",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",871
"2007-2011",7,"Horta-Guinardó",33,"el Baix Guinardó",704
