"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","CCAA","Província naixement","Nombre"
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Andalusia","Cadis",20
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Andalusia","Cadis",36
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Andalusia","Cadis",60
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Andalusia","Cadis",23
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Andalusia","Cadis",25
2019,6,"Gràcia",29,"el Coll","Dona","Andalusia","Cadis",25
2019,6,"Gràcia",30,"la Salut","Dona","Andalusia","Cadis",17
2019,6,"Gràcia",31,"la Vila de Gràcia","Dona","Andalusia","Cadis",83
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Andalusia","Cadis",51
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Andalusia","Cadis",50
2019,7,"Horta-Guinardó",34,"Can Baró","Dona","Andalusia","Cadis",13
2019,7,"Horta-Guinardó",35,"el Guinardó","Dona","Andalusia","Cadis",57
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Andalusia","Cadis",21
2019,7,"Horta-Guinardó",37,"el Carmel","Dona","Andalusia","Cadis",112
2019,7,"Horta-Guinardó",38,"la Teixonera","Dona","Andalusia","Cadis",54
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Andalusia","Cadis",16
2019,7,"Horta-Guinardó",40,"Montbau","Dona","Andalusia","Cadis",12
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Andalusia","Cadis",7
2019,7,"Horta-Guinardó",42,"la Clota","Dona","Andalusia","Cadis",2
2019,7,"Horta-Guinardó",43,"Horta","Dona","Andalusia","Cadis",59
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Andalusia","Cadis",62
2019,8,"Nou Barris",45,"Porta","Dona","Andalusia","Cadis",52
2019,8,"Nou Barris",46,"el Turó de la Peira","Dona","Andalusia","Cadis",35
2019,8,"Nou Barris",47,"Can Peguera","Dona","Andalusia","Cadis",9
2019,8,"Nou Barris",48,"la Guineueta","Dona","Andalusia","Cadis",46
2019,8,"Nou Barris",49,"Canyelles","Dona","Andalusia","Cadis",33
2019,8,"Nou Barris",50,"les Roquetes","Dona","Andalusia","Cadis",50
2019,8,"Nou Barris",51,"Verdun","Dona","Andalusia","Cadis",22
2019,8,"Nou Barris",52,"la Prosperitat","Dona","Andalusia","Cadis",77
2019,8,"Nou Barris",53,"la Trinitat Nova","Dona","Andalusia","Cadis",28
2019,8,"Nou Barris",54,"Torre Baró","Dona","Andalusia","Cadis",3
2019,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Andalusia","Cadis",32
2019,8,"Nou Barris",56,"Vallbona","Dona","Andalusia","Cadis",7
2019,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Andalusia","Cadis",39
2019,9,"Sant Andreu",58,"Baró de Viver","Dona","Andalusia","Cadis",11
2019,9,"Sant Andreu",59,"el Bon Pastor","Dona","Andalusia","Cadis",33
2019,9,"Sant Andreu",60,"Sant Andreu","Dona","Andalusia","Cadis",131
2019,9,"Sant Andreu",61,"la Sagrera","Dona","Andalusia","Cadis",65
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Andalusia","Cadis",26
2019,9,"Sant Andreu",63,"Navas","Dona","Andalusia","Cadis",51
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Andalusia","Cadis",61
2019,10,"Sant Martí",65,"el Clot","Dona","Andalusia","Cadis",58
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Andalusia","Cadis",31
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Andalusia","Cadis",10
2019,10,"Sant Martí",68,"el Poblenou","Dona","Andalusia","Cadis",41
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Andalusia","Cadis",20
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Andalusia","Cadis",70
2019,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Andalusia","Cadis",38
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Andalusia","Cadis",78
2019,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Andalusia","Cadis",102
2019,1,"Ciutat Vella",1,"el Raval","Dona","Andalusia","Còrdova",65
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Andalusia","Còrdova",25
2019,1,"Ciutat Vella",3,"la Barceloneta","Dona","Andalusia","Còrdova",31
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Andalusia","Còrdova",51
2019,2,"Eixample",5,"el Fort Pienc","Dona","Andalusia","Còrdova",74
2019,2,"Eixample",6,"la Sagrada Família","Dona","Andalusia","Còrdova",160
2019,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Andalusia","Còrdova",87
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Andalusia","Còrdova",99
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Andalusia","Còrdova",106
2019,2,"Eixample",10,"Sant Antoni","Dona","Andalusia","Còrdova",89
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Andalusia","Còrdova",89
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Andalusia","Còrdova",4
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Andalusia","Còrdova",237
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Andalusia","Còrdova",48
