"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,9,"Sant Andreu",59,"el Bon Pastor","1 menor",729
2020,9,"Sant Andreu",60,"Sant Andreu","1 menor",3399
2020,9,"Sant Andreu",61,"la Sagrera","1 menor",1525
2020,9,"Sant Andreu",62,"el Congrés i els Indians","1 menor",822
2020,9,"Sant Andreu",63,"Navas","1 menor",1247
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","1 menor",1974
2020,10,"Sant Martí",65,"el Clot","1 menor",1403
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","1 menor",829
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","1 menor",556
2020,10,"Sant Martí",68,"el Poblenou","1 menor",2104
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","1 menor",922
2020,10,"Sant Martí",70,"el Besòs i el Maresme","1 menor",1117
2020,10,"Sant Martí",71,"Provençals del Poblenou","1 menor",1318
2020,10,"Sant Martí",72,"Sant Martí de Provençals","1 menor",1375
2020,10,"Sant Martí",73,"la Verneda i la Pau","1 menor",1475
2020,1,"Ciutat Vella",1,"el Raval","2 menors",1235
2020,1,"Ciutat Vella",2,"el Barri Gòtic","2 menors",280
2020,1,"Ciutat Vella",3,"la Barceloneta","2 menors",288
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","2 menors",513
2020,2,"Eixample",5,"el Fort Pienc","2 menors",999
2020,2,"Eixample",6,"la Sagrada Família","2 menors",1525
2020,2,"Eixample",7,"la Dreta de l'Eixample","2 menors",1426
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","2 menors",1261
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","2 menors",1770
2020,2,"Eixample",10,"Sant Antoni","2 menors",1088
2020,3,"Sants-Montjuïc",11,"el Poble Sec","2 menors",1040
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","2 menors",39
2020,3,"Sants-Montjuïc",13,"la Marina de Port","2 menors",1125
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","2 menors",274
2020,3,"Sants-Montjuïc",15,"Hostafrancs","2 menors",478
2020,3,"Sants-Montjuïc",16,"la Bordeta","2 menors",654
2020,3,"Sants-Montjuïc",17,"Sants - Badal","2 menors",736
2020,3,"Sants-Montjuïc",18,"Sants","2 menors",1259
2020,4,"Les Corts",19,"les Corts","2 menors",1727
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","2 menors",892
2020,4,"Les Corts",21,"Pedralbes","2 menors",494
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","2 menors",253
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","2 menors",1249
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","2 menors",727
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","2 menors",1115
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","2 menors",1940
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","2 menors",1227
2020,6,"Gràcia",28,"Vallcarca i els Penitents","2 menors",657
2020,6,"Gràcia",29,"el Coll","2 menors",284
2020,6,"Gràcia",30,"la Salut","2 menors",472
2020,6,"Gràcia",31,"la Vila de Gràcia","2 menors",1630
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","2 menors",1225
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","2 menors",827
2020,7,"Horta-Guinardó",34,"Can Baró","2 menors",302
2020,7,"Horta-Guinardó",35,"el Guinardó","2 menors",1322
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","2 menors",405
2020,7,"Horta-Guinardó",37,"el Carmel","2 menors",1159
2020,7,"Horta-Guinardó",38,"la Teixonera","2 menors",407
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","2 menors",234
2020,7,"Horta-Guinardó",40,"Montbau","2 menors",159
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","2 menors",226
2020,7,"Horta-Guinardó",42,"la Clota","2 menors",32
2020,7,"Horta-Guinardó",43,"Horta","2 menors",978
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","2 menors",902
2020,8,"Nou Barris",45,"Porta","2 menors",836
2020,8,"Nou Barris",46,"el Turó de la Peira","2 menors",547
2020,8,"Nou Barris",47,"Can Peguera","2 menors",80
2020,8,"Nou Barris",48,"la Guineueta","2 menors",540
2020,8,"Nou Barris",49,"Canyelles","2 menors",237
2020,8,"Nou Barris",50,"les Roquetes","2 menors",630
2020,8,"Nou Barris",51,"Verdun","2 menors",415
2020,8,"Nou Barris",52,"la Prosperitat","2 menors",882
2020,8,"Nou Barris",53,"la Trinitat Nova","2 menors",263
2020,8,"Nou Barris",54,"Torre Baró","2 menors",135
2020,8,"Nou Barris",55,"Ciutat Meridiana","2 menors",425
2020,8,"Nou Barris",56,"Vallbona","2 menors",61
2020,9,"Sant Andreu",57,"la Trinitat Vella","2 menors",412
2020,9,"Sant Andreu",58,"Baró de Viver","2 menors",99
2020,9,"Sant Andreu",59,"el Bon Pastor","2 menors",596
2020,9,"Sant Andreu",60,"Sant Andreu","2 menors",2358
2020,9,"Sant Andreu",61,"la Sagrera","2 menors",1024
2020,9,"Sant Andreu",62,"el Congrés i els Indians","2 menors",521
2020,9,"Sant Andreu",63,"Navas","2 menors",707
