"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2008-2012",1,"Ciutat Vella",2,"el Barri Gòtic",1021.1
"2008-2012",1,"Ciutat Vella",3,"la Barceloneta",1069.8
"2008-2012",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",956.7
"2008-2012",2,"Eixample",5,"el Fort Pienc",833.6
"2008-2012",2,"Eixample",6,"la Sagrada Família",824.8
"2008-2012",2,"Eixample",7,"la Dreta de l'Eixample",965.8
"2008-2012",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",858.1
"2008-2012",2,"Eixample",9,"la Nova Esquerra de l'Eixample",835.1
"2008-2012",2,"Eixample",10,"Sant Antoni",868.4
"2008-2012",3,"Sants-Montjuïc",11,"el Poble Sec",955.2
"2008-2012",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",2436.3
"2008-2012",3,"Sants-Montjuïc",13,"la Marina de Port",870.6
"2008-2012",3,"Sants-Montjuïc",14,"la Font de la Guatlla",938.4
"2008-2012",3,"Sants-Montjuïc",15,"Hostafrancs",953.4
"2008-2012",3,"Sants-Montjuïc",16,"la Bordeta",858.1
"2008-2012",3,"Sants-Montjuïc",17,"Sants - Badal",832.7
"2008-2012",3,"Sants-Montjuïc",18,"Sants",874.0
"2008-2012",4,"Les Corts",19,"les Corts",810.8
"2008-2012",4,"Les Corts",20,"la Maternitat i Sant Ramon",752.0
"2008-2012",4,"Les Corts",21,"Pedralbes",735.6
"2008-2012",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1289.9
"2008-2012",5,"Sarrià-Sant Gervasi",23,"Sarrià",816.8
"2008-2012",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",741.9
"2008-2012",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",831.6
"2008-2012",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",801.9
"2008-2012",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",759.1
"2008-2012",6,"Gràcia",28,"Vallcarca i els Penitents",870.0
"2008-2012",6,"Gràcia",29,"el Coll",818.6
"2008-2012",6,"Gràcia",30,"la Salut",955.1
"2008-2012",6,"Gràcia",31,"la Vila de Gràcia",905.2
"2008-2012",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",816.8
"2008-2012",7,"Horta-Guinardó",33,"el Baix Guinardó",829.3
"2008-2012",7,"Horta-Guinardó",34,"Can Baró",882.8
"2008-2012",7,"Horta-Guinardó",35,"el Guinardó",842.7
"2008-2012",7,"Horta-Guinardó",36,"la Font d'en Fargues",967.6
"2008-2012",7,"Horta-Guinardó",37,"el Carmel",877.8
"2008-2012",7,"Horta-Guinardó",38,"la Teixonera",949.9
"2008-2012",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",884.2
"2008-2012",7,"Horta-Guinardó",40,"Montbau",1159.5
