"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_quinquennal","Nombre"
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","40-44 anys",89
2020,8,"Nou Barris",45,"Porta","Dona","40-44 anys",112
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","40-44 anys",47
2020,8,"Nou Barris",47,"Can Peguera","Dona","40-44 anys",12
2020,8,"Nou Barris",48,"la Guineueta","Dona","40-44 anys",34
2020,8,"Nou Barris",49,"Canyelles","Dona","40-44 anys",15
2020,8,"Nou Barris",50,"les Roquetes","Dona","40-44 anys",35
2020,8,"Nou Barris",51,"Verdun","Dona","40-44 anys",65
2020,8,"Nou Barris",52,"la Prosperitat","Dona","40-44 anys",74
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","40-44 anys",24
2020,8,"Nou Barris",54,"Torre Baró","Dona","40-44 anys",8
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","40-44 anys",21
2020,8,"Nou Barris",56,"Vallbona","Dona","40-44 anys",6
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","40-44 anys",18
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","40-44 anys",7
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","40-44 anys",31
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","40-44 anys",245
2020,9,"Sant Andreu",61,"la Sagrera","Dona","40-44 anys",113
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","40-44 anys",49
2020,9,"Sant Andreu",63,"Navas","Dona","40-44 anys",71
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","40-44 anys",186
2020,10,"Sant Martí",65,"el Clot","Dona","40-44 anys",102
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","40-44 anys",97
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","40-44 anys",25
2020,10,"Sant Martí",68,"el Poblenou","Dona","40-44 anys",194
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","40-44 anys",90
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","40-44 anys",44
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","40-44 anys",79
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","40-44 anys",85
