"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400286145,"Contenidor de Sal *Font del Mont (Escales de la Font del Mont)","#","T","Font del Mont",23,23,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.415328,2.111494,425745.91,4585244.983,425837.79799999995,4585445.946,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286146,"Contenidor de Sal *Camí de la Gírgola","#","Camí","Gírgola",11,11,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.407775,2.104752,425173.809,4584412.2360000005,425265.69200000004,4584613.191000001,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286147,"Contenidor de Sal *Passeig Vimetera - Escales Gatosa","#","Pg","Vimetera",26,26,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.423704,2.0894880000000002,423916.635,4586193.976,424008.506,4586394.947,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286148,"Contenidor de Sal *Passeig Pi Forcat - Passeig Anna Rubies","#","Pg","Anna Rúbies",1,1,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.422637,2.087584,423756.25899999996,4586077.133,423848.12899999996,4586278.103,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286149,"Contenidor de Sal *Pelfort - Fonolleda (Escales)","#","C","Fonolleda",19,19,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.412971999999996,2.099555,424745.48,4584993.666,424837.359,4585194.626,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286151,"Contenidor de Sal *Torrent Font Mont","#","T","Font del Mont",13,13,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.414871999999995,2.11183,425773.463,4585194.021000001,425865.352,4585394.983,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286153,"Contenidor de Sal *Bohemis","#","C","Bohemis",32,32,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.423952,2.0955340000000002,424422.09,4586216.212,424513.966,4586417.183,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286155,"Contenidor de Sal *Gardènia - Codonyer - Savina (Escales)","#","C","Codonyer",2,2,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.42568,2.098773,424694.744,4586405.227,424786.62200000003,4586606.2,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286157,"Contenidor de Sal * Camí del Salze (Escola Els Xiprers)","#","Camí","Salze",13,13,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.419942999999996,2.1024689999999997,424997.039,4585765.086,425088.92,4585966.053,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286160,"Contenidor de Sal *Escola Taxonera","#","C","Pantà de Tremp",49,49,37,"el Carmel",7,"Horta-Guinardó",8032,19,"BARCELONA",41.426006,2.152526,429186.677,4586396.078,429278.597,4586597.052,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286161,"Contenidor de Sal *Hospital Vall d'Hebron","#","Pg","Vall d'Hebron",119,119,40,"Montbau",7,"Horta-Guinardó",8035,19,"BARCELONA",41.428049,2.1434580000000003,428431.218,4586630.307,428523.131,4586831.283,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286163,"Contenidor de Sal *Associació Veïns Torre Baró","#","Av","Escolapi Càncer",39,39,54,"Torre Baró",8,"Nou Barris",8033,19,"BARCELONA",41.457633,2.17909,431439.61100000003,4589885.877,431531.55,4590086.884,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286164,"Contenidor de Sal *Escola Sant Joan de la Creu","#","Av","Rasos de Peguera",232,232,55,"Ciutat Meridiana",8,"Nou Barris",8033,19,"BARCELONA",41.460132,2.169546,430645.18200000003,4590170.896000001,430737.114,4590371.906,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286165,"Contenidor de Sal *Vallcivera","#","C","Vallcivera",12,12,55,"Ciutat Meridiana",8,"Nou Barris",8033,19,"BARCELONA",41.461129,2.1790990000000003,431444.049,4590274.017,431535.98799999995,4590475.028,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286169,"Contenidor de Sal *Zona de Vianants entre l'Estació  de FCG i el Centre Cívic l'Elèctric","#","Ctra","Vallvidrera a les Planes",6,6,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.419167,2.097899,424614.249,4585682.937,424706.12700000004,4585883.903,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286171,"Contenidor de Sal *Nebuloses - Ptge Mart","#","C","Nebuloses",6,6,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.429748,2.09924,424738.472,4586856.399,424830.351,4587057.376,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286173,"Contenidor de Sal *Plaça Major del Rectoret - Escales Parsifal","#","Pl","Major del Rectoret",1,1,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.42777,2.092085,424138.335,4586643.11,424230.208,4586844.085,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286174,"Contenidor de Sal *Carroç - Pau Feu","#","C","Pau Feu",2,2,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.408349,2.1074580000000003,425400.68200000003,4584473.588,425492.56700000004,4584674.544,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286175,"Contenidor de Sal *Carroç - Comandant Llançà","#","C","Carroç",57,57,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.408390000000004,2.1053610000000003,425225.398,4584479.944,425317.282,4584680.9,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286179,"Contenidor de Sal *Carroç - Carretera de les Aigües","#","C","Carroç",63,63,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.408646000000005,2.104971,425193.094,4584508.717,425284.977,4584709.673,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286181,"Contenidor de Sal *Azalea - Passatge Grèvol","#","Ptge","Grèvol",12,12,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.421343,2.087354,423735.492,4585933.728,423827.362,4586134.697,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286182,"Contenidor de Sal *Camí Can Balasch - Turó de l'Alzina","#","Camí","Turó de l'Alzina",11,11,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.42338,2.0814790000000003,423246.951,4586165.004,423338.816,4586365.975,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286188,"Contenidor de Sal *Cal Ja Hi Som","#","Drec","Vallvidrera",40,40,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.412589000000004,2.1068189999999998,425352.117,4584944.858,425444.00200000004,4585145.818,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286189,"Contenidor de Sal *Reis Catòlics (Centre Cívic Vallvidriera)","#","C","Reis Catòlics",16,16,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8000,19,"BARCELONA",41.415115,2.102805,425019.547,4585228.787,425111.429,4585429.749,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286202,"Contenidor de Sal *Camí de la Font dels Pins (Escales Ciureny)","#","Camí","Font dels Pins",16,16,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.418387,2.096695,424512.675,4585597.344,424604.552,4585798.31,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286204,"Contenidor de Sal *Azalea - Mas Guimbau","#","C","Azalea",32,32,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.420438,2.086779,423686.43700000003,4585833.7069999995,423778.30600000004,4586034.675,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286205,"Contenidor de Sal *Masia Can Castellví","#","Camí","Can Balasch",57,57,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.429757,2.075713,422772.731,4586878.162,422864.592,4587079.1389999995,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
