"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre_motos"
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Altres situacions",3
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Altres situacions",0
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Altres situacions",3
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Altres situacions",6
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Altres situacions",0
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Altres situacions",0
2015,6,"Gràcia",29,"el Coll","Altres situacions",0
2015,6,"Gràcia",30,"la Salut","Altres situacions",1
2015,6,"Gràcia",31,"la Vila de Gràcia","Altres situacions",2
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Altres situacions",0
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Altres situacions",0
2015,7,"Horta-Guinardó",34,"Can Baró","Altres situacions",0
2015,7,"Horta-Guinardó",35,"el Guinardó","Altres situacions",1
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Altres situacions",0
2015,7,"Horta-Guinardó",37,"el Carmel","Altres situacions",0
2015,7,"Horta-Guinardó",38,"la Teixonera","Altres situacions",0
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Altres situacions",0
2015,7,"Horta-Guinardó",40,"Montbau","Altres situacions",0
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Altres situacions",0
2015,7,"Horta-Guinardó",42,"la Clota","Altres situacions",0
2015,7,"Horta-Guinardó",43,"Horta","Altres situacions",0
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Altres situacions",0
2015,8,"Nou Barris",45,"Porta","Altres situacions",0
2015,8,"Nou Barris",46,"el Turó de la Peira","Altres situacions",0
2015,8,"Nou Barris",47,"Can Peguera","Altres situacions",0
2015,8,"Nou Barris",48,"la Guineueta","Altres situacions",0
2015,8,"Nou Barris",49,"Canyelles","Altres situacions",0
2015,8,"Nou Barris",50,"les Roquetes","Altres situacions",0
2015,8,"Nou Barris",51,"Verdun","Altres situacions",0
2015,8,"Nou Barris",52,"la Prosperitat","Altres situacions",0
2015,8,"Nou Barris",53,"la Trinitat Nova","Altres situacions",0
2015,8,"Nou Barris",54,"Torre Baró","Altres situacions",0
2015,8,"Nou Barris",55,"Ciutat Meridiana","Altres situacions",0
2015,8,"Nou Barris",56,"Vallbona","Altres situacions",0
2015,9,"Sant Andreu",57,"la Trinitat Vella","Altres situacions",0
2015,9,"Sant Andreu",58,"Baró de Viver","Altres situacions",0
2015,9,"Sant Andreu",59,"el Bon Pastor","Altres situacions",1
2015,9,"Sant Andreu",60,"Sant Andreu","Altres situacions",0
2015,9,"Sant Andreu",61,"la Sagrera","Altres situacions",0
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Altres situacions",0
2015,9,"Sant Andreu",63,"Navas","Altres situacions",2
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Altres situacions",0
2015,10,"Sant Martí",65,"el Clot","Altres situacions",0
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Altres situacions",0
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Altres situacions",0
2015,10,"Sant Martí",68,"el Poblenou","Altres situacions",0
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Altres situacions",0
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Altres situacions",0
2015,10,"Sant Martí",71,"Provençals del Poblenou","Altres situacions",0
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Altres situacions",1
2015,10,"Sant Martí",73,"la Verneda i la Pau","Altres situacions",1
