"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Vehicles","Antiguitat","Nombre"
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","3 anys",9
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","4 anys",3
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","5 anys",28
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","6 anys",1
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","7 anys",4
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","8 anys",21
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","9 anys",13
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","10 anys",54
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","D'11 a 20 anys",123
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","Més de 20 anys",61
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","No consta",6
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","Menys d'un any d'antiguitat",130
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","1 any",177
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","2 anys",139
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","3 anys",132
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","4 anys",117
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","5 anys",114
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","6 anys",72
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","7 anys",91
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","8 anys",91
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","9 anys",131
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","10 anys",124
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","D'11 a 20 anys",1519
2019,"1","Ciutat Vella","3","la Barceloneta","Turismes","Més de 20 anys",326
2019,"1","Ciutat Vella","3","la Barceloneta","Motos","Menys d'un any d'antiguitat",108
