"Any","Codi_Districte","Nom_Districte","Codi_Barri","Desc_Barri","Tipus_vehicle","Nombre"
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ciclomotors",2.0
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Ciclomotors",5.0
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Ciclomotors",8.0
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ciclomotors",11.0
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Ciclomotors",28.0
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Ciclomotors",13.0
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Ciclomotors",9.0
2018,6,"Gràcia",29,"el Coll","Ciclomotors",7.0
2018,6,"Gràcia",30,"la Salut","Ciclomotors",5.0
2018,6,"Gràcia",31,"la Vila de Gràcia","Ciclomotors",17.0
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Ciclomotors",12.0
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Ciclomotors",9.0
2018,7,"Horta-Guinardó",34,"Can Baró","Ciclomotors",4.0
2018,7,"Horta-Guinardó",35,"el Guinardó","Ciclomotors",7.0
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Ciclomotors",3.0
2018,7,"Horta-Guinardó",37,"el Carmel","Ciclomotors",20.0
2018,7,"Horta-Guinardó",38,"la Teixonera","Ciclomotors",5.0
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Ciclomotors",3.0
2018,7,"Horta-Guinardó",40,"Montbau","Ciclomotors",0.0
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Ciclomotors",1.0
2018,7,"Horta-Guinardó",42,"la Clota","Ciclomotors",0.0
2018,7,"Horta-Guinardó",43,"Horta","Ciclomotors",8.0
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Ciclomotors",8.0
2018,8,"Nou Barris",45,"Porta","Ciclomotors",7.0
2018,8,"Nou Barris",46,"el Turó de la Peira","Ciclomotors",5.0
2018,8,"Nou Barris",47,"Can Peguera","Ciclomotors",2.0
2018,8,"Nou Barris",48,"la Guineueta","Ciclomotors",4.0
2018,8,"Nou Barris",49,"Canyelles","Ciclomotors",3.0
2018,8,"Nou Barris",50,"les Roquetes","Ciclomotors",3.0
2018,8,"Nou Barris",51,"Verdun","Ciclomotors",2.0
2018,8,"Nou Barris",52,"la Prosperitat","Ciclomotors",2.0
2018,8,"Nou Barris",53,"la Trinitat Nova","Ciclomotors",2.0
2018,8,"Nou Barris",54,"Torre Baró","Ciclomotors",3.0
2018,8,"Nou Barris",55,"Ciutat Meridiana","Ciclomotors",0.0
2018,8,"Nou Barris",56,"Vallbona","Ciclomotors",1.0
2018,9,"Sant Andreu",57,"la Trinitat Vella","Ciclomotors",4.0
2018,9,"Sant Andreu",58,"Baró de Viver","Ciclomotors",0.0
2018,9,"Sant Andreu",59,"el Bon Pastor","Ciclomotors",5.0
2018,9,"Sant Andreu",60,"Sant Andreu","Ciclomotors",10.0
2018,9,"Sant Andreu",61,"la Sagrera","Ciclomotors",2.0
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Ciclomotors",2.0
2018,9,"Sant Andreu",63,"Navas","Ciclomotors",5.0
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Ciclomotors",11.0
2018,10,"Sant Martí",65,"el Clot","Ciclomotors",11.0
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Ciclomotors",14.0
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Ciclomotors",0.0
2018,10,"Sant Martí",68,"el Poblenou","Ciclomotors",12.0
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Ciclomotors",4.0
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Ciclomotors",5.0
2018,10,"Sant Martí",71,"Provençals del Poblenou","Ciclomotors",10.0
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Ciclomotors",11.0
2018,10,"Sant Martí",73,"la Verneda i la Pau","Ciclomotors",7.0
2018,99,"No consta",99,"No consta","Ciclomotors",0.0
2018,1,"Ciutat Vella",1,"el Raval","Furgonetes",16.0
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Furgonetes",11.0
2018,1,"Ciutat Vella",3,"la Barceloneta","Furgonetes",10.0
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Furgonetes",19.0
2018,2,"Eixample",5,"el Fort Pienc","Furgonetes",21.0
2018,2,"Eixample",6,"la Sagrada Família","Furgonetes",40.0
2018,2,"Eixample",7,"la Dreta de l'Eixample","Furgonetes",80.0
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Furgonetes",36.0
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Furgonetes",44.0
2018,2,"Eixample",10,"Sant Antoni","Furgonetes",20.0
2018,3,"Sants-Montjuïc",11,"el Poble Sec - AEI Parc Montjuïc","Furgonetes",35.0
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermelll - AEI Zona Franca","Furgonetes",119.0
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Furgonetes",16.0
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Furgonetes",7.0
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Furgonetes",12.0
2018,3,"Sants-Montjuïc",16,"la Bordeta","Furgonetes",19.0
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Furgonetes",24.0
2018,3,"Sants-Montjuïc",18,"Sants","Furgonetes",18.0
2018,4,"Les Corts",19,"les Corts","Furgonetes",38.0
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Furgonetes",11.0
2018,4,"Les Corts",21,"Pedralbes","Furgonetes",10.0
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Furgonetes",3.0
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Furgonetes",28.0
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Furgonetes",6.0
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Furgonetes",27.0
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Furgonetes",53.0
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Furgonetes",14.0
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Furgonetes",6.0
2018,6,"Gràcia",29,"el Coll","Furgonetes",3.0
2018,6,"Gràcia",30,"la Salut","Furgonetes",4.0
2018,6,"Gràcia",31,"la Vila de Gràcia","Furgonetes",30.0
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Furgonetes",23.0
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Furgonetes",14.0
2018,7,"Horta-Guinardó",34,"Can Baró","Furgonetes",5.0
2018,7,"Horta-Guinardó",35,"el Guinardó","Furgonetes",48.0
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Furgonetes",6.0
2018,7,"Horta-Guinardó",37,"el Carmel","Furgonetes",16.0
2018,7,"Horta-Guinardó",38,"la Teixonera","Furgonetes",13.0
