"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400173991,"Punt de Recollida d'Arbres a la Plaça del Taxi","#","Pl","Taxi",1,1,63,"Navas",9,"Sant Andreu",8041,19,"BARCELONA",41.416311,2.180576,431520.37,4585297.163,431612.31200000003,4585498.1280000005,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173991,"Punt de Recollida d'Arbres a la Plaça del Taxi","#","Pl","Taxi",1,1,63,"Navas",9,"Sant Andreu",8041,19,"BARCELONA",41.416311,2.180576,431520.37,4585297.163,431612.31200000003,4585498.1280000005,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173992,"Punt de Recollida d'Arbres a la Plaça Orfila","#","Pl","Orfila",1,1,60,"Sant Andreu",9,"Sant Andreu",8030,19,"BARCELONA",41.435918,2.190728,432389.105,4587465.93,432481.054,4587666.915,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173992,"Punt de Recollida d'Arbres a la Plaça Orfila","#","Pl","Orfila",1,1,60,"Sant Andreu",9,"Sant Andreu",8030,19,"BARCELONA",41.435918,2.190728,432389.105,4587465.93,432481.054,4587666.915,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173993,"Punt de Recollida d'Arbres a la Plaça Bonet i Muixí","#","Pl","Bonet i Muixí",1,1,18,"Sants",3,"Sants-Montjuïc",8014,19,"BARCELONA",41.374294,2.136557,427795.101,4580668.244,427887.01,4580869.165,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173993,"Punt de Recollida d'Arbres a la Plaça Bonet i Muixí","#","Pl","Bonet i Muixí",1,1,18,"Sants",3,"Sants-Montjuïc",8014,19,"BARCELONA",41.374294,2.136557,427795.101,4580668.244,427887.01,4580869.165,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173994,"Punt de Recollida d'Arbres a Gran de Sant Andreu-Ruben Dario","#","C","Gran de Sant Andreu",225,225,60,"Sant Andreu",9,"Sant Andreu",8030,19,"BARCELONA",41.434394,2.189485,432283.691,4587297.685,432375.63899999997,4587498.669,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173994,"Punt de Recollida d'Arbres a Gran de Sant Andreu-Ruben Dario","#","C","Gran de Sant Andreu",225,225,60,"Sant Andreu",9,"Sant Andreu",8030,19,"BARCELONA",41.434394,2.189485,432283.691,4587297.685,432375.63899999997,4587498.669,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173995,"Punt de Recollida d'Arbres a l'Avinguda Diagonal - Entença","#","Av","Diagonal",565,565,19,"les Corts",4,"Les Corts",8029,19,"BARCELONA",41.389823,2.134929,427676.159,4582393.567,427768.066,4582594.504,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173995,"Punt de Recollida d'Arbres a l'Avinguda Diagonal - Entença","#","Av","Diagonal",565,565,19,"les Corts",4,"Les Corts",8029,19,"BARCELONA",41.389823,2.134929,427676.159,4582393.567,427768.066,4582594.504,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173996,"Punt de Recollida d'Arbres a Gran de Sant Andreu-Plaça del Comerç","#","C","Gran de Sant Andreu",276,276,60,"Sant Andreu",9,"Sant Andreu",8030,19,"BARCELONA",41.435904,2.189853,432315.972,4587465.045,432407.92,4587666.03,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173996,"Punt de Recollida d'Arbres a Gran de Sant Andreu-Plaça del Comerç","#","C","Gran de Sant Andreu",276,276,60,"Sant Andreu",9,"Sant Andreu",8030,19,"BARCELONA",41.435904,2.189853,432315.972,4587465.045,432407.92,4587666.03,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173997,"Punt de Recollida d'Arbres al Parc de les Corts","#","C","Nicaragua",139,139,19,"les Corts",4,"Les Corts",8029,19,"BARCELONA",41.386967999999996,2.136614,427813.888,4582075.232,427905.79600000003,4582276.166,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173997,"Punt de Recollida d'Arbres al Parc de les Corts","#","C","Nicaragua",139,139,19,"les Corts",4,"Les Corts",8029,19,"BARCELONA",41.386967999999996,2.136614,427813.888,4582075.232,427905.79600000003,4582276.166,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173998,"Punt de Recollida d'Arbres als Jardins dels Doctors Dolsa","#","C","Fígols",6,6,19,"les Corts",4,"Les Corts",8028,19,"BARCELONA",41.381237,2.1290970000000002,427178.98600000003,4581445.246,427270.88899999997,4581646.174,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173998,"Punt de Recollida d'Arbres als Jardins dels Doctors Dolsa","#","C","Fígols",6,6,19,"les Corts",4,"Les Corts",8028,19,"BARCELONA",41.381237,2.1290970000000002,427178.98600000003,4581445.246,427270.88899999997,4581646.174,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174004,"Punt de Recollida d'Arbres a la Plaça Assemblea de Catalunya","#","Pl","Assemblea de Catalunya",1,1,29,"el Coll",9,"Sant Andreu",8027,19,"BARCELONA",41.424690000000005,2.1881310000000003,432160.445,4586221.405,432252.39200000005,4586422.379,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174004,"Punt de Recollida d'Arbres a la Plaça Assemblea de Catalunya","#","Pl","Assemblea de Catalunya",1,1,29,"el Coll",9,"Sant Andreu",8027,19,"BARCELONA",41.424690000000005,2.1881310000000003,432160.445,4586221.405,432252.39200000005,4586422.379,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400174005,"Punt de Recollida d'Arbres a Doctor Ferran - Passeig de Manuel Girona - Capità Arenas - Manila","#","C","Doctor Ferran",28,28,21,"Pedralbes",4,"Les Corts",8034,19,"BARCELONA",41.390893,2.124167,426777.62700000004,4582521.421,426869.526,4582722.359,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174005,"Punt de Recollida d'Arbres a Doctor Ferran - Passeig de Manuel Girona - Capità Arenas - Manila","#","C","Doctor Ferran",28,28,21,"Pedralbes",4,"Les Corts",8034,19,"BARCELONA",41.390893,2.124167,426777.62700000004,4582521.421,426869.526,4582722.359,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400174007,"Punt de Recollida d'Arbres a Portugal-Pegàs","#","C","Portugal",62,62,61,"la Sagrera",9,"Sant Andreu",8027,19,"BARCELONA",41.427099,2.187684,432125.586,4586489.268999999,432217.533,4586690.245,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400174007,"Punt de Recollida d'Arbres a Portugal-Pegàs","#","C","Portugal",62,62,61,"la Sagrera",9,"Sant Andreu",8027,19,"BARCELONA",41.427099,2.187684,432125.586,4586489.268999999,432217.533,4586690.245,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174008,"Punt de Recollida d'Arbres als Jardins de Clara Campoamor","#","Av","Diagonal",615,615,19,"les Corts",4,"Les Corts",8028,19,"BARCELONA",41.388269,2.12879,427161.222,4582226.234,427253.124,4582427.169,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174008,"Punt de Recollida d'Arbres als Jardins de Clara Campoamor","#","Av","Diagonal",615,615,19,"les Corts",4,"Les Corts",8028,19,"BARCELONA",41.388269,2.12879,427161.222,4582226.234,427253.124,4582427.169,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400174010,"Punt de Recollida d'Arbres als Jardins de les Infantes","#","C","Vallespir",198,198,19,"les Corts",4,"Les Corts",8014,19,"BARCELONA",41.385281,2.133299,427534.867,4581890.662,427626.773,4582091.594,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400174010,"Punt de Recollida d'Arbres als Jardins de les Infantes","#","C","Vallespir",198,198,19,"les Corts",4,"Les Corts",8014,19,"BARCELONA",41.385281,2.133299,427534.867,4581890.662,427626.773,4582091.594,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
