"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Inscripcions de les activitats de formacio","Centre Cívic El Coll - La Bruguera",989,"","",6,"Gràcia",29,"el Coll","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2019,"Nombre d'activitats de formació","Centre Cívic Matas i Ramis",161,"","",7,"Horta-Guinardó",43,"Horta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2019,"Inscripcions de les activitats de formacio","Centre Cívic Can Clariana Cultural",764,"","",9,"Sant Andreu",62,"el Congrés i els Indians","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.42751810000001,2.178412
2019,"Inscripcions de les activitats de formacio","Centre Cívic Trinitat Vella",305,"","",9,"Sant Andreu",57,"la Trinitat Vella","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618626999995,2.1911896
2019,"Nombre d'activitats de formació","Centre Cívic Zona Nord",125,"","",8,"Nou Barris",55,"Ciutat Meridiana","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2019,"Nombre d'activitats de formació","Centre Cultural la Farinera del Clot",138,"","",10,"Sant Martí",65,"el Clot","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599000004,2.188442671
2019,"Nombre d'activitats de formació","Centre Cívic Joan Oliver - Pere Quart",642,"","",4,"Les Corts",20,"la Maternitat i Sant Ramon","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.1277577030000003
2019,"Inscripcions de les activitats de formacio","Centre Cívic del Parc - Sandaru",1595,"","",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2019,"Nombre d'activitats de formació","Centre Cívic Sant Martí",123,"","",10,"Sant Martí",72,"Sant Martí de Provençals","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.1985638130000003
2019,"Nombre d'activitats de formació","Centre Cívic La Casa Elizalde",733,"","",2,"Eixample",7,"la Dreta de Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818000005,2.165880676
2019,"Inscripcions de les activitats de formacio","Centre Cívic Teixonera",1988,"","",7,"Horta-Guinardó",38,"la Teixonera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884000004,2.1445545580000003
2019,"Inscripcions de les activitats de formacio","Centre Cívic Cotxeres Borrell",2283,"","",2,"Eixample",10,"Sant Antoni","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2019,"Nombre d'activitats de formació","Centre Cívic Barceloneta",282,"","",1,"Ciutat Vella",3,"la Barceloneta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123000005,2.19230079
2019,"Inscripcions de les activitats de formacio","Centre Cívic Can Deu",3104,"","",4,"Les Corts",19,"les Corts","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.1325020759999997
2019,"Nombre d'activitats de formació","Centre Cívic Fort Pienc",283,"","",2,"Eixample",5,"el Fort Pienc","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
2019,"Inscripcions de les activitats de formacio","Centre Cívic Navas",5815,"","",9,"Sant Andreu",63,"Navas","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2019,"Inscripcions de les activitats de formacio","Centre Cívic Urgell",8831,"","",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
2019,"Nombre d'activitats de formació","Centre Cívic Pere Pruna",50,"","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2019,"Inscripcions de les activitats de formacio","Centre Cívic Vil·la Florida",3547,"","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.40533741,2.135294028
