"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"Centre Cívic Golferichs",2,"Eixample",9.0,"la Nova Esquerra de l'Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101,"http://www.golferichs.org",""
"Centre Cívic Guinardó",7,"Horta-Guinardó",35.0,"el Guinardó","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.1733228909999998,"http://ccivics.bcn.cat/guinardo",""
"Centre Cívic Joan Oliver - Pere Quart",4,"Les Corts",20.0,"la Maternitat i Sant Ramon","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.1277577030000003,"http://www.ccperequart.com",""
"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",4,"Les Corts",20.0,"la Maternitat i Sant Ramon","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128000005,2.121762772,"http://www.ccrierablanca.com",""
"Centre Cívic l'Elèctric",5,"Sarrià-Sant Gervasi",22.0,"Vallvidrera, el Tibidabo i les Planes","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.41913796,2.097871834,"http://ccivics.bcn.cat/lelectric",""
"Centre Cívic La Cadena",3,"Sants-Montjuïc",13.0,"la Marina de Port","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288000004,2.139067245,"http://ajuntament.barcelona.cat/ccivics/lacadena",""
"Centre Cívic La Casa Elizalde",2,"Eixample",7.0,"la Dreta de Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818000005,2.165880676,"http://www.casaelizalde.com",""
"Centre Cívic La Sagrera",9,"Sant Andreu",61.0,"la Sagrera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414,"http://ccivics.bcn.cat/lasagrera",""
"Centre Cívic La Sedeta",6,"Gràcia",32.0,"el Camp d'en Grassot i Gràcia Nova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.40554894,2.167665468,"http://ccivics.bcn.cat/lasedeta",""
"Centre Cívic Matas i Ramis",7,"Horta-Guinardó",43.0,"Horta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473,"http://ccivics.bcn.cat/matasiramis",""
"Centre Cívic Navas",9,"Sant Andreu",63.0,"Navas","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133,"http://www.ccnavas.cat",""
"Centre Cívic Pati Llimona",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281,"http://patillimona.net",""
"Centre Cívic Pere Pruna",5,"Sarrià-Sant Gervasi",25.0,"Sant Gervasi - la Bonanova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875,"http://ccivics.bcn.cat/perepruna",""
"Centre Cívic Sagrada Família",2,"Eixample",6.0,"la Sagrada Família","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148,"http://www.ccsagradafamilia.net",""
"Centre Cívic Sant Andreu",9,"Sant Andreu",60.0,"Sant Andreu","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888000004,2.189400581,"http://www.bcn.cat/ccsantandreu",""
"Centre Cívic Sant Martí",10,"Sant Martí",72.0,"Sant Martí de Provençals","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.1985638130000003,"http://ccivics.bcn.cat/santmarti",""
"Centre Cívic Sarrià",5,"Sarrià-Sant Gervasi",23.0,"Sarrià","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979000004,2.121163587,"http://ccivics.bcn.cat/sarria",""
"Centre Cívic Teixonera",7,"Horta-Guinardó",38.0,"la Teixonera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884000004,2.1445545580000003,"http://ccivics.bcn.cat/teixonera",""
"Centre Cívic Tomasa Cuevas - Les Corts",4,"Les Corts",19.0,"les Corts","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.1283183969999997,"http://ajuntament.barcelona.cat/ccivics/tomasacuevas",""
"Centre Cívic Torre Llobeta",8,"Nou Barris",44.0,"Vilapicina i la Torre Llobeta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442,"http://ajuntament.barcelona.cat/ccivics/torrellobeta",""
"Centre Cívic Trinitat Vella",9,"Sant Andreu",57.0,"la Trinitat Vella","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618626999995,2.1911896,"http://ajuntament.barcelona.cat/ccivics/trinitatvella",""
"Centre Cívic Urgell",2,"Eixample",9.0,"la Nova Esquerra de l'Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146,"http://www.ccurgell.cat",""
"Centre Cívic Vallvidrera Vázquez Montalbán",5,"Sarrià-Sant Gervasi",22.0,"Vallvidrera, el Tibidabo i les Planes","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794,"http://ccivics.bcn.cat/vallvidreravazquezmontalban",""
"Centre Cívic Vil·la Florida",5,"Sarrià-Sant Gervasi",25.0,"Sant Gervasi - la Bonanova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.40533741,2.135294028,"http://ccivics.bcn.cat/vil.laflorida",""
"Centre Cívic Vil·la Urània",5,"Sarrià-Sant Gervasi",27.0,"el Putxet i el Farró","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276,"http://ajuntament.barcelona.cat/ccivics/vil.laurania",""
"Centre Cívic Zona Nord",8,"Nou Barris",55.0,"Ciutat Meridiana","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304,"http://ccivics.bcn.cat/zonanord",""
"Centre Cultural Albareda",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934000004,2.173269239,"http://www.bcn.cat/ccalbareda/",""
"Centre Cultural la Farinera del Clot",10,"Sant Martí",65.0,"el Clot","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599000004,2.188442671,"http://www.farinera.org",""
"Almeria Teatre",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.406091398,2.16140486,"http://www.almeriateatre.com",""
"Antic Teatre",1,"Ciutat Vella","","","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","","","",""
"Aquitània Teatre",2,"Eixample",9.0,"la Nova Esquerra de l'Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.390208275,2.144701461,"http://aquitaniateatre.es/",""
"Barts",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.375154355999996,2.1695830369999998,"http://www.barts.cat/",""
"BARTS. Barcelona Arts on Stage",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.375154355999996,2.1695830369999998,"http://www.barts.cat/",""
"Barts. Espai Club",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.375154355999996,2.1695830369999998,"http://www.barts.cat/es/barts-club",""
"Club Capitol",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.385110568,2.170621004,"https://www.grupbalana.com",""
"Coliseum",1,"Ciutat Vella",7.0,"la Dreta de Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.388275,2.1660880000000002,"https://www.grupbalana.com/teatre/sales/teatre-coliseum/",""
"Eixample Teatre",2,"Eixample",8.0,"l'Antiga Esquerra de l'Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.385343,2.1558080000000004,"http://www.eixampleteatre.cat/ca/",""
"El Maldà",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques,Música",41.383570270999996,2.17314987,"https://elmalda.cat/",""
"El Rei de la Màgia",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.388479700000005,2.1738803,"http://elreydelamagia.com/wp/index.php/teatro/",""
"El Victòria",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.374778065,2.169244522,"http://www.teatrevictoria.com",""
"Hiroshima",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.3737367,2.1700016,"https://www.hiroshima.cat/",""
"Institut del Teatre (totes les sales)",3,"Sants-Montjuïc",11.0,"el Poble-sec","Pública no municipal","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.370647908,2.1574313330000003,"https://www.institutdelteatre.cat/",""
"Jove Teatre Regina",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.396845565999996,2.156149548,"http://www.jtregina.com/",""
"La Badabadoc",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.40329835,2.16160013,"https://www.labadabadoc-teatro.com/",""
"La Gleva",5,"Sarrià-Sant Gervasi",27.0,"el Putxet i el Farró","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.403172999999995,2.146046,"https://www.laglevateatre.com/",""
"La Puntual",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.386779395,2.18126153,"http://www.lapuntual.info",""
"La Villarroel",2,"Eixample",8.0,"l'Antiga Esquerra de l'Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.384515128000004,2.157499403,"https://www.lavillarroel.cat/ca/",""
"Mercat de les Flors",3,"Sants-Montjuïc",11.0,"el Poble-sec","Consorci o fundació amb presència municipal","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.370506721999995,2.157253887,"http://mercatflors.cat",""
"Sala Ars Teatre",1,"Ciutat Vella","","","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.3884888,2.1738805,"http://www.salaarsteatre.com/",""
"Sala Atrium",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.397263538000004,2.1737396159999998,"http://www.teatrium.cat/",""
"Sala Fènix",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.3777431,2.1690638,"https://www.salafenix.com/",""
"Sala Flyhard",3,"Sants-Montjuïc",18.0,"Sants","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.371815999999995,2.1408658,"https://www.salaflyhard.com/",""
"Sala Versus Glòries",2,"Eixample",5.0,"el Fort Pienc","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.402080106999996,2.183906477,"http://versusteatre.com",""
"saT! Sant Andreu Teatre",9,"Sant Andreu",60.0,"Sant Andreu","Municipal","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.430583231,2.188904165,"http://www.sat-teatre.cat",""
"Teatre Akadèmia",2,"Eixample",8.0,"l'Antiga Esquerra de l'Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.392700831,2.147273481,"http://www.teatreakademia.cat",""
"Teatre Apolo",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.374764425,2.170308608,"http://www.teatreapolo.com",""
"Teatre Borràs",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.388856626999996,2.17359927,"https://www.grupbalana.com/teatre/sales/teatre-borras/",""
"Teatre Condal",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.3747758,2.164709963,"http://www.teatrecondal.cat",""
"Teatre del Raval",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.379373252,2.165215007,"http://www.teatredelraval.com",""
"Teatre Eòlia",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.39241326,2.17637066,"http://www.teatreolia.cat/",""
"Teatre Gaudí Barcelona",2,"Eixample",6.0,"la Sagrada Família","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.407429352,2.169502763,"http://teatregaudibarcelona.com",""
"Teatre Goya",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.384184369,2.16467162,"http://www.teatregoya.cat",""
"Teatre Grec",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.369535600000006,2.1598196,"http://grec.bcn.cat",""
"Teatre Lliure",3,"Sants-Montjuïc",11.0,"el Poble-sec","Consorci o fundació amb presència municipal","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.370647908,2.1574313330000003,"http://www.teatrelliure.com",""
"Teatre Lliure (Gràcia)",6,"Gràcia",31.0,"la Vila de Gràcia","Consorci o fundació amb presència municipal","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.40272988,2.156013379,"http://www.teatrelliure.com",""
"Teatre Nacional de Catalunya",2,"Eixample",5.0,"el Fort Pienc","Pública no municipal","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.399686263,2.186087865,"http://www.tnc.cat",""
"Teatre Poliorama",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.384144463,2.17072315,"http://www.teatrepoliorama.com",""
"Teatre Principal",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.3787605,2.1752221,"",""
"Teatre Romea",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.380553512,2.1710648359999998,"http://www.teatreromea.com",""
"Teatre Tívoli",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.389052665,2.170720909,"https://www.grupbalana.com/teatre/sales/teatre-tivoli/",""
"Teatreneu",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.4032522,2.1585627019999998,"http://www.teatreneu.com",""
"23 Robadors",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais de concerts","Sales de música en viu","Música",41.378853899999996,2.1635020000000003,"https://23robadors.wordpress.com/programacio/",""
"Almo2bar",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais de concerts","Sales de música en viu","Música",41.4056165,2.1621234,"http://www.grupalmodobar.com/almo2bar",""
"Almodobar",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais de concerts","Sales de música en viu","Música",41.4034215,2.1677698,"http://www.grupalmodobar.com/almodobar",""
"Apolo",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais de concerts","Sales de música en viu","Música",41.374341941,2.169489768,"https://www.sala-apolo.com",""
"Apolo. La [2]",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais de concerts","Sales de música en viu","Música",41.374341941,2.169489768,"",""
"Bajofondo Club",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais de concerts","Sales de música en viu","Música",41.3787878,2.1687546,"",""
"Bikini Barcelona",4,"Les Corts",19.0,"les Corts","Privada","Espais de concerts","Sales de música en viu","Música",41.389714424,2.135380995,"http://bikinibcn.com",""
"Ceferino",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Privada","Espais de concerts","Sales de música en viu","Música",41.396953499999995,2.1911669,"",""
"Continental",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais de concerts","Sales de música en viu","Música",41.4062419,2.1564047000000004,"https://www.facebook.com/SalaContinental/",""
"Diobar",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Espais de concerts","Sales de música en viu","Música",41.3855443,2.185382,"https://www.facebook.com/DiobarBcn",""
"El Paraigua",1,"Ciutat Vella","","","Privada","Espais de concerts","Sales de música en viu","Música",41.3819109,2.1767686,"http://www.elparaigua.com/cocktailbar/",""
"Euskal Etxea",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Privada","Espais de concerts","Sales de música en viu","Música",41.384505100000005,2.1819542000000003,"http://www.euskaletxea.cat/nou/",""
"Freedonia",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais de concerts","Sales de música en viu","Música",41.377289399999995,2.1670145,"http://www.freedonia.eu/",""
"Gran Teatre del Liceu",1,"Ciutat Vella",1.0,"el Raval","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.380115249,2.173329003,"http://www.liceubarcelona.cat/ca",""
"Harlem Jazz Club",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Espais de concerts","Sales de música en viu","Música",41.38114275,2.178407934,"http://www.harlemjazzclub.es",""
"Heliogàbal",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais de concerts","Sales de música en viu","Música",41.40352,2.16018,"http://www.heliogabal.com",""
"Jamboree",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Espais de concerts","Sales de música en viu","Música",41.379703770999996,2.1752680030000002,"http://www.masimas.com/jamboree",""
"Jazz Sí Club",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais de concerts","Sales de música en viu","Música",41.379806535,2.164072884,"http://tallerdemusics.com/jazzsi-club",""
"Koitton Club",3,"Sants-Montjuïc",18.0,"Sants","Privada","Espais de concerts","Sales de música en viu","Música",41.37369,2.1374,"http://koittonclub.blogspot.com.es",""
"L'Auditori",2,"Eixample",5.0,"el Fort Pienc","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.398741043,2.185141717,"https://www.auditori.cat/",""
"La Nau",10,"Sant Martí","","","Privada","Espais de concerts","Sales de música en viu","Música",41.394271200000006,2.1970509999999996,"http://lanaubarcelona.es/ca/sala-de-conciertos",""
"La Rouge",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais de concerts","Sales de música en viu","Música",41.3787044,2.1688785,"https://www.facebook.com/larougeraval/",""
"La Sonora de Gràcia",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Espais de concerts","Sales de música en viu","Música",41.398480299999996,2.1550105,"https://www.facebook.com/lasonoradegracia/",""
"Laut",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais de concerts","Sales de música en viu","Música",41.373737,2.170002,"http://laut.es/ca/",""
"Les Enfants Disco",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais de concerts","Sales de música en viu","Música",41.3780104,2.1737371,"http://lesenfants.es/",""
"Luz de Gas",5,"Sarrià-Sant Gervasi",26.0,"Sant Gervasi - Galvany","Privada","Espais de concerts","Sales de música en viu","Música",41.394592939,2.149045108,"http://www.luzdegas.com",""
"Marula Cafè",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Espais de concerts","Sales de música en viu","Música",41.385059999999996,2.1734,"http://www.marulacafe.com",""
"Meteoro",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais de concerts","Sales de música en viu","Música",41.371866,2.1674759999999997,"",""
"Milano Cocktail-Bar",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Espais de concerts","Sales de música en viu","Música",41.3872273,2.1676775,"https://www.camparimilano.com/",""
"Moog",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais de concerts","Sales de música en viu","Música",41.377989,2.1750813,"https://www.masimas.com/moog",""
"Nota 79",5,"Sarrià-Sant Gervasi","","","Privada","Espais de concerts","Sales de música en viu","Música",41.4031012,2.1491929,"https://www.nota79.cat/",""
"Palau de la Música Catalana",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.387331649000004,2.17515778,"http://www.palaumusica.cat",""
"Razzmatazz",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Privada","Espais de concerts","Sales de música en viu","Música",41.397724772,2.1910800740000003,"http://www.salarazzmatazz.com",""
"Rocksound Bar",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Privada","Espais de concerts","Sales de música en viu","Música",41.39717,2.1903,"http://www.salarocksound.com",""
"Sala Barts",1,"Ciutat Vella",1.0,"el Raval","Privada","Espais de concerts","Sales de música en viu","Música",41.375154355999996,2.1695830369999998,"http://www.barts.cat/",""
"Sala Bóveda",10,"Sant Martí",68.0,"el Poblenou","Privada","Espais de concerts","Sales de música en viu","Música",41.398427500000004,2.2000804,"http://www.salaboveda.com",""
"Sala City Hall",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Espais de concerts","Sales de música en viu","Música",41.387709904,2.1683215330000003,"https://www.cityhallbarcelona.com/",""
"Sala l'Ovella Negra",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Privada","Espais de concerts","Sales de música en viu","Música",41.39583,2.19018,"http://www.ovellanegrabcn.net/?page_id=2571",""
"Sala Monasterio",1,"Ciutat Vella",67.0,"la Vila Olímpica del Poblenou","Privada","Espais de concerts","Sales de música en viu","Música",41.381481836,2.182655788,"https://www.facebook.com/sala.monasterio/",""
"Sala Plataforma",3,"Sants-Montjuïc",11.0,"el Poble-sec","Privada","Espais de concerts","Sales de música en viu","Música",41.3728804,2.168014,"http://salaplataforma.com/ ",""
"Sala Upload Barcelona (Poble Espanyol)",3,"Sants-Montjuïc","","","Privada","Espais de concerts","Sales de música en viu","Música",41.3694671,2.1470439,"http://www.sala-upload.com/",""
"Sidecar Factory Club",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Espais de concerts","Sales de música en viu","Música",41.380544047,2.175174697,"http://www.sidecarfactoryclub.com",""
"Slow Barcelona",2,"Eixample",8.0,"l'Antiga Esquerra de l'Eixample","Privada","Espais de concerts","Sales de música en viu","Música",41.3935824,2.1533629000000003,"https://www.slowbarcelona.es",""
"Soda Acústic",6,"Gràcia","","","Privada","Espais de concerts","Sales de música en viu","Música",41.4031899,2.1567985,"http://soda.cat/",""
"Tarantos",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Espais de concerts","Sales de música en viu","Música",41.379703770999996,2.1752680030000002,"http://www.masimas.com/tarantos",""
"Vol",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Privada","Espais de concerts","Sales de música en viu","Música",41.399440359,2.191159281,"https://salavol.com/",""
"Ateneu Popular 9 Barris",8,"Nou Barris",53.0,"la Trinitat Nova","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.448742312,2.180393289,"http://www.ateneu9b.net",""
"Escenari Joan Brossa",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375,"http://escenaribrossa.cat/","Fins al 2017 l'espai es va dir La Seca-Espai Brossa."
"Fabra i Coats - Fàbrica de Creació",9,"Sant Andreu",60.0,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525,"http://fabraicoats.bcn.cat",""
"Graner",3,"Sants-Montjuïc",13.0,"la Marina de Port","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.361492275,2.135956703,"http://granerbcn.cat",""
"Hangar",10,"Sant Martí",71.0,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996,"http://hangar.org",""
"La Caldera",4,"Les Corts",19.0,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969,"http://www.lacaldera.info/",""
"La Central del Circ",10,"Sant Martí",70.0,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647,"http://www.lacentraldelcirc.cat",""
"La Escocesa",10,"Sant Martí",71.0,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.411243983,2.203826943,"http://www.laescocesa.org",""
"Nau Ivanow",9,"Sant Andreu",61.0,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937,"http://www.nauivanow.com",""
"Sala Beckett",10,"Sant Martí",68.0,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518,"http://www.salabeckett.cat",""
"Teatre Tantarantana",1,"Ciutat Vella",1.0,"el Raval","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.375938056,2.16736111,"http://tantarantana.com/",""
"Arts Santa Mònica. Centre de la Creativitat",1,"Ciutat Vella",1.0,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264,"http://www.artssantamonica.cat",""
"Basílica de la Sagrada Família",2,"Eixample",6.0,"la Sagrada Família","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.403188985,2.1748266259999998,"https://sagradafamilia.org/es/home",""
"CaixaForum",3,"Sants-Montjuïc",14.0,"la Font de la Guatlla","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441,"http://caixaforum.es/es/barcelona/home",""
"Can Framis. Fundació Vila Casas",2,"Eixample",66.0,"el Parc i la Llacuna del Poblenou","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.402912812,2.194947848,"https://www.fundaciovilacasas.com/ca/museu/museu-can-framis-barcelona",""
"Casa Amatller",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Arts visuals",41.3913381,2.16468108,"https://casessingulars.com/ca/las-casas/casa-amatller/",""
"Casa Batlló",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.3916967,2.1649608,"http://www.casabatllo.es",""
"Casa Bloc. Museu del Disseny",9,"Sant Andreu",60.0,"Sant Andreu","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.44094462,2.190335733,"http://ajuntament.barcelona.cat/museudeldisseny/ca/exposicio/pis-museu-de-la-casa-bloc-habitatge-111",""
"Casa Museu Gaudí",6,"Gràcia",30.0,"la Salut","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.414781293000004,2.155046761,"http://www.casamuseugaudi.org",""
"Casa Vicens",6,"Gràcia",31.0,"la Vila de Gràcia","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.4036093,2.1512307999999996,"https://casavicens.org/ca/",""
