"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"Biblioteca de Catalunya",1,"Ciutat Vella",1.0,"el Raval","Pública no municipal","Arxius i biblioteques patrimonials","Biblioteques","Lletres",41.381057325,2.169793714,"http://www.bnc.cat",""
"Biblioteca de l'Ateneu Barcelonès",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Arxius i biblioteques patrimonials","Biblioteques","Història i memòria",41.38464874,2.171646773,"http://www.ateneubcn.org",""
"Biblioteca del Cinema",1,"Ciutat Vella",1.0,"el Raval","Pública no municipal","Arxius i biblioteques patrimonials","Biblioteques","Lletres",41.378602169000004,2.171009207,"http://www.filmoteca.cat/web/biblioteca",""
"Biblioteca Pública Arús",2,"Eixample",5.0,"el Fort Pienc","Municipal","Arxius i biblioteques patrimonials","Biblioteques","Història i memòria",41.392937251999996,2.17856357,"http://catalegbiblioteca.bpa.es/",""
"Cartoteca de l'Institut Cartogràfic de Catalunya",3,"Sants-Montjuïc",11.0,"el Poble-sec","Pública no municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.36861,2.1630599999999998,"http://www.icc.cat",""
"Centre de Doc. i Museu de les Arts Escèniques",3,"Sants-Montjuïc",11.0,"el Poble-sec","Pública no municipal","Arxius i biblioteques patrimonials","Biblioteques","Lletres",41.370647908,2.1574313330000003,"http://www.cdmae.cat",""
"Centre Doc. de l'Autoritat Portuària de Barcelona",3,"Sants-Montjuïc","","Zona Franca-Port","Pública no municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.371632,2.181982,"http://www.portdebarcelona.cat/web/port-del-ciudada/archivo-historico",""
"Agrupació Congrés",9,"Sant Andreu",62.0,"el Congrés i els Indians","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.424768,2.18045,"http://www.agrupaciocongres.cat/",""
"Ateneu Barcelonès",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3846753,2.1717826000000287,"https://www.ateneubcn.org/",""
"Ateneu del Clot",10,"Sant Martí",65.0,"el Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.421875299999996,2.178068899999971,"http://ateneudelclot.com/",""
"Ateneu Hortenc",7,"Horta-Guinardó",43.0,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.430135899999996,2.1602420000000397,"https://corhorta.com/ca/establiment/ateneu-hortenc/",""
"Casal Catòlic de Sant Andreu",9,"Sant Andreu",60.0,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4355276,2.1864693999999645,"http://guia.bcn.cat/casal-catolic-de-sant-andreu_92086011004.html",""
"Casino l'Aliança del Poblenou",10,"Sant Martí",68.0,"el Poblenou","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.399793200000005,2.203171999999995,"http://www.casinoalianca.com/",""
"Centre Catòlic de Sants",3,"Sants-Montjuïc",18.0,"Sants","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.374383200000004,2.1348557999999684,"http://www.ccsants.cat/",""
