"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_censal","Tipologia_parc","Nombre_vehicles"
2019,"1","Ciutat Vella","1","el Raval","9","Camions",10
2019,"1","Ciutat Vella","1","el Raval","9","Altres vehicles",3
2019,"1","Ciutat Vella","1","el Raval","10","Turismes",249
2019,"1","Ciutat Vella","1","el Raval","10","Motos",140
2019,"1","Ciutat Vella","1","el Raval","10","Ciclomotors",74
2019,"1","Ciutat Vella","1","el Raval","10","Furgonetes",47
2019,"1","Ciutat Vella","1","el Raval","10","Camions",13
2019,"1","Ciutat Vella","1","el Raval","10","Altres vehicles",7
2019,"1","Ciutat Vella","1","el Raval","11","Turismes",337
2019,"1","Ciutat Vella","1","el Raval","11","Motos",161
2019,"1","Ciutat Vella","1","el Raval","11","Ciclomotors",98
2019,"1","Ciutat Vella","1","el Raval","11","Furgonetes",62
2019,"1","Ciutat Vella","1","el Raval","11","Camions",14
2019,"1","Ciutat Vella","1","el Raval","11","Altres vehicles",3
2019,"1","Ciutat Vella","1","el Raval","12","Turismes",215
2019,"1","Ciutat Vella","1","el Raval","12","Motos",133
2019,"1","Ciutat Vella","1","el Raval","12","Ciclomotors",41
2019,"1","Ciutat Vella","1","el Raval","12","Furgonetes",26
2019,"1","Ciutat Vella","1","el Raval","12","Camions",5
2019,"1","Ciutat Vella","1","el Raval","12","Altres vehicles",3
2019,"1","Ciutat Vella","1","el Raval","13","Turismes",199
2019,"1","Ciutat Vella","1","el Raval","13","Motos",90
2019,"1","Ciutat Vella","1","el Raval","13","Ciclomotors",23
2019,"1","Ciutat Vella","1","el Raval","13","Furgonetes",29
2019,"1","Ciutat Vella","1","el Raval","13","Camions",6
2019,"1","Ciutat Vella","1","el Raval","13","Altres vehicles",6
2019,"1","Ciutat Vella","1","el Raval","14","Turismes",167
2019,"1","Ciutat Vella","1","el Raval","14","Motos",105
2019,"1","Ciutat Vella","1","el Raval","14","Ciclomotors",44
2019,"1","Ciutat Vella","1","el Raval","14","Furgonetes",26
2019,"1","Ciutat Vella","1","el Raval","14","Camions",13
2019,"1","Ciutat Vella","1","el Raval","14","Altres vehicles",3
2019,"1","Ciutat Vella","1","el Raval","15","Turismes",215
2019,"1","Ciutat Vella","1","el Raval","15","Motos",129
2019,"1","Ciutat Vella","1","el Raval","15","Ciclomotors",42
2019,"1","Ciutat Vella","1","el Raval","15","Furgonetes",66
2019,"1","Ciutat Vella","1","el Raval","15","Camions",13
2019,"1","Ciutat Vella","1","el Raval","15","Altres vehicles",19
