"ID","METODE","DATA","Codi_Districte","Nom_Districte","F0","F1","F2","RENDA","Q1","Q2","EDAT","ID4","ID4_PAIS","ID5","P9","ID7","ID8","ID9","P1","P1A","Q1A","P1B","P2_1","P2_2","P2_3","P2_4","P2_6","P2_7","P2_5","P2_5B","P2","P2A","P2B","P3_1","P3_2","P3_3","P3_0","P3_95","P3_98","P3_99","P4","P5A_1","P5A_2","P5A_3","P5A_4","P5A_5","P5A_6","P5A_7","P5A_8","P5A_9","P5A_10","P5A_11","P5A_12","P5A_13","P5A_14","P5A_15","P5A_16","P5A_17","P5A_18","P5A_19","P5A_20","P5A_18_cod","P6","P7","Q8","P8B","P9B","P10","P10B_1","P10B_2","P10B_3","P10B_4","P10B_5","P10B_6","P10B_95","P10B_98","P10B_99","P11_0","P11_1","P11_2","P11_3","P11_4","P11_5","P11_98","P11_99","P11B","P11C_1","P11C_2","P11C_3","P11C_4","P11C_5","P11C_6","P11C_95","P11C_98","P11C_99","P12","Q12","P13","P13B_1","P13B_2","P13B_3","P13B_4","P13B_5","P13B_98","P13B_99","ID10","ID11","P14","P14_1cod","P14_2cod","P5A_1rec","P5A_2rec","P5A_3rec","P5A_4rec","P5A_5rec","P5A_6rec","P5A_7rec","P5A_8rec","P5A_9rec","P5A_10rec","P5A_11rec","P5A_12rec","P5A_13rec","P5A_14rec","P5A_15rec","P5A_16rec","P5A_17rec","P5A_18rec","P5A_19rec","P5A_20rec","P2_LLAR","Longitud","Latitud","Pes"
1962,1,20201022,1,"Ciutat Vella",2,1,1,2,2,33,2,3,862.0,2,"",3,2,0,1,2.0,7.0,"",2,2,2,0,0,1,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,6,6.0,"","","","","","","","","","","","","",1.0,"","","","","","",1.0,"","","","","","","","","",1,"",2,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.1881695,41.3807565,2.062154
1963,1,20201022,4,"Les Corts",2,1,1,5,1,47,4,1,"",1,2.0,4,5,2,1,2.0,8.0,"",4,2,4,2,0,1,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,0,"",1.0,1.0,1.0,"","","","","","","","","","","","",3.0,"",5.0,"","",1.0,"","","","","","","","","",0,"",3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,2.1215697999999996,41.390060600000005,0.7253569999999999
1967,1,20201022,6,"Gràcia",2,1,1,3,2,75,7,1,"",3,"",1,1,0,1,2.0,7.0,"",1,0,0,1,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0,1.0,2.0,6,2.0,"","","","","","","","","","","","","","","","","",5.0,"","",1.0,"","","","","","","","","",1,"",1,"","",3.0,"",5.0,"","",5,2,"","","",1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.1374999,41.4182255,0.918977
1968,1,20201022,10,"Sant Martí",1,1,1,4,2,49,4,1,"",1,2.0,4,3,1,1,2.0,8.0,"",3,2,1,3,1,0,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,4.0,5.0,1.0,4.0,5.0,2.0,1.0,"",1.0,0,"",2.0,1.0,1.0,"","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",2,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,9.0,2.1937013,41.4064751,0.730645
1969,1,20201022,5,"Sarrià - Sant Gervasi",2,1,1,5,1,30,2,1,"",1,4.0,3,2,0,1,2.0,8.0,"",3,0,2,0,0,1,3,1.0,1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,0,"",1.0,2.0,"","","","","","","","","","","","","",3.0,"","","","",1.0,"","","","","","","","","",1,"",3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.1361053,41.4021143,0.815068
1971,1,20201022,8,"Nou Barris",2,1,1,1,1,33,2,3,212.0,1,5.0,5,4,2,1,2.0,10.0,"",2,0,1,0,0,1,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,2.0,1.0,5.0,5.0,1.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,"",1.0,0,"",1.0,"",2.0,"","",3.0,"","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.1734339,41.4407994,0.7303470000000001
1972,1,20201022,3,"Sants - Montjuïc",1,1,1,2,2,61,5,1,"",2,"",1,1,0,1,2.0,8.0,"",1,0,1,0,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,3.0,1.0,5.0,1.0,5.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,"",1.0,0,"",3.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,5.0,3,"","","","","","","",2,2,"","","",1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.1689521000000003,41.373412200000004,1.7400630000000001
1973,1,20201022,10,"Sant Martí",2,1,1,2,1,34,2,2,"",1,4.0,3,2,0,1,2.0,10.0,"",2,1,1,1,1,1,1,1.0,1,1.0,"",1.0,"","","","","","",1,1.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,5.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,"",1.0,0,"",1.0,2.0,"","","","","","","","","","","","","",3.0,"","","","",1.0,"","","","","","","","","",2,10.0,3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.1881792,41.4115156,1.8377240000000001
1974,1,20201022,1,"Ciutat Vella",3,1,1,3,2,61,5,1,"",1,5.0,2,2,0,1,2.0,9.0,"",2,0,0,1,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,1.0,2.0,2.0,5.0,5.0,4.0,2.0,5.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,2.0,1.0,1.0,0,"",1.0,"","","","","","","","","","","","","","",3.0,"","","","",1.0,"","","","","","","","","",1,"",1,"",2.0,"","","","","",5,1,2.0,"",2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.1762617000000004,41.3797082,0.8096399999999999
1975,1,20201022,8,"Nou Barris",2,1,1,1,2,85,7,1,"",3,"",1,1,0,2,"","",6.0,0,0,0,0,0,0,0,"",2,"","","","","",0.0,"","","",7,"","","","","","","","","","","","","","","","","","","","","","",0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",1,2,"","","","","","","","","","","","","","","","","","","","","","","",0.0,2.170238,41.4326219,0.616644
