"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_Vehicles","Nacionalitat_propietari","Nombre"
2019,"1","Ciutat Vella","3","la Barceloneta","41","Turismes","Altres nacionalitats",72
2019,"1","Ciutat Vella","3","la Barceloneta","41","Motos","Nacionalitat espanyola",125
2019,"1","Ciutat Vella","3","la Barceloneta","41","Motos","Altres nacionalitats",54
2019,"1","Ciutat Vella","3","la Barceloneta","42","Turismes","Nacionalitat espanyola",343
2019,"1","Ciutat Vella","3","la Barceloneta","42","Turismes","Altres nacionalitats",33
2019,"1","Ciutat Vella","3","la Barceloneta","42","Motos","Nacionalitat espanyola",151
2019,"1","Ciutat Vella","3","la Barceloneta","42","Motos","Altres nacionalitats",25
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","43","Turismes","Nacionalitat espanyola",291
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","43","Turismes","Altres nacionalitats",71
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","43","Motos","Nacionalitat espanyola",314
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","43","Motos","Altres nacionalitats",50
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","44","Turismes","Nacionalitat espanyola",254
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","44","Turismes","Altres nacionalitats",46
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","44","Motos","Nacionalitat espanyola",176
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","44","Motos","Altres nacionalitats",49
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","45","Turismes","Nacionalitat espanyola",256
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","45","Turismes","Altres nacionalitats",72
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","45","Motos","Nacionalitat espanyola",132
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","45","Motos","Altres nacionalitats",79
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","46","Turismes","Nacionalitat espanyola",207
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","46","Turismes","Altres nacionalitats",63
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","46","Motos","Nacionalitat espanyola",154
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","46","Motos","Altres nacionalitats",77
