"ID_TRAM","UTM_IX","UTM_FX","UTM_IY","UTM_FY","LATITUD_I","LONGITUD_I","LATITUD_F","LONGITUD_F","ID_TARIFA","ID_HORARIO","ID_TARIFA1","ID_HORARIO1","TIPUS_TRAM","ADREÇA","COLOR_RGB","PLACES"
4866,429820.994,429843.495,4580242.8719999995,4580230.056,41.370637942965004,2.160825463795,41.370524478012,2.161095960941,56,13,52.0,13,"VM","JULIA, 18, C","00FF00",15.0
4866,429846.37,429868.864,4580228.743,4580215.931,41.37051290314,2.161130485317,41.370399472873004,2.161400897271,56,13,52.0,13,"VM","JULIA, 18, C","00FF00",15.0
4866,429846.715,429857.424,4580228.326,4580222.227,41.370509177528,2.161134658256,41.370455180563,2.161263396697,56,13,52.0,13,"VM","JULIA, 18, C","00FF00",15.0
4866,429874.025,429885.149,4580213.443,4580207.107,41.370377514509,2.161462887956,41.370321418795,2.161596614852,56,13,52.0,13,"VM","JULIA, 18, C","00FF00",15.0
4867,429887.316,429856.52,4580278.982,4580296.271000001,41.370968944485995,2.161614212236,41.371121973592,2.1612440237799997,56,13,52.0,13,"VM","SERRAHIMA, 5, PTGE","00FF00",5.0
4867,429887.316,429864.381,4580278.982,4580291.858,41.370968944485995,2.161614212236,41.371082913212,2.161338518383,56,13,52.0,13,"VM","SERRAHIMA, 5, PTGE","00FF00",5.0
4868,429791.209,429775.31299999997,4580249.596,4580193.884,41.370695904852,2.160468585864,41.370192752327,2.160284990317,56,13,52.0,13,"VM","CARITEO, 5, C","00FF00",12.0
4878,429732.30799999996,429720.331,4581803.794,4581803.916999999,41.384688511944,2.159584222227,41.384688573611996,2.1594409842099997,53,12,52.0,12,"VM","DIPUTACIO, 178, C","00FF00",4.0
4883,428277.783,428268.847,4583050.756,4583061.955,41.395790741556,2.142043097058,41.395890806622,2.1419348941589997,47,82,"",82,"AZL","CALVET, 47, C","0000FF",2.0
4887,432114.96200000006,432124.82,4581488.221,4581452.767,41.382050879859996,2.188112052644,41.38173239612,2.1882339037369998,52,13,"",13,"VR","PIZARRO, 5, C","008000",8.0
4888,432113.534,432111.98600000003,4581482.143999999,4581487.625,41.381996027069,2.188095657579,41.382045260922,2.1880765328889997,52,13,"",13,"VR","PIZARRO, 10, C","008000",4.0
4888,432122.275,432114.852,4581451.609,4581477.475,41.381721751942,2.188203600889,41.381954087062,2.188111940987,52,13,"",13,"VR","PIZARRO, 10, C","008000",4.0
4889,432105.76,432093.487,4581513.243,4581555.757,41.382275463318,2.187999213425,41.382657328609994,2.1878476906279998,52,13,"",13,"VR","PIZARRO, 2, C","008000",7.0
4890,429342.05,429342.43700000003,4582571.075,4582585.619,41.391564760771,2.154827946034,41.391695783531,2.154830877866,46,81,"",81,"AZL","ROSSELLO, 187, C","0000FF",6.0
4890,429342.11600000004,429342.43700000003,4582573.578,4582585.619,41.391587309534,2.154828443397,41.391695783531,2.154830877866,46,81,"",81,"AZL","ROSSELLO, 187, C","0000FF",6.0
4891,428598.69700000004,428586.823,4581813.775,4581813.94,41.384678600495,2.146027095893,41.384679032696,2.145885084914,54,13,52.0,13,"VM","ROSSELLO, 26, C","00FF00",5.0
4894,427685.309,427693.31299999997,4582201.509,4582206.738,41.388089087537,2.135058376335,41.388136901125,2.135153470348,56,13,52.0,13,"VM","DEU I MATA, PL. ROSES, C","00FF00",3.0
4895,431580.35,431589.68100000004,4583032.276000001,4583041.225,41.395912042875,2.18154487851,41.395993435205,2.181655469714,54,13,52.0,13,"VM","AUSIAS MARC, 121, C","00FF00",3.0
4895,431597.74,431610.25299999997,4583049.058,4583061.116,41.396064668066,2.181750973633,41.396174331793,2.181899272255,54,13,52.0,13,"VM","AUSIAS MARC, 121, C","00FF00",3.0
4895,431597.74,431616.771,4583049.058,4583067.397,41.396064668066,2.181750973633,41.396231455442,2.181976520946,54,13,52.0,13,"VM","AUSIAS MARC, 121, C","00FF00",3.0
4896,429208.213,429205.156,4581769.714,4581772.853,41.38433563103,2.153320960819,41.384363633094004,2.153284038032,54,13,52.0,13,"VM","COMTE BORRELL, 187, C","00FF00",2.0
4896,429211.086,429204.57700000005,4581767.364,4581774.047,41.384314718803,2.153355591105,41.384374335772,2.153276974766,54,13,52.0,13,"VM","COMTE BORRELL, 187, C","00FF00",2.0
4897,429237.93299999996,429238.106,4581721.59,4581735.459,41.383904822061,2.1536819766299997,41.384029746867,2.153682425863,46,82,"",82,"AZL","COMTE BORRELL, 177, C","0000FF",7.0
4898,429267.227,429267.135,4581735.029,4581721.347,41.384028434747,2.1540307077320002,41.383905201252,2.154031204609,54,13,52.0,13,"VM","COMTE BORRELL, 176, C","00FF00",4.0
4899,429302.76700000005,429282.351,4581672.308999999,4581693.188,41.383466677605,2.1544630156349998,41.383652927868,2.154216444744,54,13,52.0,13,"VM","COMTE BORRELL, 167, C","00FF00",7.0
4899,429303.033,429300.086,4581672.3319999995,4581675.344,41.383466908124,2.154466193778,41.383493776424,2.154430602171,54,13,52.0,13,"VM","COMTE BORRELL, 167, C","00FF00",7.0
4899,429313.464,429307.015,4581661.662,4581668.257,41.383371726402004,2.154592172207,41.383430556957,2.1545142858779998,54,13,52.0,13,"VM","COMTE BORRELL, 167, C","00FF00",7.0
4899,429319.598,429306.25200000004,4581655.3889999995,4581669.038,41.383315768179,2.15466625408,41.383437523909,2.154505070826,54,13,52.0,13,"VM","COMTE BORRELL, 167, C","00FF00",7.0
4903,426126.409,426133.299,4580979.263,4580959.7530000005,41.376939530068995,2.116564889802,41.37676444937,2.1166496486410002,47,82,"",82,"AZL","SANT RAMON NONAT, 19, AV","0000FF",2.0
4904,426188.515,426191.951,4580884.23,4580873.591,41.376089331636,2.117319042434,41.375993828583,2.11736142035,47,82,"",82,"AZL","SANT RAMON NONAT, 2, AV","0000FF",1.0
4910,428465.848,428456.076,4582846.148,4582856.468,41.393964720039,2.144316562023,41.394056796393,2.144198471002,47,82,"",82,"AZL","CALVET, 15, C","0000FF",4.0
4910,428469.35,428452.72,4582842.45,4582860.012,41.393931726013996,2.1443588822760002,41.394088416366,2.144157914925,47,82,"",82,"AZL","CALVET, 15, C","0000FF",4.0
4913,430389.01399999997,430386.01200000005,4584388.316000001,4584391.419,41.408022835970996,2.167140198711,41.408050522817994,2.1671039302860002,56,13,52.0,13,"VM","SARDENYA, 419 (gràcia), C","00FF00",2.0
4913,430394.982,430392.348,4584382.365,4584385.086,41.407969755749995,2.167212275491,41.407994034048,2.1671804532700003,56,13,52.0,13,"VM","SARDENYA, 419 (gràcia), C","00FF00",2.0
4917,430220.651,430210.67,4580254.456,4580235.888,41.370777017820004,2.165602299569,41.37060892103,2.165485106691,56,13,52.0,13,"VM","NOU DE LA RAMBLA, 181, C","00FF00",17.0
4917,430245.531,430220.93299999996,4580286.153,4580255.063999999,41.371064651234,2.165896111252,41.370782518179,2.165605601112,56,13,52.0,13,"VM","NOU DE LA RAMBLA, 181, C","00FF00",17.0
4917,430275.162,430247.635,4580323.635,4580288.842,41.371404797696,2.166246062367,41.371089051866,2.165920956845,56,13,52.0,13,"VM","NOU DE LA RAMBLA, 181, C","00FF00",17.0
4919,427996.584,427987.883,4582080.891,4582092.08,41.387030680665,2.138795182596,41.387130673892,2.1386898009869997,56,13,52.0,13,"VM","EQUADOR, 61, C","00FF00",7.0
4919,428030.222,428019.81299999997,4582037.601,4582051.021000001,41.386643805744,2.139202588019,41.386763739712,2.139076517426,56,13,52.0,13,"VM","EQUADOR, 61, C","00FF00",7.0
4919,428030.505,428019.81299999997,4582037.278,4582051.021000001,41.386640922009,2.139206010649,41.386763739712,2.139076517426,56,13,52.0,13,"VM","EQUADOR, 61, C","00FF00",7.0
4919,428044.477,428041.809,4582019.586,4582022.847,41.386482831447,2.1393751962520002,41.386511962524,2.139342903696,56,13,52.0,13,"VM","EQUADOR, 61, C","00FF00",7.0
4919,428047.61,428041.87299999996,4582015.29,4582022.666,41.386444420375,2.139413172385,41.386510338099,2.139343690536,56,13,52.0,13,"VM","EQUADOR, 61, C","00FF00",7.0
4920,427911.13200000004,427908.602,4582200.102,4582203.682,41.388096683432,2.137759112604,41.388128699423,2.13772843088,56,13,52.0,13,"VM","EQUADOR, 87, C","00FF00",8.0
4920,427927.99600000004,427919.71,4582176.565,4582188.575,41.38788621212,2.137963585554,41.387993635938,2.137863066494,56,13,52.0,13,"VM","EQUADOR, 87, C","00FF00",8.0
4920,427947.23600000003,427930.435,4582149.298,4582172.944,41.387642359565,2.138196914672,41.38785381865,2.13799318368,56,13,52.0,13,"VM","EQUADOR, 87, C","00FF00",8.0
4920,427947.411,427933.266,4582149.652,4582169.56,41.387645563484995,2.138198965347,41.387823594791996,2.138027441411,56,13,52.0,13,"VM","EQUADOR, 87, C","00FF00",8.0
4920,427960.48600000003,427949.55700000003,4582130.648,4582146.031,41.38747557783,2.1383575850720002,41.387613143709004,2.1382250593450003,56,13,52.0,13,"VM","EQUADOR, 87, C","00FF00",8.0
4920,427972.91799999995,427950.25899999996,4582113.877,4582146.061000001,41.387325645547,2.138508249099,41.387613476771,2.1382334507859997,56,13,52.0,13,"VM","EQUADOR, 87, C","00FF00",8.0
4921,429417.979,429432.18,4580325.283,4580288.731000001,41.371344933405,2.155997563791,41.371016976084,2.156171601608,47,82,"",82,"AZL","LLEIDA, 59, C","0000FF",5.0
4922,429487.922,429476.985,4581473.659,4581485.694,41.381693804525,2.156700212084,41.381801238028004,2.156568030539,54,13,52.0,13,"VM","COMTE BORRELL, 141, C","00FF00",3.0
4922,429487.922,429477.43100000004,4581473.659,4581486.131,41.381693804525,2.156700212084,41.381805212913,2.156573312819,54,13,52.0,13,"VM","COMTE BORRELL, 141, C","00FF00",3.0
4923,429401.25399999996,429387.953,4581571.961,4581585.619,41.382571551703,2.1556524130579997,41.382693393873,2.155491770536,54,13,52.0,13,"VM","COMTE BORRELL, 157, C","00FF00",4.0
4923,429407.75,429387.953,4581565.294,4581585.619,41.382512076012,2.15573086774,41.382693393873,2.155491770536,54,13,52.0,13,"VM","COMTE BORRELL, 157, C","00FF00",4.0
4924,429424.573,429424.64,4581531.614,4581543.568,41.382210216375,2.1559359563980003,41.382317884704,2.1559353654730002,46,82,"",82,"AZL","COMTE BORRELL, 155, C","0000FF",3.0
