"POLIGON","CAPACITAT","GEOM_WKT"
27266,"C3","MULTIPOLYGON (((426594.865220549 4584305.2618925,426650.007023808 4584360.40190742,426650.032335735 4584360.42029699,426650.062091495 4584360.42996468,426650.093378388 4584360.42996418,426650.123133835 4584360.42029551,426650.148445165 4584360.40190513,426650.166834728 4584360.3765932,426650.176502428 4584360.34683744,426650.17650192 4584360.31555055,426650.166833256 4584360.2857951,426650.148442871 4584360.26048377,426595.004076615 4584305.11790594,426594.998771791 4584305.11297238,426478.581743911 4584204.45618133,426478.555167067 4584204.43967251,426478.524789482 4584204.43218439,426478.493584724 4584204.43444995,426478.464607334 4584204.44624743,426478.440693819 4584204.46642201,426478.424185001 4584204.49299885,426478.416696879 4584204.52337644,426478.418962442 4584204.5545812,426478.430759921 4584204.58355859,426478.450934496 4584204.6074721,426594.865220549 4584305.2618925)))"
27111,"C3","MULTIPOLYGON (((431283.421244278 4588539.90776335,431283.418170011 4588539.90718233,431283.415066665 4588539.90757975,431283.412238017 4588539.90891671,431283.409960954 4588539.91106232,431283.408458371 4588539.91380658,431283.407877352 4588539.91688085,431283.40827477 4588539.91998419,431283.409611724 4588539.92281284,431283.411757343 4588539.9250899,431283.414501599 4588539.92659249,431370.499196975 4588571.11146144,431370.502271241 4588571.11204246,431370.505374587 4588571.11164504,431370.508203235 4588571.11030809,431370.510480298 4588571.10816247,431370.511982881 4588571.10541821,431370.5125639 4588571.10234395,431370.512166482 4588571.0992406,431370.510829528 4588571.09641195,431370.508683909 4588571.09413489,431370.505939653 4588571.09263231,431283.421244278 4588539.90776335)))"
5894,"B1","MULTIPOLYGON (((429804.831313419 4586429.10301037,429804.833555747 4586429.10082848,429804.835014085 4586429.09806046,429804.835545682 4586429.09497726,429804.8350985 4586429.09188069,429804.833716312 4586429.08907387,429804.831534418 4586429.08683154,429804.828766396 4586429.0853732,429804.8256832 4586429.08484161,429804.822586633 4586429.08528879,429804.81977981 4586429.08667098,429760.445491271 4586460.40947385,429760.443248942 4586460.41165574,429760.441790604 4586460.41442377,429760.441259008 4586460.41750696,429760.44170619 4586460.42060353,429760.443088377 4586460.42341035,429760.445270271 4586460.42565268,429760.448038293 4586460.42711102,429760.45112149 4586460.42764262,429760.454218056 4586460.42719543,429760.457024879 4586460.42581325,429804.831313419 4586429.10301037)))"
6119,"B2","MULTIPOLYGON (((428571.059366402 4587262.92392101,428571.056284975 4587262.92446277,428571.053521777 4587262.92593023,428571.051347289 4587262.92817974,428571.049974365 4587262.93099111,428571.049537396 4587262.93408913,428571.050079156 4587262.93717056,428571.051546614 4587262.93993376,428571.053796125 4587262.94210825,428571.05660749 4587262.94348117,428571.059705515 4587262.94391814,428663.976585458 4587261.36822871,428663.979666885 4587261.36768695,428663.982430083 4587261.36621949,428663.984604571 4587261.36396998,428663.985977495 4587261.36115861,428663.986414464 4587261.35806059,428663.985872704 4587261.35497916,428663.984405246 4587261.35221597,428663.982155736 4587261.35004148,428663.97934437 4587261.34866855,428663.976246346 4587261.34823158,428571.059366402 4587262.92392101)))"
6173,"B2","MULTIPOLYGON (((431844.821765666 4581459.10914557,431844.824040629 4581459.10699773,431844.825540527 4581459.104252,431844.82611854 4581459.10117717,431844.825718087 4581459.09807422,431844.824378368 4581459.09524688,431844.822230523 4581459.09297191,431844.819484798 4581459.09147201,431844.816409965 4581459.090894,431844.81330701 4581459.09129445,431844.81047967 4581459.09263417,431782.605940247 4581501.61114703,431782.603665283 4581501.61329488,431782.602165385 4581501.6160406,431782.601587372 4581501.61911543,431782.601987825 4581501.62221839,431782.603327545 4581501.62504573,431782.605475389 4581501.62732069,431782.608221114 4581501.62882059,431782.611295947 4581501.6293986,431782.614398902 4581501.62899815,431782.617226242 4581501.62765843,431844.821765666 4581459.10914557)))"
25753,"C3","MULTIPOLYGON (((432152.059396892 4581592.12527966,432152.062337262 4581592.12634874,432152.065464082 4581592.12645687,432152.068471278 4581592.12559346,432152.071064485 4581592.12384304,432152.072989861 4581592.12137694,432152.074058938 4581592.11843657,432152.074167066 4581592.11530975,432152.073303661 4581592.11230256,432152.071553239 4581592.10970935,432152.069087145 4581592.10778398,432098.287874031 4581562.32023845,432098.284933662 4581562.31916938,432098.281806842 4581562.31906125,432098.278799645 4581562.31992465,432098.276206439 4581562.32167508,432098.274281062 4581562.32414117,432098.273211986 4581562.32708154,432098.273103858 4581562.33020836,432098.273967263 4581562.33321556,432098.275717684 4581562.33580876,432098.278183779 4581562.33773414,432152.059396892 4581592.12527966)))"
25188,"C3","MULTIPOLYGON (((432421.248702152 4581811.38921349,432421.25160598 4581811.39037817,432421.254727591 4581811.39058851,432421.257761419 4581811.38982393,432421.260410491 4581811.38815926,432421.262415499 4581811.38575746,432421.263580178 4581811.38285363,432421.26379052 4581811.37973202,432421.263025938 4581811.37669819,432421.261361272 4581811.37404912,432421.258959473 4581811.37204411,432016.873581414 4581569.78427305,432016.870677585 4581569.78310837,432016.867555974 4581569.78289802,432016.864522147 4581569.78366261,432016.861873074 4581569.78532727,432016.859868067 4581569.78772907,432016.858703388 4581569.7906329,432016.858493045 4581569.79375451,432016.859257628 4581569.79678834,432016.860922293 4581569.79943741,432016.863324093 4581569.80144242,432421.248702152 4581811.38921349)))"
31401,"B2","MULTIPOLYGON (((428457.74039155 4584914.91465123,428457.742247641 4584914.91716989,428457.744791196 4584914.91899171,428457.747773234 4584914.91993836,428457.750901852 4584914.91991717,428457.753870798 4584914.91893023,428457.756389453 4584914.91707414,428457.758211272 4584914.91453059,428457.759157923 4584914.91154855,428457.759136741 4584914.90841993,428457.7581498 4584914.90545098,428434.545440759 4584870.10045086,428434.543584667 4584870.09793221,428434.541041112 4584870.09611039,428434.538059074 4584870.09516374,428434.534930457 4584870.09518492,428434.53196151 4584870.09617186,428434.529442856 4584870.09802795,428434.527621037 4584870.10057151,428434.526674386 4584870.10355355,428434.526695568 4584870.10668216,428434.527682509 4584870.10965111,428457.74039155 4584914.91465123)))"
31581,"C3","MULTIPOLYGON (((431775.249420856 4585454.11498588,431775.251220168 4585454.11242635,431775.252140477 4585454.10943608,431775.252091699 4585454.10630777,431775.251078608 4585454.10334764,431775.249200371 4585454.10084546,431775.246640845 4585454.09904615,431775.243650573 4585454.09812584,431775.240522264 4585454.09817462,431775.237562139 4585454.09918771,431775.235059955 4585454.10106594,431754.184789964 4585475.81818716,431754.182990652 4585475.82074669,431754.182070343 4585475.82373696,431754.182119121 4585475.82686527,431754.183132212 4585475.8298254,431754.185010449 4585475.83232758,431754.187569975 4585475.83412689,431754.190560247 4585475.8350472,431754.193688556 4585475.83499842,431754.196648681 4585475.83398533,431754.199150865 4585475.8321071,431775.249420856 4585454.11498588)))"
15141,"A4","MULTIPOLYGON (((431382.33043317 4581931.78208547,431382.332963326 4581931.78024509,431382.334800938 4581931.77771292,431382.335766127 4581931.77473683,431382.335764415 4581931.77160814,431382.334795968 4581931.76863311,431382.332955586 4581931.76610296,431382.330423417 4581931.76426534,431382.327447328 4581931.76330015,431382.324318639 4581931.76330187,431382.321343608 4581931.76427031,431363.030435058 4581941.60678176,431363.027904902 4581941.60862214,431363.02606729 4581941.61115431,431363.0251021 4581941.6141304,431363.025103813 4581941.61725909,431363.026072259 4581941.62023412,431363.027912642 4581941.62276427,431363.030444811 4581941.62460188,431363.0334209 4581941.62556707,431363.036549588 4581941.62556536,431363.039524619 4581941.62459692,431382.33043317 4581931.78208547)))"
