"N_EXPEDIENT","DISTRICTE","BARRI","TIPUS_CARRER","CARRER","TIPUS_NUM","NUM1","LLETRA1","NUM2","LLETRA2","BLOC","PORTAL","ESCALA","PIS","PORTA","NUMERO_REGISTRE_GENERALITAT","NUMERO_PLACES","LONGITUD_X","LATITUD_Y"
"10-2009-0029","SANT MARTI","el Parc i la Llacuna del Poblenou","Carrer","ALMOGAVERS",2,6,"","","","","","","EN","4","HUTB-003677",5.0,2.181642918,41.38970489
"10-2009-0069","SANT MARTI","Diagonal Mar i el Front Marítim del Poblenou","Carrer","PELLAIRES",1,25,"","","","","","","BJ","A","HUTB-010216",8.0,2.209114497,41.40285246
"10-2008-0691","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",1,23,"","","","","","","4","2","HUTB-001123",15.0,2.194062636,41.38629171
"10-2008-0692","SANT MARTI","Provençals del Poblenou","Carrer","FLUVIA",1,109,"",111.0,"","","","C","6","2","HUTB-000209",9.0,2.203133128,41.40675161
"02-2008-1136","L'EIXAMPLE","Sant Antoni","Carrer","VILLARROEL",2,48,"","","","","","","2","1","HUTB-001555",7.0,2.159346591,41.38071308
"02-2008-1137","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","CASP",1,63,"","","","","","","2","1","HUTB-003246",11.0,2.175021014,41.39171951
"02-2008-1138","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","DIPUTACIO",1,123,"",125.0,"","","","","3","2","HUTB-003225",8.0,2.1555778219999997,41.38088483
"02-2008-1139","L'EIXAMPLE","la Dreta de l'Eixample","Rambla","CATALUNYA",2,98,"B","","","","","","2","2","HUTB-010616",6.0,2.159328178,41.39162909
"10-2008-0693","SANT MARTI","el Poblenou","Carrer","VIDAL I DE VALENCIANO",1,19,"","","","","","","12","1","HUTB-001505",13.0,2.206530234,41.39747619
"02-2008-1140","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","ALI BEI",1,29,"","","","","","","3","1","HUTB-003662",6.0,2.177463195,41.39015188
"02-2008-1141","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","ALI BEI",1,29,"","","","","","","2","1","HUTB-003663",6.0,2.177463195,41.39015188
"02-2008-1142","L'EIXAMPLE","el Fort Pienc","Carrer","CASP",2,190,"","","","","","","6","1","HUTB-003275",10.0,2.181021119,41.39595038
"03-2008-0475","SANTS-MONTJUÏC","Sants","Carrer","RIEGO",1,39,"","","","","","","BJ","1","HUTB-001651",5.0,2.137223785,41.37519074
"03-2008-0476","SANTS-MONTJUÏC","Sants","Carrer","RIEGO",1,39,"","","","","","","BJ","2","HUTB-001652",6.0,2.137223785,41.37519074
"03-2008-0477","SANTS-MONTJUÏC","Sants","Carrer","RIEGO",1,39,"","","","","","","2","1","HUTB-001653",4.0,2.137223785,41.37519074
"03-2008-0478","SANTS-MONTJUÏC","Sants","Carrer","RIEGO",1,39,"","","","","","","2","2","HUTB-001654",4.0,2.137223785,41.37519074
"03-2008-0479","SANTS-MONTJUÏC","Sants","Carrer","RIEGO",1,39,"","","","","","","2","3","HUTB-001655",4.0,2.137223785,41.37519074
"03-2008-0480","SANTS-MONTJUÏC","Sants","Carrer","RIEGO",1,39,"","","","","","","3","1","HUTB-001656",4.0,2.137223785,41.37519074
"03-2008-0481","SANTS-MONTJUÏC","Sants","Carrer","RIEGO",1,39,"","","","","","","3","2","HUTB-001657",4.0,2.137223785,41.37519074
"02-2008-0955","L'EIXAMPLE","el Fort Pienc","Carrer","AUSIAS MARC",1,157,"",159.0,"","","","D","AT","2","HUTB-003902",4.0,2.183019518,41.39600118
"10-2008-0582","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","ARAGO",1,565,"","","","","","","1","1","HUTB-003760",5.0,2.183791833,41.40559293
