"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_Vehicles","Desc_tipus_propietari","Nombre"
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","52","Motos","Subjecte Fí­sic",376
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","53","Turismes","Subjecte Jurí­dic",101
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","53","Turismes","Subjecte Fí­sic",741
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","53","Motos","Subjecte Jurí­dic",13
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","53","Motos","Subjecte Fí­sic",414
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","54","Turismes","Subjecte Jurí­dic",69
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","54","Turismes","Subjecte Fí­sic",565
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","54","Motos","Subjecte Jurí­dic",20
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","54","Motos","Subjecte Fí­sic",327
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","55","Turismes","Subjecte Jurí­dic",100
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","55","Turismes","Subjecte Fí­sic",779
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","55","Motos","Subjecte Jurí­dic",188
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","55","Motos","Subjecte Fí­sic",435
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","56","Turismes","Subjecte Jurí­dic",64
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","56","Turismes","Subjecte Fí­sic",517
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","56","Turismes","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","56","Motos","Subjecte Jurí­dic",14
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","56","Motos","Subjecte Fí­sic",305
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","57","Turismes","Subjecte Jurí­dic",204
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","57","Turismes","Subjecte Fí­sic",774
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","57","Motos","Subjecte Jurí­dic",72
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","57","Motos","Subjecte Fí­sic",410
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","57","Motos","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","58","Turismes","Subjecte Jurí­dic",91
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","58","Turismes","Subjecte Fí­sic",640
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","58","Motos","Subjecte Jurí­dic",31
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","58","Motos","Subjecte Fí­sic",432
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","59","Turismes","Subjecte Jurí­dic",487
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","59","Turismes","Subjecte Fí­sic",535
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","59","Motos","Subjecte Jurí­dic",70
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","59","Motos","Subjecte Fí­sic",314
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","60","Turismes","Subjecte Jurí­dic",72
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","60","Turismes","Subjecte Fí­sic",458
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","60","Motos","Subjecte Jurí­dic",78
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","60","Motos","Subjecte Fí­sic",283
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","61","Turismes","Subjecte Jurí­dic",166
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","61","Turismes","Subjecte Fí­sic",421
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","61","Motos","Subjecte Jurí­dic",149
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","61","Motos","Subjecte Fí­sic",262
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","62","Turismes","Subjecte Jurí­dic",44
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","62","Turismes","Subjecte Fí­sic",531
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","62","Motos","Subjecte Jurí­dic",34
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","62","Motos","Subjecte Fí­sic",357
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","63","Turismes","Subjecte Jurí­dic",85
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","63","Turismes","Subjecte Fí­sic",484
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","63","Motos","Subjecte Jurí­dic",30
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","63","Motos","Subjecte Fí­sic",343
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","64","Turismes","Subjecte Jurí­dic",46
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","64","Turismes","Subjecte Fí­sic",455
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","64","Motos","Subjecte Jurí­dic",31
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","64","Motos","Subjecte Fí­sic",326
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","65","Turismes","Subjecte Jurí­dic",270
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","65","Turismes","Subjecte Fí­sic",491
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","65","Turismes","Altres",1
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","65","Motos","Subjecte Jurí­dic",65
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","65","Motos","Subjecte Fí­sic",315
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","66","Turismes","Subjecte Jurí­dic",183
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","66","Turismes","Subjecte Fí­sic",398
2019,"5","Sarrià-St. Gervasi","26","Sant Gervasi - Galvany","66","Turismes","Altres",1
